File,product_name,brand,usage_type,category,ingredients,image_url,product_url
1001-1200.csv,"A-Derma Exomega Control Emollient Balm, Anti-Scratching, 400 mL",A-Derma,Body,"Balms, Ointments & Salves","10-Hydroxydecanoic Acid, Avena Sativa (Oat) Leaf/Stem Extract (Avena Sativa Leaf/Stem Extract), Benzoic Acid, Caprylic/Capric Triglyceride, Caprylyl Glycol, Carbomer, Cetearyl Alcohol, Cetearyl Glucoside, Glycerin, Glyceryl Stearate, Niacinamide, Oenothera Biennis (Evening Primrose) Oil (Oenothera Biennis Oil), Peg-100 Stearate, Polyacrylate-13, Polyisobutene, Polysorbate 20, Sodium Hydroxide, Sorbitan Isostearate, Tocopherol, Tocopheryl Acetate, Water (Aqua)",https://cdn1.skinsafeproducts.com/photo/6863BC011C5BB9/large_1737804726.pngpng?1737804726,https://www.skinsafeproducts.com/a-derma-exomega-control-emollient-balm-anti-scratching-400-ml
1601-1800.csv,"A-Derma Exomega Control Emollient Lotion, Anti-Scratching, 400 mL",A-Derma,Body,Lotions,"10-Hydroxydecanoic Acid, Avena Sativa (Oat) Leaf/Stem Extract (Avena Sativa Leaf/Stem Extract), Benzoic Acid, Caprylic/Capric Triglyceride, Caprylyl Glycol, Carbomer, Cetearyl Alcohol, Cetearyl Glucoside, Evening Primrose Oil (Oenothera Biennis Oil), Glycerin, Glyceryl Stearate, Niacinamide, Peg-100 Stearate, Polyacrylate-13, Polyisobutene, Polysorbate 20, Sodium Hydroxide, Sorbitan Isostearate, Tocopherol, Tocopherol Acetate, Water (Aqua)",https://cdn1.skinsafeproducts.com/photo/DA8AB2B3AA2096/large_1737797095.pngpng?1737797095,https://www.skinsafeproducts.com/a-derma-exomega-control-emollient-lotion-anti-scratching-400-ml
1801-2000.csv,"A-Derma Soothing Repairing Cream Anti-Marks, 40 mL",A-Derma,Skin Care,Skin Treatments,"Alanyl Glutamine, Avena Sativa (Oat) Leaf/Stem Extract (Avena Sativa Leaf/Stem Extract), Batyl Alcohol, Benzoic Acid, Butyrospermum Parkii (Shea) Butter (Butyrospermum Parkii Butter), Caprylic/Capric Triglyceride, Caprylyl Glycol, Cetearyl Alcohol, Cetearyl Glucoside, Dimethicone, Dimethiconol, Glycerin, Glyceryl Stearate, Palmitic Acid, Polyacrylate-13, Polyisobutene, Polysorbate 20, Propylene Glycol, Sodium Hyaluronate, Sodium Hydroxide, Sorbitan Isostearate, Stearic Acid, Tocopheryl Acetate, Uncaria Tomentosa Extract, Water (Aqua), Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/BDD4DC057ED6D0/large_1672652321.pngpng?1672652321,https://www.skinsafeproducts.com/a-derma-soothing-repairing-cream-anti-marks-40-ml
2001-2200.csv,"A-Derma Exomega Control Emollient Cream,50 mL",A-Derma,Face,Creams,"10-Hydroxydecenoic Acid, Avena Sativa (Oat) Leaf/Stem Extract (Avena Sativa Leaf/Stem Extract), Benzoic Acid, Caprylic/Capric Triglyceride, Caprylyl Glycol, Cetearyl Alcohol, Cetearyl Glucoside, Cetyl Alcohol, Glycerin, Glyceryl Stearate, Niacinamide, Oenothera Biennis (Evening Primrose) Oil, Peg-100 Stearate, Polyacrylate-13, Polyisobutene, Polysorbate 20, Sodium Hydroxide, Sorbitan Isostearate, Tocopherol, Tocopheryl Acetate, Water (Aqua)",https://cdn1.skinsafeproducts.com/photo/E6088CD5B16682/large_1749622057.pngpng?1749622057,https://www.skinsafeproducts.com/a-derma-exomega-control-emollient-cream-50-ml
201-400.csv,"A-Derma Dermalibour Barrier Protective Cream, 100 mL",A-Derma,Body,Creams,"Avena Sativa (Oat) Leaf/Stem Extract (Avena Sativa Leaf/Stem Extract), Beeswax (Cera Alba), Butylene Glycol, Caprylic/Capric Triglyceride, Cetyl Alcohol, Citric Acid, Copper Sulfate, Glycerin, Glyceryl Stearate, Hydrogenated Vegetable Oil, Isododecane, Magnesium Sulfate, Mineral Oil (Paraffinum Liquidum), O-Cymen-5-Ol, Peg-22/Dodecyl Glycol Copolymer, Peg-30 Dipolyhydroxystearate, Sodium Hydroxide, Water (Aqua), Xanthan Gum, Zea Mays (Corn) Starch, Zinc Oxide, Zinc Sulfate",https://cdn1.skinsafeproducts.com/photo/1357670A5D1D1C/large_1645247056.jpeg?1645247056,https://www.skinsafeproducts.com/a-derma-dermalibour-barrier-protective-cream-100-ml
201-400.csv,"A-Derma Dermalibour Repairing Cream, 50 mL",A-Derma,Face,Creams,"Avena Sativa (Oat) Kernel Extract, Caprylic/Capric Triglyceride, Copper Sulfate, Glycerin, Hydrogenated Vegetable Oil, Magnesium Sulfate, Mineral Oil, Peg-22/Dodecyl Glycol Copolymer, Peg-30 Dipolyhydroxystearate, Propylene Glycol (1,2-Propanediol), Water\Aqua\Eau, Zinc Oxide, Zinc Sulfate",https://cdn1.skinsafeproducts.com/photo/A144E341BF3852/large_1541965508.jpeg?1541965508,https://www.skinsafeproducts.com/a-derma-dermalibour-repairing-cream-50-ml
201-400.csv,"A-derma Lip Stick, 4 g",A-Derma,Lip Care,"Lip Balms, Gels, Moisturizers & Oils","Propylene Glycol, Avena Sativa Kernel Flour, Beeswax (Cera Alba), Bis-Diglyceryl Polyacryladipate-2, Butyrospermum Parkii Butter, Carpylic/Capric Triglyceride, Cetearyl Ethylhexanoate, Cetyl Esters, Copernica Cerifera (Carnauba) Wax/Cera Carnauba/Cire De Carnauba, Fragrance (Parfum), Hydrogenated Castor Oil, Hydrogenated Polyisobutene, Isopropyl Myristate, Isopropyl Palmitate, Octyldodecanol, Panthenol, Polyethylene, Tocopheryl Acetate",https://cdn1.skinsafeproducts.com/photo/611A7B903DA4BD/large_1743382510.jpeg?1743382510,https://www.skinsafeproducts.com/a-derma-lip-stick-4-g
201-400.csv,"A-Derma Epitheliale A.H Ultra Cream, 40 mL",A-Derma,Face,Creams,"Alanyl Glutamine, Avena Sativa (Oat) Leaf/Stem Extract, Batyl Alcohol, Benzoic Acid, Butyrospermum Parkii (Shea) Butter, Caprylic/ Capric Triglyceride, Caprylyl Glycol, Cetearyl Alcohol, Cetearyl Glucoside, Dimethicone, Dimethiconol, Glycerin, Glyceryl Stearate, Palmitic Acid, Polyacrylate-13, Polyisobutene, Polysorbate 20, Propylene Glycol, Sodium Hyaluronate, Sodium Hydroxide, Sorbitan Isostearate, Stearic Acid, Tocopheryl Acetate, Uncaria Tomentosa Extract, Water (Aqua), Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/5314FF45EE0BD3/large_1712812069.pngpng?1712812069,https://www.skinsafeproducts.com/a-derma-epitheliale-a-h-ultra-cream-40-ml
401-600.csv,"A-Derma Exomega Control 2 In 1 Emollient Cleansing Gel, Anti-Scratching, 500 mL",A-Derma,Cleansers,Liquid Cleansers & Soaps,"10-Hydroxydecanoic Acid, Ascorbyl Palmitate, Avena Sativa (Oat) Leaf/Stem Extract (Avena Sativa Leaf/Stem Extract), Ceteareth-60 Myristyl Glycol, Citric Acid, Coco-Glucoside, Disodium Laureth Sulfosuccinate, Fragrance (Parfum), Glycerin, Glyceryl Oleate, Hydrogenated Palm Glycerides Citrate, Laureth-3, Lecithin, Maleic Acid, Oenothera Biennis (Evening Primrose) Oil (Oenothera Biennis Oil), Peg-40 Hydrogenated Castor Oil, Polysorbate 20, Propylene Glycol, Sodium Benzoate, Sodium Chloride, Sodium Cocoamphoacetate, Sodium Hydroxide, Tocopherol, Water (Aqua), Zinc Coceth Sulfate",https://cdn1.skinsafeproducts.com/photo/A36C1A29ED5A55/large_1645246988.jpeg?1645246988,https://www.skinsafeproducts.com/a-derma-exomega-control-2-in-1-emollient-cleansing-gel-anti-scratching-500-ml
601-800.csv,"A-Derma Exomega Emollient Cream, 200ml",A-Derma,Body,Creams,"10-Hydroxydecanoic Acid, Avena Sativa (Oat) Kernel Extract, Benzoic Acid, Bht, C13-14 Isoparaffin, Chlorphenesin, Cyclomethicone, Disodium Edta, Glycerin, Glyceryl Stearate, Laureth-7, Maltodextrin, Mineral Oil, Myreth-3 Myristate, Niacinamide, Oenothera Biennis Oil, Peg-100 Stearate, Peg-12, Phenoxyethanol, Polyacrylamide, Sodium Acetate, Tocopherol (Multisource), Triethanolamine, Water\Aqua\Eau",https://cdn1.skinsafeproducts.com/photo/689AB4CF41F3A6/large_1514606326.jpeg?1514606326,https://www.skinsafeproducts.com/a-derma-exomega-emollient-cream-200ml
