File,product_name,brand,usage_type,category,ingredients,image_url,product_url
1-200.csv,"Aestura Atobarrier365 Moisturizing Cream, Ceramide, 1.52 fl oz/45 mL",AESTURA,Face,Creams,"Acrylates/Ammonium Methacrylate Copolymer, Allantoin, Arachidic Acid, Arachidyl Alcohol, Arachidyl Glucoside, Behenyl Alcohol, Betaine, Butylene Glycol, Butylene Glycol Dicaprylate/Dicaprate, C12-20 Alkyl Glucoside, C14-22 Alcohols, Carbomer, Ceramide Np, Cetyl Ethylhexanoate, Cholesterol, Dicaprylyl Carbonate, Dimethicone, Dimethiconol, Ethylhexyl Palmitate, Ethylhexylglycerin, Glycerin, Glyceryl Caprylate, Hydrogenated Lecithin, Hydrogenated Polyisobutene, Hydroxypropyl Bislauramide Mea, Hydroxypropyl Bispalmitamide Mea, Mannitol, Niacinamide, Oleic Acid, Palmitic Acid, Pentaerythrityl Tetraisostearate, Phytosphingosine, Polyacrylate-13, Polyglyceryl-10 Laurate, Silica, Sorbitan Isostearate, Sphingolipids, Squalane, Stearic Acid, Tocopherol, Tromethamine, Water/Aqua/Eau",https://cdn1.skinsafeproducts.com/photo/DCEE5F4F563D22/large_1740118842.jpeg?1740118842,https://www.skinsafeproducts.com/aestura-atobarrier365-moisturizing-cream-ceramide-1-52-fl-oz-45-ml
1-200.csv,"Aestura Atobarrier 365 Bubble Cleanser, 5.07 fl oz/150 mL",AESTURA,Cleansers,Facial Cleansers,"Butylene Glycol, Camellia Sinensis Leaf Extract, Caprylyl/Capryl Glucoside, Citric Acid, Coco-Glucoside, Disodium Cocoamphodiacetate, Disodium Cocoyl Glutamate, Disodium Edta, Ethylhexylglycerin, Glycerin, Glyceryl Caprylate, Propanediol, Sodium Chloride, Sorbitol, Tocopherol, Water / Aqua / Eau",https://cdn1.skinsafeproducts.com/photo/744BA78BDD1D41/large_1688076537.jpeg?1688076537,https://www.skinsafeproducts.com/aestura-atobarrier-365-bubble-cleanser-5-07-fl-oz-150-ml
1-200.csv,"Aestura Atobarrier 365 Hydro Soothing Cream, 2.03 fl oz/60 mL",AESTURA,Face,Creams,"1,2-Hexanediol, Acrylates/Ammonium Methacrylate Copolymer, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Alanine, Ammonium Acryloyldimethyl Taurate/Vp Copolymer, Arachidic Acid, Arginine, Cetearyl Alcohol, Cholesterol, Citrulline, Dicaprylyl Carbonate, Disodium Edta, Ethylhexylglycerin, Glutamic Acid, Glyceryl Caprylate, Glyceryl Stearate, Glycogen, Histidine Hcl, Hydrogenated Lecithin, Hydrogenated Polyisobutene, Hydroxyethylacrylate/Sodium Acryloyldimethyl Taurate Copolymer, Hydroxypropyl Bispalmitamide Mea, Lysine Hcl, Mannitol, Methyl Trimethicone, Myristic Acid, Palmitic Acid, Pca, Phenyl Trimethicone, Polyglyceryl 3 Methylglucose Distearate, Propanediol, Serine, Silica, Sorbitan Isostearate, Stearic Acid, Sucrose, Threonine, Tocopherol, Trehalose, Tromethamine, Water/Aqua/Eau",https://cdn1.skinsafeproducts.com/photo/2C92F27305F451/large_1703845807.pngpng?1703845807,https://www.skinsafeproducts.com/aestura-atobarrier-365-hydro-soothing-cream-2-03-fl-oz-60-ml
1401-1600.csv,"Aestura Ato Barrier Set,",AESTURA,Skin Care,Sets & Kits,"Propylene Glycol, 1,2-Hexanediol, 3-O-Ethyl Ascorbic Acid, Acrylates/Ammonium Methacrylate Copolymer, Adenosine, Allantoin, Arachidic Acid, Arachidyl Alcohol, Arachidyl Glucoside, Behenyl Alcohol, Betaine, Biosaccharide Gum-1, Butylene Glycol, Butylene Glycol Dicaprylate/Dicaprate, C12-20 Alkyl Glucoside, C14-22 Alcohols, Camellia Sinensis Leaf Extract, Caprylic/Capric Triglyceride, Caprylyl/Capryl Glucoside, Carbomer, Cellulose Gum, Ceramide Np, Cetyl Ethylhexanoate, Cholesterol, Citric Acid, Coco-Glucoside, Dicaprylyl Carbonate, Dimethicone, Dimethiconol, Dipotassium Glycyrrhizate, Disodium Cocoamphodiacetate, Disodium Cocoyl Glutamate, Disodium Edta, Ethylhexyl Palmitate, Ethylhexylglycerin, Glycerin, Glyceryl Caprylate, Hydrogenated Lecithin, Hydrogenated Polyisobutene, Hydroxyethyl Urea, Hydroxypropyl Bislauramide Mea, Hydroxypropyl Bispalmitamide Mea, Mannitol, Niacinamide, Oleic Acid, Palmitic Acid, Panthenol, Pentaerythrityl Tetraisostearate, Pentylene Glycol, Phytosphingosine, Polyacrylate-13, Polyglyceryl-10 Laurate, Polyglyceryl-10 Stearate, Potassium Cetyl Phosphate, Potassium Hydroxide, Propanediol, Silica, Sodium Chloride, Sodium Hyaluronate, Sodium Lactate, Sodium Metaphosphate, Sodium Trimetaphosphate (Stmp), Sorbitan Isostearate, Sorbitol, Sphingolipids, Squalane, Stearic Acid, Tocopherol, Tromethamine, Water / Aqua / Eau",https://cdn1.skinsafeproducts.com/photo/FEE897C082BE0D/large_1753075886.pngpng?1753075886,https://www.skinsafeproducts.com/aestura-ato-barrier-set
1401-1600.csv,"Aestura Atobarrier 365 Hydro Cera-Ha Serum, 1.01 fl oz/30 mL",AESTURA,Skin Treatments,Serums,"Propylene Glycol, 1,2-Hexanediol, 3-O-Ethyl Ascorbic Acid, Acrylates/Ammonium Methacrylate Copolymer, Adenosine, Arachidic Acid, Betaine, Biosaccharide Gum-1, Butylene Glycol, Caprylic/Capric Triglyceride, Carbomer, Cellulose Gum, Ceramide Np, Cholesterol, Citric Acid, Dipotassium Glycyrrhizate, Ethylhexylglycerin, Glycerin, Glyceryl Caprylate, Hydrogenated Lecithin, Hydroxyethyl Urea, Hydroxypropyl Bispalmitamide Mea, Mannitol, Niacinamide, Oleic Acid, Palmitic Acid, Panthenol, Pentylene Glycol, Polyglyceryl-10 Stearate, Potassium Cetyl Phosphate, Potassium Hydroxide, Propanediol, Silica, Sodium Hyaluronate, Sodium Lactate, Sodium Metaphosphate, Sodium Trimetaphosphate (Stmp), Sphingolipids, Stearic Acid, Tocopherol, Tromethamine, Water/Aqua/Eau",https://cdn1.skinsafeproducts.com/photo/864AFBD2EEE5E4/large_1743317533.pngpng?1743317533,https://www.skinsafeproducts.com/aestura-atobarrier-365-hydro-cera-ha-serum-1-01-fl-oz-30-ml
1401-1600.csv,"Aestura Atobarrier 365 Hydro Cera-Ha Serum, 1.01 oz/30 mL",AESTURA,Skin Treatments,Serums,"Propylene Glycol, 1,2-Hexanediol, 3-O-Ethyl Ascorbic Acid, Acrylates/Ammonium Methacrylate Copolymer, Adenosine, Arachidic Acid, Betaine, Biosaccharide Gum-1, Butylene Glycol, Caprylic/Capric Triglyceride, Carbomer, Cellulose Gum, Ceramide Np, Cholesterol, Citric Acid, Dipotassium Glycyrrhizate, Ethylhexylglycerin, Glycerin, Glyceryl Caprylate, Hydrogenated Lecithin, Hydroxyethyl Urea, Hydroxypropyl Bispalmitamide Mea, Mannitol, Niacinamide, Oleic Acid, Palmitic Acid, Panthenol, Pentylene Glycol, Polyglyceryl-10 Stearate, Potassium Cetyl Phosphate, Potassium Hydroxide, Propanediol, Silica, Sodium Hyaluronate, Sodium Lactate, Sodium Metaphosphate, Sodium Trimetaphosphate (Stmp), Sphingolipids, Stearic Acid, Tocopherol, Tromethamine, Water / Aqua / Eau",https://cdn1.skinsafeproducts.com/photo/071322DCC6395D/large_1744530971.pngpng?1744530971,https://www.skinsafeproducts.com/aestura-atobarrier-365-hydro-cera-ha-serum-1-01-oz-30-ml
1401-1600.csv,"Aestura Atobarrier Hydro Essence, 6.76 fl oz/200 mL",AESTURA,Moisturizers,Face,"1,2-Hexanediol, Acetyl Glucosamine, Acrylates/Ammonium Methacrylate Copolymer, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Alanine, Arginine, Aspartic Acid, Butylene Glycol, Calcium Gluconate, Carbomer, Cholesterol, Citric Acid, Creatine, Cysteine, Disodium Edta, Ethylhexylglycerin, Glucose, Glutamic Acid, Glycerin, Glyceryl Caprylate, Glycine, Histidine, Hydroxypropyl Bispalmitamide Mea, Isoleucine, Lactic Acid, Leucine, Lysine, Magnesium Gluconate, Mannitol, Methionine, Natto Gum, Pca, Phenylalanine, Potassium Magnesium Aspartate, Proline, Serine, Silica, Sodium Chloride, Sodium Glycerophosphate, Squalane, Stearic Acid, Threonine, Tocopherol, Tromethamine, Tyrosine, Urea, Uric Acid, Valine, Water/Aqua/Eau",https://cdn1.skinsafeproducts.com/photo/DAC72905CAF9E8/large_1744480564.pngpng?1744480564,https://www.skinsafeproducts.com/aestura-atobarrier-hydro-essence-6-76-fl-oz-200-ml
1401-1600.csv,"Aestura Atobarrier Hydro Soothing Cream, Ceramide, 2.02 fl oz/60 mL",AESTURA,Face,Creams,"1,2-Hexanediol, Acrylates / C10-30 Alkyl Acrylate Crosspolymer, Acrylates/Ammonium Methacrylate Copolymer, Alanine, Ammonium Acryloyldimethyltaurate / Vp Copolymer, Arachidic Acid, Arginine, Cetearyl Alcohol, Cholesterol, Citrulline, Dicaprylyl Carbonate, Disodium Edta, Ethylhexylglycerin, Glutamic Acid, Glycerin, Glyceryl Caprylate, Glyceryl Stearate, Glycogen, Histidine Hcl, Hydrogenated Lecithin, Hydrogenated Polyisobutene, Hydroxyethyl Acrylate / Sodium Acryloyldimethyl Taurate Copolymer, Hydroxypropyl Bispalmitamide Mea, Lysine Hcl, Mannitol, Methyl Trimethicone, Myristic Acid, Palmitic Acid, Pca, Phenyl Trimethicone, Polyglyceryl-3 Methylglucose Distearate, Propanediol, Serine, Silica, Sorbitan Isostearate, Stearic Acid, Sucrose, Threonine, Tocopherol, Trehalose, Tromethamine, Water / Aqua / Eau",https://cdn1.skinsafeproducts.com/photo/AAF4A80F992A37/large_1725947591.pngpng?1725947591,https://www.skinsafeproducts.com/aestura-atobarrier-hydro-soothing-cream-ceramide-2-02-fl-oz-60-ml
1401-1600.csv,"Aestura Atobarrier 365 Body Lotion, 13.52 fl oz/400 mL",AESTURA,Body,Lotions,"1,2-Hexanediol, Acetyl Glucosamine, Acrylates/Ammonium Methacrylate Copolymer, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Arachidic Acid, Bis-Hydroxyethoxypropyl Dimethicone, Butylene Glycol, C12-20 Alkyl Glucoside, C14-22 Alcohols, Caesalpinia Sappan Stem Powder, Carbomer, Ceramide Np, Cetearyl Alcohol, Cholesterol, Copernicia Cerifera (Carnauba) Wax, Disodium Edta, Ethylhexylglycerin, Gluconolactone, Glucose, Glycerin, Glyceryl Caprylate, Glyceryl Stearate, Glyceryl Stearate Citrate, Hydrogenated Lecithin, Hydrogenated Poly(C6-14 Olefin), Hydrogenated Vegetable Oil, Hydroxypropyl Bispalmitamide Mea, Hydroxypropyl Starch Phosphate, Lauric Acid, Mannitol, Myristic Acid, Oenothera Biennis (Evening Primrose) Oil, Oleic Acid, Palmitic Acid, Panthenol, Pentaerythrityl Tetraethylhexanoate, Phenyl Trimethicone, Polyglyceryl-10 Stearate, Polyglyceryl-3 Methylglucose Distearate, Propanediol, Silica, Squalane, Stearic Acid, Synthetic Wax, Thymol Trimethoxycinnamate, Tocopherol, Tromethamine, Water/Aqua/Eau, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/6608680823F8CA/large_1757911956.pngpng?1757911956,https://www.skinsafeproducts.com/aestura-atobarrier-365-body-lotion-13-52-fl-oz-400-ml
201-400.csv,"Aestura Atobarrier365 Cooling Hydro Soothing Cream, 2.03 oz/60 mL",AESTURA,Face,Creams,"1,2-Hexanediol, Acrylates / C10-30 Alkyl Acrylate Crosspolymer, Acrylates/Ammonium Methacrylate Copolymer, Alanine, Ammonium Acryloyldimethyltaurate / Vp Copolymer, Arachidic Acid, Arginine, Cetearyl Alcohol, Cholesterol, Citrulline, Dicaprylyl Carbonate, Disodium Edta, Ethylhexylglycerin, Glutamic Acid, Glycerin, Glyceryl Caprylate, Glyceryl Stearate, Glycogen, Histidine Hcl, Hydrogenated Lecithin, Hydrogenated Polyisobutene, Hydroxyethyl Acrylate / Sodium Acryloyldimethyl Taurate Copolymer, Hydroxypropyl Bispalmitamide Mea, Lysine Hcl, Mannitol, Methyl Trimethicone, Myristic Acid, Palmitic Acid, Pca, Phenyl Trimethicone, Polyglyceryl-3 Methylglucose Distearate, Propanediol, Serine, Silica, Sorbitan Isostearate, Stearic Acid, Sucrose, Threonine, Tocopherol, Trehalose, Tromethamine, Water / Aqua / Eau",https://cdn1.skinsafeproducts.com/photo/A106BA7E77FF13/large_1750825765.pngpng?1750825765,https://www.skinsafeproducts.com/aestura-atobarrier365-cooling-hydro-soothing-cream-2-03-oz-60-ml
