File,product_name,brand,usage_type,category,ingredients,image_url,product_url
1-200.csv,"Beauty of Joseon Dynasty Cream, 1.69 fl oz/50 mL",Beauty of Joseon,Face,Creams,"1,2-Hexanediol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Adenosine, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Butylene Glycol, Butylene Glycol Dicaprylate/Dicaprate, Caprylic/Capric Triglyceride, Carthamus Tinctorius (Safflower) Seed Oil, Ceramide Np, Cetearyl Olivate, Coptis Japonica Root Extract, Disodium Edta, Ethylhexylglycerin, Glycerin, Glyceryl Acrylate/Acrylic Acid Copolymer, Honey Extract, Hyaluronic Acid, Hydrogenated Coconut Oil, Hydrogenated Lecithin, Hydrogenated Polydecene, Hydrolyzed Hyaluronic Acid, Lycium Chinense Fruit Extract, Niacinamide, Oryza Sativa (Rice) Bran Water, Panax Ginseng Root Water, Propanediol, Raphanus Sativus (Radish) Seed Extract, Sodium Hyaluronate, Sorbitan Olivate, Squalane, Theobroma Cacao (Cocoa) Seed Extract, Tromethamine, Water, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/E4E9C0E746B1EB/large_1693784340.jpeg?1693784340,https://www.skinsafeproducts.com/beauty-of-joseon-dynasty-cream-1-69-fl-oz-50-ml
1-200.csv,"Beauty Of Joseon Centella Asiatica Calming Mask, 0.84 fl oz/25 mL, Pack Of 10",Beauty of Joseon,Skin Treatments,Facial Masks,"1,2-Hexanediol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Adenosine, Anthemis Nobilis Flower Oil, Arginine, Artemisia Princeps Leaf Extract, Butylene Glycol, Camellia Sinensis Leaf Extract, Carrageenan, Centella Asiatica Extract*, Disodium Edta, Ethylhexylglycerin, Glycereth-26, Helianthus Annuus (Sunflower) Seed Oil, Hyaluronic Acid, Hydrolyzed Hyaluronic Acid, Hydroxyacetophenone, Hydroxyethylcellulose, Lycium Chinense Fruit Extract, Niacinamide, Panax Ginseng Root Extract, Panthenol, Polyglyceryl-4 Caprate, Polyglyceryl-6 Caprylate, Portulaca Oleracea Extract, Propanediol, Sodium Hyaluronate, Water",https://cdn1.skinsafeproducts.com/photo/53C18D8E9563A5/large_1716957831.pngpng?1716957831,https://www.skinsafeproducts.com/beauty-of-joseon-centella-asiatica-calming-mask-0-84-fl-oz-25-ml-pack-of-10
1-200.csv,"Beauty of Joseon Refreshing Pore Mask, Red Bean 4.73 fl oz/140 mL",Beauty of Joseon,Skin Care,Pore Treatments,"1,2-Hexanediol, Caprylic/Capric Triglyceride, Caprylyl/Capryl Glucoside, Cetearyl Olivate, Cetyl Alcohol, Ci 77491, Ethylhexylglycerin, Fragaria Chiloensis (Strawberry) Fruit Extract, Glycerin, Glyceryl Stearate Se, Hectorite, Hedera Helix (Ivy) Leaf/Stem Extract, Kaolin, Phaseolus Angularis Seed Extract, Phaseolus Angularis Seed Powder, Polyisobutene, Pyrus Communis (Pear) Fruit Extract, Pyrus Malus (Apple) Leaf Extract, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Sorbitan Oleate, Sorbitan Olivate, Triethoxycaprylylsilane, Ultramarines, Water",https://cdn1.skinsafeproducts.com/photo/A4E2C21650C25C/large_1705453784.jpeg?1705453784,https://www.skinsafeproducts.com/beauty-of-joseon-refreshing-pore-mask-red-bean-4-73-fl-oz-140-ml
1-200.csv,"Beauty Of Joseon Calming Serum, Green Tea + Panthenol, 1.01 fl oz/30 mL",Beauty of Joseon,Skin Treatments,Serums,"1,2-Hexanediol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Allantoin, Artemisia Capillaris Extract, Betaine, Butylene Glycol, Camellia Sinensis Leaf Water, Clitoria Ternatea Flower Extact, Coptis Japonica Root Extract, Dipotassium Glycyrrhizate, Ethylhexylglycerin, Garcinia Mangostana Peel Extract, Glycerin, Glyceryl Acrylate/Acrylic Acid Copolymer, Malt Extract, Methyl Propanediol, Panthenol, Polyquaternium-51, Punica Granatum Extract, Sodium Hyaluronate, Tromethamine, Water",https://cdn1.skinsafeproducts.com/photo/664BCF46300719/large_1701396906.jpeg?1701396906,https://www.skinsafeproducts.com/beauty-of-joseon-calming-serum-green-tea-panthenol-1-01-fl-oz-30-ml
1-200.csv,"Beauty Of Joseon Apricot Blossom Peeling Gel, 3.38 fl oz/100 mL",Beauty of Joseon,Acids & Peels,Peels,"1,2-Hexanediol, Allantoin, Arginine, Butylene Glycol, Camellia Sinensis Leaf Extract, Carbomer, Cellulose, Disodium Edta, Ethylhexylglycerin, Houttuynia Cordata Extract, Methylpropanediol, Nelumbo Nucifera Flower Extract, Oryza Sativa (Rice) Extract, Prunus Mume Fruit Extract, Pyrus Malus (Apple) Fruit Extract, Sorbitol, Vaccinium Angustifolium (Blueberry) Fruit Extract, Water",https://cdn1.skinsafeproducts.com/photo/EEBF4D32A6BDAF/large_1696653053.jpeg?1696653053,https://www.skinsafeproducts.com/beauty-of-joseon-apricot-blossom-peeling-gel-3-38-fl-oz-100-ml
1-200.csv,"Beauty Of Joseon Red Bean Water Gel, 3.38 fl oz/100 mL",Beauty of Joseon,Face,Gels,"1,2-Hexanediol, Acetyl Hexapeptide-8 (Argireline), Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Alanine, Allantoin, Ammonium Acryloyldimethyl Taurate/Vp Copolymer, Arginine, Aspartic Acid, Beta-Glucan, Betaine, Butylene Glycol, C12-14 Pareth-12, Caprylyl Glycol, Citric Acid, Cyanocobalamin, Cysteine, Dimethicone Crosspolymer, Dimethicone/Vinyl Dimethicone Crosspolymer, Dioscorea Japonica Root Extract, Dipotassium Glycyrrhizate, Disodium Edta, Ethylhexyl Glycerin, Glucose, Glutamic Acid, Glycerin, Glyceryl Acrylate/Acrylic Acid Copolymer, Glyceryl Glucoside, Glycine, Helianthus Annuus (Sunflower) Seed Oil, Histidine, Hydrolyzed Corn Starch, Isoleucine, Leucine, Lysine, Magnesium Ascorbyl Phosphate, Maltodextrin, Methionine, Methyl Trimethicone, Panthenol, Phaseolus Angularis Seed Extract, Phenylalanine, Polyquaternium-51, Proline, Serine, Sh-Oligopeptide-1, Sh-Oligopeptide-2, Sh-Polypeptide-1, Sodium Citrate, Sucrose, Threonine, Tromethamine, Tyrosine, Valine, Vitamin E (A-Tocopherol), Water, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/54B6E4C1931F44/large_1693645970.jpeg?1693645970,https://www.skinsafeproducts.com/beauty-of-joseon-red-bean-water-gel-3-38-fl-oz-100-ml
1-200.csv,"Beauty of Joseon Light On Serum Centella + Vita C, 30 mL",Beauty of Joseon,Skin Treatments,Serums,"1,2-Hexanediol, 3-O-Ethyl Ascorbic Acid, Adenosine, Ammonium Acryloyldimethyltaurate/Beheneth-25 Methacrylate Crosspolymer, Arginine, Ascorbic Acid Polypeptide, Beta-Glucan, Betaine, Bisabolol, Brassica Oleracea Acephala Leaf Extract, Butylene Glycol, Carbomer, Centella Asiatica Extract, Cetearyl Alcohol, Cetearyl Olivate, Cetyl Ethylhexanoate, Citrus Unshiu Peel Extract, Dicaprylyl Carbonate, Dimethicone/Vinyl Dimethicone Crosspolymer, Eclipta Prostrata Leaf Extract, Ethylhexylglycerin, Fructooligosaccharides, Glycerin, Hydrogenated Lecithin, Hydrolyzed Gardenia Florida Extract, Hydrolyzed Hyaluronic Acid, Hydrolyzed Jojoba Esters, Hydroxyacetophenone, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Laminaria Japonica Extract, Maltodextrin, Methyl Trimethicone, Panthenol, Phellodendron Amurense Bark Extract, Polyglyceryl-10 Myristate, Potassium Cetyl Phosphate, Propanediol, Silica, Sorbitan Isostearate, Sorbitan Olivate, Water, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/82092E4D1E7F0A/large_1696653082.jpeg?1696653082,https://www.skinsafeproducts.com/beauty-of-joseon-light-on-serum-centella-vita-c-30-ml
1-200.csv,"Beauty of Joseon Revive Serum, Ginseng + Snail Mucin, 1.01 fl oz/30 mL",Beauty of Joseon,Skin Treatments,Serums,"1,2-Hexanediol, Adenosine, Butylene Glycol, Carbomer, Centella Asiatica Extract, Dipropylene Glycol, Disodium Edta, Forsythia Suspensa Fruit Extract, Ganoderma Lucidum (Mushroom) Extract, Glycerin, Glyceryl Acrylate/Acrylic Acid Copolymer, Hydrolyzed Hyaluronic Acid, Lonicera Japonica (Honeysuckle) Flower Extract*, Malt Extract, Niacinamide, Panax Ginseng Root Extract, Panax Ginseng Root Water, Phellinus Linteus Extract, Propanediol, Scutellaria Baicalensis Root Extract, Snail Secretion Filtrate, Sodium Acetylated Hyaluronate, Sodium Hyaluronate, Sodium Polyacrylate, Trehalose, Tromethamine, Water, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/9ACFD0482ADDDC/large_1693869762.jpeg?1693869762,https://www.skinsafeproducts.com/beauty-of-joseon-revive-serum-ginseng-snail-mucin-1-01-fl-oz-30-ml
1-200.csv,"Beauty of Joseon Green Plum Refreshing Cleanser, 3.38 fl oz/100 mL",Beauty of Joseon,Facial Cleansers,Facial Washes,"1,2-Hexanediol, Butylene Glycol, Camellia Sinensis Leaf Extract, Caprylyl Glycol, Citric Acid, Clitoria Ternatea Flower Extact, Cocamidopropyl Hydroxysultaine, Coconut Acid, Disodium Edta, Ethylhexylglycerin, Garcinia Mangostana Peel Extract, Glycerin, Guar Hydroxypropyltrimonium Chloride, Houttuynia Cordata Extract, Nelumbo Nucifera Flower Extract, Oryza Sativa (Rice) Extract, Phaseolus Radiatus Seed Extract, Propylene Glycol Laurate, Prunus Mume Fruit Water, Punica Granatum Extract, Sodium Chloride, Sodium Citrate, Sodium Cocoyl Isethionate, Sodium Isethionate, Vaccinium Angustifolium (Blueberry) Fruit Extract, Water",https://cdn1.skinsafeproducts.com/photo/923AB76B5A5042/large_1693645920.jpeg?1693645920,https://www.skinsafeproducts.com/beauty-of-joseon-green-plum-refreshing-cleanser-3-38-fl-oz-100-ml
1-200.csv,"Beauty of Joseon Green Plum Refreshing Toner, AHA + BHA, 5.07 fl oz/150 mL",Beauty of Joseon,Toners & Astringents,Toners,"1,2-Hexanediol, Butylene Glycol, C12-14 Pareth-12, Diphenyl Dimethicone, Dipropylene Glycol, Ethylhexylglycerin, Fructose, Glucose, Glycerin, Glycolic Acid, Hydrogenated Lecithin, Melia Azadirachta Flower Extract, Melia Azadirachta Leaf Extract, Oryza Sativa (Rice) Bran Water, Panax Ginseng Root Extract, Phaseolus Radiatus Seed Extract, Polyglyceryl-10 Oleate, Portulaca Oleracea Extract, Prunus Mume Fruit Water, Salicylic Acid, Sodium Pca, Tetrasodium Edta, Tocopherol, Triethylhexanoin, Tromethamine, Water",https://cdn1.skinsafeproducts.com/photo/0052789FE17A1E/large_1689931474.pngpng?1689931474,https://www.skinsafeproducts.com/beauty-of-joseon-green-plum-refreshing-toner-aha-bha-5-07-fl-oz-150-ml
