File,product_name,brand,usage_type,category,ingredients,image_url,product_url
1-200.csv,"Caudalie Vinoperfect Brightening Eye Cream, 15 mL/0.5 fl oz",Caudalie,"Eye Cream, Gel, Oils, & Serum",Creams,"Aqua/Water/Eau, Butylene Glycol, Caffeine, Caprylic/Capric Triglyceride, Carbomer, Cetearyl Alcohol, Cetearyl Glucoside, Cetyl Alcohol, Coco-Caprylate Caprate, Glyceryl Caprylate, Helianthus Annuus (Sunflower) Seed Oil, Hydrogenated Vegetable Oil, Lecithin, Niacinamide, Oleic Acid, Palmitoyl Grapevine Shoot Extract, Potassium Cetyl Phosphate, Sodium Dehydroacetate, Sodium Hydroxide, Sodium Phytate, Squalane, Terminalia Arjuna Extract, Tocopherol, Triheptanoin, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/B6CB9C40CC961B/large_1683762598.jpeg?1683762598,https://www.skinsafeproducts.com/caudalie-vinoperfect-brightening-eye-cream-15-ml-0-5-fl-oz
1-200.csv,"Caudalie Instant Detox Mask, 2.5 fl oz/75mL",Caudalie,Skin Treatments,Facial Masks,"1,2-Hexanediol, Acacia Senegal Gum, Alcohol, Algin, Anthemis Nobilis Flower Oil, Aqua/Water/Eau, Bentonite, Benzyl Alcohol, Caprylyl Glycol, Carbomer, Ci 77491 (Iron Oxides), Ci 77499 (Iron Oxides), Citric Acid, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Coffea Arabica (Coffee) Seed Extract, Coffea Robusta Seed Extract, Commiphora Myrrha Oil, Cupressus Sempervirens Oil, Dehydroacetic Acid, Glycerin, Kaolin, Lactic Acid, Lavandula Angustifolia (Lavender) Oil, Limonene, Linalool, Papain, Potassium Sorbate, Salvia Sclarea (Clary) Oil, Santalum Album (Sandalwood) Oil, Sodium Benzoate, Sodium Citrate, Sodium Dehydroacetate, Vitis Vinifera (Grape) Fruit Extract, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/A2B1D44EC5E801/large_1733599629.jpeg?1733599629,https://www.skinsafeproducts.com/caudalie-instant-detox-mask-2-5-fl-oz-75ml
1-200.csv,"Caudalie VinoHydra Gel Moisturizer, Hyaluronic Acid + Grape Water & Aloe Vera, 2.0 fl oz/60 mL",Caudalie,Face,Gels,"Aloe Barbadensis Leaf Juice Powder, Aqua/Water/Eau, Benzyl Alcohol, Caprylic/Capric Triglyceride, Caprylyl Glycol, Carbomer, Cellulose Gum, Citric Acid, Dehydroacetic Acid, Glycerin, Helianthus Annuus (Sunflower) Seed Oil, Isostearyl Isostearate, Microcrystalline Cellulose, Octyldodecyl Myristate, Parfum (Fragrance), Potassium Sorbate, Sodium Benzoate, Sodium Carboxymethyl Beta-Glucan, Sodium Hyaluronate, Sodium Hydroxide, Sodium Phytate, Squalane, Tocopherol, Vitis Vinifera (Grape) Fruit Water, Vitis Vinifera (Grape) Juice, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/7C86E12AC3AD89/large_1733058851.jpeg?1733058851,https://www.skinsafeproducts.com/caudalie-vinohydra-gel-moisturizer-hyaluronic-acid-grape-water-aloe-vera-2-0-fl-oz-60-ml
1-200.csv,"Caudalie Vinohydra Hyaluronic Serum, 1 fl oz/30 mL",Caudalie,Skin Treatments,Serums,"Aqua/Water/Eau, Butylene Glycol, Caprylyl Glycol, Citric Acid, Disodium Acetyl Glucosamine Phosphate, Ethylhexyl Palmitate, Glycerin, Hyaluronic Acid, Myristyl Malate Phosphonic Acid, Palmitoyl Grape Seed Extract, Parfum (Fragrance), Polyacrylate Crosspolymer-6, Potassium Sorbate, Sodium Benzoate, Sodium Carboxymethyl Beta-Glucan, Sodium Hydroxide, Sodium Phytate, Sorbitan Laurate, Sorbitan Oleate, Squalane, Vitis Vinifera (Grape) Fruit Water, Vitis Vinifera (Grape) Juice, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/DE8B23CB6C0884/large_1723460633.jpeg?1723460633,https://www.skinsafeproducts.com/caudalie-vinohydra-hyaluronic-serum-1-fl-oz-30-ml
1-200.csv,"Caudalie Resveratrol Lift Firming Night Cream, 1.6 fl oz/50 mL",Caudalie,Face,Nighttime Moisturizers,"Acetyl Dipeptide 1 Cetyl Ester, Adenosine, Aqua/Water/Eau, Arachidyl Alcohol, Arachidyl Glucoside, Behenyl Alcohol, Butylene Glycol, Caprylic/Capric Triglyceride, Caprylyl Glycol, Carbomer, Cetearyl Alcohol, Cetearyl Glucoside, Citric Acid, Citrus Aurantium Amara (Bitter Orange) Flower Water*, Cococaprylate/Caprate, Coumarin, Glycerin, Helianthus Annuus Sunflower Seed Oil, Hyaluronic Acid, Hydrogenated Vegetable Oil, Hydrolyzed Hyaluronic Acid, Khaya Senegalensis Bark Extract, Limonene, Linalool, Maltodextrin, Nicotiana Benthamiana Hexapeptide-40 Sh-Polypeptide-47, Paeonia Lactiflora Root Extract, Palmitoyl Grapevine Shoot Extract, Parfum Fragrance, Pentylene Glycol, Potassium Sorbate, Sodium Benzoate, Sodium Hydroxide, Squalane, Tilia Platyphyllos Flower Extract, Tocopheryl Acetate, Triheptanoin, Verbena Officinalis Leaf Extract, Vitis Vinifera Grape Seed Oil, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/D5483966B8910A/large_1723531621.pngpng?1723531621,https://www.skinsafeproducts.com/caudalie-resveratrol-lift-firming-night-cream-1-6-fl-oz-50-ml-0
1-200.csv,"Caudalie Instant Detox Mask, 1.1 fl oz/35 mL",Caudalie,Skin Treatments,Facial Masks,"1,2-Hexanediol, Acacia Senegal Gum, Alcohol, Algin, Anthemis Nobilis Flower Oil, Aqua/Water/Eau, Bentonite, Benzyl Alcohol, Caprylyl Glycol, Carbomer, Citric Acid, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Coffea Arabica (Coffee) Seed Extract, Coffea Robusta Seed Extract, Commiphora Myrrha Oil, Cupressus Sempervirens Oil, Dehydroacetic Acid, Glycerin, Iron Oxides (Ci 77491,Ci 77499), Kaolin, Lactic Acid, Lavandula Angustifolia (Lavender) Oil, Limonene, Linalool, Papain, Potassium Sorbate, Salvia Sclarea (Clary) Oil, Santalum Album (Sandalwood) Oil, Sodium Benzoate, Sodium Citrate, Sodium Dehydroacetate, Vitis Vinifera (Grape) Fruit Extract, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/34BA7CDB920177/large_1723460748.jpeg?1723460748,https://www.skinsafeproducts.com/caudalie-instant-detox-mask-1-1-fl-oz-35-ml
1-200.csv,"Caudalie VinoHydra Sorbet Cream Moisturizer, Hyaluronic Acid+Grape Water&Chamomile, 2.0 fl oz/60 mL",Caudalie,Face,Creams,"Acetyl Tetrapeptide-15, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Alcohol, Aqua/Water/Eau, Behenyl Alcohol, Biosaccharide Gum-1, Butylene Glycol, Butyrospermum Parkii (Shea) Butter Extract, Caprylyl Glycol, Chamomilla Recutita (Matricaria) Flower Extract, Citric Acid, Dicaprylyl Ether, Erythritol, Glycerin, Glyceryl Caprylate, Glyceryl Stearate, Glycine Soja (Soybean) Sterols, Helianthus Annuus (Sunflower) Seed Oil, Hexyldecanol, Hexyldecyl Laurate, Homarine Hcl, Lecithin, Mannitol, Palmitoyl Grape Seed Extract, Parfum (Fragrance), Potassium Sorbate, Sodium Anisate, Sodium Benzoate, Sodium Carboxymethyl Beta-Glucan, Sodium Citrate, Sodium Hyaluronate, Sodium Hydroxide, Sodium Levulinate, Sodium Phytate, Tocopherol, Vitis Vinifera (Grape) Fruit Water, Vitis Vinifera (Grape) Juice, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/5D5CFBAA1DBA31/large_1723460666.jpeg?1723460666,https://www.skinsafeproducts.com/caudalie-vinohydra-sorbet-cream-moisturizer-hyaluronic-acid-grape-water-chamomile-2-0-fl-oz-60-ml
1-200.csv,"Caudalie VinoHydra Deep Hydration Moisturizer, Hyaluronic Acid+Grape Water & Shea butter, 2.0 fl oz/60 mL",Caudalie,Face,Creams,"Aqua/Water/Eau, Butyrospermum Parkii (Shea) Butter Extract, Caprylyl Glycol, Carbomer, Cetearyl Alcohol, Cetearyl Glucoside, Cetearyl Wheat Straw Glycosides, Citric Acid, Coco-Caprylate/Caprate, Ethyl Oleate, Glycerin, Helianthus Annuus (Sunflower) Seed Oil, Hydrogenated Castor Oil/Sebacic Acid Copolymer, Hydrogenated Olive Oil Stearyl Esters, Palmitoyl Grape Seed Extract, Parfum (Fragrance), Potassium Cetyl Phosphate, Potassium Sorbate, Sodium Benzoate, Sodium Hyaluronate, Sodium Hydroxide, Squalane, Tocopherol, Tocopheryl Acetate, Vitis Vinifera (Grape) Fruit Water, Vitis Vinifera (Grape) Juice",https://cdn1.skinsafeproducts.com/photo/EFDD41A1156408/large_1719694933.jpeg?1719694933,https://www.skinsafeproducts.com/caudalie-vinohydra-deep-hydration-moisturizer-hyaluronic-acid-grape-water-shea-butter-2-0-fl-oz-60-ml
1-200.csv,"Caudalie Resveratrol Lift Retinol Alternative Firming Cashmere Moisturizer Cream, 1.6 fl oz/50 mL",Caudalie,Face,Creams,"Acetyl Dipeptide-1 Cetyl Ester, Adenosine, Aqua/Water/Eau, Benzyl Alcohol, Butylene Glycol, Butyrospermum Parkii (Shea) Butter Extract, C12-16 Alcohols, Caprylic/Capric Triglyceride, Caprylyl Glycol, Cetearyl Alcohol, Cetearyl Glucoside, Ci 77891 (Titanium Dioxide), Citric Acid, Coco-Caprylate/Caprate, Coumarin, Dehydroacetic Acid, Glycerin, Helianthus Annuus (Sunflower) Seed Oil, Hyaluronic Acid, Hydrogenated Lecithin, Hydrolyzed Hyaluronic Acid, Khaya Senegalensis Bark Extract, Limonene, Linalool, Maltodextrin, Mica, Microcrystalline Cellulose, Nicotiana Benthamiana Hexapeptide-40 Sh-Polypeptide-47, Octyldodecyl Myristate, Paeonia Lactiflora Root Extract, Palmitic Acid, Palmitoyl Grapevine Shoot Extract, Parfum (Fragrance), Pentylene Glycol, Polyacrylate Crosspolymer-6, Potassium Cetyl Phosphate, Silica, Sodium Hydroxide, Sodium Phytate, Tin Oxide, Tocopherol, Vitis Vinifera (Grape) Seed Oil, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/8AF8FE6B373F53/large_1708059447.jpeg?1708059447,https://www.skinsafeproducts.com/caudalie-resveratrol-lift-retinol-alternative-firming-cashmere-moisturizer-cream-1-6-fl-oz-50-ml
1-200.csv,"Caudalie Vinoclean Instant Foaming Cleanser, 1.6 fl oz/50 mL",Caudalie,Facial Cleansers,Facial Foaming Cleansers,"Aqua/Water/Eau, Butylene Glycol, Caprylyl Glycol, Caprylyl/Capryl Glucoside, Chamomilla Recutita (Matricaria) Flower Extract, Citric Acid, Citronellol, Cocamidopropyl Betaine, Coco-Betaine, Glycerin, Linalool, Parfum (Fragrance), Potassium Sorbate, Salvia Officinalis (Sage) Leaf Extract, Sodium Cocoyl Glutamate, Sodium Cocoyl Isethionate, Sodium Methyl Cocoyl Taurate, Sodium Phytate, Vitis Vinifera (Grape) Fruit Extract",https://cdn1.skinsafeproducts.com/photo/3E953DB705654F/large_1707898143.pngpng?1707898143,https://www.skinsafeproducts.com/caudalie-vinoclean-instant-foaming-cleanser-1-6-fl-oz-50-ml
