File,product_name,brand,usage_type,category,ingredients,image_url,product_url
1-200.csv,"CeraVe Moisturizing Cream, Normal to Dry Skin,16 oz/453 g",CeraVe,Body,Creams,"Aqua/Water/Eau, Behentrimonium Methosulfate, Caprylic/Capric Triglyceride, Carbomer, Ceramide Ap, Ceramide Eop, Ceramide Np, Ceteareth-20, Cetearyl Alcohol, Cetyl Alcohol, Cholesterol, Dimethicone, Dipotassium Phosphate, Disodium Edta, Ethylhexylglycerin, Glycerin, Petrolatum, Phenoxyethanol, Phytosphingosine, Potassium Phosphate, Sodium Hyaluronate, Sodium Lauroyl Lactylate, Tocopherol, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/4F89AFD1CD4474/large_1730632024.pngpng?1730632024,https://www.skinsafeproducts.com/cerave-moisturizing-cream-3-essential-ceramides-16-oz-453-g
1-200.csv,"Cerave Daily Moisturizing Lotion, 12 fl oz/355 mL",CeraVe,Body,Lotions,"Aqua/Water/Eau, Behentrimonium Methosulfate, Caprylic/Capric Triglyceride, Carbomer, Ceramide Ap, Ceramide Eop, Ceramide Np, Ceteareth-20, Cetearyl Alcohol, Cetyl Alcohol, Cholesterol, Dimethicone, Dipotassium Phosphate, Disodium Edta, Glycerin, Hydrolyzed Hyaluronic Acid, Methylparaben, Phytosphingosine, Polyglyceryl-3 Diisostearate, Polysorbate 20, Potassium Phosphate, Propylparaben, Sodium Lauroyl Lactylate, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/F9937783715001/large_1703303931.pngpng?1703303931,https://www.skinsafeproducts.com/cerave-daily-moisturizing-lotion-12-fl-oz-355-ml-0
1-200.csv,"CeraVe Foaming Facial Cleanser, Normal to Oily Skin, 16 fl oz/473 mL",CeraVe,Facial Cleansers,Facial Foaming Cleansers,"Carbomer, Ceramide Ap, Ceramide Eop, Ceramide Np, Cholesterol, Citric Acid, Cocamidopropyl Hydroxysultaine, Disodium Edta, Glycerin, Hydrolyzed Hyaluronic Acid, Methylparaben, Niacinamide, Peg-150 Pentaerthrityl Tetrastearate, Peg-6 Caprylic/Capric Glycerides, Phytosphingosine, Propylene Glycol (1,2-Propanediol), Propylparaben, Sodium Chloride, Sodium Lauroyl Lactylate, Sodium Lauroyl Sarcosinate (Multisource), Sodium Methyl Cocoyl Taurate, Tetrasodium Edta, Water\Aqua\Eau, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/B0F6A1BAB91D87/large_1594829229.png?1594829229,https://www.skinsafeproducts.com/cerave-foaming-facial-cleanser-normal-to-oily-skin-12-fl-oz
1-200.csv,"CeraVe Acne Control Gel Treatment, Aha & Bha, 1.35 fl oz/40 mL",CeraVe,Skin Care,Acne Care (OTC),"Behentrimonium Methosulfate, Benzoic Acid, Caprylyl Glycol, Carbomer, Ceramide Ap, Ceramide Eop, Ceramide Np, Cetearyl Alcohol, Chlorphenesin, Cholesterol, Disodium Edta, Glycerin, Glycolic Acid, Hydroxypropyl Guar, Lactic Acid, Niacinamide, Phytosphingosine, Salicylic Acid, Sodium Hyaluronate, Sodium Hydroxide, Sodium Lauroyl Lactylate, Triethyl Citrate, Water, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/91C569A9311FCC/large_1731407610.pngpng?1731407610,https://www.skinsafeproducts.com/cerave-acne-control-gel-treatment-aha-bha-1-35-fl-oz-40-ml
1-200.csv,"CeraVe Intensive Moisturizing Lotion, Dry to Very Dry Skin, 8 fl oz/237 mL",CeraVe,Body,Lotions,"Acrylamide/Sodium Acryloyldimethyltaurate Copolymer, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Alanine, Aqua / Water / Eau, Behentrimonium Methosulfate, Benzoic Acid, Butyrospermum Parkii Butter / Shea Butter, C15-19 Alkane, Caprylyl Glycol, Carbomer, Ceramide Ap, Ceramide Eop, Ceramide Np, Cetearyl Alcohol, Cholesterol, Dimethicone, Glycerin, Glyceryl Stearate, Glycine, Hydroxyacetophenone, Hydroxyethyl Urea, Hydroxyethylpiperazine Ethane Sulfonic Acid, Isohexadecane, Isopropyl Palmitate, Myristic Acid, Octyldodecanol, Palmitic Acid, Peg-100 Stearate, Peg-20 Methyl Glucose Sesquistearate, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Phytosphingosine, Polysorbate 80, Propanediol, Serine, Sodium Hyaluronate, Sodium Hydroxide, Sodium Lauroyl Lactylate, Sodium Pca, Sorbitan Oleate, Sorbitan Tristearate, Stearic Acid, Tocopherol, Triethyl Citrate, Trisodium Ethylenediamine Disuccinate, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/320924D6EC3639/large_1727820449.jpeg?1727820449,https://www.skinsafeproducts.com/cerave-intensive-moisturizing-lotion-5-hydro-urea-8-fl-oz-237-ml
1-200.csv,"CeraVe Oil Control Moisturizing Gel-Cream, 3 fl oz/89 mL",CeraVe,Face,Creams,"Aqua/ Water/Eau, Behentrimonium Methosulfate, Benzoic Acid, C12-20 Alkyl Glucoside, C14-22 Alcohols, Caprylyl Glycol, Carbomer, Ceramide Ap, Ceramide Eop, Ceramide Np, Cetearyl Alcohol, Cetearyl Isononanoate, Cholesterol, Citric Acid, Glycerin, Isopropyl Myristate, Niacinamide, Phenoxyethanol, Phytosphingosine, Polyacrylate Crosspolymer-6, Silica, Sodium Hyaluronate, Sodium Hydroxide, Sodium Lauroyl Lactylate, Triethyl Citrate, Trisodium Ethylenediamine Disuccinate, Xanthan Gum, Zea Mays Starch/Corn Starch",https://cdn1.skinsafeproducts.com/photo/66AD113526A11A/large_1723598577.jpeg?1723598577,https://www.skinsafeproducts.com/cerave-oil-control-moisturizing-gel-cream-3-fl-oz-89-ml
1-200.csv,"CeraVe Intensive Moisturizing Lotion, Dry to Very Dry Skin, 16 fl oz/473 mL",CeraVe,Face,Lotions,"Acrylamide/Sodium Acryloyldimethyltaurate Copolymer, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Alanine, Aqua/Water/Eau, Behentrimonium Methosulfate, Benzoic Acid, Butyrospermum Parkii Butter/Shea Butter, C15-19 Alkane, Caprylyl Glycol, Carbomer, Ceramide Ap, Ceramide Eop, Ceramide Np, Cetearyl Alcohol, Cholesterol, Dimethicone, Glycerin, Glyceryl Stearate, Glycine, Hydroxyacetophenone, Hydroxyethyl Urea, Hydroxyethylpiperazine Ethane Sulfonic Acid, Isohexadecane, Isopropyl Palmitate, Myristic Acid, Octyldodecanol, Palmitic Acid, Peg-100 Stearate, Peg-20 Methyl Glucose Sesquistearate, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Phytosphingosine, Polysorbate 80, Propanediol, Serine, Sodium Hyaluronate, Sodium Hydroxide, Sodium Lauroyl Lactylate, Sodium Pca, Sorbitan Oleate, Sorbitan Tristearate, Stearic Acid, Tocopherol, Triethyl Citrate, Trisodium Ethylenediamine Disuccinate, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/9B40C7452A006B/large_1722269037.jpeg?1722269037,https://www.skinsafeproducts.com/cerave-intensive-moisturizing-lotion-5-hydro-urea-16-fl-oz-473-ml
1-200.csv,"CeraVe Acne Foaming Cream Cleanser,5 fl oz/150 mL",CeraVe,Skin Care,Acne Care (OTC),"Benzoic Acid, Benzoyl Peroxide, Carbomer, Ceramide Ap, Ceramide Eop, Ceramide Np, Cholesterol, Citric Acid, Cocamidopropyl Hydroxysultaine, Diethylhexyl Sodium Sulfosuccinate, Ethylhexylglycerin, Glycerin, Glycolic Acid, Niacinamide, Phenoxyethanol, Phytosphingosine, Potassium Hydroxide, Propanediol, Propylene Glycol (1,2-Propanediol), Sodium C14-16 Olefin Sulfonate, Sodium Chloride, Sodium Citrate, Sodium Hyaluronate, Sodium Hydroxide, Sodium Lauroyl Lactylate, Tetrasodium Edta, Water, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/720C8995E7CDD2/large_1717736896.pngpng?1717736896,https://www.skinsafeproducts.com/cerave-acne-foaming-cream-cleanser-5-fl-oz-150-ml-0
1-200.csv,"CeraVe Renewing Sa Cleanser, Ceramides & Salicylic Acid, 8 fl oz/237 mL",CeraVe,"Exfoliators, Polishes, & Scrubs",Exfoliators,"Aqua/Water/Eau, Calcium Gluconate, Carbomer, Ceramide Ap, Ceramide Eop, Ceramide Np, Cholecalciferol, Cholesterol, Cocamidopropyl Hydroxysultaine, Disodium Edta, Ethylhexylglycerin, Gluconolactone, Glycerin, Hydrolyzed Hyaluronic Acid, Niacinamide, Peg-150 Pentaerythrityl Tetrastearate, Phenoxyethanol, Phytosphingosine, Salicylic Acid, Sodium Benzoate, Sodium Chloride, Sodium Lauroyl Lactylate, Sodium Lauroyl Sarcosinate, Sodium Methyl Cocoyl Taurate, Tetrasodium Edta, Xanthan Gum, Zea Mays Oil/Corn Oil",https://cdn1.skinsafeproducts.com/photo/012F9A3187A5AC/large_1714389213.pngpng?1714389213,https://www.skinsafeproducts.com/cerave-renewing-sa-cleanser-ceramides-salicylic-acid-8-fl-oz-237-ml
1-200.csv,"CeraVe Skin Renewing Eye Cream, Ceramides, Niacinamide & Caffeine, 0.5 fl oz/15 mL",CeraVe,"Eye Cream, Gel, Oils, & Serum",Creams,"Aqua / Water / Eau, Behentrimonium Methosulfate, Benzoic Acid, Butylene Glycol, Caffeine, Caprylic/Capric Triglyceride, Caprylyl Glycol, Carbomer, Ceramide Ap, Ceramide Eop, Ceramide Np, Cetearyl Alcohol, Cetearyl Ethylhexanoate, Cholesterol, Dimethicone, Glycerin, Hydrogenated Lecithin, Isopropyl Myristate, Niacinamide, Palmitoyl Tetrapeptide-7, Palmitoyl Tripeptide-1, Petrolatum, Phenoxyethanol, Phytosphingosine, Polyacrylate Crosspolymer-6, Polysorbate 20, Propanediol, Sodium Hyaluronate, Sodium Lactate, Sodium Lauroyl Lactylate, Triethyl Citrate, Trisodium Ethylenediamine Disuccinate, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/942A24D09B4013/large_1712807175.pngpng?1712807175,https://www.skinsafeproducts.com/cerave-skin-renewing-eye-cream-ceramides-niacinamide-caffeine-0-5-fl-oz-15-ml
1-200.csv,"CeraVe Ultra-Light Moisturizing Gel, 1.75 fl oz",CeraVe,Face,Gels,"Aqua / Water / Eau, Behentrimonium Methosulfate, Benzoic Acid, Biosaccharide Gum-1, Caprylyl Glycol, Carbomer, Ceramide Ap, Ceramide Eop, Ceramide Np, Cetearyl Alcohol, Chlorphenesin, Cholesterol, Dimethicone, Dimethicone Crosspolymer, Glycerin, Isononyl Isononanoate, Niacinamide, Phenoxyethanol, Phytosphingosine, Propanediol, Silica, Sodium Hyaluronate, Sodium Hydroxide, Sodium Lauroyl Lactylate, Tocopherol, Triethyl Citrate, Trisodium Ethylenediamine Disuccinate, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/1CF9230AA0B6C8/large_1690969418.pngpng?1690969418,https://www.skinsafeproducts.com/cerave-ultra-light-moisturizing-gel-weightless-fast-absorbing-1-75-fl-oz-52-ml
