File,product_name,brand,usage_type,category,ingredients,image_url,product_url
1-200.csv,"Dermalogica Phyto Nature Lifting Eye Cream, 0.5 fl oz/15 mL",Dermalogica,Eyes,Anti-Wrinkle Treatments,"1,2-Hexanediol, Acetyl Tetrapeptide-9, Allantoin, Aminomethyl Propanol, Astragalus Membranaceus Root Extract, Avena Sativa (Oat) Kernel Extract, Beta-Glucan, Bis-Ethoxydiglycol Cyclohexane 1,4-Dicarboxylate, Bisabolol, Caffeine, Camellia Sinensis Leaf Powder, Camellia Sinensis Seed Oil, Candida Bombicola/Glucose/Methyl Rapeseedate Ferment, Caprylyl Glycol, Carbomer, Carnosine, Carthamus Tinctorius (Safflower) Seed Oil, Cellulose Gum, Cetearyl Alcohol, Chenopodium Quinoa Seed Extract, Citral, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Citrus Aurantium Dulcis (Orange) Peel Oil, Citrus Limon (Lemon) Peel Oil, Dipotassium Glycyrrhizate, Glycerin, Glyceryl Stearate, Glyceryl Stearate Se, Helianthus Annuus (Sunflower) Extract, Helianthus Annuus (Sunflower) Seed Oil, Hordeum Vulgare Seed Extract, Hydrogenated Ethylhexyl Olivate, Hydrogenated Olive Oil Unsaponifiables, Hydrogenated Vegetable Oil, Hydroxyacetophenone, Lactobacillus Ferment, Lavandula Spica (Lavender) Flower/Leaf/Stem Extract, Limonene, Linalool, Litsea Cubeba Fruit Oil, Mannitol, Mentha Piperita (Peppermint) Oil, Microcrystalline Cellulose, Oryza Sativa (Rice) Bran Extract, Panthenol, Peg-100 Stearate, Pentylene Glycol, Potassium Sorbate, Propanediol, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Rosmarinus Officinalis (Rosemary) Leaf Extract, Rosmarinus Officinalis (Rosemary) Leaf Oil, Salvia Sclarea (Clary) Oil, Sodium Benzoate, Sodium Hyaluronate, Sodium Hydroxide, Sphingomonas Ferment Extract, Spilanthes Acmella Flower/Leaf/Stem Extract, Squalane, Steareth-21, Tapioca Starch, Tetrasodium Glutamate Diacetate, Tocopherol, Tocopheryl Acetate, Trehalose, Triethylhexanoin, Ubiquinone, Viola Odorata Leaf Extract, Water/Aqua/Eau, Zingiber Officinale (Ginger) Root Extract",https://cdn1.skinsafeproducts.com/photo/650BA12925E6FA/large_1729697632.jpeg?1729697632,https://www.skinsafeproducts.com/dermalogica-phyto-nature-lifting-eye-cream-0-5-fl-oz-15-ml
1-200.csv,"Dermalogica Active Moist Oil - Free Prebiotic Moisturizer, 5.1 fl oz/150 mL",Dermalogica,Face,Creams,"Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Allantoin, Aminomethyl Propanol, Arctium Lappa Root Extract, Butylene Glycol, C9-12 Alkane, Caprylic/Capric Triglyceride, Caprylyl Glycol, Cetearyl Alcohol, Citral, Citric Acid, Citrus Aurantium Bergamia (Bergamot) Fruit Extract, Citrus Limon (Lemon) Fruit Extract, Citrus Limon (Lemon) Peel Extract, Coco-Caprylate/Caprate, Cucumis Sativus (Cucumber) Fruit Extract, Dimethicone, Ethylhexylglycerin, Glyceryl Stearate, Hedera Helix (Ivy) Leaf/Stem Extract, Hydrolyzed Jojoba Esters, Isopropyl Alcohol, Lavandula Angustifolia (Lavender) Flower/Leaf/Stem Extract, Lavandula Hybrida Oil, Leuconostoc/Radish Root Ferment Filtrate, Limonene, Linalool, Malva Sylvestris (Mallow) Flower Extract, Methyl Gluceth-20, Nasturtium Officinale Flower/Leaf Extract, Palmitic Acid, Pentylene Glycol, Phenoxyethanol, Polyquaternium-10, Polysorbate 60, Propanediol, Saccharide Isomerate, Sodium Acetate, Sodium Chloride, Sodium Citrate, Sodium Hydroxide, Stearic Acid, Tetrasodium Glutamate Diacetate, Triethyl Citrate, Water/Aqua/Eau",https://cdn1.skinsafeproducts.com/photo/253CC5CD1E57FA/large_1726638027.pngpng?1726638027,https://www.skinsafeproducts.com/dermalogica-active-moist-oil-free-prebiotic-moisturizer-5-1-fl-oz-150-ml
1-200.csv,"Dermalogica Biolumin - C Vitamin C Serum, 0.34 fl oz/10 mL",Dermalogica,Skin Treatments,Serums,"Aminopropyl Ascorbyl Phosphate, Ascorbyl Methylsilanol Pectinate, Butylene Glycol, Caprylyl Glycol, Chondrus Crispus (Carrageenan), Citrus Paradisi (Grapefruit) Peel Oil, Dipotassium Glycyrrhizate, Ethoxydiglycol, Ethylhexylglycerin, Glycerin, Glyceryl Polyacrylate, Helianthus Annuus (Sunflower) Seed Oil, Lactic Acid, Limonene, Methylpropanediol, Palmitoyl Tripeptide-5, Pentylene Glycol, Phenoxyethanol, Polyacrylate-13, Polyisobutene, Polysorbate 20, Propanediol, Salvia Hispanica Seed Oil, Sodium Hyaluronate, Sodium Hydroxide, Sodium Pca, Sophora Japonica Flower Extract, Sorbitan Isostearate, Tetrasodium Glutamate Diacetate, Tocopherol, Trehalose, Water/Aqua/Eau, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/12E619A5D3CB95/large_1718486692.jpeg?1718486692,https://www.skinsafeproducts.com/dermalogica-biolumin-c-vitamin-c-serum-0-34-fl-oz-10-ml
1-200.csv,"Dermalogica Oil To Foam make-up Remover + Cleanser, 8.4 fl oz/250 mL",Dermalogica,Facial Cleansers,Facial Foaming Cleansers,"1,2-Hexanediol, Camellia Oleifera Seed Extract, Caprylyl Glycol, Citral, Citric Acid, Citrus Aurantium Dulcis (Orange) Peel Oil, Citrus Nobilis (Mandarin Orange) Peel Oil, Citrus Paradisi (Grapefruit) Peel Oil, Cocamidopropyl Hydroxysultaine, Cymbopogon Citratus Leaf Oil, Glycerin, Hippophae Rhamnoides Fruit Oil, Hydroxyacetophenone, Hydroxypropyl Guar Hydroxypropyltrimonium Chloride, Lavandula Angustifolia (Lavender) Oil, Lavandula Hybrida Oil, Limonene, Linalool, O-Cymen-5-Ol, Peg-120 Methyl Glucose Dioleate, Peg-40 Hydrogenated Castor Oil, Peg-60 Almond Glycerides, Pentylene Glycol, Polysorbate 20, Saccharide Isomerate, Sodium Citrate, Sodium Cocoyl Glutamate, Sodium Hydroxide, Tetrasodium Glutamate Diacetate, Tocopherol, Water/Aqua/Eau, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/6C5A6C28397F2C/large_1703205404.jpeg?1703205404,https://www.skinsafeproducts.com/dermalogica-oil-to-foam-make-up-remover-cleanser-8-4-fl-oz-250-ml
1-200.csv,"Dermalogica Deep Acne Liquid Patch, 0.5 fl oz/15 mL",Dermalogica,Skin Care,Acne Care (OTC),"1,2-Hexanediol, Acacia Senegal Gum, Algin, Aloe Barbadensis Leaf Extract, Beta-Glucan, Biosaccharide Gum-1, Camphor, Caprylyl Glycol, Ceteareth-12, Cetearyl Alcohol, Citronellol, Citrus Aurantium Dulcis (Orange) Peel Oil, Citrus Limon (Lemon) Peel Oil, Dimethyl Isosorbide, Geraniol, Geranium Oil, Glycerin, Glyceryl Stearate, Hydroxyacetophenone, Lactic Acid, Lavandula Angustifolia (Lavender) Oil, Lavandula Hybrida Oil, Limonene, Linalool, Maltodextrin, Myristyl Myristate, Niacinamide, O-Cymen-5-Ol, Polyacrylate Crosspolymer-6, Polylysine, Potassium Cetyl Phosphate, Propanediol, Punica Granatum Pericarp Extract, Rosmarinus Officinalis (Rosemary) Leaf Oil, Salvia Sclarea (Clary) Oil, Sodium Acrylates Crosspolymer-2, Sodium Benzoate, Sodium Hydroxide, Sulfur, Terpineol, Tetrasodium Glutamate Diacetate, Thymol, Titanium Dioxide, Water/Aqua/Eau",https://cdn1.skinsafeproducts.com/photo/57701F21E43EE9/large_1689199484.jpeg?1689199484,https://www.skinsafeproducts.com/dermalogica-deep-acne-liquid-patch-0-5-fl-oz-15-ml
1-200.csv,"Dermalogica Liquid Peelfoliant, 2 fl oz/50 mL",Dermalogica,Acids & Peels,Peels,"1,2-Hexanediol, Aminomethyl Propanol, Caprylhydroxamic Acid, Caprylic/Capric Triglyceride, Caprylyl Glycol, Ceramide Np, Cholesterol, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Citrus Nobilis (Mandarin Orange) Peel Oil, Ethoxydiglycol, Ethyl Acetate, Gamma-Undecalactone, Gluconolactone, Glycerin, Glycolic Acid, Helianthus Annuus Seed Oil / Helianthus Annuus (Sunflower) Seed Oil, Hydrogenated Lecithin, Hydrolyzed Gardenia Florida Extract, Hydroxyacetophenone, Lactic Acid, Lactobacillus/Punica Granatum Fruit Ferment Extract, Leuconostoc/Radish Root Ferment Filtrate, Maltodextrin, Oleic Acid, Oleyl Alcohol, Phytic Acid, Phytosphingosine, Polyacrylate Crosspolymer-6, Polyquaternium-51, Propanediol, Raspberry Ketone, Rosa Damascena Flower, Salicylic Acid, Sodium Hyaluronate, Sodium Pca, Stearic Acid, Succinoglycan, Sucrose Distearate, Tranexamic Acid, Trehalose, Triolein, Urea, Vaccinium Macrocarpon (Cranberry) Fruit Extract, Water/Aqua/Eau, Zanthoxylum Bungeanum Fruit Extract",https://cdn1.skinsafeproducts.com/photo/F7D6CB95380BED/large_1696451348.jpeg?1696451348,https://www.skinsafeproducts.com/dermalogica-liquid-peelfoliant-2-fl-oz-50-ml
1-200.csv,"Dermalogica Phyto Nature Oxygen Cream, 1.7 fl oz/50 mL",Dermalogica,Face,Creams,"Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Astragalus Membranaceus Root Extract, Butylene Glycol, C12-15 Alkyl Benzoate, C15-19 Alkane, Camellia Japonica Seed Oil, Caprylic/Capric Triglyceride, Caprylyl Glycol, Carthamus Tinctorius (Saffl­Ower) Seed Oil, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Citrus Aurantium Dulcis (Orange) Oil, Citrus Limon (Lemon) Peel Oil, Dicaprylyl Ether, Ethylhexylglycerin, Glycerin, Glycine Soja (Soybean) Oil, Glycine Soja (Soybean) Sterols, Glycogen, Glycolipids, Helianthus Annuus (Sunflower) Seed Oil, Hydrogenated Ethylhexyl Olivate, Hydrogenated Olive Oil Unsaponifiables, Lauryl Glucoside, Lavandula Spica (Lavender) Flower/Leaf/Stem Extract, Ligustrum Lucidum Seed Extract, Litsea Cubeba Fruit Oil, Luffa Cylindrica Root Extract, Mentha Piperita (Peppermint) Extract, Neopentyl Glycol Diheptanoate, Peg-40 Hydrogenated Castor Oil, Pentylene Glycol, Phospholipids, Phytic Acid, Polysorbate 20, Propanediol, Rosmarinus Officinalis (Rosemary) Flower/Leaf/Stem Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Salvia Sclarea (Clary) Extract, Simmondsia Chinensis (Jojoba) Seed Oil, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Sodium Benzoate, Sodium Hyaluronate, Sodium Hydroxide, Spilanthes Acmella Flower/Leaf/Stem Extract, Squalane, Tetrasodium Glutamate Diacetate, Tocopherol, Tropaeolum Majus Flower/Leaf/Stem Extract, Ubiquinone, Viola Odorata Leaf Extract, Water/Aqua/Eau, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/12BC81F261AFB4/large_1681800491.jpeg?1681800491,https://www.skinsafeproducts.com/dermalogica-phyto-nature-oxygen-cream-1-7-fl-oz-50-ml
1-200.csv,"Dermalogica Micro-Pore Mist, Minimizing + Toner, 4 fl oz/118 mL",Dermalogica,Toners & Astringents,Toners,"Benzyl Salicylate, Butylene Glycol, Camellia Oleifera (Green Tea) Leaf Extract, Chamomilla Recutita (Matricaria) Flower Extract, Citric Acid, Citronellol, Cocos Nucifera (Coconut) Fruit Extract, Cucumis Sativus (Cucumber) Fruit Extract, Dipotassium Glycyrrhizate, Glycerin, Hamamelis Virginiana (Witch Hazel) Extract, Hexyl Cinnamal, Hydrolyzed Hyaluronic Acid, Lactobacillus, Lactobacillus Ferment, Niacinamide, Panthenol, Polysorbate 20, Potassium Sorbate, Rosa Canina (Rose Hips) Fruit Extract, Sodium Hyaluronate, Water/Aqua/Eau",https://cdn1.skinsafeproducts.com/photo/FB6D058E414E3A/large_1695320963.jpeg?1695320963,https://www.skinsafeproducts.com/dermalogica-micro-pore-mist-minimizing-toner-4-fl-oz-118-ml
1-200.csv,"Dermalogica Clear Start Cooling Aqua Jelly, 2 fl oz/50 mL",Dermalogica,Face,Creams,"Aloe Barbadensis Flower Extract, Caprylhydroxamic Acid, Carbomer, Cinnamomum Zeylanicum Leaf Oil, Citrus Aurantium Dulcis (Orange) Peel Extract, Citrus Limon (Lemon) Peel Extract, Coccinia Indica Fruit Extract, Corallina Officinalis Extract, Curcuma Longa (Turmeric) Root Extract, Eugenia Caryophyllus (Clove) Flower Extract, Eugenia Caryophyllus (Clove) Leaf Oil, Glycerin, Haslea Ostrearia Extract, Maclura Cochinchinensis Leaf Prenylflavonoids, Melia Azadirachta Flower Extract, Melia Azadirachta Leaf Extract, Ocimum Basilicum (Basil) Flower/Leaf Extract, Ocimum Sanctum Leaf Extract, Phenethyl Alcohol, Propanediol, Sodium Chloride, Sodium Hyaluronate, Sodium Hydroxide, Solanum Melongena (Eggplant) Fruit Extract, Sorbitan Oleate Decylglucoside Crosspolymer, Tanacetum Annuum Flower Oil, Vaccinium Angustifolium (Blueberry) Fruit Extract, Vanilla Planifolia Fruit Extract, Water/Aqua/Eau",https://cdn1.skinsafeproducts.com/photo/499F23804CC4CA/large_1676313278.jpeg?1676313278,https://www.skinsafeproducts.com/dermalogica-clear-start-cooling-aqua-jelly-2-fl-oz-50-ml
1-200.csv,"Dermalogica Daily Microfoliant, Refill, 2.67 oz/4g",Dermalogica,"Exfoliators, Polishes, & Scrubs",Exfoliators,"Allantoin, Camellia Sinensis Leaf Extract, Citric Acid, Citrus Paradisi (Grapefruit) Peel Oil, Colloidal Oatmeal, Cyclodextrin, Disodium Lauryl Sulfosuccinate, Ginkgo Biloba Leaf Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Hydrogenated Coconut Acid, Hydrolyzed Corn Starch Hydroxyethyl Ether, Lauryl Methacrylate/Glycol Dimethacrylate Copolymer, Limonene, Magnesium Oxide, Maltodextrin, Melalueca Alternifolia (Tea Tree) Leaf Oil, Microcrystalline Cellulose, Oryza Sativa (Rice) Bran Extract, Oryza Sativa (Rice) Starch, Papain, Pca, Populus Tremuloides Bark Extract, Salicylic Acid, Sodium Cocoyl Isethionate, Sodium Dehydroacetate, Sodium Isethionate, Sodium Lauroyl Glutamate, Water/Aqua/Eau",https://cdn1.skinsafeproducts.com/photo/1211A85F5DEA52/large_1692935872.jpeg?1692935872,https://www.skinsafeproducts.com/dermalogica-daily-microfoliant-refill-2-67-oz-4g
