File,product_name,brand,usage_type,category,ingredients,image_url,product_url
1-200.csv,"Drunk Elephant B-Goldi Bright Drops, Fortify + Glisten, 1 fl oz/30 mL",Drunk Elephant,Skin Treatments,Dark Spot Corrector & Pigment Corrector,"Acrylates/Beheneth-25 Methacrylate Copolymer, Butylene Glycol, C12-15 Alkyl Benzoate, C9-12 Alkane, Calcium Chloride, Ceteareth-20, Cetearyl Alcohol, Citric Acid, Coco-Caprylate/Caprate, Diglucosyl Gallic Acid, Dipropylene Glycol, Ethylhexyl Olivate, Glycerin, Glyceryl Acrylate/Acrylic Acid Copolymer, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Iron Oxides (Ci 77491), Mica, Morus Alba Leaf Extract, Neopentyl Glycol Diheptanoate, Niacinamide, Phenoxyethanol, Plukenetia Volubilis Seed Oil, Polysorbate 60, Ppg-8-Ceteth-20, Propanediol, Quercetin, Sclerocarya Birrea Seed Oil, Sea Salt/Maris Sal/Sel Marin, Simmondsia Chinensis (Jojoba) Seed Oil, Sodium Carrageenan, Sodium Citrate, Sodium Hydroxide, Sodium Metabisulfite, Sodium Stearate, Sorbeth-30 Tetraisostearate, Sorbitan Isostearate, Sorbitan Sesquiisostearate, Squalane, Tetrasodium Glutamate Diacetate, Titanium Dioxide (Ci 77891), Tocopherol, Tocopheryl Acetate, Ubiquinone, Water/Aqua/Eau, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/BE375E7F346D7A/large_1715104662.jpegjpg?1715104662,https://www.skinsafeproducts.com/drunk-elephant-b-goldi-bright-drops-fortify-glisten-1-fl-oz-30-ml
1-200.csv,Drunk Elephant A-Gloei Virgin Marula Oil with Retinol 1 Ounce.,Drunk Elephant,Anti-Aging/Anti-Wrinkle,Anti-Wrinkle,"Ceramide Ap, Ceramide Np, Glycine Soja (Soybean) Oil, Marula Oil, Retinol, Sclerocarya Birrea Seed Oil, Tocopherol",https://cdn1.skinsafeproducts.com/photo/56BE925A2C7AE7/large_1648861756.jpeg?1648861756,https://www.skinsafeproducts.com/drunk-elephant-a-gloei-virgin-marula-oil-with-retinol-1-ounce
1-200.csv,"Drunk Elephant Virgin Marula Luxury Facial Oil, 0.5 fl oz/15 mL",Drunk Elephant,Face,Oils,Sclerocarya Birrea Seed Oil,https://cdn1.skinsafeproducts.com/photo/6283B2D3959468/large_1535690417.jpeg?1535690417,https://www.skinsafeproducts.com/drunk-elephant-virgin-marula-luxury-facial-oil-0-5-fl-oz
1-200.csv,Drunk Elephant Virgin Marula Luxury Facial Oil 1oz,Drunk Elephant,Face,Oils,Unrefined Sclerocarya Birrea (Marula) Kernel Oil,https://cdn1.skinsafeproducts.com/photo/cr765Ksn_j-JU5ukEbOMLQ/large_1454264510.jpeg?1454264510,https://www.skinsafeproducts.com/drunk-elephant-virgin-marula-luxury-facial-oil-1oz
1-200.csv,"Drunk Elephant Hydrate + Illuminate C - Luma Hydrabright Serum, Sodium Ascorbyl Phosphate & Ascorbyl Glucoside, 1 fl oz/30 mL",Drunk Elephant,Skin Treatments,Serums,"Acrylates/Beheneth-25 Methacrylate Copolymer, Ascorbyl Glucoside, C9-12 Alkane, Chondrus Crispus Extract, Citric Acid, Coco-Caprylate/Caprate, Diglucosyl Gallic Acid, Dipropylene Glycol, Gluconolactone, Glutathione, Glycerin, Isodecyl Neopentanoate, Lecithin, Neopentyl Glycol Diheptanoate, Phenoxyethanol, Phloretin, Ppg-8-Ceteth-20, Propanediol, Pullulan, Sclerocarya Birrea Seed Oil, Sclerotium Gum, Silica, Sodium Ascorbyl Phosphate, Sodium Benzoate, Sodium Citrate, Sodium Hyaluronate, Sodium Hydroxide, Sodium Metabisulfite, Sodium Polyacryloyldimethyl Taurate, Sorbeth-30 Tetraisostearate, Sorbitan Sesquiisostearate, Squalane, Tetrasodium Glutamate Diacetate, Tocopheryl Acetate, Water/Aqua/Eau, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/FFB8F0C02DDC7A/large_1730852056.jpeg?1730852056,https://www.skinsafeproducts.com/drunk-elephant-hydrate-illuminate-c-luma-hydrabright-serum-sodium-ascorbyl-phosphate-ascorbyl-glucoside-1-fl-oz-30-ml
1-200.csv,"Drunk Elephant Pekee Bar+ Juju Bar Duo, 28.3 g",Drunk Elephant,Cleansers,Bar Soaps,"Bambusa Vulgaris Leaf/Stem Extract, Benzoic Acid, Cetearyl Alcohol, Chlorphenesin, Disodium Lauryl Sulfosuccinate, Euterpe Oleracea Fruit Extract, Glycerin, Heilmoor Clay, Helianthus Annuus (Sunflower) Seed Oil, Honey/Mel/Miel, Lycium Barbarum Fruit Extract, Paraffin, Phenoxyethanol, Sclerocarya Birrea Seed Oil, Sodium Coco-Sulfate, Sorbic Acid, Titanium Dioxide (Ci 77891), Triticum Vulgare (Wheat) Starch, Vaccinium Angustifolium (Blueberry) Fruit Extract, Water/Aqua/Eau",https://cdn1.skinsafeproducts.com/photo/DA1BF2987A227D/large_1721459374.pngpng?1721459374,https://www.skinsafeproducts.com/drunk-elephant-pekee-bar-juju-bar-duo
1-200.csv,"Drunk Elephant Bouncy Brightfacial Masque Illuminateur, 1.69 fl oz/50 mL",Drunk Elephant,Skin Treatments,Facial Masks,"Acetyl Glucosamine, Allantoin, Amylopectin, Ascorbyl Palmitate, Azelaic Acid, Behenic Acid, Caprooyl Phytosphingosine, Caprooyl Sphingosine, Caprylyl Glycol, Ceramide Ap, Ceramide Eop, Ceramide Eos, Ceramide Np, Ceramide Ns, Ceteareth-25, Cetyl Alcohol, Chlorphenesin, Cholesterol, Cucurbita Pepo (Pumpkin) Seed Oil, Dextrin, Diglucosyl Gallic Acid, Dipotassium Glycyrrhizate, Ellagic Acid, Ergothioneine, Ethylhexylglycerin, Ferulic Acid, Glutathione, Glycerin, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Linoleic Acid, Linolenic Acid, Niacinamide, Oryza Sativa (Rice) Bran Oil, Pentylene Glycol, Phenoxyethanol, Phloretin, Polydextrose, Polysorbate 60, Pseudozyma Epicola/Camellia Sinensis Seed Oil Ferment Extract Filtrate, Punica Granatum Extract, Salicylic Acid, Salvia Hispanica Seed Oil, Sclerocarya Birrea Seed Oil, Sebacic Acid, Sodium Hyaluronate Crosspolymer, Sorbitan Isostearate, Squalane, Thioctic Acid, Tocopherol, Tocotrienols, Tremella Fuciformis Sporocarp Extract, Water/Aqua/Eau",https://cdn1.skinsafeproducts.com/photo/AD2D3051DEC5DA/large_1710301544.jpeg?1710301544,https://www.skinsafeproducts.com/drunk-elephant-bouncy-brightfacial-masque-illuminateur-1-69-fl-oz-50-ml
1-200.csv,"Drunk Elephant Refine + Moisturize Body Lotion, 8 fl oz/240 mL",Drunk Elephant,Body,Lotions,"Adansonia Digitata Seed Oil, Allantoin, Butyrospermum Parkii (Shea) Butter, Camellia Sinensis Seed Oil, Caprylyl Glycol, Cetearyl Alcohol, Cetearyl Olivate, Chlorphenesin, Citric Acid, Citrullus Lanatus (Watermelon) Seed Oil, Coco-Caprylate/Caprate, Coconut Alkanes, Cocos Nucifera (Coconut) Fruit Juice, Cocos Nucifera (Coconut) Oil, Ethylhexylglycerin, Glycolic Acid, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Lactic Acid, Linoleic Acid, Linolenic Acid, Niacinamide, Passiflora Edulis Seed Oil, Pentylene Glycol, Persea Gratissima (Avocado) Oil, Phenoxyethanol, Polysorbate 60, Potassium Sorbate, Propanediol, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Prunus Armeniaca (Apricot) Kernel Oil, Quercetin, Schinziophyton Rautanenii Kernel Oil, Sclerocarya Birrea Seed Butter, Sclerocarya Birrea Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Sodium Carbonate, Sodium Chloride, Sodium Hyaluronate Crosspolymer, Sodium Hydroxide, Sodium Pca, Sorbitan Isostearate, Sorbitan Olivate, Squalane, Tapioca Starch, Tartaric Acid, Tocopherol, Vitis Vinifera (Grape) Juice Extract, Water/Aqua/Eau, Ximenia Americana Seed Oil",https://cdn1.skinsafeproducts.com/photo/1A4B36A3C3D8F6/large_1716176509.pngpng?1716176509,https://www.skinsafeproducts.com/drunk-elephant-refine-moisturize-body-lotion-8-fl-oz-240-ml
1-200.csv,"Drunk Elephant Bora Barrier Repair Cream, 1.69 oz/50 mL",Drunk Elephant,Face,Creams,"Acacia Senegal Gum, Alpha-Glucan, Astaxanthin, Beta-Sitosterol, Brassica Campestris (Rapeseed) Seed Oil, Butylene Glycol, Butyrospermum Parkii (Shea) Butter, C10-18 Triglycerides, Calophyllum Inophyllum Seed Oil, Carbomer, Ceramide Ap, Ceramide Eop, Ceramide Np, Cetearyl Alcohol, Cetearyl Olivate, Cholesterol, Citric Acid, Coco-Glucoside, Copper Gluconate, Dextrin, Epigallocatechin Gallate, Ethylhexyl Olivate, Ethylhexylglycerin, Glucosyl Ceramide, Glycerin, Glycosphingolipids, Haematococcus Pluvialis Extract, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Linoleic Acid, Linolenic Acid, Magnesium Ascorbyl Phosphate, Magnesium Aspartate, Moringa Oleifera Seed Oil, Oenothera Biennis (Evening Primrose) Oil, Oleic Acid, Palmitic Acid, Palmitoyl Tetrapeptide-7, Palmitoyl Tripeptide-1, Pentylene Glycol, Phenoxyethanol, Phytosphingosine, Polysorbate 60, Propanediol, Quercetin, Resveratrol, Rosa Canina Fruit Oil, Sclerocarya Birrea Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Sodium Hydroxide, Sodium Lactate, Sodium Lauroyl Lactylate, Sodium Pca, Sorbitan Isostearate, Sorbitan Olivate, Squalane, Stearic Acid, Tetrahexyldecyl Ascorbate, Tetrasodium Glutamate Diacetate, Tocopherol, Water/Aqua/Eau, Xanthan Gum, Zinc Gluconate",https://cdn1.skinsafeproducts.com/photo/C6342D44CACBDE/large_1712219956.pngpng?1712219956,https://www.skinsafeproducts.com/drunk-elephant-bora-barrier-repair-cream-1-69-oz-50-ml
1-200.csv,"Drunk Elephant Lippe Balm, 0.13 oz/3.7 g",Drunk Elephant,Lip Care,"Lip Balms, Gels, Moisturizers & Oils","Beeswax/Cera Alba/Cire D'Abeille, Bis-Diglyceryl Polyacyladipate-2, Butyrospermum Parkii (Shea) Butter, Camellia Sinensis Leaf Extract, Caprylic/Capric Triglyceride, Caprylyl Glycol, Carthamus Tinctorius (Safflower) Seed Oil, Cocos Nucifera (Coconut) Oil, Copernicia Cerifera (Carnauba) Wax/Cera Carnauba/Cire De Carnauba, Dicaprylyl Ether, Dictyopteris Polypodioides Extract, Dipotassium Glycyrrhizate, Ethylhexyl Palmitate, Euphorbia Cerifera (Candelilla) Wax (Candelillacera/Cire De Candelilla), Glycine Soja (Soybean) Oil, Helianthus Annuus (Sunflower) Seed Oil, Lactic Acid, Lauryl Alcohol, Linoleic Acid, Linolenic Acid, Magnolia Grandiflora Bark Extract, Oleic Acid, Ozokerite, Palmitic Acid, Palmitoyl Tripeptide-1, Persea Gratissima (Avocado) Oil, Phenoxyethanol, Polyisobutene, Rosmarinus Officinalis (Rosemary) Leaf Extract, Sclerocarya Birrea Seed Oil, Sorbitan Isostearate, Stearic Acid, Tetrahexyldecyl Ascorbate, Tocopherol, Tocopheryl Acetate, Tribehenin, Vaccinium Macrocarpon (Cranberry) Seed Oil",https://cdn1.skinsafeproducts.com/photo/482E06D2F41C47/large_1711140693.jpeg?1711140693,https://www.skinsafeproducts.com/drunk-elephant-lippe-balm-0-13-oz-3-7-g
