File,product_name,brand,usage_type,category,ingredients,image_url,product_url
1-200.csv,"Embryolisse Lait-Creme, Sensitive",Embryolisse,Face,Creams,"1,2-Hexanediol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Aloe Barbadensis Leaf Extract, Aqua (Water), Butyrospermum Parkii (Shea) Butter, Caprylic/Capric Triglyceride, Caprylyl Glycol, Cera Alba (Beeswax), Cetearyl Alcohol, Cetyl Phosphate, Glycerin, Glycine Soja (Soybean) Oil, Hydrolyzed Soy Protein, Octyldodecanol, Propylene Glycol (1,2-Propanediol), Sodium Hydroxide, Tocopherol, Tropolone",https://cdn1.skinsafeproducts.com/photo/14783696706DE5/large_1714460100.pngpng?1714460100,https://www.skinsafeproducts.com/embryolisse-lait-creme-sensitive
1-200.csv,"Embryolisse Moisturizing Booster Hydra Facial Serum, White Nymphaea-Hyaluronic Acid, 1.01 fl oz/30 mL",Embryolisse,Face,Moisturizing Serums,"Aqua (Water), Biosaccharide Gum-2, Butylene Glycol, Citric Acid, Glycerin, Hydrogenated Starch Hydrolysate, Lecithin, Limonene, Nymphaea Alba Flower Extract, Parfum(Fragrance), Potassium Sorbate, Propanediol, Sodium Acrylates Copolymer, Sodium Benzoate, Sodium Hyaluronate, Sodium Phytate",https://cdn1.skinsafeproducts.com/photo/CBAFF3DB126B05/large_1734000891.jpeg?1734000891,https://www.skinsafeproducts.com/embryolisse-moisturizing-booster-hydra-facial-serum-white-nymphaea-hyaluronic-acid-1-01-fl-oz-30-ml
1-200.csv,"Embryolisse Active Night Peeling, 1.35 fl oz/40 mL",Embryolisse,Acids & Peels,Peels,"Acrylates/ C10-30 Alkyl Acrylate Crosspolymer, Aqua (Water), Argania Spinosa Kernel Oil, Bisabolol, Butyrospermum Parkii (Shea) Butter, C15-19 Alkane, Caprylic/ Capric Triglyceride, Cera Alba (Beeswax), Cetearyl Alcohol, Cetearyl Glucoside, Coco-Caprylate/Caprate, Glycerin, Glyceryl Stearate, Hydroxyacetophenone, Limonene, Macadamia Ternifolia Seed Oil, Microcitrus Australasica Fruit Extract, O-Cymen-5-Ol, Parfum (Fragrance), Pentylene Glycol, Polyglycerin-6, Polyglyceryl-6 Laurate, Sodium Acrylate/Sodium Acryloyldimethyltaurate Copolymer, Sodium Hydroxide, Sodium Stearoyl Glutamate, Sorbitan Isostearate, Sorbitan Oleate, Tapioca Starch, Tocopheryl Acetate, Tridecyl Trimellitate",https://cdn1.skinsafeproducts.com/photo/8F2807F725CDB0/large_1668995463.jpeg?1668995463,https://www.skinsafeproducts.com/embryolisse-active-night-peeling-1-35-fl-oz-40-ml
1001-1200.csv,"Embryolisse Face and Body Gentle Cleansing Bar, 3.52 oz/100 g",Embryolisse,Cleansers,Bar Soaps,"Aqua (Water), Cetearyl Alcohol, Ci 77891 (Titanium Dioxide), Disodium Lauryl Sulfosuccinate, Paraffin, Parfum (Fragrance), Sodium Coco Sulfate, Triticum Vulgare (Wheat) Starch",https://cdn1.skinsafeproducts.com/photo/C9A7C6FC5C915C/large_1720677298.pngpng?1720677298,https://www.skinsafeproducts.com/embryolisse-face-and-body-gentle-cleansing-bar-3-52-oz-100-g
1201-1400.csv,"Embryolisse Concentrated Lait-Creme, 75 mL/2.54 fl oz",Embryolisse,Face,Creams,"1,2-Hexanediol, African Shea Butter, Aloe Barbadensis Gel (Aloe Vera), Butylparaben, C13-014 Isoparaffin, Caprylyl Glycol, Cera Alba, Cetyl Palmitate, Ethylparaben, Glyceryl Stearate, Hydrolyzed Soy Protein, Isobutyl Paraben, Laureth-7, Methylparaben, Mineral Oil, Parfum, Penoxyethanol, Polyacrylamide, Propylene Glycol (1,2-Propanediol), Propylparaben, Steareth-10, Stearic Acid, Triethanolamine, Tropolone, Water\Aqua\Eau",https://cdn1.skinsafeproducts.com/photo/AD9CE2A0BFC96D/large_1494702804.jpeg?1494702804,https://www.skinsafeproducts.com/embryolisse-concentrated-lait-cream-75-ml
1201-1400.csv,"Embryolisse 24 Hour Miracle Cream for Hand and Body, Lait Creme Concentre Fluide Hydratant",Embryolisse,Body,Lotions,"1,2-Hexanediol, African Shea Butter, Aloe Barbadensis Gel (Aloe Vera), C13-14 Isoparaffin, Caprylyl Glycol, Cera Alba, Cetyl Palmitate, Glyceryl Stearate, Hydrolyzed Soy Protein, Laureth-7, Mineral Oil, Parfum, Polyacrylamide, Propylene Glycol, Steareth-10, Stearic Acid, Triethanolamine, Tropolone, Water\Aqua\Eau",https://cdn1.skinsafeproducts.com/photo/dZjzMOcJqtW1t0LBaRsJTw/large_1464571199.jpeg?1464571199,https://www.skinsafeproducts.com/embryolisse-24-hour-miracle-cream-for-hand-and-body-lait-creme-concentre-fluide-hydratant
1201-1400.csv,Embryolisse Lait-crème Rich Corps (Rich Body Moisturizing Lotion) for DRY to Very DRY Skin,Embryolisse,Body,Lotions,"1,2-Hexanediol, African Shea Butter, Allantoin, Caprylyl Glycol, Cera Alba, Cetyl Peg/Ppg-10/1 Dimethicone, Chlorphenesin, Cyclopentasiloxane, Glycerin, Hordeum Distichon, Methylisothiazolinone, Microcrystalline Wax, Octyl Cocoate, Paraffina Liquidum, Parfum, Phellodendron Amurense, Santalum Album, Sodium Chloride, Tocopherol Acetate, Water\Aqua\Eau",https://cdn1.skinsafeproducts.com/photo/wuGr-2WnXEhZZ5pzK8pASw/large_1464571475.jpeg?1464571475,https://www.skinsafeproducts.com/embryolisse-lait-creme-rich-corps-rich-body-moisturizing-lotion-for-dry-to-very-dry-skin
1601-1800.csv,"Embryolisse 3-In-1 Comfort Balm, Pink Nude, 0.08 oz/2.5 g",Embryolisse,Lip Care,"Lip Balms, Gels, Moisturizers & Oils","Ammonium Glycyrrhizate, Bis-Diglyceryl Polyacyladipate-2, C12-15 Alkyl Benzoate, C177891 (Titanium Dioxide), Cera Microcristallina (Microcrystalline Wax)/Cire Microcristalline, Ci 15850 (Red 7), Ci 19140 (Yellow 5 Lake), Ci 77491,Ci 77499 (Iron Oxides), Ethylene/Propylene Copolymer, Gossypium Herbaceum (Cotton) Seed Oil, Helianthus Annuus (Sunflower) Seed Oil, Hydrogenated Polydecene, Hydrogenated Polyisobutene, Hydrogenated Vegetable Oil (*), Myristyl Lactate, Octyldodecanol, Parfum (Fragrance)**, Polybutene, Polyglyceryl-2 Triisostearate, Ppg-51/Smdi Copolymer, Propylene Carbonate, Ricinus Communis (Castor) Seed Oil, Stearalkonium Hectorite, Synthetic Fluorphlogopite, Synthetic Wax, Tocopherol, Zea Mays (Corn) Starch",https://cdn1.skinsafeproducts.com/photo/4990C000286938/large_1732619049.pngpng?1732619049,https://www.skinsafeproducts.com/embryolisse-3-in-1-comfort-balm-pink-nude-0-08-oz-2-5-g
1801-2000.csv,"Embryolisse Laboratories Intense Lift Eye Cream, 0.50 fl oz/15 mL",Embryolisse,Moisturizers,Eyes,"1,2-Hexanediol, Aesculus Hippocastanum (Horse Chestnut) Extract, Aqua (Water), Butyrospermum Parkii (Shea) Butter, Caprylyl Glycol, Carbomer, Cetearyl Alcohol, Cetearyl Glucoside, Cetyl Alcohol, Citric Acid, Fructose, Glycerin, Hydrogenated Coconut Oil, Isostearyl Isostearate, Maltodextrin, Nephelium Lappaceum Leaf Extract, Oenothera Biennis (Evening Primrose) Oil, Potassium Sorbate, Sodium Hyaluronate, Sodium Hydroxide, Tocopheryl Acetate, Tropolone, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/084DE3DB10E7A0/large_1669022330.jpeg?1669022330,https://www.skinsafeproducts.com/embryolisse-laboratories-intense-lift-eye-cream-0-50-fl-oz-15-ml
2001-2200.csv,Embryotisse Soin Correcteur de Teint CC Cream SPF 20,Embryolisse,Body,Creams,"Aqua (Water), Biosaccharide Gum-1, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine (Tinosorb-S, Escalol S, Bemotrizinol, Bemt), Ci 77492 (Iron Oxide), Ci 77891 (Titanium Dioxide), Corn Starch Modified, Glycerin, Isodecyl Neopentanoate, Nylon-12 Fluorescent Brightener 230 Salt, Parfum (Fragrance), Peg-30 Dipolyhydroxystearate, Pentaerythrityl Tetrabehenate, Pentaerythrityl Tetrastearate, Phenoxyethanol, Polyglyceryl-4 Isostearate, Polymethyl Methacrylate (Pmma), Polyvinylalcohol Crosspolymer, Potassium Sorbate, Sodium Chloride, Sodium Hyaluronate, Synthetic Fluorphlogopite",https://cdn1.skinsafeproducts.com/photo/DE2CC4714117A9/large_1578165961.jpeg?1578165961,https://www.skinsafeproducts.com/embryotisse-soin-correcteur-de-teint-cc-cream-spf-20
