File,product_name,brand,usage_type,category,ingredients,image_url,product_url
1-200.csv,"Etude House Soonjung Hydro Barrier Cream, 4.39 fl oz/130 mL",Etude House,Face,Creams,"1,2-Hexanediol, Allantoin, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Arachidyl Alcohol, Arachidyl Glucoside, Behenyl Alcohol, Butylene Glycol, C12-20 Alkyl Glucoside, C14-22 Alcohols, Camellia Sinensis Leaf Extract, Disodium Edta, Ethylhexylglycerin, Glucose, Glycerin, Glyceryl Caprylate, Glyceryl Stearate, Glyceryl Stearate Citrate, Hydrogenated Poly(C6-14 Olefin), Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Madecassoside, Panthenol, Pentaerythrityl Tetraethylhexanoate, Polymethylsilsesquioxane, Propanediol, Scutellaria Baicalensis Root Extract, Sorbitan Isostearate, Tocopherol, Trehalose, Water / Aqua / Eau",https://cdn1.skinsafeproducts.com/photo/FB1B7A5F182DE7/large_1664151505.jpeg?1664151505,https://www.skinsafeproducts.com/etude-house-soonjung-hydro-barrier-cream-4-39-fl-oz-130-ml
1201-1400.csv,"Etude House Wonder Pore Balancing Cream, 1 fl oz",Etude House,Face,Creams,"Acetic Acid, Achillea Millefolium Extract, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Arnica Montana Flower Extract, Artemisia Absinthium Extract, Butylene Glycol, Chamaecyparis Obtusa Water, Cyclohexasiloxane, Cyclopentasiloxane, Disodium Edta, Ethylhexylglycerin, Fragrance, Gentiana Lutea Root Extract, Ginkgo Biloba Leaf Extract, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Mentha Arvensis Extract, Phenoxyethanol, Polysilicone- 11, Polysorbate 20, Trehalose, Water\Aqua\Eau",https://cdn1.skinsafeproducts.com/photo/6C15AB09FC1D45/large_1528770607.jpeg?1528770607,https://www.skinsafeproducts.com/etude-house-wonder-pore-balancing-cream-1-fl-oz
1201-1400.csv,Etude House Beauty Shot Face Blur 35g SPF33 PA++ KPop Korean Cosmetics,Etude House,Skin Care,Moisturizers,"Aluminum, Aluminum Hydroxide, Butylene Glycol, Butylene Glycol Dicaprylate/Dicaprate, Cyclohexasiloxane, Cyclopentasiloxane, Dicaprylate/Dicaprate, Dimethicone, Dimethicone Crosspolymer, Dimethicone/Vinyl Dimethicone Crosspolymer, Disodium Edta, Disteardimonium Hectorite, Ethylhexylglycerin, Ethylhexylmethoxycinnamate, Fragrance(Parfum), Glycerin, Glyceryl Behenate/Eicosadioate, Hdi/Trimethylol Hexyllactone Crosspolymer, Hydrogenated Castor Oil Isostearate, Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Magnesium Sulfate, Methyl Methacrylate Crosspolymer, Mica (Ci 77019), Niacinamide, Peg-10 Dimethicone, Peg-9 Polydimethylsiloxyethyl Dimethicone, Pentylene Glycol, Phenoxyethanol, Phenyl Trimethicone, Silica, Sodium Chloride, Sorbitan Isostearate, Titanium Dioxide (Ci 77891), Tribehenin, Triethoxycaprylylsilane, Trisiloxane, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Water\Aqua\Eau, Zinc Oxide (Ci 77497)",https://cdn1.skinsafeproducts.com/photo/F60C842AA4054E/large_1530731826.jpeg?1530731826,https://www.skinsafeproducts.com/etude-house-beauty-shot-face-blur-35g-spf33-pa-kpop-korean-cosmetics
1801-2000.csv,"Etude SoonJung X Directors Moisture Sun Cream, SPF50, 1.69 fl oz/50 mL",Etude House,Face,Lotions,"1,2-Hexanediol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Allantoin, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Biosaccharide Gum-1, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Butylene Glycol, Carbomer, Centella Asiatica Extract, Cetearyl Alcohol, Dibutyl Adipate, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Disodium Edta, Ethylhexyl Triazone, Ethylhexylglycerin, Glyceryl Stearate, Glyceryl Stearate Citrate, Madecassoside, Methylpropanediol, Panthenol, Pentylene Glycol, Polyether-1, Polyglyceryl-3 Distearate, Polysilicone-15, Potassium Cetyl Phosphate, Propanediol, Silica, Terephthalylidene Dicamphor Sulfonic Acid, Tocopherol, Tromethamine, Water / Aqua / Eau",https://cdn1.skinsafeproducts.com/photo/3D8CBFF7A57960/large_1703171409.pngpng?1703171409,https://www.skinsafeproducts.com/etude-soonjung-x-directors-moisture-sun-cream-spf50-1-69-fl-oz-50-ml
2001-2200.csv,"Etude House Berry AHA Bright Peel Mild Gel, 120 mL",Etude House,Skin Treatments,Facial Masks,"Acer Saccharum (Sugar Maple) Extract, Alcohol, Allantoin, Amaranthus Caudatus Seed Extract, Betaine, Butylene Glycol, Carbomer, Cellulose, Centella Asiatica Extract, Ceramide Np, Citrus Aurantium Dulcis (Orange) Fruit Extract, Citrus Limonum (Lemon) Extract, Dipropylene Glycol, Ethylhexylglycerin, Ficus Carica (Fig) Fruit Extract, Fragrance, Hydrogenated Lecithin, Lactic Acid, Nymphaea Alba Flower Extract, Peg-60 Hydrogenated Castor Oil, Phenoxyethanol, Saccharum Officinarum (Sugar Cane) Extract, Sodium Palmitoyl Proline, Triethanolamine, Ulmus Davidiana Root Extract, Urea, Vaccinium Myrtillus (Bilberry) Fruit Extract, Water\Aqua\Eau",https://cdn1.skinsafeproducts.com/photo/F0ED7E98D13408/large_1497554272.jpegjpg?1497554272,https://www.skinsafeproducts.com/etude-house-berry-aha-bright-peel-mild-gel-120-ml
601-800.csv,"Etude Moistfull Collagen Cream, 2.53 fl oz/75 mL",Etude House,Face,Creams,"1,2-Hexanediol, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Arachidyl Alcohol, Arachidyl Glucoside, Behenyl Alcohol, Betaine, Butylene Glycol, C12-20 Alkyl Glucoside, C14-22 Alcohols, Dicaprylyl Ether, Disodium Edta, Ethylhexylglycerin, Glucose, Glycerin, Glyceryl Caprylate, Glyceryl Polymethacrylate, Glyceryl Stearate, Glyceryl Stearate Citrate, Hydrogenated Poly(C6-14 Olefin), Hydrolyzed Collagen, Hydrolyzed Lupine Protein, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Methyl Trimethicone, Pentaerythrityl Tetraethylhexanoate, Propanediol, Silica, Sorbitan Isostearate, Tocopherol, Water / Eau",https://cdn1.skinsafeproducts.com/photo/5C821D0423E14B/large_1658987484.pngpng?1658987484,https://www.skinsafeproducts.com/etude-moistfull-collagen-cream-2-53-fl-oz-75-ml
801-1000.csv,"Etude SoonJung pH 6.5 Whip Cleanser, 8.5 fl oz/250 mL",Etude House,Cleansers,Facial Cleansers,"Butylene Glycol, Camellia Sinensis Leaf Extract, Citric Acid, Disodium Cocoyl Glutamate, Ethylhexylglycerin, Glycerin, Glyceryl Caprylate, Lauryl Glucoside, Madecassoside, Panthenol, Propanediol, Sorbitol, Tocopherol, Water",https://cdn1.skinsafeproducts.com/photo/BB469624F2A274/large_1657845142.jpeg?1657845142,https://www.skinsafeproducts.com/etude-soonjung-ph-6-5-whip-cleanser-8-5-fl-oz-250-ml
801-1000.csv,"Etude House SoonJung 5-Panthensoside Cica Balm, 1.35 fl oz/40 mL",Etude House,Face,Balms,"1,2-Hexanediol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Butylene Glycol, Camellia Sinensis Leaf Extract, Cetearyl Alcohol, Cetearyl Glucoside, Diisostearyl Malate, Disodium Edta, Glyceryl Stearate, Hydrogenated Lecithin, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Madecassoside, Panthenol, Polyglyceryl-10 Stearate, Polyglyceryl-3 Methylglucose Distearate, Propanediol, Squalane, Stearic Acid, Tromethamine, Water",https://cdn1.skinsafeproducts.com/photo/1D8F6052DD3FED/large_1650724200.pngpng?1650724200,https://www.skinsafeproducts.com/etude-hour-soonjung-5-panthensoside-cica-balm-1-35-fl-oz-40-ml
801-1000.csv,"Etude House SoonJung 10 Free Moist Emulsion, 120ml",Etude House,Moisturizers,Face,"Ammonium Acryloyldimethyltaurate/Vp Copolymer, Bis-Diglyceryl Polyacyladipate-2, Butylene Glycol, Camellia Sinensis (Green Tea) Leaf Extract, Cetearyl Alcohol, Disodium Edta, Ethylhexylglycerin, Glycerin, Glyceryl Caprylate, Glyceryl Stearate, Hydrogenated Lecithin, Hydroxypropyl Starch Phosphate, Madecassoside, Panthenol, Pentaerythrityl Tetraethylhexanoate, Polyglyceryl-3 Methylglucose Distearate, Propanediol, Squalane, Stearic Acid, Water\Aqua\Eau, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/D75DBC0FFC7CC6/large_1515829579.jpeg?1515829579,https://www.skinsafeproducts.com/etude-house-soonjung-10-free-moist-emulsion-120ml
801-1000.csv,"Etude House SoonJung pH 5.5 Relief Toner, 180ml",Etude House,Skin Care,Toners & Astringents,"1,2-Hexanediol, Betaine, Butylene Glycol, Camellia Sinensis (Green Tea) Leaf Extract, Carbomer, Disodium Edta, Ethylhexylglycerin, Glycerin, Madecassoside, Panthenol, Polyglycerin-3, Propanediol, Scutellaria Baicalensis Root Extract, Water\Aqua\Eau",https://cdn1.skinsafeproducts.com/photo/D20C64CB67F642/large_1515829513.jpeg?1515829513,https://www.skinsafeproducts.com/etude-house-soonjung-ph-5-5-relief-toner-180ml
