File,product_name,brand,usage_type,category,ingredients,image_url,product_url
1-200.csv,"IsNtree Aloe Fresh Type Soothing Gel, 10.14 fl oz/300 mL",IsNtree,Body,Gels,"1,2-Hexanediol, Allantoin, Aloe Barbadensis Leaf Extract, Arginine, Betaine, Carbomer, Dipotassium Glycyrrhizate, Ethyhexylglycerin, Glycerin, Panthenol, Propanediol, Sodium Hyaluronate",https://cdn1.skinsafeproducts.com/photo/EC7A9C83DBA97C/large_1732606113.pngpng?1732606113,https://www.skinsafeproducts.com/isntree-aloe-fresh-type-soothing-gel-10-14-fl-oz-300-ml
1-200.csv,"IsNtree Moisture Soothing Gel, Aloe, 5.07 fl oz/150 mL",IsNtree,Face,Gels,"1,2-Hexanediol, Allantoin, Aloe Barbadensis Leaf Extract, Aloe Barbadensis Leaf Juice, Arginine, Benzyl Glycol, Betaine, Butylene Glycol, Camellia Sinensis Leaf Extract, Caprylyl Glycol, Carbomer, Centella Asiatica Extract, Citric Acid, Dipotassium Glycyrrhizate, Dipropylene Glycol, Ethylhexylglycerin, Ficus Carica (Fig) Fruit Extract, Ginkgo Biloba Nut Extract, Glycerin, Glycyrrhiza Glabra (Licorice) Root Extract, Hyaluronic Acid, Hydrolyzed Hyaluronic Acid, Hydroxyacetophenone, Hydroxypropyltrimonium Hyaluronate, Luffa Cylindrica Fruit Extract, Methylpropanediol, Morus Alba Fruit Extract, Panthenol, Polyglutamic Acid, Punica Granatum Fruit Extract, Raspberry Ketone, Sodium Hyaluronate, Sodium Hyaluronate Crosspolymer, Trehalose, Water",https://cdn1.skinsafeproducts.com/photo/554E1A01D479A4/large_1729183740.jpeg?1729183740,https://www.skinsafeproducts.com/isntree-moisture-soothing-gel-aloe-5-07-fl-oz-150-ml
1-200.csv,"Isntree Hyaluronic Acid Moist Cream, 3.38 fl oz/100 mL",IsNtree,Face,Creams,"1,2-Hexanediol, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Argania Spinosa Kernel Oil, Avena Sativa (Oat) Kernel Extract, Behenyl Alcohol, Beta-Glucan, Betaine, Butylene Glycol, Butyrospermum Parkii (Shea) Butter, Camellia Sinensis Leaf Water, Caprylic/Capric Triglyceride, Carthamus Tinctorius (Safflower) Seed Oil, Cetyl Alcohol, Cyclohexasiloxane, Cynara Scolymus (Artichoke) Leaf Extract, Dimethylsilanol, Dimethylsilanol Hyaluronate, Dipropylene Glycol, Disodium Edta, Eclipta Prostrata Leaf Extract, Ethylhexylglycerin, Fructooligosaccharides, Glycereth-26, Glycerin, Glyceryl Caprylate, Glyceryl Stearate, Hyaluronic Acid, Hydrogenated Lecithin, Hydrogenated Polydecene, Hydrolyzed Hyaluronic Acid, Hydrolyzed Sodium Hyaluronate, Hydroxyacetophenone, Hydroxypropyltrimonium Hyaluronate, Laminaria Japonica Extract, Methylpropanediol, Pentaerythrityl Distearate, Pentylene Glycol, Polyglyceryl-10 Laurate, Polyglyceryl-3 Methylglucose Distearate, Polyquaternium-51, Potassium Hyaluronate, Prunus Armeniaca (Apricot) Kernel Oil, Sodium Acetylated Hyaluronate, Sodium Hyaluronate, Sodium Hyaluronate Crosspolymer, Sodium Hyaluronate Dimethylsilanol, Sodium Stearoyl Glutamate, Vinyl Dimethicone, Water",https://cdn1.skinsafeproducts.com/photo/337883D508C71C/large_1722847973.pngpng?1722847973,https://www.skinsafeproducts.com/isntree-hyaluronic-acid-moist-cream-3-38-fl-oz-100-ml
1-200.csv,"Isntree Essence Toner, Onion Newpair, 6.76 fl oz/200 mL",IsNtree,Toners & Astringents,Toners,"1,2-Hexanediol, Adenosine, Allantoin, Allium Cepa (Onion) Bulb Extract, Ammonium Polyacryloyldimethyl Taurate, Betaine, Biosaccharide Gum-1, Butylene Glycol, Carbomer, Citric Acid, Coccinia Indica Fruit Extract, Corallina Officinalis Extract, Curcuma Longa (Turmeric) Root Extract, Disodium Edta, Ethylhexylglycerin, Glycereth-26, Glycerin, Houttuynia Cordata Extract, Hyaluronic Acid, Hydrolyzed Hyaluronic Acid, Hydroxy- Ethylcellulose, Hydroxyacetophenone, Melia Azadirachta Flower Extract, Melia Azadirachta Leaf Extract, Methylpropanediol, Niacinamide, Ocimum Sanctum Leaf Extract, Panthenol, Propanediol, Sodium Ascorbyl Phosphate, Sodium Citrate, Sodium Heparin, Sodium Hyaluronate, Solanum Melongena (Eggplant) Fruit Extract, Tranexamic Acid, Tromethamine, Water",https://cdn1.skinsafeproducts.com/photo/9522B8FF4B1A6E/large_1717023206.jpeg?1717023206,https://www.skinsafeproducts.com/isntree-essence-toner-onion-newpair-6-76-fl-oz-200-ml
1-200.csv,"IsNtree Low-Ph Cleansing Foam, Hyaluronic Acid, 5.07 fl oz/150mL",IsNtree,Facial Cleansers,Facial Foaming Cleansers,"1,2-Hexanediol, Alanine, Allantoin, Amaranthus Caudatus Seed Extract, Arginine, Aspartic Acid, Beta- Glucan, Butylene Glycol, Caprylyl/Capryl Glucoside, Centella Asiatica Extract, Ceramide Np, Citric Acid, Cysteine, Decylene Glycol, Dipotassium Glycyrrhizate, Disodium Edta, Eclipta Prostrata Leaf Extract, Ethylhexylglycerin, Ficus Carica (Fig) Fruit Extract, Fructooligosaccharides, Glutamic Acid, Glycerin, Glycine, Glycol Distearate, Histidine, Hyaluronic Acid, Hydrogenated Lecithin, Hydrolyzed Hyaluronic Acid, Hydrolyzed Sodium Hyaluronate, Hydroxyacetophenone, Hydroxypropyltrimonium Hyaluronate, Isoleucine, Laminaria Japonica Extract, Leucine, Lysine, Methionine, Oryza Sativa (Rice) Bran Extract, Panthenol, Pentylene Glycol, Phenylalanine, Polyquaternium-39, Potassium Cocoate, Potassium Cocoyl Glycinate, Potassium Hyaluronate, Proline, Serine, Sodium Acetylated Hyaluronate, Sodium Chloride, Sodium Cocoyl Isethionate, Sodium Hyaluronate, Sodium Hyaluronate Crosspolymer, Sodium Methyl Cocoyl Taurate, Threonine, Tyrosine, Ulmus Davidiana Root Extract, Valine, Water",https://cdn1.skinsafeproducts.com/photo/624A06EAE00C19/large_1715970806.jpeg?1715970806,https://www.skinsafeproducts.com/isntree-low-ph-cleansing-foam-hyaluronic-acid-5-07-fl-oz-150ml
1-200.csv,"IsNtree Mild Exfoliant, Chestnut Aha Clear Essence, 3.38 fl oz/100 mL",IsNtree,"Exfoliators, Polishes, & Scrubs",Exfoliators,"1,2-Hexanediol, Allantoin, Asiatic Acid, Asiaticoside, Butylene Glycol, Caprylic/Capric Triglyceride, Castanea Crenata (Chestnut) Shell Extract, Centella Asiatica Extract, Cetearyl Alcohol, Ethylhexylglycerin, Glycerin, Glyceryl Caprylate, Glycolic Acid, Hydrogenated Phosphatidylcholine, Hydroxyethylcellulose, Lactic Acid, Madecassic Acid, Madecassoside, Paeonia Suffruticosa Root Extract, Panthenol, Portulaca Oleracea Extract, Potassium Hydroxide, Sodium Hyaluronate, Sucrose Stearate, Water",https://cdn1.skinsafeproducts.com/photo/7293F4C832B390/large_1716008764.pngpng?1716008764,https://www.skinsafeproducts.com/isntree-mild-exfoliant-chestnut-aha-clear-essence-3-38-fl-oz-100-ml
1-200.csv,"Isntree Vegan Milk Cleanser, Yam Root, 7.43 fl oz/220 mL",IsNtree,Facial Cleansers,Facial Cleansing Milks,"1,2- Hexanediol, Arachidyl Alcohol, Arachidyl Glucoside, Avena Sativa (Oat) Meal Extract, Behenyl Alcohol, Butylene Glycol, Cetearyl Alcohol, Citric Acid, Coco-Glucoside, Cocos Nucifera (Coconut) Fruit Extract, Dioscorea Japonica Root Extract, Ethylhexyl Palmitate, Glucose, Glycerin, Glyceryl Stearate, Glycine Max (Soybean) Seed Extract, Helianthus Annuus (Sunflower) Seed Oil, Hibiscus Esculentus Fruit Extract, Laminaria Japonica Extract, Nelumbo Nucifera Root Extract, Oryza Sativa (Rice) Extract, Polyglyceryl-10 Myristate, Prunus Amygdalus Dulcis (Sweet Almond) Seed Extract, Sodium Polyacrylate, Undaria Pinnatifida Extract, Water, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/6167BB9946FE13/large_1715716690.jpeg?1715716690,https://www.skinsafeproducts.com/isntree-vegan-milk-cleanser-yam-root-7-43-fl-oz-220-ml
1-200.csv,"Isntree Onion Newpair Cleansing Foam, 5.07 fl oz/150 mL",IsNtree,Cleansers,Foaming Cleansers,"1,2-Hexanediol, Allantoin, Allium Cepa (Onion) Bulb Extract, Arachidic Acid, Butylene Glycol, Cetearyl Alcohol, Citric Acid, Coccinia Indica Fruit Extract, Coco-Betaine, Corallina Officinalis Extract, Curcuma Longa (Turmeric) Root Extract, Disodium Edta, Eclipta Prostrata Extract, Glycerin, Glyceryl Stearate, Houttuynia Cordata Extract, Hydrogenated Polydecene, Hydroxypropyl Starch Phosphate, Lauric Acid, Melia Azadirachta Flower Extract, Melia Azadirachta Leaf Extract, Myristic Acid, Ocimum Sanctum Leaf Extract, Oleic Acid, Palmitic Acid, Panthenol, Potassium Benzoate, Potassium Cocoyl Glycinate, Potassium Myristate, Potassium Stearate, Sodium Ascorbyl Phosphate, Sodium C14-16 Olefin Sulfonate, Sodium Chloride, Sodium Citrate, Sodium Heparin, Solanum Melongena (Eggplant) Fruit Extract, Sorbitol, Stearic Acid, Tranexamic Acid, Trisodium Ethylenediamine Disuccinate, Water",https://cdn1.skinsafeproducts.com/photo/E7F239C55680A8/large_1707222110.pngpng?1707222110,https://www.skinsafeproducts.com/isntree-onion-newpair-cleansing-foam-5-07-fl-oz-150-ml
1-200.csv,"Isntree Onion Newpair B5 Ampoule,1.69 fl oz/50 mL",IsNtree,Skin Treatments,Serums,"1,2-Hexanediol, Acetyl Glucosamine, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Adenosine, Allantoin, Allium Cepa (Onion) Bulb Extract, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Arginine, Betaine, Butylene Glycol, Caffeine, Caprylyl Glycol, Coccinia Indica Fruit Extract, Disodium Edta, Ferulic Acid, Hydrolyzed Hyaluronic Acid, Hydroxyacetophenone, Melia Azadirachta Flower Extract, Niacinamide, Panthenol, Pentylene Glycol, Sodium Acetylated Hyaluronate, Sodium Hyaluronate, Tranexamic Acid, Trehalose, Water",https://cdn1.skinsafeproducts.com/photo/4FC4DF1748C434/large_1707012010.jpeg?1707012010,https://www.skinsafeproducts.com/isntree-onion-newpair-b5-ampoule-1-69-fl-oz-50-ml
1-200.csv,IsNtree Onion Newpair Spot Patch Basic 24 patches (10mmx12ea/12mmx12ea) | Patches in 2 sizes | Blemish care | Water-resistant for daily use (1),IsNtree,Skin Care,Acne Care (OTC),"1,2-Hexanediol, Allium Cepa (Onion) Bulb Extract, Butylene Glycol, Cellulose Gum, Niacinamide, Polyisobutene, Water/Aqua",https://cdn1.skinsafeproducts.com/photo/B125E98F8DFC01/large_1697831251.jpeg?1697831251,https://www.skinsafeproducts.com/isntree-onion-newpair-spot-patch-basic-24-patches-10mmx12ea-12mmx12ea-patches-in-2-sizes-blemish-care-water-resistant-for-daily-use-1
