File,product_name,brand,usage_type,category,ingredients,image_url,product_url
1-200.csv,"L'Occitane En Provence Body Rich Lotion, Shea Butter, 8.4 fl oz/250 mL",L'occitane,Body,Lotions,"Alcohol, Alpha-Isomethyl Ionone, Althaea Officinalis Root Extract, Aqua/Water, Butylene Glycol, Butyrospermum Parkii (Shea) Butter, Calendula Officinalis Flower Extract, Caprylic/Capric Triglyceride, Caprylyl Glycol, Cetyl Alcohol, Cetyl Palmitate, Chlorphenesin, Citronellol, Coco-Caprylate/Caprate, Coumarin, Geraniol, Glycerin, Helianthus Annuus (Sunflower) Seed Oil, Hydrogenated Rapeseed Oil, Jojoba Esters, Limonene, Linalool, Linum Usitatissimum (Linseed) Seed Extract, Mel Extract/Honey Extract, Parfum/Fragrance, Polyglyceryl-3 Beeswax, Polyglyceryl-6 Distearate, Prunus Amygdalus Dulcis (Sweet Almond) Fruit Extract, Sodium Polyacrylate, Sodium Stearoyl Glutamate, Tocopherol, Urea, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/E63A4E59D8F43D/large_1737061886.jpeg?1737061886,https://www.skinsafeproducts.com/l-occitane-en-provence-body-rich-lotion-shea-butter-8-4-fl-oz-250-ml
1-200.csv,"L'occitane En Provence Smoothing & Beautifying Milk Concentrate, Almond, 6.9 oz/200 mL",L'Occitane En Provence,Body,Creams,"1,2-Hexanediol, Aqua/Water, Benzoic Acid, Biosaccharide Gum-1, Caprylic/Capric Triglyceride, Caprylyl Glycol, Carbomer, Cetearyl Alcohol, Cetearyl Glucoside, Chlorphenesin, Citric Acid, Coco-Caprylate/Caprate, Coumarin, Disodium Edta, Glycerin, Glyceryl Caprylate, Hydrogenated Lecithin, Juglans Regia (Walnut) Seed Extract, Limonene, Linalool, Mannitol, Methylpropanediol, Methylsilanol Mannuronate, Parfum/Fragrance, Potassium Cetyl Phosphate, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Prunus Amygdalus Dulcis (Sweet Almond) Protein, Prunus Amygdalus Dulcis (Sweet Almond) Seed Extract, Sodium Citrate, Sodium Hydroxide, Sodium Metabisulfite, Sodium Polyacrylate, Sorbic Acid, Tapioca Starch",https://cdn1.skinsafeproducts.com/photo/35D6FC07469A99/large_1727399891.jpeg?1727399891,https://www.skinsafeproducts.com/l-occitane-en-provence-smoothing-beautifying-milk-concentrate-almond-6-9-oz-200-ml
1-200.csv,"L'Occitane Intensive Hand Balm, Shea Butter, 5.3 oz/150 mL",L'Occitane En Provence,Hand,Balms,"Aqua/Water, Beta-Glucan, Brassica Campestris (Rapeseed) Sterols, Butyrospermum Parkii (Shea) Butter, Caprylic/Capric Triglyceride, Caprylyl Glycol, Cetearyl Alcohol, Cetearyl Glucoside, Citric Acid, Coco-Caprylate/Caprate, Glycerin, Glyceryl Caprylate, Glyceryl Stearate Se, Helianthus Annuus (Sunflower) Seed Oil, Hydrogenated Rapeseed Oil, Parfum/Fragrance, Pentylene Glycol, Sodium Gluconate, Sodium Pca, Sodium Stearoyl Glutamate, Tapioca Starch, Tocopherol, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/B027A5284778AC/large_1722171586.jpeg?1722171586,https://www.skinsafeproducts.com/l-occitane-intensive-hand-balm-shea-butter-5-3-oz-150-ml
1-200.csv,"L’Occitane Moisturizing & Smoothing Body Lotion, Almond Milk Veil, 8 fl oz/240 mL",L’OCCITANE,Body,Lotions,"Aqua/Water, Butyrospermum Parkii (Shea) Butter, Caprylic/Capric Triglyceride, Caprylyl Glycol, Cetyl Alcohol, Cetyl Palmitate, Citric Acid, Coumarin, Glycerin, Helianthus Annuus (Sunflower) Seed Oil, Hydrogenated Lecithin, Jojoba Esters, Limonene, Linalool, Mannitol, Methylpropanediol, Methylsilanol Mannuronate, Parfum/Fragrance, Polyglyceryl-3 Beeswax, Polyglyceryl-6 Distearate, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Prunus Amygdalus Dulcis (Sweet Almond) Protein, Sodium Citrate, Sodium Polyacrylate, Sodium Stearoyl Glutamate, Tocopherol, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/7572C7BCBDE224/large_1719612447.jpeg?1719612447,https://www.skinsafeproducts.com/l-occitane-moisturizing-smoothing-body-lotion-almond-milk-veil-8-fl-oz-240-ml
1-200.csv,"L'ocittane Ultra Rich Body Cream, 6.9 oz/200 mL",L'Occitane En Provence,Body,Creams,"Aqua/Water, Beta-Glucan, Butyrospermum Parkii (Shea) Butter, Caprylyl Glycol, Ceteareth-33, Cetearyl Alcohol, Dicaprylyl Carbonate, Dimethicone, Glycerin, Glyceryl Caprylate, Glyceryl Stearate, Helianthus Annuus (Sunflower) Seed Oil, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Parfum Fragrance, Peg-100 Stearate, Pentylene Glycol, Polysorbate 60, Sodium Pca, Sorbitan Isostearate, Tapioca Starch, Tocopherol, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/545522A366DAF0/large_1717805045.jpeg?1717805045,https://www.skinsafeproducts.com/l-ocittane-ultra-rich-body-cream-6-9-oz-200-ml
1-200.csv,"L'Occitane Light Comforting Cream, 5 % Shea Butter, 1.7 oz/50 mL",L'Occitane En Provence,Face,Creams,"Alpha-Isomethyl Ionone, Aqua/Water, Benzyl Alcohol, Benzyl Benzoate, Butyrospermum Parkii (Shea) Butter, Carbomer, Cetearyl Alcohol, Chlorphenesin, Citronellol, Corn Starch Modified, Coumarin, Dicaprylyl Ether, Ethylhexylglycerin, Glycerin, Helianthus Annuus (Sunflower) Seed Oil, Hexyl Cinnamal, Hydrogenated Palm Glycerides, Limonene, Linalool, Octyldodecyl Myristate, Parfum/Fragrance, Potassium Cetyl Phosphate, Sodium Hydroxide, Sodium Stearoyl Glutamate, Tocopherol, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/7C3D2E2D73AD2B/large_1712861992.jpeg?1712861992,https://www.skinsafeproducts.com/l-occitane-light-comforting-cream-5-shea-butter-1-7-oz-50-ml
1-200.csv,"L’Occitane En Provence Foot Balm, Shea Butter, 5.3 oz/150 mL",L’OCCITANE,Feet,Balms,"Allantoin, Alpha-Isomethyl Ionone, Aqua/Water, Butyrospermum Parkii (Shea) Butter, Caprylyl Glycol, Ceteareth-33, Cetearyl Alcohol, Chlorphenesin, Citronellol, Coco-Caprylate/ Caprate, Cocos Nucifera (Coconut) Oil, Coumarin, Disodium Edta, Geraniol, Glycerin, Glyceryl Stearate, Helianthus Annuus (Sunflower) Seed Oil, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Limonene, Linalool, Panthenol, Parfum/Fragrance, Peg-100 Stearate, Polysorbate 60, Sodium Pca, Sorbitan Isostearate, Tapioca Starch, Tocopherol, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/C9F150321A5E0E/large_1709589084.jpeg?1709589084,https://www.skinsafeproducts.com/l-occitane-en-provence-foot-balm-shea-butter-5-3-oz-150-ml
1-200.csv,"L'Occitane Almond Supple Skin Oil, 3.3 fl oz/100 mL",L’OCCITANE,Body,Oils,"Camelina Sativa Seed Oil, Caprylic/Capric Triglyceride, Citral, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Coumarin, Daucus Carota Sativa (Carrot) Root Extract, Dioleyl Tocopheryl Methylsilanol, Helianthus Annuus (Sunflower) Seed Oil, Hippophae Rhamnoides Fruit Oil, Limonene, Linalool, Oleyl Alcohol, Parfum/Fragrance, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Rosa Canina Fruit Oil, Tocopherol",https://cdn1.skinsafeproducts.com/photo/26838052A5E4EC/large_1708950165.jpeg?1708950165,https://www.skinsafeproducts.com/l-occitane-almond-supple-skin-oil-3-3-fl-oz-100-ml
1-200.csv,"L'Occitane En Provence Hand Cream, Shea Butter, 1 oz/30 mL",L'Occitane En Provence,Hand,Creams,"Alpha-Isomethyl Ionone, Aqua/Water, Argania Spinosa Kernel Oil, Beta-Glucan, Brassica Campestris (Rapeseed) Sterols, Butyrospermum Parkii (Shea) Butter, Caprylyl Glycol, Ceteareth-33, Cetearyl Alcohol, Citronellol, Coco-Caprylate/Caprate, Cocos Nucifera (Coconut) Oil, Coumarin, Ethylhexylglycerin, Geraniol, Glycerin, Glyceryl Stearate, Helianthus Annuus (Sunflower) Seed Oil, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Limonene, Linalool, Parfum/Fragrance, Peg-100 Stearate, Pentylene Glycol, Polysorbate 60, Sorbitan Isostearate, Tocopherol",https://cdn1.skinsafeproducts.com/photo/9BE7B99C1EFB7B/large_1709009959.pngpng?1709009959,https://www.skinsafeproducts.com/l-occitane-en-provence-hand-cream-shea-butter-1-oz-30-ml
1-200.csv,"L'Occitane Immortelle Overnight Reset Oil-In-Serum, 1.6 oz",L'Occitane En Provence,Skin Treatments,Serums,"Acmella Oleracea Extract, Adenosine, Amodimethicone, Aqua/Water, Beta Carotene (Ci 40800), Butylene Glycol, Carbomer, Cellulose Gum, Chlorphenesin, Dextrin Palmitate, Disodium Edta, Fructose, Glycerin, Helianthus Annuus (Sunflower) Seed Oil, Helichrysum Italicum Extract, Helichrysum Italicum Flower Oil, Isononyl Isononanoate, Limnanthes Alba (Meadowfoam) Seed Oil, Maltodextrin, Origanum Majorana Leaf Extract, Palmitic Acid, Parfum/Fragrance, Pentylene Glycol, Propanediol, Sodium Hydroxide, Tocopherol",https://cdn1.skinsafeproducts.com/photo/56F51C3F81FE48/large_1704873466.jpeg?1704873466,https://www.skinsafeproducts.com/l-occitane-immortelle-overnight-reset-oil-in-serum-1-6-oz
