File,product_name,brand,usage_type,category,ingredients,image_url,product_url
1-200.csv,"Medik8 Total Moisture Daily Facial Cream, 1.6 fl oz/50 mL",Medik8,Face,Creams,"1,2-Hexanediol, Acetyl Heptapeptide-4, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Allantoin, Aqua (Water), Arachidyl Alcohol, Arachidyl Glucoside, Behenyl Alcohol, Bis-Peg-18 Methyl Ether Dimethyl Silane, Butylene Glycol, Caprylic/Capric Triglyceride, Caprylyl Glycol, Carbomer, Ceramide Np, Cetearyl Alcohol, Cetearyl Glucoside, Diglycerin, Dimethicone, Disodium Edta, Ethylhexylglycerin, Glycerin, Glyceryl Glucoside, Hydrogenated Polydecene, Hydrolyzed Wheat Protein, Inulin, Lactic Acid, Linoleic Acid, Linolenic Acid, Lysine, Oryza Sativa (Rice) Lees Extract, Pca, Pentaerythrityl Tetraethylhexanoate, Phenoxyethanol, Propanediol, Saccharomyces Ferment Filtrate, Sodium Hyaluronate, Sodium Hydroxide, Sodium Pca, Sodium Polyacryloyldimethyl Taurate, Sorbitol, Squalane, Tocopherol, Tocopheryl Acetate, Trideceth-10, Urea, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/C58654A9BC7631/large_1728886382.pngpng?1728886382,https://www.skinsafeproducts.com/medik8-total-moisture-daily-facial-cream-1-6-fl-oz-50-ml
1-200.csv,"Medik8 Liquid Rehydration Serum, Hydr8 B5, 1 fl oz/30 mL",Medik8,Skin Treatments,Serums,"Calcium Pantothenate, Citric Acid, Ethylhexylglycerin, Panthenol, Phenoxyethanol, Sodium Hyaluronate, Water",https://cdn1.skinsafeproducts.com/photo/04C90BBE0B6F46/large_1706304237.jpeg?1706304237,https://www.skinsafeproducts.com/medik8-liquid-rehydration-serum-hydr8-b5-1-fl-oz-30-ml
1-200.csv,"Medik8 Advanced Night Ceramide, 1.7oz / 48g",Medik8,Face,Nighttime Moisturizers,"Propylene Glycol, Acetyl Glucosamine, Amelanchier Alnifolia Fruit Extract, Anthemis Nobilis Flower Oil, Ascorbic Acid, Ascorbyl Palmitate, Behenic Acid, Behenyl Alcohol, Benzyl Alcohol, C12-16 Alcohols, Caprooyl Phytosphingosine, Caprooyl Sphingosine, Caprylic/Capric Triglyceride, Carbomer, Ceramide Eop, Ceramide Eos, Ceramide Np, Ceramide Ns, Ceteareth-25, Cetearyl Alcohol, Cetearyl Olivate, Cetyl Alcohol, Cholesterol, Citric Acid, Citrus Aurantium Amara (Bitter Orange) Flower Oil, Citrus Aurantium Dulcis (Orange) Peel Oil, Dehydroacetic Acid, Di Sodium Edta, Dimethicone, Ethylhexylglycerin, Ferric Hexapeptide-35, Geraniol, Glycerin, Hydrogenated Lecithin, Hylocereus Undatus Fruit Extract, Lavandula Angustifolia (Lavender) Oil, Limonene, Linalool, Linoleic Acid, Palmitic Acid, Phenoxyethanol, Phytosphingosine, Phytosterols, Pogostemon Cablin Leaf Oil, Rosmarinus Officinalis (Rosemary) Leaf Oil, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Sodium Lauroyl Lactylate, Sorbitan Olivate, Sorbitol, Squalane, Stearic Acid, Tocopherol, Tocopheryl Acetate, Tremella Fuciformis (Mushroom) Extract, Vetiveria Zizanoides Root Oil, Water, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/91F36710ED4628/large_1723499441.jpeg?1723499441,https://www.skinsafeproducts.com/medik8-advanced-night-ceramide-1-7oz-48g
1-200.csv,"Medik8 R-Retinoate Day & Night Youth Activating Cream, 1.7 oz/48 g",Medik8,Face,Creams,"3-O-Ethyl Ascorbic Acid, Aqua (Water), Bht, Canola Oil, Caprylic/Capric Triglyceride, Caprylyl Glycol, Cetearyl Alcohol, Cetearyl Isononanoate, Cetearyl Olivate, Cholesteryl Nonanoate, Disodium Edta, Distarch Phosphate, Glycerin, Heptyl Undecylenate, Hydrogenated Polydecene, Hydroxyacetophenone, Methylpropanediol, Phenylpropanol, Polylactic Acid, Retinyl Retinoate, Sodium Hyaluronate, Sodium Hydroxide, Sodium Metabisulfite, Sodium Polyacryloyldimethyl Taurate, Sorbitan Olivate, Tetrahexyldecyl Ascorbate, Tocopheryl Acetate, Trideceth-10, Vanilla Planifolia (Vanilla) Fruit Extract",https://cdn1.skinsafeproducts.com/photo/C94F828437C93D/large_1712583579.jpeg?1712583579,https://www.skinsafeproducts.com/medik8-r-retinoate-day-night-youth-activating-cream-1-7-oz-48-g
1-200.csv,"Medik8 Press & Glow Daily Exfoliating PHA Tonic, Enzyme Activator, 6.7 fl oz/200 mL",Medik8,Skin Care,Skin Treatments,"Aloe Barbadensis (Aloe Vera) Leaf Juice, Ethylhexylglycerin, Euterpe Oleracea Fruit Extract, Gluconolactone, Glycerin, Hydroxyacetophenone, Opuntia Ficus Indica Flower Extract, Phenoxyethanol, Potassium Sorbate, Sodium Benzoate, Sodium Citrate, Sodium Hydroxide, Water",https://cdn1.skinsafeproducts.com/photo/DF361689B5468B/large_1697586686.jpeg?1697586686,https://www.skinsafeproducts.com/medik8-press-glow-daily-exfoliating-pha-tonic-enzyme-activator-6-7-fl-oz-200-ml
1-200.csv,"Medik8 Crystal Retinal 10 Night Serum, 1 fl oz/30 mL",Medik8,Skin Treatments,Serums,"1,2-Hexanediol, 3-O-Ethyl Ascorbic Acid, Alumina, Aqua (Water), Bht, Caprylic/Capric Triglyceride, Cetearyl Alcohol, Cetearyl Olivate, Climbazole, Coumarin, Cyclodextrin, Daucus Carota Sativa (Carrot) Seed Oil, Decylene Glycol, Dipteryx Odorata (Tonka) Bean Extract, Disodium Edta, Eclipta Prostrata Extract, Ethylhexylglycerin, Glycerin, Hydroxyacetophenone, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Hydroxypropyl Methylcellulose, Isododecane, Isostearic Acid, Lecithin, Lonicera Caprifolium (Honeysuckle) Flower Extract, Lonicera Japonica (Honeysuckle) Flower Extract, Melia Azadirachta Leaf Extract, Moringa Oleifera Seed Oil, Pentylene Glycol, Phenoxyethanol, Polyglyceryl-3 Polyricinoleate, Polyhydroxystearic Acid, Polysorbate 60, Ppg-12/Smdi Copolymer, Retinal, Rubus Chamaemorus (Cloudberry) Seed Oil, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Sodium Hyaluronate, Sodium Polyaspartate, Sorbitan Isostearate, Sorbitan Olivate, Squalane, Stearic Acid, Tetrahexyldecyl Ascorbate, Titanium Dioxide, Tocopheryl Acetate, Vanilla Planifolia (Vanilla) Fruit Extract",https://cdn1.skinsafeproducts.com/photo/33A02FCA7EC4BF/large_1677885925.jpeg?1677885925,https://www.skinsafeproducts.com/medik8-crystal-retinal-10-night-serum-1-fl-oz-30-ml
1001-1200.csv,"Medik8 Advanced Night Rejuvenating Eye Cream, 0.5 fl oz/15 mL",Medik8,"Eye Cream, Gel, Oils, & Serum",Creams,"Propylene Glycol, Amelanchier Alnifolia (Saskatoon) Fruit Extract, Aqua (Water), Arginine, Ascorbic Acid, Benzyl Alcohol, Butylene Glycol, C12-16 Alcohols, Caffeine, Candelilla/Jojoba/Rice Bran Polyglyceryl-3 Esters, Caprylic/Capric Triglyceride, Carbomer, Cera Microcristallina, Cetearyl Alcohol, Cetearyl Olivate, Dehydroacetic Acid, Dimethicone, Ethylhexylglycerin, Ferric Hexapeptide-35, Glucosyl Hesperidin, Glycerin, Glyceryl Stearate, Hydrogenated Lecithin, Hylocereus Undatus (Dragon Fruit) Fruit Extract, Niacinamide, Nylon-12, Palmitic Acid, Palmitoyl Tetrapeptide-7, Palmitoyl Tripeptide-1, Phenoxyethanol, Pogostemon Cablin (Patchouli) Leaf Oil, Polysorbate 20, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Sodium Hyaluronate, Sodium Stearoyl Lactylate, Sorbitan Olivate, Sorbitol, Squalane, Stearic Acid, Tocopherol, Tremella Fuciformis (Snow Mushroom) Extract",https://cdn1.skinsafeproducts.com/photo/129FB07947B83C/large_1751515247.pngpng?1751515247,https://www.skinsafeproducts.com/medik8-advanced-night-rejuvenating-eye-cream-0-5-fl-oz-15-ml
1001-1200.csv,"Medik8 Surface Radiance Cleanse Gel, 5 fl oz/150 mL",Medik8,Facial Cleansers,Facial Gels,"Citric Acid, Citrus Aurantifolia (Lime) Oil, Citrus Aurantium Amara (Bitter Orange) Peel Oil, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Citrus Aurantium Dulcis (Orange) Flower Wax, Citrus Aurantium Dulcis (Orange) Peel Oil, Citrus Grandis (Grapefruit) Peel Oil, Cocamidopropyl Hydroxysultaine, Disodium Edta, Ethylhexylglycerin, Garcinia Mangostana Peel Extract, Glycerin, Lactic Acid, Limonene, Linalool, Maltodextrin, Mandelic Acid, Phenoxyethanol, Rubus Idaeus (Raspberry) Fruit Extract, Salicylic Acid, Sodium C14-16 Olefin Sulfonate, Sodium Cocoamphoacetate, Sodium Hydroxide, Water, Yucca Schidigera Root Extract",https://cdn1.skinsafeproducts.com/photo/7A40B8A051BFED/large_1749728966.jpeg?1749728966,https://www.skinsafeproducts.com/medik8-surface-radiance-cleanse-gel-5-fl-oz-150-ml
1001-1200.csv,"Medik8 Gentle Cleanse, Hydrating Rosemary Foam, 5 fl oz/150 mL",Medik8,Cleansers,Foaming Cleansers,"Benzyl Alcohol, Citric Acid, Cocamidopropyl Betaine, Coco-Glucoside, Decyl Glucoside, Dehydroacetic Acid, Disodium Cocoamphodiacetate, Ethylhexylglycerin, Glycerin, Phenoxyethanol, Rosmarinus Officinalis (Rosemary) Leaf Oil, Sodium Benzoate, Sodium Cocoamphoacetate, Water, Yucca Vera Leaf/Root Extract",https://cdn1.skinsafeproducts.com/photo/23EA05F5F2756D/large_1748328862.pngpng?1748328862,https://www.skinsafeproducts.com/medik8-gentle-cleanse-hydrating-rosemary-foam-5-fl-oz-150-ml
1001-1200.csv,"Medik8 Ultimate Recovery Bio-Cellulose Mask, 1.0 oz/30 g, 6 Count",Medik8,Skin Treatments,Facial Masks,"1,2-Hexanediol, Aqua (Water), Ascophyllum Nodosum Extract, Butylene Glycol, Carbomer, Cellulose Gum, Cocos Nucifera (Coconut) Fruit Extract, Disodium Edta, Epilobium Angustifolium (Willow Herb) Flower/Leaf/Stem Extract, Glycerin, Illicium Verum (Anise) Fruit Extract, Methylpropanediol, Phenoxyethanol, Portulaca Oleracea (Green Purslane) Extract, Pullulan, Scutellaria Baicalensis (Baikal Skullcap) Root Extract, Sodium Hyaluronate, Sodium Hydroxide, Zinc Pca",https://cdn1.skinsafeproducts.com/photo/306EFFEE8FD52E/large_1745053553.pngpng?1745053553,https://www.skinsafeproducts.com/medik8-ultimate-recovery-bio-cellulose-mask-1-0-oz-30-g-6-count
