File,product_name,brand,usage_type,category,ingredients,image_url,product_url
1-200.csv,"Niod Ethylated L-Ascorbic Acid 30% Network, 1 fl oz/30 mL",NIOD,Skin Treatments,Serums,"Ethyl Ascorbic Acid, Propanediol, Saccharomyces/Zinc Ferment, Superoxide Dismutase",https://cdn1.skinsafeproducts.com/photo/2D083EDF159168/large_1673850886.pngpng?1673850886,https://www.skinsafeproducts.com/niod-ethylated-l-ascorbic-acid-30-network-1-fl-oz-30-ml
1-200.csv,"Niod Multi-Molecular Hyaluronic Complex, 0.5 fl oz/15 mL",NIOD,Skin Treatments,Serums,"1,2-Hexanediol, Alanine, Algae Extract, Aqua (Water), Arginine, Aspartic Acid, Benzyl Alcohol, Betaine, Caprylyl Glycol, Ceratonia Siliqua Gum, Cetyl Hydroxyethylcellulose, Citric Acid, Dehydroacetic Acid, Dimethyl Isosorbide, Disodium Acetyl Glucosamine Phosphate, Epigallocatechin Gallatyl Glucoside, Ethoxydiglycol, Ethylhexylglycerin, Gallyl Glucoside, Glycerin, Glycine, Histidine, Hyaluronic Acid, Hydrolyzed Sodium Hyaluronate, Hydrolyzed Yeast Extract, Isoleucine, Lecithin, Magnesium Chloride, Myristoyl Nonapeptide-3, Pca, Pentylene Glycol, Phenoxyethanol, Phenylalanine, Plantago Lanceolata Leaf Extract, Polyglucuronic Acid, Polysorbate 20, Potassium Sorbate, Proline, Propanediol, Propyl Gallate, Pseudoalteromonas Exopolysaccharides, Pullulan, Salvia Sclarea Extract, Sclerotium Gum, Serine, Silica, Sodium Benzoate, Sodium Butyroyl Hyaluronate, Sodium Hyaluronate, Sodium Hyaluronate Crosspolymer, Sodium Lactate, Sodium Pca, Sodium Salicylate, Tamarindus Indica Seed Gum, Tetradecyl Aminobutyroylvalylaminobutyric Urea Trifluoroacetate, Threonine, Tremella Fuciformis Sporocarp Extract, Trisodium Ethylenediamine Disuccinate, Valine, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/8E7960B43FE5C3/large_1658815807.pngpng?1658815807,https://www.skinsafeproducts.com/niod-multi-molecular-hyaluronic-complex-0-5-fl-oz-15-ml
1-200.csv,"Niod Sanskrit Saponins, 3 fl oz/90 mL",NIOD,Cleansers,Facial Cleansers,"1,2-Hexanediol, Acacia Concinna Fruit Extract, Acacia Senegal Gum, Aqua (Water), Arginine, Balanites Aegyptiaca (Desert Date) Fruit Extract, Caprylic/Capric Triglyceride, Caprylyl Glycol, Chlorphenesin, Ethylhexylglycerin, Glycerin, Gypsophila Paniculata Root Extract, Melanin, Pentylene Glycol, Phenoxyethanol, Polyacrylate Crosspolymer-6, Polysorbate 60, Potassium Sorbate, Sapindus Mukurossi Fruit Extract, Sodium Benzoate, Sorbic Acid, Stearic Acid, Trisodium Ethylenediamine Disuccinate, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/3A410F18DD8307/large_1596777504.jpeg?1596777504,https://www.skinsafeproducts.com/niod-sanskrit-saponins-90ml
1-200.csv,"Niod Multi-Molecular Hyaluronic Complex, 1 fl oz/30 mL",NIOD,Moisturizers,Face,"1,2-Hexanediol, Alanine, Algae Extract, Arginine, Aspartic Acid, Benzyl Alcohol, Betaine, Caprylyl Glycol, Ceratonia Siliqua Gum, Cetyl Hydroxyethylcellulose, Citric Acid, Dehydroacetic Acid, Dimethyl Isosorbide, Disodium Acetyl Glucosamine Phosphate, Epigallocatechin Gallatyl Glucoside, Ethoxydiglycol, Ethylhexylglycerin, Gallyl Glucoside, Glycerin, Glycine, Histidine, Hydrolyzed Sodium Hyaluronate, Hydrolyzed Yeast Extract, Isoleucine, Lecithin, Magnesium Chloride, Myristoyl Nonapeptide-3, Pca, Pentylene Glycol, Phenoxyethanol, Phenylalanine, Plantago Lanceolata Leaf Extract, Polyglucuronic Acid, Polysorbate 20, Potassium Sorbate, Proline, Propanediol, Propyl Gallate, Pseudoalteromonas Exopolysaccharides, Pullulan, Salvia Sclarea Extract, Sclerotium Gum, Serine, Silica, Sodium Benzoate, Sodium Butyroyl Hyaluronate, Sodium Hyaluronate, Sodium Hyaluronate Crosspolymer, Sodium Lactate, Sodium Salicylate, Tamarindus Indica Seed Gum, Tetradecyl Aminobutyroylvalylaminobutyric Urea Trifluoroacetate, Threonine, Tremella Fuciformis Sporocarp Extract, Trisodium Ethylenediamine Disuccinate, Valine, Water\Aqua\Eau, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/0E78DBD4F55A22/large_1515833959.jpeg?1515833959,https://www.skinsafeproducts.com/niod-multi-molecular-hyaluronic-complex-1-oz
1-200.csv,"NIOD Flavanone Mud Mask, 1.7 fl oz",NIOD,Skin Treatments,Facial Masks,"Acacia Senegal Gum, Alteromonas Ferment Extract, Argilla, Arginine, Butylene Glycol, Carrageenan, Chamomilla Recutita (Matricaria) Flower Extract, Chlorphenesin, Ethoxydiglycol, Glucosyl Hesperidin, Glycerin, Glycosphingolipids, Isodecyl Neopentanoate, Kaolin, Mica, Montmorillonite, Naringenin, Panthenyl Triacetate, Perfluorodecalin, Phenoxyethanol, Potassium Azeloyl Diglycinate, Potassium Sorbate, Propanediol, Quartz, Resveratrol, Silica Cetyl Silylate, Simmondsia Chinensis (Jojoba) Seed Oil, Sodium Benzoate, Sucrose Palmitate, Trisodium Ethylenediamine Disuccinate, Water\Aqua\Eau, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/097133E1CE4328/large_1553368929.jpeg?1553368929,https://www.skinsafeproducts.com/niod-flavanone-mud-mask-1-7-fl-oz
1401-1600.csv,"NIOD Copper Amino Isolate Serum, 0.5 fl oz/15 mL",NIOD,Skin Treatments,Serums,"Acetyl Tetrapeptide-2, Aqua (Water), Caprylyl Glycol, Chlorphenesin, Dextran, Dimethyl Isosorbide, Ethoxydiglycol, Ethylhexylglycerin, Glycerin, Glycogen, Isoceteth-20, Leuconostoc/Radish Root Ferment Filtrate, Myristoyl Nonapeptide-3, Pentylene Glycol, Phenoxyethanol, Propanediol, Sodium Hyaluronate Crosspolymer, Trifluoroacetyl Tripeptide-2, Tripeptide-1 Acetate, Tripeptide-1 Copper Acetate, Tripeptide-29",https://cdn1.skinsafeproducts.com/photo/3E09C26343E387/large_1733371289.pngpng?1733371289,https://www.skinsafeproducts.com/niod-copper-amino-isolate-serum-0-5-fl-oz-15-ml
2001-2200.csv,"NIOD Copper Amino Isolate Lipid 1%, 0.5 fl oz/15 mL",NIOD,Face,Gels,"Aphanizomenon Flos-Aquae Extract, Aqua (Water), Biosaccharide Gum-1, Bisabolol, Caprylic/Capric Triglyceride, Chlorphenesin, Copper Tripeptide-1 Palmitamide, Glycerin, Glycolipids, Hydrogenated Starch Hydrolysate, Hydroxymethoxyphenyl Decanone, Hydroxymethoxyphenyl Propylmethylmethoxybenzofuran, Maltodextrin, Phenoxyethanol, Potassium Sorbate, Propanediol, Sodium Benzoate, Squalane, Sucrose Laurate, Sucrose Stearate, Vetiveria Zizanoides Root Extract",https://cdn1.skinsafeproducts.com/photo/01F26A8021DB81/large_1745902167.pngpng?1745902167,https://www.skinsafeproducts.com/niod-copper-amino-isolate-lipid-1-0-5-fl-oz-15-ml
201-400.csv,"NIOD Copper Amino Isolate Serum 2:1, 1 fl oz/30 mL",NIOD,Skin Treatments,Serums,"Acetyl Tetrapeptide-2, Aqua (Water), Caprylyl Glycol, Chlorphenesin, Dextran, Dimethyl Isosorbide, Ethoxydiglycol, Ethylhexylglycerin, Glycerin, Glycogen, Isoceteth-20, Leuconostoc/Radish Root Ferment Filtrate, Myristoyl Nonapeptide-3, Pentylene Glycol, Phenoxyethanol, Propanediol, Sodium Hyaluronate Crosspolymer, Trifluoroacetyl Tripeptide-2, Tripeptide-1 Acetate, Tripeptide-1 Copper Acetate, Tripeptide-29",https://cdn1.skinsafeproducts.com/photo/6D2E7E81DBFC6B/large_1717579616.pngpng?1717579616,https://www.skinsafeproducts.com/niod-copper-amino-isolate-serum-2-1-1-fl-oz-30-ml
201-400.csv,"Niod Lip Bio-Lipid Concentrate, 0.5 fl oz/15 mL",NIOD,Skin Care,Lip Care,"Anemarrhena Asphodeloides Root Extract, Aqua (Water), Bht, Butylene/Ethylene/Styrene Copolymer, C12-15 Alkyl Benzoate, C13-16 Isoparaffin, Caprylic/Capric Triglyceride, Cetearyl Ethylhexanoate, Commiphora Mukul Resin Extract, Dimethyl Isosorbide, Ethylene/Propylene/Styrene Copolymer, Ethylhexyl Palmitate, Glucomannan, Hippophae Rhamnoides Fruit Oil, Hydrogenated Polyisobutene, Hydroxymethoxyphenyl Propylmethylmethoxybenzofuran, Methyl Nicotinate, Oleic/Linoleic/Linolenic Polyglycerides, Palmitoyl Hexapeptide-12, Palmitoyl Tripeptide-1, Palmitoyl Tripeptide-38, Pentaclethra Macroloba Seed Oil, Pentaerythrityl Tetraisostearate, Plukenetia Volubilis Seed Oil, Pongamia Pinnata (Karanja) Seed Oil, Portulaca Pilosa Extract, Propylene Carbonate, Sesamum Indicum (Sesame) Seed Extract, Silica Dimethyl Silylate, Sodium Hyaluronate, Sorbitan Isostearate, Stearalkonium Hectorite, Sucrose Cocoate, Tocopherol, Trihydroxystearin",https://cdn1.skinsafeproducts.com/photo/56AF5D4B57953B/large_1715893322.jpeg?1715893322,https://www.skinsafeproducts.com/niod-lip-bio-lipid-concentrate-0-5-fl-oz-15-ml
401-600.csv,"Niod Non-Acid Precursor 15%, 1 fl oz/30 mL",NIOD,Skin Treatments,Serums,"Aqua (Water), Bisabolol, Chlorphenesin, Citric Acid, Ethoxydiglycol, Ethyl Linoleate, Glycerin, Hexanoyl Dipeptide-3 Norleucine Acetate, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Isohexadecane, Lactococcus Ferment Lysate, Lecithin, Myristoyl Nonapeptide-3, Pentylene Glycol, Phenoxyethanol, Polyacrylate Crosspolymer-6, Polysorbate 60, Potassium Sorbate, Pseudoalteromonas Exopolysaccharides, Sodium Benzoate, Sodium Chloride, Sodium Salicylate, Sorbitan Isostearate, Soy Amino Acids, Trisodium Ethylenediamine Disuccinate, Yeast Extract",https://cdn1.skinsafeproducts.com/photo/0213504C36C3E3/large_1606011152.jpeg?1606011152,https://www.skinsafeproducts.com/niod-non-acid-precursor-15-1-fl-oz-30-ml
