File,product_name,brand,usage_type,category,ingredients,image_url,product_url
1-200.csv,"Olay Complete + Daily Facial Moisturizer, SPF 40, 6.0 fl oz/177 mL",Olay,Face,Moisturizers with SPF,"1,2-Hexanediol, Avobenzone, Behenyl Alcohol, Caprylyl Glycol, Cetearyl Alcohol, Cetearyl Glucoside, Cetyl Alcohol, Dimethicone, Dimethiconol, Disodium Edta, Glycerin, Homosalate, Niacinamide, Octisalate, Octocrylene, Oryza Sativa (Rice) Bran Extract, Palmitic Acid, Panthenol, Peg-100 Stearate, Phenoxyethanol, Polymethylsilsesquioxane, Sodium Polyacrylate Starch, Stearic Acid, Stearyl Alcohol, Tapioca Starch, Tocopheryl Acetate, Water",https://cdn1.skinsafeproducts.com/photo/738392C23A498F/large_1713759754.pngpng?1713759754,https://www.skinsafeproducts.com/olay-complete-daily-facial-moisturizer-spf-40-6-0-fl-oz-177-ml
1-200.csv,"Olay Regenersit Hyaluronic + Peptide 24 Hydrating Moisturizer, SPF 30, 1.7 fl oz/50 mL",Olay,Face,Moisturizers with SPF,"1,2-Hexanediol, Avobenzone, Behenyl Alcohol, Caprylyl Glycol, Cetearyl Alcohol, Cetearyl Glucoside, Cetyl Alcohol, Dimethicone, Dimethiconol, Disodium Edta, Glycerin, Homosalate, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Niacinamide, Octisalate, Octocrylene, Palmitic Acid, Palmitoyl Pentapeptide-4, Panthenol, Peg-100 Stearate, Phenoxyethanol, Sodium Hyaluronate, Stearic Acid, Stearyl Alcohol, Water, Zea Mays (Corn) Starch",https://cdn1.skinsafeproducts.com/photo/D4088B202C2F53/large_1663288835.jpeg?1663288835,https://www.skinsafeproducts.com/olay-regenersit-hyaluronic-peptide-24-hydrating-moisturizer-spf-30-1-7-fl-oz-50-ml
1-200.csv,"Olay Regenerist Hydrating Moisturizer, Brightening + Vitamin C, Fragrance Free, 1.7 oz/48 g",Olay,Face,Creams,"1,2-Hexanediol, Behenyl Alcohol, C13-14 Isoparaffin, Caprylyl Glycol, Cetearyl Alcohol, Cetearyl Glucoside, Cetyl Alcohol, Citric Acid, Disodium Edta, Glycerin, Inositol, Isohexadecane, Isopropyl Isostearate, Laureth-7, Niacinamide, Palmitic Acid, Panthenol, Peg-100 Stearate, Phenoxyethanol, Polyacrylamide, Sodium Ascorbyl Phosphate, Stearic Acid, Stearyl Alcohol, Water",https://cdn1.skinsafeproducts.com/photo/79C2680FF178FB/large_1636525843.pngpng?1636525843,https://www.skinsafeproducts.com/olay-regenerist-hydrating-moisturizer-brightening-vitamin-c-fragrance-free-1-7-oz-48-g
1-200.csv,Olay Regenerist Retinol 24+ Peptide Night Hydrating Moisturizer & Retinol Facial Cleanser Set,Olay,Skin Care,Sets & Kits,"Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Alcohol, Aminomethyl Propanol, Behenyl Alcohol, C13-14 Isoparaffin, Cetyl Alcohol, Cetyl Betaine, Dimethicone, Dimethicone Crosspolymer, Dimethiconol, Disodium Edta, Distearyldimonium Chloride, Dmdm Hydantoin, Glycerin, Hydrated Silica, Iodopropynyl Butylcarbamate, Laureth-4, Laureth-7, Niacinamide, Palmitoyl Pentapeptide-4, Polyacrylamide, Polymethylsilsesquioxane, Polysorbate 20, Ppg-15 Stearyl Ether, Ppg-30, Retinol, Retinyl Propionate, Salicylic Acid, Sodium Lauryl Sulfate, Steareth-2, Steareth-21, Stearyl Alcohol, Tapioca Starch, Titanium Dioxide, Water",https://cdn1.skinsafeproducts.com/photo/9A431212F53BE6/large_1710042853.jpeg?1710042853,https://www.skinsafeproducts.com/olay-regenerist-retinol-24-peptide-night-hydrating-moisturizer-retinol-facial-cleanser-set
1-200.csv,"Olay Complete + Rich Moisturizing Cream, Vitamin B3 + Vitamin E & Ceramides, 8.5 oz/241 g",Olay,Face,Creams,"Behenyl Alcohol, C13-14 Isoparaffin, Cetearyl Alcohol, Cetearyl Glucoside, Cetyl Alcohol, Dimethicone, Dimethiconol, Disodium Edta, Glycerin, Hydrogenated Shea Butter, Hydroxyacetophenone, Isohexadecane, Isopropyl Isostearate, Laureth-7, Niacinamide, Oryza Sativa (Rice) Bran Extract, Palmitic Acid, Panthenol, Peg-100 Stearate, Phenoxyethanol, Polyacrylamide, Stearic Acid, Stearyl Alcohol, Tocopheryl Acetate, Water",https://cdn1.skinsafeproducts.com/photo/346E241A9208AF/large_1711686953.pngpng?1711686953,https://www.skinsafeproducts.com/olay-complete-rich-moisturizing-cream-vitamin-b3-vitamin-e-ceramides-8-5-oz-241-g
1-200.csv,"Olay Sensitive Facial Cleanser, 16 fl oz/473 mL",Olay,Facial Cleansers,Facial Washes,"Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Avena Sativa (Oat) Kernel Extract, Citric Acid, Cocamidopropyl Betaine, Disodium Edta, Glyceryl Oleate, Guar Hydroxypropyltrimonium Chloride, Niacinamide, Petrolatum, Sodium Benzoate, Sodium Chloride, Sodium Citrate, Sodium Hydroxide, Sodium Salicylate, Sodium Trideceth Sulfate, Trideceth-3, Water, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/24D6439DE3C476/large_1703149299.pngpng?1703149299,https://www.skinsafeproducts.com/olay-sensitive-hydrating-daily-face-cleanser-oat-extract-16-fl-oz-473-ml
1-200.csv,"Olay Niacinamide + Peptide 24 Anti-Wrinkle Serum, 1.3 fl oz/40 mL",Olay,Anti-Aging/Anti-Wrinkle,Anti-Wrinkle,"C13-14 Isoparaffin, Dimethicone, Dimethicone Crosspolymer, Disodium Edta, Glycerin, Hydroxyacetophenone, Laureth-4, Laureth-7, Niacinamide, Palmitoyl Pentapeptide-4, Panthenol, Phenoxyethanol, Polyacrylamide, Polysorbate 20, Vitamin B3, Water/Eau",https://cdn1.skinsafeproducts.com/photo/14F85AB60CED70/large_1700192168.jpeg?1700192168,https://www.skinsafeproducts.com/olay-niacinamide-peptide-24-anti-wrinkle-serum-1-3-fl-oz-40-ml
1-200.csv,"Olay Cleanse Gentle Foaming Face Cleanser, 6.7 fl oz, 200 mL",Olay,Facial Cleansers,Facial Foaming Cleansers,"Aloe Barbadensis Leaf Extract, Citric Acid, Cocamide Mea, Disodium Edta, Dmdm Hydantoin, Glycerin, Glycol Distearate, Laureth-10, Peg-120 Methyl Glucose Dioleate, Peg-150 Pentaerythrityl Tetrastearate, Phenoxyethanol, Polyquaternium-10, Sodium Laureth Sulfate, Sodium Lauroamphoacetate, Sodium Myristoyl Sarcosinate, Sodium Trideceth Sulfate, Water",https://cdn1.skinsafeproducts.com/photo/DB9265A281ED4E/large_1698986946.pngpng?1698986946,https://www.skinsafeproducts.com/olay-cleanse-gentle-foaming-face-cleanser-6-7-fl-oz-200-ml
1-200.csv,"Olay Regenerist Hyaluronic + Peptide 24 Gel Face Moisturizer, .5 fl oz/15 mL",Olay,Face,Creams,"Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Aminomethyl Propanol, C13-14 Isoparaffin, Dimethicone, Dimethiconol, Disodium Edta, Ethylhexylglycerin, Glycerin, Hydroxyacetophenone, Laureth-4, Laureth-7, Niacinamide, Palmitoyl Pentapeptide-4, Panthenol, Peptide, Phenoxyethanol, Polyacrylamide, Polysorbate 20, Pro-Vitamin B5, Sodium Hyaluronate, Water",https://cdn1.skinsafeproducts.com/photo/CCEF6CFDC32EB6/large_1680356479.jpeg?1680356479,https://www.skinsafeproducts.com/olay-regenerist-hyaluronic-peptide-24-gel-face-moisturizer-5-fl-oz-15-ml
1-200.csv,"Olay Niacinamide + Peptide 24 Clarifying Face Wash, Sulfate-Free,16 fl oz/473 mL",Olay,Facial Cleansers,Facial Washes,"Citric Acid, Disodium Edta, Fragrance, Glycerin, Glyceryl Caprylate/Caprate, Marine Peptides, Niacinamide, Palmitoyl Pentapeptide-4, Peg-200 Hydrogenated Glyceryl Palmate, Peg-7 Glyceryl Cocoate, Salicylic Acid, Sodium Benzoate, Sodium Chloride, Sodium Lauroamphoacetate, Sodium Myristoyl Sarcosinate, Trehalose, Vitamin B3, Water",https://cdn1.skinsafeproducts.com/photo/26770A9A770E23/large_1690320236.jpeg?1690320236,https://www.skinsafeproducts.com/olay-niacinamide-peptide-24-clarifying-face-wash-sulfate-free-16-fl-oz-473-ml
