File,product_name,brand,usage_type,category,ingredients,image_url,product_url
1-200.csv,"SkinCeuticals Discoloration Defense Serum, 30 mL (1.0 fl oz)",SkinCeuticals,Skin Treatments,Serums,"Allantoin, Aqua / Water, Butylene Glycol, Caprylyl Glycol, Chlorphenesin, Disodium Edta, Glycerin, Hydroxyethyl Urea, Hydroxyethylpiperazine Ethane Sulfonic Acid, Kojic Acid, Niacinamide, Propylene Glycol (1,2-Propanediol), Tranexamic Acid, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/32694E19D1A637/large_1649743828.pngpng?1649743828,https://www.skinsafeproducts.com/skin-ceuticals-discoloration-defense-serum-correct-30-ml
1-200.csv,"SkinCeuticals Glycolic Renewal Cleanser Gel, 150 mL/5 fl oz",SkinCeuticals,Facial Cleansers,Facial Gels,"Aloe Barbadensis Leaf Juice, Ammonium Polyacryloyldimethyl Taurate, Aqua/Water/Eau, Boswellia Serrata Gum, Capryl Glycol, Chlorphenesin, Citral, Citric Acid, Coco-Glucoside, Coconut Acid, Cymbopogon Schoenanthus Oil, Dipropylene Glycol, Ethylhexylglycerin, Glycerin, Glycolic Acid, Phenoxyethanol, Phytic Acid, Potassium Sorbate, Propylene Glycol, Salicylic Acid, Sodium Benzoate, Sodium Chloride, Sodium Hydroxide, Sodium Methyl Cocoyl Taurate, Tocopherol",https://cdn1.skinsafeproducts.com/photo/300F2D08BA6BEF/large_1603848034.jpeg?1603848034,https://www.skinsafeproducts.com/skinceuticals-glycolic-renewal-cleanser-gel-150-ml-5-fl-oz
1001-1200.csv,"SkinCeuticals Night Cream, Retinol 0.3, 1 fl oz/30 mL",SkinCeuticals,Face,Creams,"Alcohol Denat, Allyl Methacrylates Crosspolymer, Ammonium Polyacryloyldimethyl Taurate, Aqua/Water/Eau, Bht, Bisabolol, Boswellia Serrata Gum, Caprylyl Glycol, Cetearyl Ethylhexanoate, Citric Acid, Dimethicone, Dimethiconol, Dipropylene Glycol, Hydrogenated Lecithin, Isopropyl Myristate, Phenoxyethanol, Polysorbate 20, Propanediol, Propyl Gallate, Retinol, Sodium Citrate, Trisodium Ethylenediamine Disuccinate",https://cdn1.skinsafeproducts.com/photo/2EA93DC094E5A4/large_1751166210.pngpng?1751166210,https://www.skinsafeproducts.com/skinceuticals-night-cream-retinol-0-3-1-fl-oz-30-ml
1001-1200.csv,"Skin Ceuticals Triple Lipid Restore 2:4:2, Correct, 1.6 fl oz/48 mL",SkinCeuticals,Anti-Aging/Anti-Wrinkle,Anti-Aging,"Acrylonitrile/Methyl Methacrylate/Vinylidene Chloride Copolymer, Adenosine, Ammonium Polyacryloyldimethyl Taurate, Aqua/Water/Eau, Bht, Bis-Peg-18 Methyl Ether Dimethyl Silane, C12-15 Alkyl Benzoate, Caprylyl Glycol, Ceramide 3, Ceramide Eop, Chlorphenesin, Cholesterol, Dimethicone, Dimethicone/Peg-10/15 Crosspolymer, Dipropylene Glycol, Disodium Edta, Disteardimonium Hectorite, Glycerin, Helianthus Annuus Seed Oil Unsaponifiables/Sunflower Seed Oil Unsaponifiables, Hydrogenated Polyisobutene, Hydroxyethylpiperazine Ethane Sulfonic Acid, Isobutane, Lauryl Peg-9 Polydimethylsiloxyethyl Dimethicone, Lavandula Angustifolia Oil/Lavender Oil, Limonene, Linalool, Mentha Piperita Oil/Peppermint Oil, Nylon-12, Peg-10 Dimethicone, Peg/Ppg-18/18 Dimethicone, Phenoxyethanol, Propylene Carbonate, Rosmarinus Officinalis Leaf Oil/Rosemary Leaf Oil, Sodium Citrate, Sodium Polyacrylate, T-Butyl Alcohol, Tocopherol",https://cdn1.skinsafeproducts.com/photo/08D31F3B5820A9/large_1746253937.pngpng?1746253937,https://www.skinsafeproducts.com/skin-ceuticals-triple-lipid-restore-2-4-2-correct-1-6-fl-oz-48-ml
1001-1200.csv,"SkinCeuticals Triple Lipid Restore 2:4:2 Anti-Aging Replenishing Treatment, 1.6 fl oz/48 mL",SkinCeuticals,Anti-Aging/Anti-Wrinkle,Anti-Aging,"Acrylonitrile/Methyl Methacrylate/Vinylidene Chloride Copolymer, Adenosine, Ammonium Polyacryloyldimethyl Taurate, Aqua/Water/Eau, Bht, Bis-Peg-18 Methyl Ether Dimethyl Silane, C12-15 Alkyl Benzoate, Caprylyl Glycol, Ceramide 3, Ceramide Eop, Chlorphenesin, Cholesterol, Dimethicone, Dimethicone/Peg-10/15 Crosspolymer, Dipropylene Glycol, Disodium Edta, Disteardimonium Hectorite, Glycerin, Helianthus Annuus Seed Oil Unsaponifiables/Sunflower Seed Oil Unsaponifiables, Hydrogenated Polyisobutene, Hydroxyethylpiperazine Ethane Sulfonic Acid, Isobutane, Lauryl Peg-9 Polydimethylsiloxyethyl Dimethicone, Lavandula Angustifolia Oil/Lavender Oil, Limonene, Linalool, Mentha Piperita Oil/Peppermint Oil, Nylon-12, Peg-10 Dimethicone, Peg/Ppg-18/18 Dimethicone, Phenoxyethanol, Propylene Carbonate, Rosmarinus Officinalis Leaf Oil/Rosemary Leaf Oil, Sodium Citrate, Sodium Polyacrylate, T-Butyl Alcohol, Tocopherol",https://cdn1.skinsafeproducts.com/photo/CFAB433DEF290F/large_1741931100.pngpng?1741931100,https://www.skinsafeproducts.com/skinceuticals-triple-lipid-restore-2-4-2-anti-aging-replenishing-treatment-1-6-fl-oz-48-ml
1001-1200.csv,"SkinCeuticals Daily Moisture Lightweight Pore-Minimizing Moisturizer, 2 fl oz/60 mL",SkinCeuticals,Skin Care,Pore Treatments,"Propylene Glycol, Allantoin, Aqua / Water / Eau, Betaine, Betula Alba Leaf Extract, Butylene Glycol, Caprylyl Glycol, Carbomer, Ceteth-20, Cetyl Alcohol, Cetyl Palmitate, Chamomilla Recutita Flower Extract / Matricaria Flower Extract, Chlorella Vulgaris Extract, Ci 77163 / Bismuth Oxychloride, Cinnamal, Cinnamomum Cassia Bark Extract, Citric Acid, Dimethicone, Disodium Edta, Equisetum Arvense Extract, Ethylhexyl Hydroxystearate, Glucose, Glycerin, Glyceryl Stearate, Glycyrrhiza Glabra Extract / Licorice Root Extract, Hamamelis Virginiana Water/Witch Hazel Water, Helianthus Annuus Seed Oil / Sunflower Seed Oil, Laminaria Ochroleuca Extract, Laminaria Saccharina Extract, Myristic Acid, Palmitic Acid, Panthenol, Peg-100 Stearate, Peg-75 Stearate, Phenoxyethanol, Polymethylsilsesquioxane, Potassium Sorbate, Pyridoxine Hcl, Retinyl Palmitate, Sanguisorba Officinalis Root Extract, Sodium Benzoate, Sodium Hyaluronate, Sorbitol, Steareth-20, Stearic Acid, Thymus Vulgaris Flower/Leaf Extract (Thyme), Tocopherol, Triethanolamine, Urtica Dioica / Nettle Extract, Xanthan Gum, Zinc Sulfate, Zingiber Officinale Root Extract / Ginger Root Extract",https://cdn1.skinsafeproducts.com/photo/E133786FB97DB0/large_1733058734.jpeg?1733058734,https://www.skinsafeproducts.com/skinceuticals-daily-moisture-lightweight-pore-minimizing-moisturizer-2-fl-oz-60-ml
1001-1200.csv,"SkinCeuticals Conditioning Toner, 6.8 fl oz/200mL",SkinCeuticals,Toners & Astringents,Toners,"Alcohol Denat, Aqua / Water / Eau, Eucalyptus Globulus Oil / Eucalyptus Globulus Leaf Oil, Glycolic Acid, Limonene, Salicylic Acid, Sodium Hydroxide, Tetrasodium Edta",https://cdn1.skinsafeproducts.com/photo/9BD840ED85A11A/large_1728040388.pngpng?1728040388,https://www.skinsafeproducts.com/skinceuticals-conditioning-toner-6-8-fl-oz-200ml
1001-1200.csv,"Skinceuticals Intensive Calming Botanical Phyto Corrective Masque, 2 fl oz/60 mL",SkinCeuticals,Skin Treatments,Facial Masks,"Propylene Glycol, Acetyl Dipeptide-1 Cetyl Ester, Alcohol Denat, Alpha-Isomethyl Ionone, Ammonium Polyacryloyldimethyl Taurate, Aqua/Water/Eau, Benzyl Alcohol, Benzyl Benzoate, Butylene Glycol, Caprylyl Glycol, Carbomer, Cellulose Acetate Butyrate, Chlorphenesin, Ci 19140/Yellow 5, Ci 42090/Blue 1, Citronellol, Citrus Grandis Extract/Grapefruit Fruit Extract, Cucumis Sativus Fruit Extract/Cucumber Fruit Extract, Dimethicone, Dimethiconol, Dipropylene Glycol, Glycerin, Linalool, Morus Alba Root Extract, Olea Europaea Leaf Extract / Olive Leaf Extract, Parfum/Fragrance, Peg-8, Peg/Ppg/Polybutylene Glycol-8/5/3 Glycerin, Phenoxyethanol, Polyphosphorylcholine Glycol Acrylate, Polyvinyl Alcohol, Sodium Benzoate, Sodium Chloride, Sodium Citrate, Sodium Hyaluronate, Sodium Hydroxide, Tetrasodium Edta, Thymus Vulgaris Flower/Leaf Extract, Toluene Sulfonic Acid",https://cdn1.skinsafeproducts.com/photo/1B9A434315299D/large_1721034371.pngpng?1721034371,https://www.skinsafeproducts.com/skinceuticals-intensive-calming-botanical-phyto-corrective-masque-2-fl-oz-60-ml
1001-1200.csv,"Skinceuticals Tri - Functional Treatment Neck Repair, Tripeptide - R, 1.7 fl oz/50 mL",SkinCeuticals,Moisturizers,Neck & Décolleté,"Alcohol, Allyl Methacrylates Crosspolymer, Ammonium Polyacryloyldimethyl Taurate, Aqua/Water, Argilla/Magnesium Aluminum Silicate, Bht, Biotin, Capryloyl Glycine, Caprylyl Glycol, Citric Acid, Coco-Glucoside, Dimethicone, Glaucine, Glycerin, Glyceryl Stearate Se, Helianthus Annuus Seed Oil Unsaponifiables/Sunflower Seed Oil Unsaponifiables, Hydrogenated Polyisobutene, Hydrolyzed Rice Protein, Lavandula Angustifolia Oil/Lavender Oil, Linalool, Magnesium Chloride, Mentha Piperita Oil/Peppermint Oil, Methyl Methacrylate Crosspolymer, Myristic Acid, Myristyl Myristate, Palmitic Acid, Pentylene Glycol, Polysorbate 20, Potassium Cetyl Phosphate, Propyl Gallate, Retinol, Rosmarinus Officinalis Leaf Oil/Rosemary Leaf Oil, Silica Silylate, Sodium Citrate, Sodium Hydroxide, Stearic Acid, Tetradecyl Aminobutyroylvalylaminobutyric Urea Trifluoroacetate, Tocopherol, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/83086EBB950397/large_1721033213.pngpng?1721033213,https://www.skinsafeproducts.com/skinceuticals-tri-functional-treatment-neck-repair-tripeptide-r-1-7-fl-oz-50-ml
1001-1200.csv,"Skinceuticals Simply Clean Gel, 6.8 fl oz/200 ml",SkinCeuticals,Facial Cleansers,Facial Gels,"Acrylates Copolymer, Aloe Barbadensis Extract/Aloe Barbadensis Leaf Extract, Aqua / Water, Chamomilla Recutita Extract/Matricaria Flower Extract, Citric Acid, Citrus Aurantium Dulcis Oil/Orange Peel Oil, Coco-Betaine, Disodium Edta, Glycerin, Hydroxyethylpiperazine Ethane Sulfonic Acid, Limonene, Pentylene Glycol, Phenoxyethanol, Propylene Glycol, Sodium Chloride, Sodium Cocoyl Glycinate, Sodium Hydroxide",https://cdn1.skinsafeproducts.com/photo/83499B27EAA304/large_1623007462.pngpng?1623007462,https://www.skinsafeproducts.com/skinceuticals-simply-clean-gel-6-8-fl-oz-200-ml
