File,product_name,brand,usage_type,category,ingredients,image_url,product_url
1-200.csv,"SVR Eye Concentrate Smoothing Toning, Ampoule Refresh, 0.5 fl oz/15 mL",SVR,Eyes,Dark Circle Treatments,"1,2-Hexanediol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Aqua/Water/Eau, Caffeine, Caprylyl Glycol, Citric Acid, Dipeptide Diaminobutyroyl Benzylamide Diacetate, Fucus Vesiculosus Extract, Glycerin, Hexylene Glycol, Isononyl Isononanoate, Pentylene Glycol, Propanediol, Propylene Glycol (1,2-Propanediol), Sodium Hyaluronate, Sodium Polyacrylate Starch, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/1B9C463C0BE298/large_1692825729.jpeg?1692825729,https://www.skinsafeproducts.com/svr-eye-concentrate-smoothing-toning-ampoule-refresh-0-5-fl-oz-15-ml
1-200.csv,"SVR Ampoule Relax, 0.3% GABA + Postbiotic, 0.5 fl oz/15 mL",SVR,"Eye Cream, Gel, Oils, & Serum",Serums,"Albizia Julibrissin Bark Extract, Aminobutyric Acid, Aqua/Water/Eau, Bacillus Ferment, Bixa Orellana Seed Extract, Butylene Glycol, Caprylic/Capric Triglyceride, Carbomer, Citric Acid, Glycerin, Glyceryl Caprylate, Helianthus Annuus (Sunflower) Seed Oil, Propanediol, Sodium Benzoate, Sodium Hydroxide, Tocopherol, Tocopheryl Acetate, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/0C67D0AB331C88/large_1731706418.jpeg?1731706418,https://www.skinsafeproducts.com/svr-ampoule-relax-0-3-gaba-postbiotic-0-5-fl-oz-15-ml
1001-1200.csv,"SVR Hydra Sebiaclear Moisturizing Face Cream, Niacinamide 5% & Ceramides, 1.4 fl oz/40 mL",SVR,Face,Creams,"1,2-Hexanediol, Aqua/Water/Eau, Caprylyl Glycol, Cetearyl Alcohol, Dimethicone, Glycerin, Glyceryl Glucoside, Glyceryl Stearate Citrate, Glycolipids, Glycosphingolipids, Hydrolyzed Hyaluronic Acid, Maltodextrin, Niacinamide, Ophiopogon Japonicus Root Extract, Orbignya Oleifera Seed Oil, Parfum (Fragrance), Pentaerythrityl Tetra-Di-T-Butyl Hydroxycinnamate, Pentylene Glycol, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Silica, Sodium Polyacrylate Starch",https://cdn1.skinsafeproducts.com/photo/878C416A94D47A/large_1750235126.pngpng?1750235126,https://www.skinsafeproducts.com/svr-hydra-sebiaclear-moisturizing-face-cream-niacinamide-5-ceramides-1-4-fl-oz-40-ml
1001-1200.csv,"SVR Sensifine AR Tinted Moisturiser, 40 mL",SVR,Face,Tinted Moisturizers,"1,2-Hexanediol, Algin, Aluminum Hydroxide, Aqua/Water/Eau, Boron Nitride, C12-20 Alkyl Glucoside, C14-22 Alcohols, Caffeyl Glucoside, Caprylic/Capric Triglyceride, Caprylyl Glycol, Ci 77492 (Iron Oxides), Ci 77499 (Iron Oxides), Ci 77891 (Titanium Dioxide), Citric Acid, Dipotassium Glycyrrhizate, Gallyl Glucoside, Glycerin, Glyceryl Stearate Se, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Methyl Diisopropyl Propionamide, Pentylene Glycol, Polysorbate 60, Potassium Cetyl Phosphate, Propanediol, Rosmarinyl Glucoside, Silica, Sorbitan Isostearate, Squalane, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/94DB5D6BE889D9/large_1750222675.pngpng?1750222675,https://www.skinsafeproducts.com/svr-sensifine-ar-tinted-moisturiser-40-ml
1001-1200.csv,"SVR Vitamin C Brightening Face Serum,1 fl oz/30 mL",SVR,Skin Treatments,Serums,"Propylene Glycol, 1,2-Hexanediol, 3-O-Ethyl Ascorbic Acid, Alcohol Denat, Algin, Anhydroxylitol, Aqua/Water/Eau, Caprylyl Glycol, Citric Acid, Diglycerin, Disodium Phosphate, Ethoxydiglycol, Evodia Rutaecarpa Fruit Extract, Glycerin, Glyceryl Polyacrylate, Hydroxyethylcellulose, Methyl Diisopropyl Propionamide, Parfum/Fragrance, Pentylene Glycol, Potassium Phosphate, Propanediol, Pullulan, Serine, Sodium Citrate, Sodium Hyaluronate, Trehalose, Urea, Xylitol, Xylitylglucoside",https://cdn1.skinsafeproducts.com/photo/C463AE8FD68139/large_1747637363.pngpng?1747637363,https://www.skinsafeproducts.com/svr-vitamin-c-brightening-face-serum-1-fl-oz-30-ml
1001-1200.csv,"SVR Gentle Physiopure Cleansing Oil, Sweet Almond Oil + Vitamin E, 150mL",SVR,Facial Cleansers,Facial Cleansing Oil,"Bixa Orellana Seed Extract, Caprylic/Capric Triglyceride, Coco-Caprylate/Caprate, Glycine Soya (Soybean) Oil, Helianthus Annuus (Sunflower) Seed Oil, Isoamyl Laurate, Parfum/Fragrance, Polyglyceryl-4 Oleate, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Prunus Domestica Seed Oil, Pyrus Malus (Apple) Seed Oil, Tocopherol, Vitis Vinifera (Grape) Seed Oil",https://cdn1.skinsafeproducts.com/photo/167DE6E6AF0FCC/large_1746265670.pngpng?1746265670,https://www.skinsafeproducts.com/svr-gentle-physiopure-cleansing-oil-sweet-almond-oil-vitamin-e-150ml
1601-1800.csv,"SVR Topialyse Anti-Itching Cleansing Oil, 13.5 fl oz/400 mL",SVR,Facial Cleansers,Facial Cleansing Oil,"Alpha-Glucan Oligosaccharide, Aqua/Water/Eau, Caprylyl/Capryl Glucoside, Citric Acid, Coco-Betaine, Glycerin, Gossypium Herbaceum (Cotton) Seed Oil, Niacinamide, Parfum (Fragrance), Polyglyceryl-10 Laurate, Polyglyceryl-3 Cocoate, Potassium Sorbate, Saccharide Isomerate, Sodium Benzoate, Sodium C14-16 Olefin Sulfonate, Sodium Citrate, Sodium Lauroamphoacetate, Sodium Olivamphoacetate",https://cdn1.skinsafeproducts.com/photo/E8546272758151/large_1739281700.pngpng?1739281700,https://www.skinsafeproducts.com/svr-topialyse-anti-itching-cleansing-oil-13-5-fl-oz-400-ml
1601-1800.csv,"SVR Purity Cleanser, 200 mL",SVR,Facial Cleansers,Facial Washes,"Aqua/Water/Eau, Citric Acid, Coco-Betaine, Decyl Glucoside, Disodium Cocoyl Glutamate, Glycerin, Magnesium Pca, Parfum (Fragrance), Potassium Sorbate, Sodium Benzoate, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/040442DF79490F/large_1731239385.pngpng?1731239385,https://www.skinsafeproducts.com/svr-purity-cleanser-200-ml
1801-2000.csv,"SVR Sebiaclear Gel Moussant, 13.5 fl oz/400 mL",SVR,"Exfoliators, Polishes, & Scrubs",Exfoliators,"Aqua/Water/Eau, Butylene Glycol, Calcium Gluconate, Citric Acid, Coco-Betaine, Disodium Laureth Sulfosuccinate, Gluconolactone, Glycerin, Peg-120 Methyl Glucose Dioleate, Peg-7 Glyceryl Cocoate, Pentylene Glycol, Perfume (Fragrance), Sarcosine, Sodium Benzoate, Sodium Chloride, Sodium Citrate, Sodium Hydroxide, Sodium Laureth Sulfate, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/2D8B6B7E8FDDD2/large_1663216046.pngpng?1663216046,https://www.skinsafeproducts.com/svr-sebiaclear-gel-moussant-13-5-fl-oz-400-ml
201-400.csv,"SVR Sensifine Aqua Gel, 1.35 fl oz/40 mL",SVR,Face,Gels,"1,2-Hexanediol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Aloe Barbadensis Leaf Juice Powder, Aqua/Water/Eau, Caprylyl Glycol, Glycerin, Panthenol, Sodium Hydroxide",https://cdn1.skinsafeproducts.com/photo/0500A556094B1F/large_1750231426.pngpng?1750231426,https://www.skinsafeproducts.com/svr-sensifine-aqua-gel-1-35-fl-oz-40-ml
