File,product_name,brand,usage_type,category,ingredients,image_url,product_url
1-200.csv,"Vichy Mineral 89 Hyaluronic Acid Face Moisturizer",Vichy Laboratories,Skin Treatments,Serums,"Biosaccharide Gum-1, Butylene Glycol, Caprylyl Glycol, Carbomer, Citric Acid, Glycerin (Plant Derived), Methyl Gluceth-20, Peg/Ppg/Polybutylene Glycol-8/5/3 Glycerin, Phenoxyethanol, Sodium Hyaluronate, Water/Aqua/Eau",https://cdn1.skinsafeproducts.com/photo/D96A34FE9CF347/large_1594778544.jpeg?1594778544,https://www.skinsafeproducts.com/vichy-mineral-89-hydrating-face-serum-with-hyaluronic-acid
1-200.csv,"Vichy LiftActiv Vitamin C Serum, 0.67 fl oz/20 mL",Vichy,Skin Treatments,Serums,"Alcohol Denat, Aqua/Water/ Eau, Ascorbic Acid, Dipropylene Glycol, Glycerin, Hydrolyzed Hyaluronic Acid, Laureth-23, Neohesperidin Dihydrochalcone, Pinus Pinaster Bark/Bud Extract, Sodium Hydroxide, Tocopherol",https://cdn1.skinsafeproducts.com/photo/2ABE30CE6010B6/large_1673212132.jpeg?1673212132,https://www.skinsafeproducts.com/vichy-liftactiv-vitamin-c-serum-0-67-fl-oz-20-ml
1001-1200.csv,"Vichy Laboratories Liftactiv Collagen Specialist 16 Serum, 30 mL",Vichy Laboratories,Skin Treatments,Serums,"Adenosine, Alcohol Denat, Ammonium Polyacryloyldimethyl Taurate, Aqua/Water/Eau, Butylene Glycol, Caprylyl Glycol, Carbomer, Citric Acid, Dimethicone, Glycerin, Grifola Frondosa Fruiting Body Extract, Hydrolyzed Rice Protein, Hydroxyacetophenone, Hydroxyethylpiperazine Ethane Sulfonic Acid, Maltodextrin, Niacinamide, Palmitoyl Tetrapeptide-7, Palmitoyl Tripeptide-1, Parfum/Fragrance, Peg-20 Methyl Glucose Sesquistearate, Pentylene Glycol, Polysorbate 20, Rhamnose, Sh-Polypeptide-69, Silica, Sodium Chloride, Sodium Hyaluronate, Sodium Lactate, Sodium Phosphate, Tetrasodium Glutamate Diacetate, Tocopherol, Trisodium Ethylenediamine Disuccinate, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/6CFC6C6AD527DF/large_1747117850.pngpng?1747117850,https://www.skinsafeproducts.com/vichy-laboratories-liftactiv-collagen-specialist-16-serum-30-ml
1-200.csv,"Vichy Laboratories Aqualia Thermal Fragrance Free Cream, 1.69 fl oz/50 mL",Vichy Laboratories,Face,Creams,"Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Alcohol Denat., Ammonium Polyacryloyldimethyl Taurate, Aqua /Water/Eau, Butyrospermum Parkii Butter/Shea Butter, Caprylic/Capric Triglyceride, Caprylyl Glycol, Cetearyl Alcohol, Cetearyl Glucoside, Citric Acid, Glycerin, Glyceryl Isostearate, Isopropyl Palmitate, Mannose, P-Anisic Acid, Propanediol, Sodium Hyaluronate, Sodium Hydroxide, Sodium Pca, Zea Mays Starch/Corn Starch",https://cdn1.skinsafeproducts.com/photo/A0D3B36DE88E92/large_1647113773.jpeg?1647113773,https://www.skinsafeproducts.com/vichy-laboratories-aqualia-thermal-fragrance-free-cream-1-69-fl-oz-50-ml
1-200.csv,"Vichy NormaDerm PhytoAction Daily Deep Cleansing Gel Acne Treatment, Salicylic Acid, 13.52 fl oz/400 mL",Vichy,Skin Care,Acne Care (OTC),"Bifida Ferment Lysate, Caprylyl Glycol, Coco-Betaine, Copper Gluconate, Dipropylene Glycol, Fragrance, Peg-120 Methyl Glucose Dioleate, Phenoxyethanol, Propanediol, Salicylic Acid, Sodium Benzoate, Sodium Chloride, Sodium Cocoyl Glycinate, Sodium Hydroxide, Tetrasodium Glutamate Diacetate, Water, Zinc Gluconate",https://cdn1.skinsafeproducts.com/photo/837F961A8FB056/large_1726869488.jpeg?1726869488,https://www.skinsafeproducts.com/vichy-normaderm-phytoaction-daily-deep-cleansing-gel-acne-treatment-salicylic-acid-13-52-fl-oz-400-ml
1201-1400.csv,"Vichy Laboratories Capital Soleil SPF 50 Lightweight Foaming Lotion, 4.97 oz",Vichy Laboratories,Face,Lotions,"Avobenzone, Butylene Glycol, Caprylyl Glycol, Disodium Edta, Fragrance, Glycerin, Hdi/Trimethylol Hexyllactone Crosspolymer, Homosalate, Hydrolyzed Triticum Monococcum Seed Extract, Isobutane, Octisalate, Octocrylene, Octyldodecyl Myristate, Oxybenzone, P-Anisic Acid, Peg-12 Dimethicone, Peg-8 Laurate, Pentaerythrityl Tetra-Di-T-Butyl Hydroxycinnamate, Phenoxyethanol, Silica, Sodium Hyaluronate, Styrene/Acrylates Copolymer, Tocopherol (Multisource), Vitis Vinifera (Grape) Fruit Extract, Water\Aqua\Eau, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/9BDAC268340055/large_1492728406.jpeg?1492728406,https://www.skinsafeproducts.com/vichy-capital-soleil-spf-50-lightweight-foaming-lotion-4-97-oz-0
1-200.csv,"Vichy Neovadiol Anti Aging Serum, Meno 5, 1.01 fl oz/30 mL",Vichy Laboratories,Anti-Aging/Anti-Wrinkle,Anti-Aging,"Adenosine, Alcohol Denat., Aqua/Water/Eau, Ascorbyl Glucoside, Caprylic/Capric Triglyceride, Capryloyl Salicylic Acid, Cassia Angustifolia Seed Polysaccharide, Dicaprylyl Ether, Dipropylene Glycol, Glycerin, Glycolic Acid, Haematococcus Pluvialis Extract, Hydroxyacetophenone, Hydroxypropyl Tetrahydropyrantriol, Isopropyl Isostearate, Isopropyl Lauroyl Sarcosinate, Niacinamide, Parfum/Fragrance, Propylene Glycol, Prunus Armeniaca Kernel Oil/Apricot Kernel Oil, Sodium Hydroxide, Squalane, Tocopherol",https://cdn1.skinsafeproducts.com/photo/AFA375344659E4/large_1708632390.jpeg?1708632390,https://www.skinsafeproducts.com/vichy-neovadiol-anti-aging-serum-meno-5-1-01-fl-oz-30-ml
1-200.csv,"Vichy Purete Thermale Fresh Cleansing Gel, B3 Niacinamide, 6.76 fl oz/200 mL",Vichy,Facial Cleansers,Facial Gels,"Aqua/Water/Eau, Caprylyl Glycol, Coco-Betaine, Glycerin, Hydroxyacetophenone, Niacinamide, Parfum / Fragrance, Peg-120 Methyl Glucose Dioleate, Propanediol, Salicylic Acid, Sodium Chloride, Sodium Cocoyl Glycinate, Tocopherol, Trisodium Ethylenediamine Disuccinate",https://cdn1.skinsafeproducts.com/photo/DDC9A76259C5E8/large_1715628254.jpeg?1715628254,https://www.skinsafeproducts.com/vichy-purete-thermale-fresh-cleansing-gel-b3-niacinamide-6-76-fl-oz-200-ml
File,product_name,brand,usage_type,category,ingredients,image_url,product_url
1-200.csv,"Vichy Mineral 89 48H Moisture Matte Sorbet, 1.69 fl oz/50 mL",Vichy Laboratories,Face,Gels,"Alcohol Denat, Aqua / Water / Eau, Biosaccharide Gum-1, Butylene Glycol, Caprylyl Glycol, Citric Acid, Dipotassium Glycyrrhizate, Glycerin, Glyceryl Isostearate, Hydroxyacetophenone, Maltodextrin, Mineral Salts, Niacinamide, Salicylic Acid, Silica, Sodium Carbomer, Sodium Hyaluronate, Sodium Hydroxide, Squalane, Trisodium Ethylenediamine Disuccinate, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/82ED5A2F04879E/large_1726085246.jpeg?1726085246,https://www.skinsafeproducts.com/vichy-mineral-89-48h-moisture-matte-sorbet-1-69-fl-oz-50-ml
1-200.csv,"Vichy LiftActiv Night Supreme Anti-Wrinkle and Firming Night Cream",Vichy Laboratories,Anti-Aging/Anti-Wrinkle,Anti-Aging,"Adenosine, Ascorbyl Glucoside, Butyrospermum Parkii Butter Extract (Shea), Caprylic/Capric Triglyceride, Caprylyl Glycol, Cera Alba / Beeswax, Cetyl Alcohol, Dimethicone, Dimethiconol, Glycerin, Glyceryl Stearate, Hydroxyethylpiperazine Ethane Sulfonic Acid, Magnesium Ascorbyl Phosphate, Myristyl Alcohol, Parfum/Fragrance, Peg-40 Stearate, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Pentaerythrityl Tetraethylhexanoate, Pentylene Glycol, Petrolatum, Phenoxyethanol, Poloxamer 338, Prunus Armeniaca Kernel Oil / Apricot Kernel Oil, Rhamnose, Sorbitan Tristearate, Stearyl Alcohol, Triethanolamine, Water\Aqua\Eau, Xanthan Gum, Zea Mays Starch / Corn Starch",https://cdn1.skinsafeproducts.com/photo/3lcYThZPYJrAglKc1NVPRw/large_1469903679.jpegJPG?1469903679,https://www.skinsafeproducts.com/liftactiv-night-cream
1-200.csv,"Vichy Laboratories Mineral 89 Boosting Cream, Vitamines B3 & E + Squalane, 50 mL",Vichy Laboratories,Face,Creams,"Adenosine, Alcohol Denat., Aqua/Water/Eau, Arachidyl Alcohol, Arachidyl Glucoside, Behenyl Alcohol, Butyrospermum Parkii Butter/Shea Butter, Caprylyl Glycol, Carbomer, Cetearyl Isononanoate, Citric Acid, Dicaprylyl Ether, Glycerin, Mannose, Mineral Salts, Myristic Acid, Niacinamide, Palmitic Acid, Parfum/Fragrance, Pentylene Glycol, Polyglyceryl-3 Methylglucose Distearate, Salicylic Acid, Simmondsia Chinensis Seed Oil/Jojoba Seed Oil, Sodium Hyaluronate, Sodium Hydroxide, Sodium Pca, Sodium Stearoyl Glutamate, Squalane, Stearic Acid, Stearyl Alcohol, Tocopherol, Vitreoscilla Ferment, Xanthan Gum, Zea Mays Starch/Corn Starch",https://cdn1.skinsafeproducts.com/photo/4387055D07910D/large_1704737458.jpeg?1704737458,https://www.skinsafeproducts.com/vichy-laboratories-mineral-89-boosting-cream-vitamines-b3-e-squalane-50-ml
1-200.csv,"Vichy Laboratories Mineral 89 Fortifying & Plumping Daily Booster, 2.53 fl oz/75 mL",Vichy Laboratories,Face,Gels,"Aqua/Water/Eau, Biosaccharide Gum-1, Butylene Glycol, Caprylyl Glycol, Carbomer, Citric Acid, Glycerin, Hydroxyacetophenone, Maltodextrin, Methyl Gluceth-20, Peg/Ppg/Polybutylene Glycol-8/5/3 Glycerin, Propanediol, Sodium Hyaluronate",https://cdn1.skinsafeproducts.com/photo/0DD9FAB176620B/large_1698229081.pngpng?1698229081,https://www.skinsafeproducts.com/vichy-laboratories-mineral-89-fortifying-plumping-daily-booster-2-53-fl-oz-75-ml
1-200.csv,"Vichy Purete Thermale Mineral Micellar Water, Sensitive Skin, 6.76 fl oz/200 mL",Vichy Laboratories,Facial Cleansers,Micellar Water,"Aqua, Disodium Edta, Glycerin, Hexylene Glycol, Myrtrimonium Bromide, Panthenol, Parfum, Poloxamer 184, Sodium Chloride, Sodium Cocoamphoacetate",https://cdn1.skinsafeproducts.com/photo/9CC5FFB28EB73C/large_1600469163.jpeg?1600469163,https://www.skinsafeproducts.com/vichy-purete-thermale-mineral-micellar-water-sensitive-skin-6-76-fl-oz-200-ml
1201-1400.csv,"Vichy LiftActiv Serum 10 Supreme Anti-Aging Serum with Hyaluronic Acid, 1.01 Fl. Oz.",Vichy Laboratories,Face,Oils,"Adenosine, Alcohol Denat., Ammonium Polyacryldimethyltauramide, Bht, Butylene Glycol, C13-14 Isoparaffin, Capryloyl Salicylic Acid, Caprylyl Glycol, Cyclohexasiloxane, Di Sodium Edta, Dimethicone, Glycerin, Hyaluronic Acids, Laureth-7, Octyldodecanol, Parfum, Peg-20 Methyl Glucose Sesquistearate, Pentaerythrityl Tetraethylhexanoate, Poloxamer 338, Polyacrylamide, Polymethylsilsesquioxane, Polysilicone-11, Rhamnose, Sodium Hyaluronate, Sodium Hydroxide, T-Butyl Alcohol, Tocopherol (Multisource), Water\Aqua\Eau",https://cdn1.skinsafeproducts.com/photo/2CD28B9FFFC789/large_1484422789.jpeg?1484422789,https://www.skinsafeproducts.com/vichy-liftactiv-serum-10-supreme-anti-aging-serum-with-hyaluronic-acid-1-01-fl-oz
1201-1400.csv,"Vichy Aqualia Thermal Awakening Eye Cream with Pure Caffeine for Dark Circles and Puffiness, 0.5 Fluid Ounce",Vichy Laboratories,"Eye Cream, Gel, Oils, & Serum",Creams,"Algae Extract, Biosaccharide Gum-1, Blue No. 1 (Ci 42090), Caffeine, Citric Acid, Dimethicone, Dimethicone/Peg-10/15 Crosspolymer, Disodium Edta, Glycerin, P-Anisic Acid, Phenoxyethanol, Polymethylsilsesquioxane, Propanediol, Sodium Chloride, Sodium Citrate, Sodium Hyaluronate, Sodium Hydroxide, Water\Aqua\Eau",https://cdn1.skinsafeproducts.com/photo/1F8F271A850298/large_1514851693.jpeg?1514851693,https://www.skinsafeproducts.com/vichy-aqualia-thermal-awakening-eye-cream-with-pure-caffeine-for-dark-circles-and-puffiness-0-5-fluid-ounce
1401-1600.csv,"Vichy Normaderm Exfoliating Serum, BHA, 1.01 fl oz/30 mL",Vichy Laboratories,Skin Treatments,Serums,"Adenosine, Alcohol Denat., Ammonium Polyacryloyldimethyl Taurate, Ascorbyl Glucoside, Glycerin, Glycolic Acid, Hydroxyethylpiperazine Ethane Sulfonic Acid, Menthol, Panthenol, Peg/Ppg/Polybutylene Glycol-8/5/3 Glycerin, Propanediol, Salicylic Acid, Sodium Hydroxide, Sodium Polyacrylate, Trisodium Ethylenediamine Disuccinate, Vitreoscilla Ferment, Water, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/D04FBCCC22E999/large_1704873007.jpeg?1704873007,https://www.skinsafeproducts.com/vichy-normaderm-exfoliating-serum-bha-1-01-fl-oz-30-ml
1401-1600.csv,"Vichy Neovadiol Peri-Menopause Redensifying Plumping Day Cream, 1.69 fl oz/50 mL",Vichy,Anti-Aging/Anti-Wrinkle,Anti-Wrinkle,"Adenosine, Alcohol Denat, Aqua / Water / Eau, Caprylyl Glycol, Cassia Angustifolia Seed Polysaccharide, Ci 15985 / Yellow 6, Ci 77891 / Titanium Dioxide, Dimethicone, Dimethicone/Peg-10/15 Crosspolymer, Dipropylene Glycol, Disteardimonium Hectorite, Glycerin, Hydrogenated Polyisobutene, Hydroxyacetophenone, Hydroxyethylpiperazine Ethane Sulfonic Acid, Hydroxypropyl Tetrahydropyrantriol, Niacinamide, Parfum/Fragrance, Peg-10 Dimethicone, Propylene Carbonate, Propylene Glycol, Silica, Sodium Citrate, Sodium Hyaluronate, Sodium Polyacrylate, Synthetic Fluorphlogopite, Synthetic Wax, Tocopherol, Trisodium Ethylenediamine Disuccinate",https://cdn1.skinsafeproducts.com/photo/A83207C0F092F7/large_1708737050.jpeg?1708737050,https://www.skinsafeproducts.com/vichy-neovadiol-peri-menopause-redensifying-plumping-day-cream-1-69-fl-oz-50-ml
1601-1800.csv,"Vichy Laboratories Liftactiv Eye Cream, 5 % Complex Pro - Collagen, 15 mL",Vichy Laboratories,"Eye Cream, Gel, Oils, & Serum",Creams,"Acetyl Tetrapeptide-9, Alcohol Denat, Ammonium Polyacryloyldimethyl Taurate, Aqua / Water / Eau, Ascorbyl Glucoside, Boron Nitride, Butylene Glycol, Caffeine, Capryloyl Salicylic Acid, Caprylyl Glycol, Carbomer, Cetyl Alcohol, Citric Acid, Dextrin, Dimethicone, Dimethicone/Vinyl Dimethicone Crosspolymer, Eperua Falcata Bark Extract, Glycerin, Glyceryl Stearate, Hydrolyzed Rice Protein, Hydroxyacetophenone, Hydroxypropyl Tetrahydropyrantriol, Isononyl Isononanoate, Myristic Acid, Niacinamide, Oxothiazolidinecarboxylic Acid, Palmitic Acid, Palmitoyl Tetrapeptide-7, Palmitoyl Tripeptide-1, Peg-100 Stearate, Pentylene Glycol, Polysorbate 20, Propylene Glycol, Sodium Citrate, Sodium Lactate, Sorbitol, Stearic Acid, Tocopheryl Acetate, Triethanolamine, Trisodium Ethylenediamine Disuccinate, Vaccinium Myrtillus Fruit Extract, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/794144D96F33E7/large_1716357523.pngpng?1716357523,https://www.skinsafeproducts.com/vichy-laboratories-liftactiv-eye-cream-5-complex-pro-collagen-15-ml
