File,product_name,brand,usage_type,category,ingredients,image_url,product_url
1-200.csv,"Anua Heartleaf 80 Moisture Soothing Ampoule, 1.01 fl oz/30 mL",Anua,Skin Treatments,Serums,"1,2-Hexanediol, Arginine, Betaine, Butylene Glycol, Carbomer, Cassia Obtusifolia Seed Extract, Ethylhexylglycerin, Glycerin, Houttuynia Cordata Extract, Hydroxyethyl Cellulose, Panthenol, Sodium Hyaluronate",https://cdn1.skinsafeproducts.com/photo/F3F81E5C8C5C67/large_1716281363.pngpng?1716281363,https://www.skinsafeproducts.com/anua-heartleaf-80-moisture-soothing-ampoule-1-01-fl-oz-30-ml
1-200.csv,"Anua Heartleaf Soothing Toner, 77%, 16.9 fl oz/500 mL",Anua,Toners & Astringents,Toners,"1,2-Hexanediol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Arctium Lappa Root Extract, Betaine, Butylene Glycol, Centella Asiatica Extract, Chamomilla Recutita (Matricaria) Flower Extract, Disodium Edta, Glycerin, Houttuynia Cordata Extract, Isopentyldiol, Methylpropanediol, Panthenol, Phellinus Linteus Extract, Portulaca Oleracea Extract, Pyrus Malus (Apple) Fruit Extract, Saccharum Officinarum (Sugar Cane) Extract, Tromethamine, Vitex Agnus-Castus Extract, Vitis Vinifera (Grape) Fruit Extract",https://cdn1.skinsafeproducts.com/photo/B26666D511E38A/large_1702456036.pngpng?1702456036,https://www.skinsafeproducts.com/anua-heartleaf-soothing-toner-77-16-9-fl-oz-500-ml
1-200.csv,"Anua Heartleaf 77% Soothing Toner, 8.45 fl oz/250 mL",Anua,Toners & Astringents,Toners,"1,2-Hexanediol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Arctium Lappa Root Extract, Betaine, Butylene Glycol, Centella Asiatica Extract, Chamomilla Recutita (Matricaria) Flower Extract, Disodium Edta, Glycerin, Houttuynia Cordata, Isopentyldiol, Methylpropanediol, Panthenol, Phellinus Linteus Extract, Portulaca Oleracea Extract, Pyrus Malus (Apple) Fruit Extract, Saccharum Officinarum (Sugar Cane) Extract, Tromethamine, Vitex Agnus-Castus Extract, Vitis Vinifera (Grape) Fruit Extract, Water",https://cdn1.skinsafeproducts.com/photo/EF1BCCB4F54ADD/large_1697519217.pngpng?1697519217,https://www.skinsafeproducts.com/anua-heartleaf-77-soothing-toner-8-45-fl-oz-250-ml
1-200.csv,"Anua Serum, Niacinamide 10% + TXA 4%, 1.01 fl oz/30 mL",Anua,Skin Treatments,Serums,"1.2-Hexanediol, 3-O-Ethyl Ascorbic Acid, Alpha-Arbutin, Arbutin, Artemisia Princeps Leaf Extract, Asiatic Acid, Asiaticoside, Betaine Salicylate, Butylene Glycol, Camellia Sinensis Seed Oil, Candida Bombicola/Glucose/Methyl Rapeseedate Ferment, Caprylic/Capric Triglyceride, Cellulose, Centella Asiatica Extract, Ceramide Np, Chamaecyparis Obtusa Leaf Extract, Coccinia Indica Fruit Extract, Cyanocobalamin, Dextrin, Diethoxyethyl Succinate, Dimethylsilanol Hyaluronate, Eclipta Prostrata Extract, Gellan Gum, Glycerin, Hyaluronic Acid, Hydrogenated Lecithin, Hydrolyzed Hyaluronic Acid, Hydrolyzed Sodium Hyaluronate, Hydroxypropyltrimonium Hyaluronate, Macadamia Integrifolia Seed Oil, Madecassic Acid, Niacinamide, Olea Europaea (Olive) Fruit Oil, Panthenol, Pentylene Glycol, Polyglutamic Acid, Potassium Hyaluronate, Prunus Persica (Peach) Flower Extract, Simmondsia Chinensis (Jojoba) Seed Oil, Sodium Acetylated Hyaluronate, Sodium Hyaluronate, Sodium Hyaluronate Crosspolymer, Sodium Hyaluronate Dimethylsilanol, Sodium Phytate, Sucrose Palmitate, Theobroma Cacao (Cocoa) Extract, Tranexamic Acid, Vitis Vinifera (Grape) Seed Oil, Water, Xanthan Gum, Yeast Ferment Extract",https://cdn1.skinsafeproducts.com/photo/9F418D1CD5A631/large_1730715637.pngpng?1730715637,https://www.skinsafeproducts.com/anua-serum-niacinamide-10-txa-4-1-01-fl-oz-30-ml
1401-1600.csv,"Anua HeartLeaf Deep Pore Cleansing Foam, 1.35 fl oz/40 mL",Anua,Pore Treatments,Pore Cleansing,"1,2-Hexanediol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Betaine Salicylate, Butylene Glycol, Capryloyl Salicylic Acid, Coco-Glucoside, Decyl Glucoside, Dextrin, Disodium Cocoamphodiacetate, Disodium Edta, Ethylhexylglycerin, Eucalyptus Globulus Leaf Oil, Gardenia Florida Fruit Extract, Glycerin, Hectorite, Houttuynia Cordata Flower/Leaf/Stem Water, Houttuynia Cordata Powder, Hyaluronic Acid, Hydrolyzed Hyaluronic Acid, Hydrolyzed Sodium Hyaluronate, Hydroxypropyltrimonium Hyaluronate, Isopropyl Alcohol, Oenothera Biennis (Evening Primrose) Flower Extract, Pentylene Glycol, Pinus Palustris Leaf Extract, Polyquaternium-67, Potassium Benzoate, Potassium Hyaluronate, Pueraria Lobata Root Extract, Quercetin, Sodium Acetate, Sodium Acetylated Hyaluronate, Sodium Chloride, Sodium Cocoyl Glycinate, Sodium Hyaluronate, Sodium Hyaluronate Crosspolymer, Sodium Lauroyl Glutamate, Tocopherol, Ulmus Davidiana Root Extract, Water",https://cdn1.skinsafeproducts.com/photo/10F4BCC0DF42F2/large_1755944196.pngpng?1755944196,https://www.skinsafeproducts.com/anua-heartleaf-deep-pore-cleansing-foam-1-35-fl-oz-40-ml
1401-1600.csv,"Anua Heart Leaf Pore Control Cleansing Oil, 0.67 fl oz/20 mL",Anua,Pore Treatments,Pore Cleansing,"Butyl Avocadate, Caprylic/Capric Triglyceride, Caprylyl Glycol, Corallina Officinalis Extract, Curcuma Longa (Turmeric) Root Extract, Ethylhexyl Palmitate, Ethylhexylglycerin, Fragrance, Helianthus Annuus (Sunflower) Seed Oil, Houttuynia Cordata Extract, Macadamia Ternifolia Seed Oil, Melia Azadirachta Bark Extract, Melia Azadirachta Flower Extract, Melia Azadirachta Leaf Extract, Moringa Oleifera Seed Oil, Ocimum Sanctum Leaf Extract, Olea Europaea (Olive) Fruit Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Sorbeth-30 Tetraoleate, Sorbitan Sesquioleate, Tocopherol, Vitis Vinifera (Grape) Seed Oil",https://cdn1.skinsafeproducts.com/photo/296C9793C6665E/large_1755393531.pngpng?1755393531,https://www.skinsafeproducts.com/anua-heart-leaf-pore-control-cleansing-oil-0-67-fl-oz-20-ml
1401-1600.csv,"Anua Heartleaf 70 Daily Lotion, 6.76 fl oz/200 mL",Anua,Face,Lotions,"1,2-Hexanediol, Amaranthus Caudatus Seed Extract, Arginine, Betaine, Butylene Glycol, Carbomer, Disodium Edta, Ethylhexyl Stearate, Ethylhexylglycerin, Fraxinus Rhynchophylla Extract, Glucose, Glycerin, Glyceryl Glucoside, Glyceryl Stearate, Glyceryl Stearate Citrate, Houttuynia Cordata Extract, Hydrogenated Lecithin, Hydrogenated Poly(C6-14 Olefin), Hydrolyzed Hyaluronic Acid, Methyltrimethicone, Ocimum Basilicum (Basil) Flower/Leaf/Stem Extract, Polyglyceryl-3 Distearate, Sodium Acetylated Hyaluronate, Sodium Hyaluronate, Sodium Stearoyl Glutamate, Trehalose, Ulmus Davidiana Root Extract, Water",https://cdn1.skinsafeproducts.com/photo/AD28D16D7C9B35/large_1753784955.pngpng?1753784955,https://www.skinsafeproducts.com/anua-heartleaf-70-daily-lotion-6-76-fl-oz-200-ml
1401-1600.csv,"Anua Heartleaf 70 Intense Calming Cream, 1.69 fl oz/50 mL",Anua,Face,Creams,"1,2-Hexanediol, Adenosine, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Behenyl Alcohol, Butylene Glycol, Caprylic/Capric Triglyceride, Ceramide Np, Cetearyl Alcohol, Cetearyl Glucoside, Cetearyl Olivate, Cholesterol, Cyclohexasiloxane, Dicaprylyl Ether, Dipropylene Glycol, Ethylhexylglycerin, Glucose, Glycerin, Glyceryl Stearate Se, Houttuynia Cordata Extract, Hydrogenated Lecithin, Hydrogenated Poly(C6-14 Olefin), Hydrogenated Polydecene, Panthenol, Sorbitan Olivate, Vegetable Oil, Water, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/3A1377EF97C775/large_1753710023.pngpng?1753710023,https://www.skinsafeproducts.com/anua-heartleaf-70-intense-calming-cream-1-69-fl-oz-50-ml
1401-1600.csv,"Anua Heartleaf 70% Soothing Cream, 3.38 fl oz/100 mL",Anua,Face,Creams,"1,2-Hexanediol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Asiatic Acid, Asiaticoside, Betaine, Butylene Glycol, Caprylyl Methicone, Centella Asiatica Extract, Chlorella Vulgaris Extract, Dimethiconol, Dipotassium Glycyrrhizate, Dipropylene Glycol, Ethylhexylglycerin, Fructooligosaccharides, Fructose, Glucose, Glycerin, Glyceryl Acrylate/Acrylic Acid Copolymer, Houttuynia Cordata Extract, Hydrogenated Polydecene, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Isoamyl Laurate, Madecassic Acid, Niacinamide, Panthenol, Pentylene Glycol, Polymethylsilsesquioxane, Portulaca Oleracea Extract, Sodium Phytate, Tocopherol, Tromethamine, Vinyl Dimethicone, Water, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/39FA7F955A8E24/large_1750729613.pngpng?1750729613,https://www.skinsafeproducts.com/anua-heartleaf-70-soothing-cream-3-38-fl-oz-100-ml
1401-1600.csv,"Anua Brightening Pad, Niacinamide 5 + TXA, 7.10 fl oz/210 mL",Anua,Toners & Astringents,Toners,"1,2-Hexanediol, Acetyl Glutamine, Adenosine, Aloe Barbadensis Flower Extract, Bacillus/Soybean Ferment Extract, Butylene Glycol, Caprylyl Glycol, Coccinia Indica Fruit Extract, Collagen Extract, Coptis Japonica Root Extract, Corallina Officinalis Extract, Curcuma Longa (Turmeric) Root Extract, Diethoxyethyl Succinate, Disodium Edta, Ethylhexylglycerin, Folic Acid, Fructan, Glucose, Glycereth-25 Pca Isostearate, Glycereth-26, Glycerin, Glycosyl Trehalose, Hexapeptide-11, Hyaluronic Acid, Hydrogenated Starch Hydrolysate, Hydrolyzed Collagen, Hydrolyzed Hyaluronic Acid, Hydroxyacetophenone, Hydroxyethyl Urea, Lecithin, Melia Azadirachta Flower Extract, Melia Azadirachta Leaf Extract, Niacinamide, Ocimum Sanctum Leaf Extract, Oligopeptide-1, Oligopeptide-2, Propanediol, Sodium Dna, Sodium Hyaluronate, Solanum Melongena (Eggplant) Fruit Extract, Terminalia Ferdinandiana Fruit Extract, Water, Xanthan Gum, Zea Mays (Corn) Kernel Extract",https://cdn1.skinsafeproducts.com/photo/AC29BF663DB652/large_1750501100.pngpng?1750501100,https://www.skinsafeproducts.com/anua-brightening-pad-niacinamide-5-txa-7-10-fl-oz-210-ml
