File,product_name,brand,usage_type,category,ingredients,image_url,product_url
1-200.csv,"Babor Perfect Glow Ampoules Concentrates, 0.06 fl oz/2 mL, 7 Count",Babor,Skin Treatments,Serums,"Alumina, Aqua/Water/Eau, Benzyl Alcohol, Biosaccharide Gum-1, Butylene Glycol, Caprylic/Capric Triglyceride, Citric Acid, Dehydroxanthan Gum, Distarch Phosphate, Ethylhexylglycerin, Fragrance (Parfum), Glycerin, Glyceryl Oleate Citrate, Helianthus Annuus (Sunflower) Seed Oil, Hexanoyl Dipeptide-3 Norleucine Acetate, Hydroxypropyl Methylcellulose, Iron Oxides (Ci 77491), Isoamyl Laurate, Lecithin, Limonene, Mica, Phenoxyethanol, Porphyridium Cruentum Extract, Pullulan, Saccharide Isomerate, Silica, Sodium Benzoate, Titanium Dioxide (Ci 77891), Tocopherol",https://cdn1.skinsafeproducts.com/photo/396C1589EF41D4/large_1704795819.jpeg?1704795819,https://www.skinsafeproducts.com/babor-perfect-glow-ampoules-concentrates-0-06-fl-oz-2-ml-7-count
1-200.csv,"Doctor Babor Calming Rx Soothing Cleanser, 5.07 fl oz/150 mL",Babor,Facial Cleansers,Facial Washes,"Achillea Millefolium Extract, Aqua, Ascorbyl Palmitate, Butylene Glycol, Cetearyl Alcohol, Citric Acid, Coco-Glucoside, Decyl Oleate, Glycerin, Glyceryl Oleate, Glyceryl Stearate, Glyceryl Stearate Citrate, Helianthus Annuus Seed Oil, Lecithin, Oenothera Biennis Oil, Panthenol, Pantolactone, Pentylene Glycol, Silver, Sodium Hydroxide, Sodium Lactate, Tocopherol, Xanthan Gum, Zea Mays Germ Oil",https://cdn1.skinsafeproducts.com/photo/2F38B879D4EB3A/large_1677863385.jpeg?1677863385,https://www.skinsafeproducts.com/doctor-babor-calming-rx-soothing-cleanser-5-07-fl-oz-150-ml
1-200.csv,"Doctor Babor Lifting Rx Dual Eye Solution, 0.5 fl oz/15 mL",Babor,"Eye Cream, Gel, Oils, & Serum",Creams,"Allantoin, Aqua, Ascorbyl Palmitate, Biosaccharide Gum-1, Butylene Glycol, Caffeine, Carbomer, Cetearyl Alcohol, Citric Acid, Disodium Edta, Ethylhexyl Isononanoate, Ethylhexylglycerin, Fraxinus Excelsior Bark Extract, Fructose, Glycerin, Glyceryl Oleate, Glyceryl Stearate, Glycine, Glycolic Acid, Inositol, Lactic Acid, Lecithin, Mica, Niacinamide, Palmitoyl Tripeptide-5, Panthenol, Pantolactone, Phenoxyethanol, Polyglyceryl-6 Stearate, Prunus Amygdalus Dulcis Oil, Silanetriol, Silica, Sodium Benzoate, Sodium Cetearyl Sulfate, Sodium Hyaluronate, Sodium Hydroxide, Sodium Lactate, Sodium Pca, Sorbitol, Squalane, Tocopheryl Acetate, Urea, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/DCF3821261071E/large_1673323194.pngpng?1673323194,https://www.skinsafeproducts.com/doctor-babor-lifting-rx-dual-eye-solution-0-5-fl-oz-15-ml
1-200.csv,"Doctor Babor Soothing Cream Rich, Calming Rx, 1.69 fl oz/50 mL",Babor,Face,Creams,"Achillea Millefolium Extract, Allantoin, Aqua/ Water/Eau, Ascorbyl Palmitate, Butylene Glycol, Cera Alba, Citric Acid, Cocoglycerides, Decyl Oleate, Dicaprylyl Ether, Glycerin, Glyceryl Oleate, Glyceryl Stearate, Helianthus Annuus Seed Oil, Lecithin, Magnesium Stearate, Magnesium Sulfate, Oenothera Biennis Oil, Panthenol, Pantolactone, Pentylene Glycol, Polyglyceryl-2 Dipolyhydroxystearate, Polyglyceryl-3 Diisostearate, Prunus Amygdalus Dulcis Oil, Silver, Sodium Lactate, Squalane, Tocopherol, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/EF143D20C8D5B2/large_1672997311.pngpng?1672997311,https://www.skinsafeproducts.com/doctor-babor-soothing-cream-rich-calming-rx-1-69-fl-oz-50-ml
1-200.csv,"Doctor Babor Clean Formance Moisture Glow Serum, 1 fl oz/30 mL",Babor,Skin Treatments,Serums,"Acer Rubrum Bark Extract, Aloe Barbadensis Leaf Juice, Aqua, Benzyl Alcohol, Benzyl Salicylate, Butylene Glycol, Cetearyl Alcohol, Ci 77891, Coco-Caprylate, Ethylhexylglycerin, Glycerin, Glyceryl Stearate, Helianthus Annuus Seed Oil, Hydrolyzed Yeast Protein, Lactic Acid, Lactococcus Ferment Lysate, Linalool, Mica, Parfum, Pentylene Glycol, Phenoxyethanol, Prunus Amygdalus Dulcis Oil, Sclerotium Gum, Sodium Benzoate, Sodium Chloride, Sodium Hyaluronate, Sodium Lauroyl Glutamate, Stearic Acid, Tocopherol, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/FBC9538F2725E4/large_1658999938.pngpng?1658999938,https://www.skinsafeproducts.com/doctor-babor-clean-formance-moisture-glow-serum-1-fl-oz-30-ml
1-200.csv,"Doctor Babor Lifting RX Collagen Cream Rich, 1.69 fl oz/50 mL",Babor,Anti-Aging/Anti-Wrinkle,Anti-Wrinkle,"Alaria Esculenta Extract, Alcohol, Aqua, Ascorbic Acid, Ascorbyl Palmitate, Benzyl Alcohol, Benzyl Benzoate, Butyrospermum Parkii Butter, Caprylic/Capric Triglyceride, Cera Alba, Cera Microcristallina, Cetyl Palmitate, Citric Acid, Decyl Oleate, Ethylhexylglycerin, Geraniol, Helianthus Annuus Seed Oil, Hexyl Cinnamal, Isohexadecane, Limonene, Linalool, Lupinus Albus Seed Extract, Magnesium Sulfate, Panthenol, Pantolactone, Parfum, Phenoxyethanol, Polyglyceryl-3 Polyricinoleate, Silica Dimethyl Silylate, Simmondsia Chinensis Seed Oil, Tocopherol, Tocopheryl Acetate",https://cdn1.skinsafeproducts.com/photo/1A7FC197E34FEF/large_1657652417.jpeg?1657652417,https://www.skinsafeproducts.com/doctor-babor-lifting-rx-collagen-cream-rich-1-69-fl-oz-50-ml
1-200.csv,"Doctor Babor Moisture Glow Cream, Clean Formance, 1.69 fl oz/50 mL",Babor,Face,Creams,"Acer Rubrum Bark Extract, Aqua/Water/Eau, Benzyl Alcohol, Benzyl Salicylate, Beta Vulgaris/Beet Root Extract/Extrait De Racine De Betterave, Biosaccharide Gum-1, Butylene Glycol, Cetearyl Alcohol, Coco-Caprylate, Cocoglycerides, Ethylhexylglycerin, Fragrance (Parfum), Fructooligosaccharides, Glycerin, Helianthus Annuus (Sunflower) Seed Oil, Hydrogenated Palm Glycerides, Hydrolyzed Yeast Protein, Lactic Acid, Lactococcus Ferment Lysate, Linalool, Mica, Pentylene Glycol, Phenoxyethanol, Potassium Cetyl Phosphate, Potassium Lactate, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Sodium Benzoate, Sodium Chloride, Sodium Hyaluronate, Sodium Hydroxide, Titanium Dioxide (Ci 77891), Tocopherol, Vitis Vinifera (Grape) Seed Oil",https://cdn1.skinsafeproducts.com/photo/FEF18B91AF89E0/large_1634702836.pngpng?1634702836,https://www.skinsafeproducts.com/doctor-babor-moisture-glow-cream-clean-formance-1-69-fl-oz-50-ml
1-200.csv,BABOR CLEANFORMANCE AWAKENING EYE CREAM,Babor,Eyes,Dark Circle Treatments,"Acer Rubrum Bark Extract, Aqua, Butylene Glycol, Cetearyl Alcohol, Cetearyl Glucoside, Ci 77288, Ci 77891, Ethylhexylglycerin, Fraxinus Excelsior Bark Extract, Glycerin, Glycolic Acid, Helianthus Annuus Seed Oil, Hydrolyzed Yeast Protein, Lactic Acid, Lactococcus Ferment Lysate, Macadamia Integrifolia Seed Oil, Mica, Niacinamide, Olea Europaea Fruit Oil, Pentylene Glycol, Phenoxyethanol, Sesamum Indicum Seed Oil, Silanetriol, Silica, Sodium Benzoate, Sodium Cetearyl Sulfate, Sodium Chloride, Sodium Hyaluronate, Synthetic Fluorphlogopite, Tin Oxide, Tocopherol, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/2F78EB62174D77/large_1634684781.jpeg?1634684781,https://www.skinsafeproducts.com/babor-cleanformance-awakening-eye-cream
1001-1200.csv,"Babor Gel & Tonic Cleanser, 6.76 fl oz/200 mL",Babor,Facial Cleansers,Facial Gels,"Alcohol Denat, Aqua/Water/Eau, Boswellia Serrata Resin Extract, Caprylyl/Capryl Glucoside, Citric Acid, Cocamidopropyl Betaine, Coco-Glucoside, Ethylhexylglycerin, Fragrance (Parfum), Glycerin, Maltodextrin, Moringa Oleifera Seed Extract, Phenoxyethanol, Sodium Chloride, Sodium Citrate, Sodium Hydroxide, Vitis Vinifera (Grape) Fruit Extract, Xanthan Gum, Zinc Pca, Zingiber Officinale (Ginger) Root Extract",https://cdn1.skinsafeproducts.com/photo/76854781D1616B/large_1741715698.jpeg?1741715698,https://www.skinsafeproducts.com/babor-gel-tonic-cleanser-6-76-fl-oz-200-ml
1001-1200.csv,"Doctor Babor Power Serum Ampoules, Vitamin C, 0.06 fl oz/2 mL, 7 Count",Doctor Babor,Anti-Aging/Anti-Wrinkle,Serums,"3-O-Ethyl Ascorbic Acid, Aqua/Water/Eau, Argania Spinosa Kernel Oil, Benzoic Acid, Benzyl Alcohol, Betaine, Citric Acid, Dehydroacetic Acid, Disodium Phosphate, Ethylhexylglycerin, Glycerin, Helianthus Annuus (Sunflower) Seed Oil, Isopropyl Alcohol, Lecithin, Linolenic Acid, Lonicera Caprifolium (Honeysuckle) Flower Extract, Lonicera Japonica (Honeysuckle) Flower Extract, Microcrystalline Cellulose, Octyldodecanol, Phenoxyethanol, Polyglyceryl-10 Isostearate, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Sclerotium Gum, Sodium Hyaluronate, Tocopherol, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/07877B7146268C/large_1742530998.pngpng?1742530998,https://www.skinsafeproducts.com/doctor-babor-power-serum-ampoules-vitamin-c-0-06-fl-oz-2-ml-7-count
