File,product_name,brand,usage_type,category,ingredients,image_url,product_url
1-200.csv,"Bioderm Sensibio Micellar Cleansing Oil, 5 fl oz/150 mL",Bioderma,Facial Cleansers,Facial Cleansing Oil,"Aqua/Water/Eau, Benzotriazolyl Dodecyl P-Cresol, Brassica Campestris (Rapeseed) Seed Oil, Caprylic/Capric Triglyceride, Ethylhexyl Palmitate, Helianthus Annuus (Sunflower) Seed Oil, Laminaria Ochroleuca Extract, Polyglyceryl-4 Oleate, Propanediol, Sodium Pca, Stearyl Glycyrrhetinate, Tocopherol",https://cdn1.skinsafeproducts.com/photo/282387A9C6DEFF/large_1722421138.pngpng?1722421138,https://www.skinsafeproducts.com/bioderm-sensibio-micellar-cleansing-oil-5-fl-oz-150-ml
1-200.csv,"Bioderma Sensibio Foaming Gel, 16.7 fl oz/500 mL",Bioderma,Cleansers,Foaming Cleansers,"Ascorbyl Palmitate, Citric Acid, Coco-Glucoside, Fructooligosaccharides, Glyceryl Oleate, Hydrogenated Palm Glycerides Citrate, Laureth-2, Lecithin, Mannitol, Peg-90 Glyceryl Isostearate, Propanediol, Rhamnose, Sodium Citrate, Sodium Cocoamphoacetate, Sodium Lauroyl Sarcosinate (Multisource), Tocopherol (Vitamin E), Water/Aqua/Eau, Xylitol (Derived From Birch Trees Or Corn)",https://cdn1.skinsafeproducts.com/photo/F741EC7E21D1B8/large_1598476638.jpegjpg?1598476638,https://www.skinsafeproducts.com/bioderma-sensibio-foaming-gel
1-200.csv,"Bioderma Make Up Removing Micelle Solution, 16.7 fl oz/500 mL",Bioderma,Facial Cleansers,Micellar Water,"Aqua/Water/Eau, Cetrimonium Bromide, Cucumis Sativus (Cucumber) Fruit Extract, Disodium Edta, Fructooligosaccharides, Mannitol, Peg-6 Caprylic/Capric Glycerides, Propylene Glycol (1,2-Propanediol), Rhamnose, Xylitol",https://cdn1.skinsafeproducts.com/photo/5230A5E120FB0C/large_1712039152.pngpng?1712039152,https://www.skinsafeproducts.com/bioderma-make-up-removing-micelle-solution-16-7-fl-oz-500-ml
1-200.csv,"Bioderma Purifying Cleansing Foaming Gel Tube, 3.3 fl oz/ 100 mL",Bioderma,Body,Creams,"Aqua/Water/Eau, Copper Sulfate, Disodium Edta, Fragrance (Parfum), Fructooligosaccharides, Ginkgo Biloba Leaf Extract, Lactic Acid, Laureth-2, Mannitol, Methylpropanediol, Peg-90 Glyceryl Isostearate, Potassium Sorbate, Propylene Glycol, Rhamnose, Sodium Chloride, Sodium Cocoamphoacetate, Sodium Hydroxide, Sodium Laureth Sulfate, Xylitol, Zinc Sulfate",https://cdn1.skinsafeproducts.com/photo/B029ADD0E80A8D/large_1701116948.jpeg?1701116948,https://www.skinsafeproducts.com/bioderma-purifying-cleansing-foaming-gel-tube-3-3-fl-oz-100-ml
1-200.csv,"Bioderma Sensibio Defensive Serum, Hyaluronic Acid + Antioxidant Complex, 1 fl oz/30 mL",Bioderma,Skin Treatments,Serums,"1,2-Hexanediol, Aqua/Water/Eau, Biosaccharide Gum-1, Butylene Glycol, C15-19 Alkane, C20-22 Alcohols, C20-22 Alkyl Phosphate, Caprylyl Glycol, Carnosine, Cellulose, Citric Acid, Glycerin, Glycine Soja (Soybean) Oil, Hydrolyzed Hyaluronic Acid, Maltodextrin, Mannitol, Palmitoyl Tetrapeptide-10, Pentylene Glycol, Polyacrylate Crosspolymer-6, Rhamnose, Salvia Miltiorrhiza Root Extract, Sodium Hydroxide, Squalane, Tocopherol, Xanthan Gum, Xylitol",https://cdn1.skinsafeproducts.com/photo/721379B749C6E2/large_1698001982.jpeg?1698001982,https://www.skinsafeproducts.com/bioderma-sensibio-defensive-serum-hyaluronic-acid-antioxidant-complex-1-fl-oz-30-ml
1-200.csv,Bioderma Sebium Foaming Gel Pump,Bioderma,Facial Cleansers,Facial Gels,"Aqua/Eau/Water, Copper Sulfate, Disodium Edta, Fructooligosaccharides, Ginkgo Biloba Leaf Extract, Lactic Acid, Laureth-2, Mannitol, Methylpropanediol, Peg-90 Glyceryl Isostearate, Perfume, Potassium Sorbate, Propylene Glycol, Rhamnose, Sodium Chloride, Sodium Cocamphoacetate, Sodium Cocoamphoacetate, Sodium Hydroxide, Sodium Laureth Sulfate (Sles), Xylitol, Zinc Sulfate",https://cdn1.skinsafeproducts.com/photo/AB09EB0802B3DA/large_1609267581.jpeg?1609267581,https://www.skinsafeproducts.com/bioderma-sebium-purifying-cleansing-foaming-gel-cleanser-500-ml
1001-1200.csv,"Bioderma Sebium Gel Moussant Cleansing Foaming Gel, 1.5 fl oz/45 mL",Bioderma,Facial Cleansers,Facial Gels,"Propylene Glycol, Aqua/Water/Eau, Copper Sulfate, Disodium Edta, Fragrance (Parfum), Fructooligosaccharides, Ginkgo Biloba Leaf Extract, Lactic Acid, Mannitol, Methylpropanediol, Potassium Sorbate, Rhamnose, Sodium Chloride, Sodium Cocoamphoacetate, Sodium Hydroxide, Sodium Laureth Sulfate, Xylitol, Zinc Sulfate",https://cdn1.skinsafeproducts.com/photo/D489C011B803D0/large_1748949752.pngpng?1748949752,https://www.skinsafeproducts.com/bioderma-sebium-gel-moussant-cleansing-foaming-gel-1-5-fl-oz-45-ml
1001-1200.csv,"Bioderma Sebium Active Foaming Gel, 6.7 fl oz/200 mL",Bioderma,Cleansers,Foaming Cleansers,"Aqua/Water/Eau, Caprylyl/Capryl Glucoside, Cellulose, Cellulose Gum, Citric Acid, Coco-Glucoside, Fragrance (Parfum), Fructooligosaccharides, Fructose, Glucose, Glycerin, Glyceryl Oleate, Glycolic Acid, Hydrogenated Palm Glycerides Citrate, Inulin, Mannitol, Propanediol, Rhamnose, Salicylic Acid, Sodium Citrate, Sodium Hydroxide, Sodium Metabisulfite, Tocopherol, Xanthan Gum, Xylitol, Zinc Gluconate",https://cdn1.skinsafeproducts.com/photo/85ED393F20D8AC/large_1745987856.pngpng?1745987856,https://www.skinsafeproducts.com/bioderma-sebium-active-foaming-gel-6-7-fl-oz-200-ml
1001-1200.csv,"Bioderma Smoothing Moisturising Care Radiance Booster, SPF 30, 1.33 fl oz/40 mL",Bioderma,Face,Lotions,"Aqua/Water/Eau, Arachidyl Alcohol, Arachidyl Glucoside, Arginine, Behenyl Alcohol, Brassica Campestris (Rapeseed) Sterols, Butyl Methoxydibenzoylmethane, C30-45 Alkyl Cetearyl Dimethicone Crosspolymer, Cetyl Alcohol, Cyclohexasiloxane, Cyclopentasiloxane, Dimethicone, Dipropylene Glycol, Disodium Edta, Ethylhexyl Salicylate, Fragrance (Parfum), Glycerin, Hdi/Trimethylol Hexyllactone Crosspolymer, Hexyldecanol, Hydroxyethyl Acrylate/ Sodium Acryloyldimethyl Taurate Copolymer, Mannitol, Mica (Ci 77019), Niacinamide, Octocrylene, Peg-8 Laurate, Pentylene Glycol, Phenylbenzimidazole Sulfonic Acid, Polymethylsilsesquioxane, Polysorbate 60, Pyrus Malus (Apple) Seed Extract, Red 33 (Ci 17200), Rhamnose, Salicylic Acid, Sodium Hydroxide, Sorbitan Isostearate, Styrene/Acrylates Copolymer, Titanium Dioxide (Ci 77891), Tocopherol, Tocopheryl Acetate, Xylitol",https://cdn1.skinsafeproducts.com/photo/D17B1A48D3DE88/large_1716180218.pngpng?1716180218,https://www.skinsafeproducts.com/bioderma-hydrabio-perfecteur-smoothing-moisturising-care-radiance-booster-spf-30-1-33-fl-oz-40-ml
1201-1400.csv,"Bioderma Atoderm PP Ultra-Nourishing Balm, 200 ml.",Bioderma,Body,"Balms, Ointments & Salves","1,2-Hexanediol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Caprylic/Capric Triglyceride, Caprylyl Glycol, Dimethicone, Disodium Edta, Ethylhexyl Stearate, Fructooligosaccharides, Glycerin, Glyceryl Behenate, Glyceryl Dibehenate, Laminaria Ochroleuca Extract, Mannitol, Mineral Oil, Niacinamide, Oleyl Alcohol, Pentylene Glycol, Peumus Boldus Leaf Extract, Rhamnose, Sodium Hydroxide, Sucrose Stearate, Tribehenin, Water\Aqua\Eau, Xanthan Gum, Xylitol (Source Unknown), Zanthoxylum Alatum Fruit Extract, Zanthoxylum Bungeanum Fruit Extract",https://cdn1.skinsafeproducts.com/photo/D4203FCB9B3929/large_1488074426.jpeg?1488074426,https://www.skinsafeproducts.com/bioderma-atoderm-pp-ultra-nourishing-balm-200-ml-0
