File,product_name,brand,usage_type,category,ingredients,image_url,product_url
1-200.csv,"Charlotte Tilbury Daily Radiant Glow Toner, 1.0 fl oz/30 mL",Charlotte Tilbury,Toners & Astringents,Toners,"Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Aqua/Water/Eau, Benzyl Alcohol, Butyrospermum Parkii (Shea) Butter, Carbomer, Citral, Citronellol, Citrus Aurantium Bergamia (Bergamot) Peel Oil, Citrus Limon (Lemon) Peel Oil, Dicaprylyl Ether, Ethylhexylglycerin, Eugenol, Geraniol, Glycerin, Hydrogenated Lecithin, Hydrolyzed Opuntia Ficus-Indica Flower Extract, Isopentyldiol, Limonene, Linalool, Maltodextrin, Niacinamide, Parfum (Fragrance), Pentapeptide-48, Phenethyl Alcohol, Phenoxyethanol, Propanediol, Silica, Sodium Hyaluronate, Sodium Hydroxide, Tocopherol, Trifolium Pratense (Clover) Flower Extract, Trisodium Ethylenediamine Disuccinate",https://cdn1.skinsafeproducts.com/photo/7AC9A4AE5533F0/large_1719341068.jpeg?1719341068,https://www.skinsafeproducts.com/charlotte-tilbury-daily-radiant-glow-toner-1-0-fl-oz-30-ml
1-200.csv,"Charlotte's Magic Hydration Revival Cleanser, 4 fl oz/120 mL",Charlotte Tilbury,Facial Cleansers,Facial Foaming Cleansers,"Allantoin, Aloe Barbadensis Leaf Juice Powder, Aqua/Water/Eau, Benzyl Benzoate, Butyrospermum Parkii (Shea) Butter, Camellia Oleifera (Camellia) Seed Oil, Cetyl Hydroxyethylcellulose, Citric Acid, Decyl Glucoside, Disodium Cocoyl Glutamate, Disodium Edta, Disodium Phosphate, Fructose, Glucose, Glycerin, Glyceryl Stearate Se, Glycol Distearate, Helianthus Annuus (Sunflower) Seed Oil, Hexyl Cinnamal, Hydrated Silica, Hydrolyzed Cottonseed Protein, Maltose, Opuntia Ficus-Indica Stem Extract, Parfum (Fragrance), Pentylene Glycol, Phenoxyethanol, Plumeria Rubra Flower Extract, Potassium Sorbate, Rosa Canina Fruit Oil, Silica Dimethyl Silylate, Sodium Ascorbyl Phosphate, Sodium Benzoate, Sodium Chloride, Sodium Cocoyl Glutamate, Sodium Cocoyl Glycinate, Sodium Hyaluronate, Sodium Hydroxide, Sodium Lactate, Sodium Pca, Sodium Phosphate, Tetrasodium Glutamate Diacetate, Tocopherol, Tocopheryl Acetate, Trehalose, Urea",https://cdn1.skinsafeproducts.com/photo/C8E764CC1F0048/large_1714295715.pngpng?1714295715,https://www.skinsafeproducts.com/charlotte-s-magic-hydration-revival-cleanser-4-fl-oz-120-ml
1-200.csv,"Charlotte's Tilbury Magic Water Cream, 1.6 fl oz/50 mL",Charlotte Tilbury,Face,Creams,"1,2-Hexanediol, Acetyl Tetrapeptide-11, Acetyl Tetrapeptide-9, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Aloe Barbadensis Leaf Juice, Aqua/Water/Eau, Ascorbyl Palmitate, Backhousia Citriodora Leaf Extract, Beta-Glucan, Butyrospermum Parkii (Shea) Butter, Camellia Oleifera (Camellia) Seed Oil, Caprylic/Capric Triglyceride, Caprylyl Glycol, Carbomer, Citric Acid, Glycerin, Glyceryl Glucoside, Helianthus Annuus (Sunflower) Seed Oil, Mannitol, Niacinamide, Pentylene Glycol, Plumeria Rubra Flower Extract, Potassium Sorbate, Propanediol, Rosa Canina Fruit Oil, Sodium Benzoate, Sodium Gluconate, Sodium Hyaluronate, Sodium Hydroxide, Squalane, Tocopherol, Vaccinium Macrocarpon (Cranberry) Fruit Extract",https://cdn1.skinsafeproducts.com/photo/13559C0A452FAB/large_1699162372.jpeg?1699162372,https://www.skinsafeproducts.com/charlotte-s-tilbury-magic-water-cream-1-6-fl-oz-50-ml
1-200.csv,"Charlotte Tilbury Pillow Talk Lip Kit, Pillow Talk Original",Charlotte Tilbury,Skin Care,Sets & Kits,"Bixa Orellana Seed Extract, Blue 1 Lake (Ci 42090), Caprylic/Capric Triglyceride, Carica Papaya (Papaya) Fruit Extract, Carmine (Ci 75470), Carthamus Tinctorius (Safflower) Seed Oil, Dicalcium Phosphate, Dimethicone, Dimethicone Crosspolymer, Ethyl Vanillin, Iron Oxides Ci 77491, Ci 77492, Ci 77499, Mica, Microcrystalline Wax/Cera Microcristallina/Cire Microcristalline, Neopentyl Glycol Dicaprylate/Dicaprate, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Phalaenopsis Amabilis Extract, Polybutene, Polyethylene, Red 7 Lake (Ci 15850), Silica, Tin Oxide, Titanium Dioxide (Ci 77891), Tocopherol, Tocopheryl Acetate, Trimethylolpropane Triisostearate, Zea Mays (Corn) Oil",https://cdn1.skinsafeproducts.com/photo/11B276D6EF3D77/large_1618951687.jpeg?1618951687,https://www.skinsafeproducts.com/charlotte-tilbury-pillow-talk-lip-kit-pillow-talk-original
1-200.csv,"Charlotte Tilbury Magic Serum Crystal Elixir, 0.27 fl oz/8 mL",Charlotte Tilbury,Skin Treatments,Serums,"1,2-Hexanediol, Acetyl Tetrapeptide-11, Acetyl Tetrapeptide-9, Aloe Barbadensis Leaf Juice, Amethyst Powder, Aqua/Water/Eau, Ascorbic Acid, Benzyl Alcohol, Biosaccharide Gum-4, Butylene Glycol, Butyrospermum Parkii (Shea) Oil, Camellia Oleifera Seed Oil, Caprylyl Glycol, Carbomer, Chondrus Crispus (Carrageenan) Extract, Citral, Citric Acid, Citronellol, Copper Gluconate, Dehydroacetic Acid, Dimethyl Isosorbide, Geraniol, Glutathione, Glycereth-26, Glycerin, Glyceryl Stearate, Gold, Hydrated Silica, Lactic Acid, Limonene, Linalool, Lithothamnion Calcareum Extract, Magnesium Aspartate, Methyl Gluceth-20, Myrothamnus Flabellifolia Leaf Extract, Niacinamide, Octyldodecanol, Octyldodecyl Oleate, Octyldodecyl Stearoyl Stearate, Parfum (Fragrance), Peg-100 Stearate, Pentylene Glycol, Phenoxyethanol, Plumeria Alba Flower Extract, Plumeria Rubra Flower Extract, Polyglutamic Acid, Polyhydroxystearic Acid, Polysorbate 20, Potassium Sorbate, Propanediol, Quartz Powder, Rosa Canina Fruit Extract, Ruby Powder, Saussurea Involucrata Callus Extract, Schisandra Chinensis (Magnolia) Fruit Extract, Silica, Sodium Benzoate, Sodium Gluconate, Sodium Hyaluronate, Sodium Hydroxide, Solanum Tuberosum (Potato) Pulp Extract, Sorbitol, Tocopheryl Acetate, Triheptanoin, Xanthan Gum, Zinc Gluconate",https://cdn1.skinsafeproducts.com/photo/37F18492333BDC/large_1699383949.jpeg?1699383949,https://www.skinsafeproducts.com/charlotte-tilbury-magic-serum-crystal-elixir-0-27-fl-oz-8-ml
1-200.csv,"Charlotte Tilbury Magic Cream Face Moisturizer, 1 fl oz/30 mL",Charlotte Tilbury,Face,Creams,"Allantoin, Aloe Barbadensis Leaf Juice, Aqua/Water/Eau, Ascorbic Acid, Ascorbyl Palmitate, Avena Sativa (Oat) Kernel Extract, Butylene Glycol, Butyrospermum Parkii (Shea) Butter, C12-15 Alkyl Benzoate, Camellia Oleifera Seed Oil, Caprylyl Glycol, Carbomer, Cetyl Alcohol, Chlorphenesin, Citric Acid, Citronellol, Coco-Glucoside, Cyclopentasiloxane, Dimethicone, Dimethiconol, Disodium Edta, Ethylhexyl Palmitate, Ethylhexylglycerin, Geraniol, Glycerin, Glyceryl Stearate Se, Helianthus Annuus (Sunflower) Seed Oil, Hydrolyzed Viola Tricolor Extract, Isononyl Isononanoate, Linalool, Michelia Alba Leaf Oil, Neopentyl Glycol Diheptanoate, Nicotiana Sylvestris Leaf Cell Culture, Olus Oil/Vegetable Oil, Palmitoyl Tetrapeptide-7, Palmitoyl Tripeptide-1, Peg-8, Phenoxyethanol, Plumeria Rubra Flower Extract, Polyester-7, Potassium Cetyl Phosphate, Rosa Canina Fruit Oil, Rosa Damascena Extract, Sodium Hyaluronate, Sodium Hydroxide, Sodium Lactate, Steareth-21, Tocopherol, Tocopheryl Acetate, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/62EE302E93812B/large_1696326773.pngpng?1696326773,https://www.skinsafeproducts.com/charlotte-tilbury-magic-cream-face-moisturizer-1-fl-oz-30-ml
1-200.csv,"Charlotte Tilbury Collagen Superfusion Face Oil, Collagen Matrix, 0.27 fl oz/8 mL",Charlotte Tilbury,Face,Oils,"Caprylic/Capric Triglyceride, Citronellol, Citrus Aurantium Amara (Bitter Orange) Flower Oil, Cocoyl Hydrolyzed Collagen, Eucalyptus Globulus Leaf Oil, Farnesol, Geraniol, Helianthus Annuus (Sunflower) Seed Oil, Lavandula Angustifolia (Lavender) Oil, Limonene, Linalool, Lupinus Albus Seed Extract, Magnolia Officinalis Bark Extract, Oenothera Biennis (Evening Primrose) Oil, Olea Europaea (Olive) Frut Oil, Orbignya Oleifera Seed Oil, Persea Gratissima (Avocado) Oil, Rosa Damascena Flower Extract, Rosa Damascena Flower Oil, Rubus Idaeus (Raspberry) Seed Oil, Silica Dimethyl Silylate, Theobroma Cacao (Cocoa) Extract, Tocopherol, Vaccinium Myrtillus Seed Oil",https://cdn1.skinsafeproducts.com/photo/D2CCBFB93E1B89/large_1695503054.jpeg?1695503054,https://www.skinsafeproducts.com/charlotte-tilbury-collagen-superfusion-face-oil-collagen-matrix-0-27-fl-oz-8-ml
1-200.csv,"Charotte Tilbury Glow Toner, 5.0 fl oz/150 mL",Charlotte Tilbury,Toners & Astringents,Toners,"Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Aqua/Water/Eau, Benzyl Alcohol, Butyrospermum Parkii (Shea) Butter, Carbomer, Citral, Citronellol, Citrus Aurantium Bergamia (Bergamot) Peel Oil, Citrus Limon (Lemon) Peel Oil, Dicaprylyl Ether, Ethylhexylglycerin, Eugenol, Geraniol, Glycerin, Hydrogenated Lecithin, Hydrolyzed Opuntia Ficus-Indica Flower Extract, Isopentyldiol, Limonene, Linalool, Maltodextrin, Niacinamide, Parfum (Fragrance), Pentapeptide-48, Phenethyl Alcohol, Phenoxyethanol, Propanediol, Silica, Sodium Hyaluronate, Sodium Hydroxide, Tocopherol, Trifolium Pratense (Clover) Flower Extract, Trisodium Ethylenediamine Disuccinate",https://cdn1.skinsafeproducts.com/photo/F689CE500FE74E/large_1688962924.pngPNG?1688962924,https://www.skinsafeproducts.com/charotte-tilbury-glow-toner-5-0-fl-oz-150-ml
1-200.csv,"Charlotte Tilbury Charlotte's Magic Cream Moisturizer, 0.5 oz/15 mL",Charlotte Tilbury,Face,Creams,"Allantoin, Aloe Barbadensis Leaf Juice, Aqua/Water/Eau, Ascorbic Acid, Ascorbyl Palmitate, Avena Sativa (Oat) Kernel Extract, Butyl Methoxydibenzoylmethane, Butylene Glycol, Butyrospermum Parkii (Shea Butter), C12-15 Alkyl Benzoate, Camellia Oleifera Seed Oil, Caprylyl Glycol, Carbomer, Cetyl Alcohol, Chlorphenesin, Citric Acid, Citronellol, Coco-Glucoside, Cyclopentasiloxane, Dimethicone, Dimethiconol, Disodium Edta, Ethylhexyl Salicylate, Ethylhexylglycerin, Geraniol, Glycerin, Glyceryl Stearate Se, Helianthus Annuus (Sunflower) Seed Oil, Homosalate, Hydrolyzed Viola Tricolor Extract, Linalool, Michelia Alba Leaf Oil, Nicotiana Sylvestris Leaf Cell Culture, Octocrylene, Palmitoyl Tetrapeptide-7, Palmitoyl Tripeptide-1, Peg-8, Phenoxyethanol, Plumeria Rubra Flower Extract, Potassium Cetyl Phosphate, Rosa Canina Fruit Oil, Rosa Damascena Extract, Sodium Hyaluronate, Sodium Hydroxide, Sodium Lactate, Steareth-21, Tocopherol, Tocopheryl Acetate, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/DD9ECB7362E64F/large_1676143729.jpeg?1676143729,https://www.skinsafeproducts.com/charlotte-tilbury-charlotte-s-magic-cream-moisturizer-0-5-oz-15-ml
1-200.csv,"Charlotte Tilbury Magic Eye Rescue Cream, 0.5 fl oz/15 mL",Charlotte Tilbury,Eyes,"Eye Cream, Gel, Oils, & Serum","Aluminum Hydroxide, Aqua/Water/Eau, Ascorbic Acid, Ascorbyl Palmitate, Ascorbyl Tetraisopalmitate, Borago Officinalis Seed Oil, Butylene Glycol, Butyrospermum Parkii (Shea Butter), C12-16 Alcohols, Caprylic/Capric Triglyceride, Cera Alba/Beeswax/Cire D'Abeille, Chlorphenesin, Chondrus Crispus Extract, Citric Acid, Daphne Odora Callus Extract, Dicaprylyl Ether, Disodium Edta, Ethylhexyl Stearate, Ethylhexylglycerin, Glycerin, Glyceryl Stearate, Glycine Soja (Soybean) Protein, Helianthus Annuus (Sunflower) Seed Oil, Hydrogenated Castor Oil, Hydrogenated Lecithin, Hydrolyzed Rice Protein, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Hydroxypropyl Cyclodextrin, Iron Oxides (Ci 77492), Lecithin, Nicotiana Sylvestris Leaf Cell Culture, Olive Oil Peg-7 Esters, Olus Oil/Vegetable Oil/Huile VéGéTale, Palmitic Acid, Peg-7 Glyceryl Cocoate, Peg-8, Phenoxyethanol, Plumeria Rubra Flower Extract, Polysorbate 20, Polysorbate 60, Potassium Sorbate, Retinol, Retinyl Palmitate, Saccharide Isomerate, Sodium Benzoate, Sodium Citrate, Sodium Dextran Sulfate, Sodium Hydroxide, Sodium Pca, Sorbitan Isostearate, Sorbitan Stearate, Squalane, Superoxide Dismutase, Titanium Dioxide (Ci 77891), Tocopherol, Tocopheryl Acetate, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/8F36CE6D279B05/large_1677233359.pngpng?1677233359,https://www.skinsafeproducts.com/charlotte-tilbury-magic-eye-rescue-cream-0-5-fl-oz-15-ml
