File,product_name,brand,usage_type,category,ingredients,image_url,product_url
1201-1400.csv,"Dieux Air Angel Hydrating Facial Gel Cream, 0.85 fl oz/25 mL",Dieux,Face,Gels,"Acrylates/C10-30 Alkyl Acrylate Crosspolymer, C12-15 Alkyl Benzoate, Caprylic/Capric Triglyceride, Caprylyl Glycol, Carbomer, Ceramide Ng, Cetyl Alcohol, Collagen Amino Acids, Dimethicone, Dimethicone Crosspolymer, Dipalmitoyl Hydroxyproline, Glycerin, Haematococcus Pluvialis Extract, Hexylene Glycol, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Imperata Cylindrica (Cogon Grass) Root Extract, Lactic Acid, Linoleic Acid, Meadowfoam Estolide, Methylpropanediol, Palmitic Acid, Palmitoyl Hexapeptide-12, Peg-10 Phytosterol, Phenoxyethanol, Phospholipids, Phytosterols, Polyquaternium-51, Polysorbate 60, Propanediol, Sodium Hyaluronate, Sodium Hydroxide, Sodium Pca, Sorbitan Isostearate, Squalane, Trehalose, Triacetin, Tribehenin, Urea, Water/Aqua/Eau",https://cdn1.skinsafeproducts.com/photo/21303A69BEAB65/large_1757748323.pngpng?1757748323,https://www.skinsafeproducts.com/dieux-air-angel-hydrating-facial-gel-cream-0-85-fl-oz-25-ml
1401-1600.csv,"Dieux Air Angel Hydrating Facial Gel Cream, 1 fl oz/30 mL",Dieux,Face,Creams,"Acrylates/C10-30 Alkyl Acrylate Crosspolymer, C12-15 Alkyl Benzoate, Caprylic/Capric Triglyceride, Caprylyl Glycol, Carbomer, Ceramide Ng, Cetyl Alcohol, Collagen Amino Acids, Dimethicone, Dimethicone Crosspolymer, Dipalmitoyl Hydroxyproline, Glycerin, Haematococcus Pluvialis Extract, Hexylene Glycol, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Imperata Cylindrica (Cogon Grass) Root Extract, Lactic Acid, Linoleic Acid, Meadowfoam Estolide, Methylpropanediol, Palmitic Acid, Palmitoyl Hexapeptide-12, Peg-10 Phytosterol, Phenoxyethanol, Phospholipids, Phytosterols, Polyquaternium-51, Polysorbate 60, Propanediol, Sodium Hyaluronate, Sodium Hydroxide, Sodium Pca, Sorbitan Isostearate, Squalane, Trehalose, Triacetin, Tribehenin, Urea, Water/Aqua/Eau",https://cdn1.skinsafeproducts.com/photo/DFA09847544334/large_1749304949.jpeg?1749304949,https://www.skinsafeproducts.com/dieux-air-angel-hydrating-facial-gel-cream-1-fl-oz-30-ml
1401-1600.csv,"Dieux Ethereal Facial Cleansing Oil, 3.38 fl oz/100 mL",Dieux Skin,Facial Cleansers,Facial Cleansing Oil,"Caprylic/Capric Triglyceride, Castor Oil/Ipdi Copolymer, Ethylhexyl Palmitate, Hydrogenated Castor Oil/Sebacic Acid Copolymer, Isohexadecane, Peg-20 Glyceryl Triisostearate, Polyglyceryl-10 Diisostearate",https://cdn1.skinsafeproducts.com/photo/060D19A8C6E280/large_1748332259.pngpng?1748332259,https://www.skinsafeproducts.com/dieux-ethereal-facial-cleansing-oil-3-38-fl-oz-100-ml
1401-1600.csv,"Dieux Skin Ethernal Concentrated Cleansing Oil, 3.38 fl oz/100 mL",Dieux Skin,Facial Cleansers,Facial Cleansing Oil,"Caprylic/Capric Triglyceride, Castor Oil/Ipdi Copolymer, Ethylhexyl Palmitate, Hydrogenated Castor Oil/Sebacic Acid Copolymer, Isohexadecane, Peg-20 Glyceryl Triisostearate, Polyglyceryl-10 Diisostearate",https://cdn1.skinsafeproducts.com/photo/12FD94FF8800CD/large_1747979440.pngpng?1747979440,https://www.skinsafeproducts.com/dieux-skin-ethernal-concentrated-cleansing-oil-3-38-fl-oz-100-ml
1401-1600.csv,"Dieux Auracle Reviving Eye Gel, 0.1 fl oz/2 mL",Dieux Skin,"Eye Cream, Gel, Oils, & Serum",Gels,"Ascophyllum Nodosum Extract, Asparagopsis Armata Extract, C9-12 Alkane, Caprylic/Capric Triglyceride, Caprylyl Glycol, Castor Oil/Ipdi Copolymer, Chlorhexidine Digluconate, Chrysin, Citric Acid, Coco-Caprylate/Caprate, Dilinoleic Acid/Butanediol Copolymer, Glycerin, Hydrogenated Starch Hydrolysate, Maltodextrin, Methylpropanediol, N-Hydroxysuccinimide, Nylon-12 Fluorescent Brightener 230 Salt, Palmitoyl Tetrapeptide-7, Palmitoyl Tripeptide-1, Phenoxyethanol, Plankton Extract, Polyacrylate Crosspolymer-6, Polyvinylalcohol Crosspolymer, Potassium Sorbate, Sodium Hydroxide, Sodium Polyacrylate, Steareth-20, Triheptanoin, Water/Aqua/Eau",https://cdn1.skinsafeproducts.com/photo/872007EAB3FA7C/large_1747716417.pngpng?1747716417,https://www.skinsafeproducts.com/dieux-auracle-reviving-eye-gel-0-1-fl-oz-2-ml
1401-1600.csv,"Dieux Skin Instant Angel Lipid Rich Facial Moisturizer, 3.38 fl oz/100 mL",Dieux Skin,Face,Creams,"C12-15 Alkyl Benzoate, C9-12 Alkane, Caprylic/Capric Triglyceride, Caprylyl Glycol, Castor Oil/Ipdi Copolymer, Ceramide Ng, Cetearyl Alcohol, Coco-Caprylate/Caprate, Coconut Alkanes, Dilinoleic Acid/Butanediol Copolymer, Dipalmitoyl Hydroxyproline, Glycerin, Glyceryl Stearate, Hexylene Glycol, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Hydroxyproline Palmitamide, Isohexadecane, Lactic Acid, Linoleic Acid, Meadowfoam Estolide, Methylpropanediol, Palmitic Acid, Palmitoyl Hexapeptide-12, Peg-10 Phytosterol, Peg-100 Stearate, Phenoxyethanol, Phospholipids, Phytosterols, Phytosteryl Macadamiate, Polyquaternium-51, Polysorbate 60, Sodium Hyaluronate, Sodium Isostearate, Sodium Pca, Sodium Phytate, Sodium Polyacrylate, Squalane, Tocopherol, Trehalose, Triacetin, Tribehenin, Triheptanoin, Urea, Water/Aqua/Eau",https://cdn1.skinsafeproducts.com/photo/844C242135885C/large_1736748228.pngpng?1736748228,https://www.skinsafeproducts.com/dieux-skin-instant-angel-lipid-rich-facial-moisturizer-3-38-fl-oz-100-ml
1401-1600.csv,"Dieux Instant Angel Lipid Rich Facial Moisturizer, 0.1 fl oz/3 mL",Dieux Skin,Face,Creams,"C12-15 Alkyl Benzoate, C9-12 Alkane, Caprylic/Capric Triglyceride, Caprylyl Glycol, Castor Oil/Ipdi Copolymer, Ceramide Ng, Cetearyl Alcohol, Coco-Caprylate/Caprate, Coconut Alkanes, Dilinoleic Acid/Butanediol Copolymer, Dipalmitoyl Hydroxyproline, Dodecane Alkanes, Glycerin, Glyceryl Stearate, Hexylene Glycol, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Hydroxyproline Palmitamide, Isohexadecane, Lactic Acid, Linoleic Acid, Meadowfoam Estolide, Methylpropanediol, Palmitic Acid, Palmitoyl Hexapeptide-12, Peg-10 Phytosterol, Peg-100 Stearate, Phenoxyethanol, Phospholipids, Phytosterols, Phytosteryl Macadamiate, Polyquaternium-51, Polysorbate 60, Sodium Hyaluronate, Sodium Isostearate, Sodium Pca, Sodium Phytate, Sodium Polyacrylate, Squalane, Tocopherol, Trehalose, Triacetin, Tribehenin, Triheptanoin, Urea, Water/Aqua/Eau",https://cdn1.skinsafeproducts.com/photo/CF325469B5C37A/large_1733284012.pngpng?1733284012,https://www.skinsafeproducts.com/dieux-instant-angel-lipid-rich-facial-moisturizer-0-1-fl-oz-3-ml
1401-1600.csv,"Dieux Baptism Gentle Foaming Facial Gel Cleanser, 6.76 fl oz/200 mL",Dieux Skin,Facial Cleansers,Facial Foaming Cleansers,"Acrylates/ C10-30 Alkyl Acrylate Crosspolymer, Betaine, Caprylyl Glycol, Decyl Glucoside, Glycerin, Glycolipids, Methylpropanediol, Phenoxyethanol, Polyquaternium-73, Sodium Cocoyl Glutamate, Sodium Hydroxide, Water/Aqua/Eau",https://cdn1.skinsafeproducts.com/photo/49D9A2ADAE647C/large_1726285885.pngpng?1726285885,https://www.skinsafeproducts.com/dieux-baptism-gentle-foaming-facial-gel-cleanser-6-76-fl-oz-200-ml
1401-1600.csv,"Dieux Skin Instant Angel Moisturizer, 1.59 fl oz/45 mL",Dieux Skin,Face,Lotions,"C12-15 Alkyl Benzoate, Caprylic/Capric Triglyceride, Caprylyl Glycol, Castor Oil/Ipdi Copolymer, Ceramide Ng, Cetearyl Alcohol, Coco-Caprylate/Caprate, Coconut Alkanes, Dilinoleic Acid/Butanediol Copolymer, Dipalmitoyl Hydroxyproline, Glycerin, Glyceryl Stearate, Hexylene Glycol, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Hydroxyproline Palmitamide, Isohexadecane, Lactic Acid, Linoleic Acid, Meadowfoam Estolide, Methylpropanediol, Palmitic Acid, Palmitoyl Hexapeptide-12, Peg-10 Phytosterol, Peg-100 Stearate, Phenoxyethanol, Phospholipids, Phytosterols, Phytosteryl Macadamiate, Polyquaternium-51, Polysorbate 60, Sodium Hyaluronate, Sodium Pca, Sodium Phytate, Sodium Polyacrylate, Sorbitan Isostearate, Squalane, Tocopherol, Trehalose, Triacetin, Tribehenin, Triheptanoin, Urea, Water",https://cdn1.skinsafeproducts.com/photo/9FB282E1025F42/large_1697910667.pngpng?1697910667,https://www.skinsafeproducts.com/dieux-skin-instant-angel-moisturizer
1401-1600.csv,Dieux Skin Forever Eye Mask,Dieux Skin,Skin Treatments,Eye Masks & Pads,Nonporous Silicone,https://cdn1.skinsafeproducts.com/photo/32D51E60FA5D02/large_1697912048.pngpng?1697912048,https://www.skinsafeproducts.com/dieux-skin-forever-eye-mask
1401-1600.csv,"Dieux Skin Auracle Reviving Eye Gel, .68 oz (20 mL)",Dieux Skin,Skin Treatments,Serums,"Aqua/Water/Eau, Ascophyllum Nodosum Extract, Asparagopsis Armata Extract, C9-12 Alkane, Caprylic/Capric Triglyceride, Caprylyl Glycol, Castor Oil/Ipdi Copolymer, Chlorhexidine Digluconate, Chrysin, Citric Acid, Coco-Caprylate/Caprate, Dilinoleic Acid/Butanediol Copolymer, Glycerin, Hydrogenated Starch Hydrolysate, Maltodextrin, Methylpropanediol, N-Hydroxysuccinimide, Nylon-12 Fluorescent Brightener 230 Salt, Palmitoyl Tetrapeptide-7, Palmitoyl Tripeptide-1, Phenoxyethanol, Plankton Extract, Polyacrylate Crosspolymer-6, Polyvinylalcohol Crosspolymer, Potassium Sorbate, Sodium Hydroxide, Sodium Polyacrylate, Steareth-20, Triheptanoin",https://cdn1.skinsafeproducts.com/photo/2E27A654BCC77E/large_1697911635.pngpng?1697911635,https://www.skinsafeproducts.com/dieux-skin-auracle-reviving-eye-gel-68-oz-20-ml
