File,product_name,brand,usage_type,category,ingredients,image_url,product_url
1-200.csv,"Eucerin Roughness Relief Lotion, 16.9 fl oz/500 mL",Eucerin,Body,Lotions,"1,2-Hexanediol, Alanine, Arginine, Arginine Hcl, Butyrospermum Parkii Butter, Carnitine, Ceramide Np, Cetearyl Alcohol, Citrulline, Dicaprylyl Ether, Glutamic Acid, Glycerin, Glyceryl Glucoside, Glycogen, Histidine Hci, Isopropyl Stearate, Lactic Acid, Lysine Hci, Mannitol, Pca, Phenoxyethanol, Polyglyceryl-4 Diisostearate/Polyhydroxystearate/Sebacate, Potassium Sorbate, Serine, Sodium Chloride, Sodium Lactate, Sodium Pca, Sucrose, Tapioca Starch, Threonine, Urea, Water",https://cdn1.skinsafeproducts.com/photo/AA2159F50DFFF1/large_1707481281.pngpng?1707481281,https://www.skinsafeproducts.com/eucerin-roughness-relief-lotion-16-9-fl-oz-500-ml
1-200.csv,"Eucerin Advanced Repair Cream, Very Dry Skin, 8 oz/226 g",Eucerin,Body,Creams,"Acrylates-C10-30-Alkyl-Acrylate-Crosspolymer, Alanine, Arginine Hcl, Butyrospermum Parkii Butter, Caprylic-Capric-Triglyceride, Carnitine, Carrageenan, Ceramide Np, Cetearyl Alcohol, Cholesterol, Decylene Glycol, Dimethicone, Glycerin, Glyceryl Stearate Se, Glycine, Helianthus Annuus Seed Oil*, Hydrogenated Coco-Glycerides, Lactic Acid, Octyldodecanol, Pentylene Glycol, Phenoxyethanol, Sodium Cetearyl Sulfate, Sodium Chloride, Sodium Lactate, Sodium Pca, Tapioca Starch, Urea, Water",https://cdn1.skinsafeproducts.com/photo/68BFD7943E7ACA/large_1632087164.jpeg?1632087164,https://www.skinsafeproducts.com/eucerin-advanced-repair-cream-very-dry-skin-8-oz-226-g
1-200.csv,"Eucerin Intensive Repair Essential Oil Balm, 7 oz",Eucerin,Body,"Balms, Ointments & Salves","Arginine Hcl, Beeswax, Bis-Diglyceryl Polyacyladipate-2, Butyrospermum Parkii (Shea) Butter, C18-38 Alkyl Hydroxystearoyl Stearate, Caprylic/Capric Triglyceride, Cetearyl Alcohol, Cetyl Palmitate, Decyl Oleate, Decylene Glycol, Dicaprylyl Carbonate, Glycerin, Glycine, Helianthus Annuus (Sunflower) Seed Oil, Hydrogenated Castor Oil, Hydrogenated Coco-Glycerides, Magnesium Stearate, Magnesium Sulfate, Octyldodecanol, Polyglyceryl-3 Diisostearate, Ricinus Communis (Castor) Seed Oil, Sodium Ascorbyl Phosphate, Sodium Pca, Tocopherol, Urea, Water",https://cdn1.skinsafeproducts.com/photo/20A9CB8FEDA430/large_1635799738.jpeg?1635799738,https://www.skinsafeproducts.com/eucerin-intensive-repair-essential-oil-balm-7-oz
1-200.csv,"Eucerin Roughness Relief Lotion, Extremely Dry Rough Skin, 16.9 fl oz/500 mL",Eucerin,Body,Lotions,"1-2-Hexanediol, Alanine, Arginine Hcl, Butyrospermum Parkii Butter, Carnitine, Ceramide Np, Cetearyl Alcohol, Citrulline, Dicaprylyl Ether, Glutamic Acid, Glycerin, Glyceryl Glucoside, Glycogen, Histidine, Isopropyl Stearate, Lactic Acid, Lysine, Mannitol, Nylon-12, Phenoxyethanol, Polyglyceryl-4 Diisostearate/Polyhydroxystearate/Sebacate, Potassium Sorbate, Serine, Sodium Chloride, Sodium Lactate, Sodium Pca, Sucrose, Threonine, Urea, Water",https://cdn1.skinsafeproducts.com/photo/07F21406450357/large_1634371515.jpeg?1634371515,https://www.skinsafeproducts.com/eucerin-roughness-relief-lotion-extremely-dry-rough-skin-16-9-fl-oz-500-ml
1-200.csv,"Eucerin Hydrating Cleansing Gel, Hyaluronic Acid, 6.8 fl oz/200 mL",Eucerin,Facial Cleansers,Facial Gels,"Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Coco Glucoside, Coco-Betaine, Glycerin, Glyceryl Glucoside, Sodium Benzoate, Sodium Chloride, Sodium Hyaluronate, Trisodium Edta, Water",https://cdn1.skinsafeproducts.com/photo/15FA47127A4B5C/large_1665198472.jpeg?1665198472,https://www.skinsafeproducts.com/eucerin-hydrating-cleansing-gel-hyaluronic-acid-6-8-fl-oz-200-ml
1-200.csv,"Eucerin Hydrating Foaming Cleanser, Hyaluronic Acid, 5 oz/150 mL",Eucerin,Facial Cleansers,Facial Foaming Cleansers,"Acrylates C10-30 Alkyl Acrylate Crosspolymer, Coco-Betaine, Coco-Glucoside, Glycerin, Glyceryl Glucoside, Sodium Benzoate, Sodium Chloride, Sodium Hyaluronate, Trisodium Edta, Water",https://cdn1.skinsafeproducts.com/photo/520EF596F6EE3D/large_1712743451.pngpng?1712743451,https://www.skinsafeproducts.com/eucerin-hydrating-foaming-cleanser-hyaluronic-acid-5-oz-150-ml
1-200.csv,"Eucerin Aquaphor Healing Ointment, 50 g",Eucerin,Body,"Balms, Ointments & Salves","Bisabolol, Ceresin, Glycerin, Lanolin Alcohol, Microcrystalline Wax, Mineral Oil, Panthenol",https://cdn1.skinsafeproducts.com/photo/94BB46DFE126C2/large_1625129988.pngpng?1625129988,https://www.skinsafeproducts.com/eucerin-aquaphor-healing-ointment-dry-cracked-skin-50-g
1-200.csv,"Eucerin Advanced Repair Scented Night Lotion, 13.5 fl oz/400 mL",Eucerin,Face,Nighttime Moisturizers,"Alanine, Arginine Hcl, Butyrospermum Parkii (Shea) Butter, Caprylic/Capric Triglyceride, Carnitine, Ceramide Np, Cetearyl Alcohol, Cholesterol, Chondrus Crispus Extract, Decylene Glycol, Dicaprylyl Ether, Dimethicone, Ethylhexyl Cocoate, Fragrance, Glycerin, Glyceryl Glucoside, Glyceryl Stearate Se, Glycine, Helianthus Annuus (Sunflower) Seed Oil, Hydrogenated Coco-Glycerides, Lactic Acid, Octyldodecanol, Pentylene Glycol, Phenoxyethanol, Sodium Cetearyl Sulfate, Sodium Chloride, Sodium Lactate, Sodium Pca, Tapioca Starch, Tocopherol, Urea, Water",https://cdn1.skinsafeproducts.com/photo/081C73DBD58119/large_1669954171.jpeg?1669954171,https://www.skinsafeproducts.com/eucerin-advanced-repair-night-lotion-very-dry-skin-scented-13-5-fl-oz-400-ml
1-200.csv,"Eucerin Adjunctive Soothing Cream, Dermopurifyer Oil, Control, 50 mL",Eucerin,Skin Care,Acne Care (OTC),"4-T-Butylcyclohexanol, Aqua, Behenyl Alcohol, Carbomer, Ceramide Np, Cetyl Alcohol, Dimethicone, Glycerin, Glyceryl Stearate Citrate, Glycyrrhiza Inflata Root Extract, Hydrogenated Coco-Glycerides, Isopropyl Palmitate, Panthenol, Pentylene Glycol, Phenoxyethanol, Sodium Hydroxide, Squalane, Tapioca Starch, Trisodium Edta",https://cdn1.skinsafeproducts.com/photo/33FF505B726406/large_1692245582.pngpng?1692245582,https://www.skinsafeproducts.com/eucerin-adjunctive-soothing-cream-dermopurifyer-oil-control-50-ml
1-200.csv,"Eucerin Daily Hydration Cream 2 In 1 Moisturizer + Sunscreen, SPF 30, 8 oz/226 g",Eucerin,Face,Moisturizers with SPF,"1-2-Hexanediol, Acrylates-C10-30-Alkyl-Acrylate-Crosspolymer, Benzyl Alcohol, Butylene Glycol, Cetyl Alcohol, Decylene Glycol, Dimethicone, Glycerin, Glyceryl Stearate, Glycyrrhiza Inflata Root Extract, Hydrogenated Coco-Glycerides, Myristyl Myristate, Palmitic Acid, Phenoxyethanol, Silica Dimethyl Silylate, Sodium Hydroxide, Stearic Acid, Stearyl Alcohol, Tapioca Starch, Trisodium Edta, Water, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/13A3060B9A1CC5/large_1656622430.jpeg?1656622430,https://www.skinsafeproducts.com/eucerin-daily-hydration-cream-2-in-1-moisturizer-sunscreen-spf-30-8-oz-226-g-0
