File,product_name,brand,usage_type,category,ingredients,image_url,product_url
1-200.csv,"Fenty Beauty Fenty Skin Flash Nap Instant Revival Eye Gel-Cream, 0.5 fl oz/15 mL",Fenty Beauty by Rihanna,"Eye Cream, Gel, Oils, & Serum",Gels,"Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Albizia Julibrissin Bark Extract, Aqua/Water/Eau, Benzyl Salicylate, Butylene Glycol, Caesalpinia Spinosa Fruit Extract, Camellia Sinensis Leaf Extract, Cetearyl Alcohol, Cetearyl Olivate, Dimethicone, Dipentaerythrityl Hexa C5-9 Acid Esters, Dipotassium Glycyrrhizate, Escin, Ginkgo Biloba Leaf Extract, Glycerin, Hexyl Cinnamal, Hovenia Dulcis Fruit Extract, Hyaluronic Acid, Hydroxyacetophenone, Kappaphycus Alvarezii Extract, Limonene, Linalool, Menthyl Lactate, Mica, Neopentyl Glycol Diheptanoate, Parfum/Fragrance, Phenoxyethanol, Potassium Hydroxide, Potassium Sorbate, Propanediol, Sigesbeckia Orientalis Extract, Sodium Benzoate, Sodium Hyaluronate, Sodium Metabisulfite, Sorbitan Olivate, Titanium Dioxide (Ci 77891)",https://cdn1.skinsafeproducts.com/photo/C0242CA68F13FB/large_1636540488.pngpng?1636540488,https://www.skinsafeproducts.com/fenty-beauty-fenty-skin-flash-nap-instant-revival-eye-gel-cream-0-5-fl-oz-15-ml
1-200.csv,"Fenty Skin Cookies N Clean Detox Face Mask, 2.5 fl oz/75 mL",Fenty Beauty by Rihanna,Skin Treatments,Facial Masks,"Aqua/Water/Eau, Bentonite, Butyrospermum Parkii (Shea) Butter, Caprylic/Capric Triglyceride, Cetearyl Alcohol, Cetyl Ethylhexanoate, Charcoal Powder, Citric Acid, Glycerin, Hydroxypropyl Methylcellulose, Kaolin, Mannitol, Microcrystalline Cellulose, Panthenol, Phenoxyethanol, Polyacrylate Crosspolymer-6, Polysorbate 60, Potassium Hydroxide, Rheum Palmatum Root Extract, Salicylic Acid, Sodium Polyacrylate Starch, Sorbitan Stearate, Titanium Dioxide (Ci 77891), Tocopheryl Acetate, Zingiber Officinale (Ginger) Root Extract",https://cdn1.skinsafeproducts.com/photo/1072EA4FF5733D/large_1700645008.pngpng?1700645008,https://www.skinsafeproducts.com/fenty-skin-cookies-n-clean-detox-face-mask-2-5-fl-oz-75-ml
1-200.csv,"Fenty Beauty By Rihanna Lip - Loving Scrubstick, 0.1 oz/3 g",Fenty Beauty by Rihanna,Lip Care,Lip Exfoliators + Scrubs,"Aroma/Flavor, Butyrospermum Parkii (Shea) Butter, Candelilla Cera/Euphorbia Cerifera (Candelilla) Wax/Cire De Candelilla, Caprylic/Capric Triglyceride, Cera Alba/Beeswax/Cire D'Abeille, Citric Acid, Glycine Soja (Soybean) Oil, Helianthus Annuus (Sunflower) Seed Oil, Hydrogenated Coconut Oil, Linalool, Perlite, Polymethylsilsesquioxane, Propylene Carbonate, Prunus Armeniaca (Apricot) Kernel Oil, Prunus Armeniaca (Apricot) Seed Powder, Ricinus Communis (Castor) Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Squalane, Stearalkonium Hectorite, Stevia Rebaudiana Leaf/Stem Extract, Tocopherol, Vanilla Planifolia Fruit Extract",https://cdn1.skinsafeproducts.com/photo/81DC3BFD9249E3/large_1700217108.pngpng?1700217108,https://www.skinsafeproducts.com/fenty-beauty-by-rihanna-lip-loving-scrubstick-0-1-oz-3-g
1-200.csv,"Fenty Beauty By Rihanna Pro Kiss'r Lip Balm, Hint Hint, 0.4 fl oz/12 mL",Fenty Beauty by Rihanna,Lip Care,"Lip Balms, Gels, Moisturizers & Oils","Argania Spinosa Kernel Oil, Butyrospermum Parkii (Shea) Butter, Candelilla Cera/Euphorbia Cerifera (Candelilla) Wax/Cire De Candelilla, Caprylic/Capric Triglyceride, Citric Acid, Ethylcellulose, Glycine Soja (Soybean) Oil, Hydrated Silica, Mangifera Indica (Mango) Seed Butter, Octyldodecanol, Prunus Armeniaca (Apricot) Kernel Oil, Red 30 Lake (Ci 73360), Ricinus Communis (Castor) Seed Oil, Squalane, Stevia Rebaudiana Leaf/Stem Extract, Theobroma Cacao (Cocoa) Seed Butter, Titanium Dioxide (Ci 77891), Tocopherol, Vanilla Planifolia (Vanilla) Fruit Extract, Yellow 5 Lake (Ci 19140)",https://cdn1.skinsafeproducts.com/photo/B2023FC83A6853/large_1684798827.jpeg?1684798827,https://www.skinsafeproducts.com/fenty-beauty-by-rihanna-pro-kiss-r-lip-balm-hint-hint-0-4-fl-oz-12-ml
1-200.csv,"Fenty Skin Conditioning Lip Oil, Cherry Treat, 0.19 fl oz/5.6 mL",Fenty Beauty by Rihanna,Lip Care,"Lip Balms, Gels, Moisturizers & Oils","1,2-Hexanediol, Aqua/Water/Eau, Aroma/Flavor, Benzyl Alcohol, Benzyl Benzoate, Butylene Glycol, Citric Acid, Dehydroacetic Acid, Dextrin Palmitate, Diphenyl Dimethicone, Malpighia Glabra (Acerola) Fruit Extract, Maltodextrin, Polyglyceryl-2 Isostearate/Dimer Dilinoleate Copolymer, Polyglyceryl-2 Triisostearate, Prunus Avium (Sweet Cherry) Seed Oil, Prunus Serotina (Wild Cherry) Fruit Extract, Raphanus Sativus (Radish) Root Extract, Rosa Canina Fruit Oil, Silica Dimethyl Silylate, Simmondsia Chinensis (Jojoba) Seed Oil",https://cdn1.skinsafeproducts.com/photo/A7437AE9B0F32B/large_1684798852.jpeg?1684798852,https://www.skinsafeproducts.com/fenty-skin-conditioning-lip-oil-cherry-treat-0-19-fl-oz-5-6-ml
1-200.csv,"Fenty Skin Hydra Vizor Invisible Moisturizer, SPF 30, 1.7 fl oz/50 mL",Fenty Beauty by Rihanna,Face,Spray Moisturizer,"Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Adansonia Digitata Pulp Extract, Aloe Barbadensis Leaf Juice, Avobenzone, Barosma Betulina Leaf Extract, Benzyl Salicylate, Butylene Glycol, C12-15 Alkyl Benzoate, Carthamus Tinctorius (Safflower) Oleosomes, Citral, Citric Acid, Citrullus Lanatus (Watermelon) Seed Extract, Dimethicone, Ethylhexyl Methoxycrylene, Ethylhexylglycerin, Fragrance, Gluconolactone, Glycerin, Hexyl Cinnamal, Homosalate, Hyaluronic Acid, Isohexadecane, Limonene, Linalool, Niacinamide, Octisalate, Pentylene Glycol, Phenoxyethanol, Polysorbate 80, Potassium Hydroxide, Potassium Sorbate, Red 33, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Sodium Benzoate, Sodium Hyaluronate, Sodium Hydroxide, Sorbitan Oleate, Tocopherol, Tocopheryl Acetate, Trisodium Ethylenediamine Disuccinate, Water, Xanthan Gum, Zea Mays (Corn) Starch",https://cdn1.skinsafeproducts.com/photo/0BBFA9F4AC1C78/large_1639481392.pngpng?1639481392,https://www.skinsafeproducts.com/fenty-skin-hydra-vizor-invisible-moisturizer-spf-30-1-7-fl-oz-50-ml
1-200.csv,"Fenty Skin Fat Water Pore-Refining Toner Serum, 5 fl oz/150 mL",Fenty Beauty by Rihanna,Skin Treatments,Serums,"Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Aqua/Water/Eau, Backhousia Citriodora Leaf Extract, Benzoic Acid, Butylene Glycol, Camellia Oleifera Leaf Extract, Cereus Grandiflorus (Cactus) Flower Extract, Citric Acid, Ficus Carica (Fig) Fruit Extract, Ginkgo Biloba Leaf Extract, Glycerin, Hamamelis Virginiana (Witch Hazel) Water, Hovenia Dulcis Fruit Extract, Leuconostoc/Radish Root Ferment Filtrate, Malpighia Punicifolia (Acerola) Fruit Extract, Niacinamide, Parfum/Fragrance, Phenoxyethanol, Polysorbate 20, Potassium Sorbate, Red 33 (Ci 17200), Sodium Hydroxide",https://cdn1.skinsafeproducts.com/photo/D39FB04CCA8840/large_1624497963.pngpng?1624497963,https://www.skinsafeproducts.com/fenty-skin-fat-water-pore-refining-toner-serum-5-fl-oz-150-ml
1-200.csv,"Fenty Skin Total Cleanser, 4.9 fl oz/146 ml",Fenty Beauty by Rihanna,Facial Cleansers,Facial Washes,"Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Aqua/Water/Eau, Benzyl Salicylate, Blue 1 (Ci 42090), Butylene Glycol, Camellia Sinensis Leaf Extract, Caprylyl Glycol, Chaenomeles Sinensis Fruit Extract, Cocamidopropyl Betaine (Coconut Derived), Coconut Acid, Ficus Carica (Fig) Fruit Extract, Ginkgo Biloba Leaf Extract, Glycerin, Glycol Distearate, Malpighia Punicifolia (Acerola) Fruit Extract, Parfum/Fragrance, Phenoxyethanol, Polyglyceryl-10 Laurate, Polyquaternium-7, Red 40 (Ci 16035), Sodium Benzoate, Sodium Benzotriazolyl Butylphenol Sulfonate, Sodium Chloride, Sodium Cocoamphoacetate, Sodium Cocoate, Sodium Cocoyl Glycinate, Sodium Metabisulfite, Sucrose, Titanium Dioxide (Ci 77891), Tocopheryl Acetate, Yellow 5 (Ci 19140), Yellow 6 (Ci 15985)",https://cdn1.skinsafeproducts.com/photo/EFE23BCB54D85B/large_1623749774.pngpng?1623749774,https://www.skinsafeproducts.com/fenty-skin-total-cleanser-4-9-fl-oz-146-ml
1801-2000.csv,"Fenty Skin Ninacinamide Dark Spot Serum, 0.16 fl oz/5 mL",Fenty Beauty by Rihanna,Skin Treatments,Serums,"3-O-Ethyl Ascorbic Acid, Aloe Barbadensis Leaf Juice, Ammonium Acryloyldimethyltaurate/Beheneth-25 Methacrylate Crosspolymer, Aqua/Water/Eau, Benzotriazolyl Dodecyl P-Cresol, Betaine, Butylene Glycol, C12-15 Alkyl Benzoate, Camellia Sinensis Leaf Extract, Citric Acid, Dimethicone, Dipotassium Glycyrrhizate, Ethyl Hexanediol, Ethylhexylglycerin, Glycereth-26, Glycerin, Glyceryl Polyacrylate, Malpighia Punicifolia (Acerola) Fruit Extract, Myrciaria Dubia Fruit Extract, Niacinamide, Phenoxyethanol, Polyglyceryl-10 Laurate, Polymethylsilsesquioxane, Propanediol, Sodium Polyacrylate, Tocopherol",https://cdn1.skinsafeproducts.com/photo/42B33D39BA2840/large_1673867103.jpegjpg?1673867103,https://www.skinsafeproducts.com/fenty-skin-ninacinamide-dark-spot-serum-0-16-fl-oz-5-ml
1801-2000.csv,"Fenty Skin Hydra Vizor Moisturizer, SPF 30, 0.23 fl oz/7 mL",Fenty Beauty by Rihanna,Face,Moisturizers with SPF,"Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Adansonia Digitata Pulp Extract, Aloe Barbadensis Leaf Juice, Avobenzone, Barosma Betulina Leaf Extract, Benzyl Salicylate, Butylene Glycol, C12-15 Alkyl Benzoate, Carthamus Tinctorius (Safflower) Oleosomes, Citral, Citric Acid, Citrullus Lanatus (Watermelon) Seed Extract, Dimethicone, Ethylhexyl Methoxycrylene, Ethylhexylglycerin, Fragrance, Gluconolactone, Glycerin, Hexyl Cinnamal, Homosalate, Hyaluronic Acid, Isohexadecane, Limonene, Linalool, Niacinamide, Octisalate, Pentylene Glycol, Phenoxyethanol, Polysorbate 80, Potassium Hydroxide, Potassium Sorbate, Red 33, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Sodium Benzoate, Sodium Hyaluronate, Sodium Hydroxide, Sorbitan Oleate, Tocopherol, Tocopheryl Acetate, Trisodium Ethylenediamine Disuccinate, Water, Xanthan Gum, Zea Mays (Corn) Starch",https://cdn1.skinsafeproducts.com/photo/FA0DDA9EB48FE1/large_1652866634.pngpng?1652866634,https://www.skinsafeproducts.com/fenty-skin-hydra-vizor-moisturizer-spf-30-0-23-fl-oz-7-ml
