File,product_name,brand,usage_type,category,ingredients,image_url,product_url
1-200.csv,"Innisfree Hydrate + Exfoliate Enzyme Facial Toner, Green Tea + Pha, 5.07 fl oz/150 mL",Innisfree,Toners & Astringents,Toners,"1,2-Hexanediol, Betaine, Butylene Glycol, Camellia Sinensis Leaf Extract, Cyclodextrin, Dextrin, Ethylhexylglycerin, Gluconolactone, Glycerin, Hyaluronic Acid, Hydrolyzed Hyaluronic Acid, Propanediol, Protease, Sodium Acetylated Hyaluronate, Sodium Hyaluronate, Sodium Hyaluronate Crosspolymer, Sodium Metaphosphate, Tocopherol, Tromethamine, Water / Aqua / Eau",https://cdn1.skinsafeproducts.com/photo/73DFA3430E990C/large_1712098052.jpeg?1712098052,https://www.skinsafeproducts.com/innisfree-hydrate-exfoliate-enzyme-facial-toner-green-tea-pha-5-07-fl-oz-150-ml
1-200.csv,"Innisfree Brightening Facial Serum, Green Tea + Enzyme & Vitamin C, 1.01 fl oz/30 mL",Innisfree,Skin Treatments,Serums,"1,2-Hexanediol, 3-O-Ethyl Ascorbic Acid, Achillea Millefolium Extract, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Allantoin, Ascorbyl Tetraisopalmitate, Beta-Carotene, Butylene Glycol, Caprylic/Capric Triglyceride, Citrus Reticulata (Tangerine) Peel Extract, Cyclodextrin, Daucus Carota Sativa (Carrot) Root Extract, Dextrin, Ethylhexylglycerin, Ferulic Acid, Gluconolactone, Glutathione, Glycerin, Hdi/Trimethylol Hexyllactone Crosspolymer, Helianthus Annuus (Sunflower) Seed Oil, Hyaluronic Acid, Hydrogenated Poly(C6-20 Olefin), Lactobacillus Ferment Lysate, Madecassoside, Niacinamide, Panthenol, Pentylene Glycol, Propanediol, Protease, Silica Dimethyl Silylate, Sodium Metaphosphate, Squalane, Tocopherol, Tromethamine, Water/Aqua/Eau, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/A0789BC4B1871F/large_1732425537.jpeg?1732425537,https://www.skinsafeproducts.com/innisfree-brightening-facial-serum-green-tea-enzyme-vitamin-c-1-01-fl-oz-30-ml
1-200.csv,"Innisfree Super Volcanic Pore Clay Mask, Volcanic Clusters + AHA,3.38 fl oz/100 mL",Innisfree,Skin Care,Pore Treatments,"1,2-Hexanediol, Bentonite, Butylene Glycol, Caprylic/Capric Triglyceride, Cetearyl Alcohol, Ethylhexylglycerin, Glycerin, Glyceryl Stearate, Hydrogenated Vegetable Oil, Iron Oxides (Ci 77499), Juglans Regia (Walnut) Shell Powder, Kaolin, Lactic Acid, Lactic Acid/Glycolic Acid Copolymer, Lecithin, Mannitol, Menthoxypropanediol, Microcrystalline Cellulose, Palmitic Acid, Peg-100 Stearate, Polyacrylate-13, Polyisobutene, Polyquaternium-10, Polysorbate 20, Polysorbate 60, Polyvinyl Alcohol, Pvp, Silica, Sodium Metaphosphate, Sorbitan Isostearate, Sorbitan Stearate, Stearic Acid, Tetrasodium Pyrophosphate, Titanium Dioxide (Ci 77891), Tocopherol, Trehalose, Volcanic Ash, Water/Aqua/Eau, Xanthan Gum, Zea Mays (Corn) Starch",https://cdn1.skinsafeproducts.com/photo/E9D4668BA6B4D9/large_1718482494.jpeg?1718482494,https://www.skinsafeproducts.com/innisfree-super-volcanic-pore-clay-mask-volcanic-clusters-aha-3-38-fl-oz-100-ml-0
1-200.csv,"innisfree Facial Cleansing Foam, Green Tea & Amino Acid, 5.07 fl oz/150 mL",Innisfree,Facial Cleansers,Facial Foaming Cleansers,"1,2-Hexanediol, Acorus Calamus Root Extract, Arginine, Aspartic Acid, Butylene Glycol, Camellia Sinensis Leaf Extract, Disodium Cocoyl Glutamate, Ethylhexylglycerin, Fragrance / Parfum, Glutamic Acid, Glycerin, Glyceryl Stearate, Glycol Distearate, Hydrolyzed Corn Starch, Lauric Acid, Lauryl Glucoside, Lauryl Hydroxysultaine, Myristic Acid, Palmitic Acid, Pinus Densiflora Leaf Extract, Polyquaternium-22, Potassium Hydroxide, Propanediol, Sodium Chloride, Sodium Metaphosphate, Stearic Acid, Water / Aqua / Eau",https://cdn1.skinsafeproducts.com/photo/0706B8B8A42331/large_1715100577.jpeg?1715100577,https://www.skinsafeproducts.com/innisfree-facial-cleansing-foam-green-tea-amino-acid-5-07-fl-oz-150-ml
1-200.csv,"Innisfree Hydrate + Glow Facial Cream, Green Tea + HA, 1.69 fl oz/50 mL",Innisfree,Face,Creams,"1,2-Hexanediol, Allantoin, Butylene Glycol, Butylene Glycol Dicaprylate/Dicaprate, Camellia Sinensis Leaf Extract, Camellia Sinensis Seed Extract, Camellia Sinensis Seed Oil, Carbomer, Ceramide Np, Cetearyl Alcohol, Cholesterol, Dextrin, Ethylhexylglycerin, Glycerin, Glyceryl Caprylate, Glyceryl Polymethacrylate, Glyceryl Stearate, Hyaluronic Acid, Hydrogenated Lecithin, Hydrolyzed Hyaluronic Acid, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Lactic Acid, Lactobacillus Ferment Lysate, Madecassoside, Methyl Trimethicone, Panthenol, Pentaerythrityl Tetraethylhexanoate, Phytosphingosine, Polyglyceryl-3 Methylglucose Distearate, Polymethylsilsesquioxane, Propanediol, Sodium Acetylated Hyaluronate, Sodium Hyaluronate, Sodium Hyaluronate Crosspolymer, Sodium Metaphosphate, Sodium Stearoyl Glutamate, Sorbitan Isostearate, Squalane, Stearyl Dimethicone, Theobroma Cacao (Cocoa) Extract, Tocopherol, Tromethamine, Water/Aqua/Eau, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/E966917EE165FE/large_1711178356.pngpng?1711178356,https://www.skinsafeproducts.com/innisfree-hydrate-glow-facial-cream-green-tea-ha-1-69-fl-oz-50-ml
1-200.csv,"Innisfree Youth Enriched Cream, Orchid Moisturizer, 1.69 fl oz/50 mL",Innisfree,Body,Creams,"1,2-Hexanediol, Adenosine, Arginine/Lysine Polypeptide, Betaine, Cyclohexasiloxane, Cyclopentasiloxane, Dextrin, Dimethicone, Dimethicone/Vinyl Dimethicone Crosspolymer, Diphenylsiloxy Phenyl Trimethicone, Disodium Edta, Disteardimonium Hectorite, Ethylhexylglycerin, Fragrance / Parfum, Glucose, Glycerin, Glyceryl Caprylate, Hexyl Cinnamal, Hyaluronic Acid, Iron Oxides (Ci 77491), Lauryl Peg-9 Polydimethylsiloxyethyl Dimethicone, Linalool, Niacinamide, Orchid Extract, Peg-10 Dimethicone, Polysilicone-11, Propanediol, Sodium Chloride, Squalane, Theobroma Cacao (Cocoa) Extract, Tocopherol, Water / Aqua / Eau",https://cdn1.skinsafeproducts.com/photo/E60D033D3D7D0F/large_1701582069.jpeg?1701582069,https://www.skinsafeproducts.com/innisfree-youth-enriched-cream-orchid-moisturizer-1-69-fl-oz-50-ml
1-200.csv,"Innisfree Pore Clearing Facial Toner, Volcanic Clusters, 6.76 fl oz/200 mL",Innisfree,Toners & Astringents,Toners,"1,2-Hexanediol, Alcohol Denat, Aluminum Hydroxide, Calcium Chloride, Citric Acid, Colloidal Sulfur, Disodium Edta, Ethylhexylglycerin, Fragrance/Parfum, Glyceryl Caprylate, Lactic Acid/Glycolic Acid Copolymer, Lithium Magnesium Sodium Silicate, Ppg-13 Decyltetradeceth-24, Propanediol, Silica, Sodium Citrate, Titanium Dioxide (Ci 77891), Tocopherol, Triethoxycaprylylsilane, Volcanic Ash, Water/Aqua/Eau",https://cdn1.skinsafeproducts.com/photo/99D60C2C0C2D27/large_1700198974.pngpng?1700198974,https://www.skinsafeproducts.com/innisfree-pore-clearing-facial-toner-volcanic-clusters-6-76-fl-oz-200-ml
1-200.csv,"Innisfree Facial Cleansing Foam, Jeju Cherry Blossom, 5.29 oz/150 g",Innisfree,Facial Cleansers,Facial Foaming Cleansers,"1,2-Hexanediol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Betaine, Caprylyl Glycol, Cocoglucoside, Cyanocobalamin, Disodium Cocoamphodiacetate, Fragrance / Parfum, Glycerin, Hexylene Glycol, Lauryl Hydroxysultaine, Propanediol, Prunus Yedoensis (Yoshino Cherry) Leaf Extract, Quillaja Saponaria Bark Extract, Sodium Chloride, Sodium Cocoyl Alaninate, Sodium Cocoyl Isethionate, Sodium Phytate, Water / Aqua / Eau, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/2A68273BAD3172/large_1673474983.jpeg?1673474983,https://www.skinsafeproducts.com/innisfree-facial-cleansing-foam-jeju-cherry-blossom-5-29-oz-150-g
1001-1200.csv,"Innisfree Cheery Blossom Glow Jelly Cream, 1.69 fl oz/50 mL",Innisfree,Face,Creams,"12-Hexanediol, Ammonium Acryloyldimethyltaurate/Beheneth-25 Methacrylate Crosspolymer, Betaine, Carbomer, Dipropylene Glycol, Disodium Edta, Ethylhexylglycerin, Fragrance/ Parfum, Glycerin, Niacinamide, Propanediol, Prunus Yedoensis (Yoshino Cherry) Leaf Extract, Tocopherol, Tromethamine, Water/Aqua/Eau",https://cdn1.skinsafeproducts.com/photo/0F1E7311CEC508/large_1750058700.pngpng?1750058700,https://www.skinsafeproducts.com/innisfree-cheery-blossom-glow-jelly-cream-1-69-fl-oz-50-ml
1001-1200.csv,"Innisfree Cherry Blossom Glow Tone-Up Cream, 1.69 fl oz/50 mL",Innisfree,Face,Creams,"1,2-Hexanediol, Aluminum Hydroxide, Ammonium Acryloyldimethyltaurate Vp Copolymer, Betaine, Dicaprylyl Carbonate, Diisostearyl Malate, Dimethicone, Dimethicone/Vinyl Dimethicone Crosspolymer, Disodium Edta, Ethylhexylglycerin, Fragrance/Parfum, Geraniol, Glycerin, Glyceryl Caprylate, Glycine Soja (Soybean) Oil, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Iron Oxides (Ci 77491), Limonene, Niacinamide, Polyacrylate-13, Polyisobutene, Polysorbate 20, Polysorbate 60, Polysorbate 80, Propanediol, Prunus Yedoensis (Yoshino Cherry) Leaf Extract, Silica, Sorbitan Isostearate, Synthetic Fluorphlogopite, Tin Oxide, Titanium Dioxide (Ci 77891), Tocopherol, Triethoxycaprylylsilane, Trisiloxane, Water/Aqua/Eau",https://cdn1.skinsafeproducts.com/photo/EA8F1546CC5744/large_1746600929.pngpng?1746600929,https://www.skinsafeproducts.com/innisfree-cherry-blossom-glow-tone-up-cream-1-69-fl-oz-50-ml
