File,product_name,brand,usage_type,category,ingredients,image_url,product_url
1-200.csv,"La Roche-Posay Toleriane Double Repair Face Moisturizer UV, SPF 30, 3.38 fl oz (100 mL)",La Roche-Posay,Face,Moisturizers with SPF,"Allantoin, Ammonium Polyacryloyldimethyl Taurate, Avobenzone, Capryloyl Glycine, Caprylyl Glycol, Ceramide Np, Cetyl Alcohol, Citric Acid, Dimethicone, Dimethicone/Vinyl Dimethicone Crosspolymer, Disodium Edta, Glycerin, Glyceryl Stearate, Homosalate, Myristic Acid, Niacinamide, Octisalate, Octocrylene, Palmitic Acid, Peg-100 Stearate, Silica, Sodium Hydroxide, Stearic Acid, Tocopherol, Water, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/D86FB554B624D3/large_1725446083.pngpng?1725446083,https://www.skinsafeproducts.com/la-roche-posay-toleriane-double-repair-face-moisturizer-spf-30-3-38-fl-oz-100-ml
1-200.csv,"La Roche Posay Cicaplast Hydration Restore Lip Blam, Panthenol 5 % + Shea Butter, 0.25 fl oz/7.5 mL",La Roche-Posay,Lip Care,"Lip Balms, Gels, Moisturizers & Oils","Aqua /Water, Butyrospermumparkii (Shea) Butter, Caprylic/Capric Trigliceride, Cera Alba/Beeswax, Ethylhexyl Palmitate, Glycine Soja / Soybean Sterols, Hydrogenated Vegetable Oil, Myristyl Malate Phosphonic Acid, Panthenol, Peg-5 Pentaerythrityl Ether, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Polybutene, Ppg-5 Pentaerythrityl Ether, Silica Silylate, Sodium Saccharin",https://cdn1.skinsafeproducts.com/photo/A6CFD2ECC9628E/large_1701124264.jpeg?1701124264,https://www.skinsafeproducts.com/la-roche-posay-cicaplast-hydration-restore-lip-blam-panthenol-5-shea-butter-0-25-fl-oz-7-5-ml
1-200.csv,"La Roche-Posay Cicaplast Gel B5 Skin Protectant, Glycerin, 1.35 fl oz/40 mL",La Roche-Posay,Face,Creams,"C30-45 Alkyl Dimethicone, Caprylyl Glycol, Citric Acid, Copper Gluconate, Dimethicone, Dimethiconol, Glycerin, Madecassoside, Manganese Gluconate, Panthenol, Peg/Ppg-18/18 Dimethicone, Pentylene Glycol, Polybutene, Polysorbate 20, Sodium Citrate, Sodium Hyaluronate, Tocopherol, Water, Zinc Gluconate",https://cdn1.skinsafeproducts.com/photo/CB6A0E2843538B/large_1706190063.jpeg?1706190063,https://www.skinsafeproducts.com/la-roche-posay-cicaplast-gel-b5-skin-protectant-glycerin-1-35-fl-oz-40-ml
1-200.csv,"La Roche-Posay Toleriane Purifying Foaming Cleanser, Normal To Oily Skin, 6.76 fl oz/200 mL",La Roche-Posay,Facial Cleansers,Facial Foaming Cleansers,"Acrylates Copolymer, Aqua/Water/Eau, Capryloyl Glycine, Caprylyl Glycol, Ceramide Np, Citric Acid, Coco-Betaine, Disodium Edta, Glycerin, Niacinamide, Peg-120 Methyl Glucose Dioleate, Propanediol, Sodium Chloride, Sodium Cocoyl Glycinate, Sodium Hydroxide",https://cdn1.skinsafeproducts.com/photo/36A44B944A6F72/large_1692945135.pngpng?1692945135,https://www.skinsafeproducts.com/la-roche-posay-toleriane-face-wash-cleanser-purifying-foaming-cleanser-for-normal-oily-sensitive-skin-6-76-fl-oz
1-200.csv,"La Roche-Posay Toleriane Double Repair Face Moisturizer UV, SPF 30, 75 mL (2.5 oz)",La Roche-Posay,Face,Moisturizers with SPF,"Allantoin, Ammonium Polyacryloyldimethyl Taurate, Avobenzone 3%, Capryloyl Glycine, Caprylyl Glycol, Ceramide Np, Cetyl Alcohol, Citric Acid, Dimethicone, Dimethicone/Vinyl Dimethicone Crosspolymer, Disodium Edta, Glycerin, Glyceryl Stearate, Homosalate 5%, Myristic Acid, Myristyl Alcohol, Niacinamide, Octisalate 5%, Octocrylene 7%, Palmitic Acid, Peg-100 Stearate, Silica, Sodium Hydroxide, Stearic Acid, Stearyl Alcohol, T-Butyl Alcohol, Tocopherol, Water, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/4B9FED4E6D2379/large_1619627583.jpegjpg?1619627583,https://www.skinsafeproducts.com/toleriane-double-repair-moisturizer-uv-spf-30
1-200.csv,"La Roche-Posay Effaclar Adapalene Gel 0.1% Topical Retinoid Acne Treatment, 1.6 oz/ 45 g",La Roche-Posay,Skin Care,Acne Care (OTC),"Adapalene Usp 0.1%, Carbomer Homopolymer, Edetate Disodium, Methylparaben, Poloxamer 182, Propylene Glycol (1,2-Propanediol), Sodium Hydroxide, Water/Aqua/Eau",https://cdn1.skinsafeproducts.com/photo/367750EDC9F83A/large_1596902768.jpeg?1596902768,https://www.skinsafeproducts.com/effaclar-adapalene-gel-0-1-topical-retinoid-acne-treatment
1-200.csv,La Roche-Posay Thermal Spring Water Soothing Face Spray,La Roche-Posay,Toners & Astringents,Toners,Water\Aqua\Eau,https://cdn1.skinsafeproducts.com/photo/668B2625EA4983/large_1594760072.jpeg?1594760072,https://www.skinsafeproducts.com/thermal-spring-water
1-200.csv,"La Roche-Posay Toleriane Hydrating Gentle Cleanser, For Normal to Dry Skin, 400 mL",La Roche-Posay,Facial Cleansers,Facial Washes,"Ammonium Polyacryloyldimethyl Taurate, Caprylyl Glycol, Ceramide Np, Coco-Betaine, Disodium Edta, Glycerin, Niacinamide, Panthenol, Pentaerythrityl Tetraethylhexanoate, Polysorbate 60, Propylene Glycol (1,2-Propanediol), Sodium Chloride, T-Butyl Alcohol, Tocopherol (Multisource), Water\Aqua\Eau",https://cdn1.skinsafeproducts.com/photo/C8DEEF04062F0C/large_1594761395.jpeg?1594761395,https://www.skinsafeproducts.com/toleriane-hydrating-gentle-cleanser
1-200.csv,La Roche-Posay Pigmentclar Eye Cream for Dark Circles,La Roche-Posay,"Eye Cream, Gel, Oils, & Serum",Creams,"Alumina, Ammonium Polyacryldimethyltauramide / Ammonium Polyacryloyldimethyl Taurate, Ascorbyl Glucoside, Butylene Glycol, Butyrospermum Parkii (Shea) Butter, Caffeine, Caprylyl Glycol, Cetearyl Alcohol, Ci 77891 / Titanium Dioxide, Dimethicone, Dimethicone/Vinyl Dimethicone Crosspolymer, Dimethiconol, Disodium Edta, Ferulic Acid, Ginkgo Biloba Extract / Ginkgo Biloba Leaf Extract, Glycerin, Glyceryl Stearate, Hydrolyzed Rice Protein, Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Isopropyl Palmitate, Isopropyl Titanium Triisostearate, Mica, Niacinamide, Palmitic Acid, Peg-100 Stearate, Peg/Ppg/Polybutylene Glycol-8/5/3 Glycerin, Phenoxyethanol, Phenylethyl Resorcinol, Poloxamer 338, Silica, Sodium Hydroxide, Stearic Acid, Water\Aqua\Eau, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/889973964580EE/large_1594762374.jpeg?1594762374,https://www.skinsafeproducts.com/la-roche-posay-pigmentclar-eyes-dark-circle-eye-cream-0-5-fl-oz
1-200.csv,"La Roche-Posay Mela B3 Serum Dark Spot Corrector, 1 fl oz/30 mL",La Roche-Posay,Anti-Aging/Anti-Wrinkle,Serums,"2-Mercaptonicotinoyl Glycine, Ammonium Polyacryloyldimethyl Taurate, Aqua / Water / Eau, Bis-Peg/Ppg-16/16 Peg/Ppg-16/16 Dimethicone, Caprylic/Capric Triglyceride, Capryloyl Salicylic Acid, Caprylyl Glycol, Carnosine, Ci 17200 / Red 33, Citric Acid, Cystoseira Tamariscifolia Extract, Dimethicone, Dipotassium Glycyrrhizate, Glycerin, Niacinamide, Octyldodecanol, Parfum / Fragrance, Peg-20 Methyl Glucose Sesquistearate, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Pentylene Glycol, Phenoxyethanol, Poloxamer 338, Polysilicone-11, Propylene Glycol (1,2-Propanediol), Retinyl Palmitate, Silica, Sodium Hyaluronate, Sodium Hydroxide, Sodium Thiosulfate, Tocopherol, Trisodium Ethylenediamine Disuccinate, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/C84B7DFD01BC5A/large_1709843731.jpeg?1709843731,https://www.skinsafeproducts.com/la-roche-posay-mela-b3-serum-dark-spot-corrector-1-fl-oz-30-ml
