File,product_name,brand,usage_type,category,ingredients,image_url,product_url
1-200.csv,"Medicube Super Cica Pads, 5.29 oz/150 g, 70 Count",Medicube,Skin Care,Skin Treatments,"12-Hexanediol, Ammonium Polyacryloyldimethyl Taurate, Asiatic Acid, Asiaticoside, Bacillus/Soybean Ferment Extract, Biosaccharide Gum-1, Bletilla Striata Root Extract, Butylene Glycol, Centella Asiatica Extract, Centella Asiatica Leaf Extract, Centella Asiatica Root Extract, Dipropylene Glycol, Disodium Edta, Echinacea Purpurea Extract, Ectoin, Ethyl Hexylglycerin, Glycereth-25 Pca Isostearate, Glycereth-26, Glycerin, Houttuynia Cordata Extract, Hyaluronic Acid, Hydrolyzed Hyaluronic Acid, Hydroxyacetophenone, Hydroxyethylcellulose, Madecassic Acid, Madecassoside, Melia Azadirachta Flower Extract, Melia Azadirachta Leaf Extract, Methylpropanediol, Panthenol, Pentylene Glycol, Perilla Ocymoides Leaf Extract, Polyglyceryl-10 Oleate, Propanediol, Salicylic Acid, Sodium Hyaluronate, Tromethamine, Water",https://cdn1.skinsafeproducts.com/photo/27D90EDF51FF27/large_1730180051.jpeg?1730180051,https://www.skinsafeproducts.com/medicube-super-cica-pads-5-29-oz-150-g-70-count
1-200.csv,"Medicube Red Cream, 1.69 fl oz/50 mL",Medicube,Skin Care,Acne Care (OTC),"1,2-Hexanediol, 4-Terpineol, Adenosine, Allantoin, Arachidic Acid, Asparagus Cochinchinensis Root Extract, Aureobasidium Pullulans Ferment, Butylene Glycol, Butyrospermum Parkii (Shea) Butter, C12-14 Alketh-12, Camellia Sinensis Leaf Extract, Carbomer, Centella Asiatica Leaf Extract, Cetyl Alcohol, Cetyl Ethylhexanoate, Citrus Aurantium Bergamia (Bergamot) Leaf Extract, Cladosiphon Okamuranus Extract, Coffea Arabica (Coffee) Seed Extract, Colloidal Sulfur, Coptis Japonica Extract, Decyl Glucoside, Dimethicone, Dimethyl Sulfone, Disodium Edta, Ethylhexylglycerin, Geraniol, Glucose, Glycerin, Glyceryl Stearate, Glyceryl Stearate Citrate, Hydrogenated Poly (C6-14 Olefin), Hydroxycinnamic Acid, Lauryl Alcohol, Lepidium Meyenii Root Extract, Levulinic Acid, Limonene, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Methylpropanediol, Myristic Acid, Myristyl Alcohol, Niacinamide, O-Cymen-5-Ol, Oleic Acid, Palmitic Acid, Pentylene Glycol, Pinus Densiflora Leaf Extract, Polyglyceryl-3 Distearate, Propanediol, Rutin, Salicylic Acid, Salix Alba (Willow) Bark Extract, Sodium Stearoyl Glutamate, Stearic Acid, Stearyl Alcohol, Tocopherol, Tromethamine, Troxerutin, Water, Zinc Pca",https://cdn1.skinsafeproducts.com/photo/F8BED66F8DC361/large_1715502141.pngpng?1715502141,https://www.skinsafeproducts.com/medicube-red-cream-1-69-fl-oz-50-ml
1-200.csv,"Medicube Zero Pore Pads 2.0, 5.46 oz/156 g, 70 Count",Medicube,Toners & Astringents,Toners,"1,2-Hexanediol, Alcohol Denat, Allantoin, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Betaine, Betaine Salicylate, Butylene Glycol, Centella Asiatica Extract, Chamaecyparis Obtusa Leaf Extract, Cinnamomum Cassia Bark Extract, Citrus Aurantifolia (Lime) Fruit Extract, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Citrus Aurantium Dulcis (Orange) Fruit Extract, Citrus Aurantium Dulcis (Orange) Peel Oil, Citrus Grandis (Grapefruit) Peel Oil, Citrus Limon (Lemon) Fruit Extract, Citrus Limon (Lemon) Peel Oil, Disodium Edta, Ethyl Hexanediol, Ethylhexylglycerin, Eucalyptus Globulus Leaf Oil, Glycereth-26, Glycerin, Lactic Acid, Lactobacillus/Soybean Ferment Extract, Lavandula Angustifolia (Lavender) Oil, Limonene, Methylpropanediol, Oenothera Biennis (Evening Primrose) Flower Extract, Origanum Vulgare Leaf Extract, Panthenol, Pinus Palustris Leaf Extract, Polyglyceryl-10 Laurate, Polyglyceryl-10 Myristate, Portulaca Oleracea Extract, Pueraria Lobata Root Extract, Pyrus Malus (Apple) Fruit Extract, Rosmarinus Officinalis (Rosemary) Leaf Oil, Salicylic Acid, Salix Alba (Willow) Bark Extract, Scutellaria Baicalensis Root Extract, Sodium Hyaluronate, Trehalose, Tromethamine, Ulmus Davidiana Root Extract, Vitis Vinifera (Grape) Fruit Extract, Water",https://cdn1.skinsafeproducts.com/photo/32CA87DEE2DE66/large_1677985769.jpeg?1677985769,https://www.skinsafeproducts.com/medicube-zero-pore-pads-2-0-5-46-oz-156-g-70-count
1001-1200.csv,"Medicube Zero Pore One Day Cream, Panthenol 5% + BHA 0.1 % & Niacinamide 2%, 1.69 fl oz/50 mL",Medicube,Face,Creams,"1,2-Hexanediol, Adenosine, Allantoin, Beta-Glucan, Butylene Glycol, Camellia Sinensis Leaf Extract, Castanea Crenata (Chestnut) Shell Extract, Cetearyl Olivate, Cetyl Alcohol, Cetyl Ethylhexanoate, Cyclopentasiloxane, Dextrin, Dimethicone, Dimethyl Sulfone, Diospyros Kaki Fruit Extract, Ethylhexyl Palmitate, Ethylhexylglycerin, Fragrance, Gardenia Florida Fruit Extract, Glycerin, Glyceryl Stearate, Glyceryl Stearate Citrate, Hyaluronic Acid, Hydrogenated Poly(C6-14 Olefin), Hydrogenated Polyisobutene, Hydrolyzed Hyaluronic Acid, Hydrolyzed Sodium Hyaluronate, Hydroxycinnamic Acid, Hydroxypropyltrimonium Hyaluronate, Isododecane, Isohexadecane, Lauryl Alcohol, Myristyl Alcohol, Niacinamide, Octyldodecanol, Oenothera Biennis (Evening Primrose) Flower Extract, Palmitoyl Tripeptide-5, Panthenol, Pinus Palustris Leaf Extract, Polyacrylate-13, Polyglyceryl-10 Laurate, Polyglyceryl-3 Distearate, Propanediol, Pueraria Lobata Root Extract, Pullulan, Rutin, Salicylic Acid, Sodium Acetylated Hyaluronate, Sodium Citrate, Sodium Hyaluronate, Sodium Hyaluronate Crosspolymer, Sodium Polyacryloyldimethyl Taurate, Sodium Stearoyl Glutamate, Sorbitan Isostearate, Sorbitan Olivate, Stearyl Alcohol, Trisodium Phosphate, Tromethamine, Ulmus Davidiana Root Extract, Vitis Vinifera (Grape) Fruit Extract, Water(Aqua)",https://cdn1.skinsafeproducts.com/photo/3723493C322206/large_1749886123.pngpng?1749886123,https://www.skinsafeproducts.com/medicube-zero-pore-one-day-cream-panthenol-5-bha-0-1-niacinamide-2-1-69-fl-oz-50-ml
1001-1200.csv,"Medicube Zero Pore Pad 2.0, 5.46 oz/155 g, 70 Count",Medicube,Skin Care,Pore Treatments,"1,2-Hexanediol, Alcohol Denat., Allantoin, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Betaine, Betaine Salicylate, Butylene Glycol, Centella Asiatica Extract, Chamaecyparis Obtusa Leaf Extract, Cinnamomum Cassia Bark Extract, Citrus Aurantifolia (Lime) Fruit Extract, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Citrus Aurantium Dulcis (Orange) Fruit Extract, Citrus Aurantium Dulcis (Orange) Peel Oil, Citrus Grandis (Grapefruit) Peel Oil, Citrus Limon (Lemon) Fruit Extract, Citrus Limon (Lemon) Peel Oil, Disodium Edta, Ethyl Hexanediol, Ethylhexylglycerin, Eucalyptus Globulus Leaf Oil, Glycereth-26, Glycerin, Lactic Acid, Lactobacillus/Soybean Ferment Extract, Lavandula Angustifolia (Lavender) Oil, Methylpropanediol, Oenothera Biennis (Evening Primrose) Flower Extract, Origanum Vulgare Leaf Extract, Panthenol, Pinus Palustris Leaf Extract, Polyglyceryl-10 Laurate, Polyglyceryl-10 Myristate, Portulaca Oleracea Extract, Pueraria Lobata Root Extract, Pyrus Malus (Apple) Fruit Extract, Rosmarinus Officinalis (Rosemary) Leaf Oil, Salicylic Acid, Salix Alba (Willow) Bark Extract, Scutellaria Baicalensis Root Extract, Sodium Hyaluronate, Trehalose, Tromethamine, Ulmus Davidiana Root Extract, Vitis Vinifera (Grape) Fruit Extract, Water",https://cdn1.skinsafeproducts.com/photo/4F4864FEC4C022/large_1747549943.pngpng?1747549943,https://www.skinsafeproducts.com/medicube-zero-pore-pad-2-0-5-46-oz-155-g-70-count-0
1001-1200.csv,"Medicube Triple Deep Erasing Cream, 1.69 fl oz/60 mL",Medicube,Face,Creams,"1,2-Hexanediol, 3-O-Ethyl Ascorbic Acid, Adenosine, Aesculus Hippocastanum (Horse Chestnut) Extract, Alcohol, Argania Spinosa Kernel Oil, Ascorbyl Glucoside, Benzyl Salicylate, Beta-Glucan, Betaine, Biosaccharide Gum-1, Bisabolol, Butylene Glycol, Butyrospermum Parkii (Shea) Butter, C12-16 Alcohols, Caprylic/Capric Triglyceride, Capryloyl Glycine, Caprylyl Glycol, Cellulose Gum, Centella Asiatica Extract, Ceramide Np, Cetearyl Alcohol, Cetearyl Glucoside, Cetearyl Olivate, Cholesterol, Cinnamomum Zeylanicum Bark Extract, Citric Acid, Cryptomeria Japonica Leaf Extract, Cyclohexasiloxane, Cyclopentasiloxane, Desamido Collagen, Dimethicone, Dioscorea Japonica Root Extract, Dipropylene Glycol, Disodium Edta, Disodium Stearoyl Glutamate, Enantia Chlorantha Bark Extract, Ethylhexylglycerin, Folic Acid, Fragrance, Fructose, Glycerin, Glyceryl Stearate, Glyceryl Stearate Se, Glycosyl Trehalose, Helianthus Annuus (Sunflower) Seed Oil, Hexylene Glycol, Hydrogenated Lecithin, Hydrogenated Poly(C6-14 Olefin), Hydrogenated Polydecene, Hydrogenated Polyisobutene, Hydrogenated Starch Hydrolysate, Hydrolyzed Corn Starch, Hydrolyzed Elastin, Hydroxycitronellal, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Inulin Lauryl Carbamate, Isononyl Isononanoate, Lecithin, Limonene, Linalool, Lupinus Albus Seed Extract, Maltodextrin, Methylpropanediol, Microcrystalline Cellulose, Nelumbo Nucifera Leaf Extract, Niacinamide, Oenothera Biennis (Evening Primrose) Flower Extract, Olea Europaea (Olive) Leaf Extract, Oleanolic Acid, Palmitic Acid, Palmitoyl Pentapeptide-4, Palmitoyl Tripeptide-5, Panax Ginseng Berry Extract, Panthenol, Peg-100 Stearate, Pinus Palustris Leaf Extract, Piper Methysticum Leaf/Root/Stem Extract, Polyglyceryl-10 Stearate, Polyglyceryl-2 Dipolyhydroxystearate, Polyquaternium-51, Polysorbate 60, Potassium Sorbate, Pseudoalteromonas Ferment Extract, Pueraria Lobata Root Extract, Raffinose, Saccharide Hydrolysate, Saccharomyces Ferment Filtrate, Sarcosine, Sodium Hyaluronate, Sorbitan Olivate, Squalane, Stearic Acid, Sucrose, Tocopherol, Triethylhexanoin, Tromethamine, Ulmus Davidiana Root Extract, Water/Aqua/Eau, Zinc Pca",https://cdn1.skinsafeproducts.com/photo/EA54A49C829C14/large_1689318243.pngpng?1689318243,https://www.skinsafeproducts.com/medicube-triple-deep-erasing-cream-1-69-fl-oz-60-ml
1401-1600.csv,"Medicube Azelaic Acid 16 BB Calming Serum, 1.01 fl oz/30 mL",Medicube,Skin Treatments,Serums,"Propylene Glycol, 1,2-Hexanediol, Alcohol Denat, Allantoin, Aloe Barbadensis Flower Extract, Azelaic Acid, Butylene Glycol, Butyrospermum Parkii (Shea) Butter, Centella Asiatica Extract, Ceramide Np, Citric Acid, Coccinia Indica Fruit Extract, Corallina Officinalis Extract, Curcuma Longa (Turmeric) Root Extract, Glyceryl Caprylate, Hydrolyzed Pea Protein, Lecithin, Melia Azadirachta Flower Extract, Melia Azadirachta Leaf Extract, Niacinamide, Nicotinamide Mononucleotide, Ocimum Sanctum Leaf Extract, Olea Europaea (Olive) Fruit Oil, Panthenol, Pantothenic Acid, Phytosterols, Propanediol, Sodium Hydroxide, Solanum Melongena (Eggplant) Fruit Extract, Squalane, Water (Aqua)",https://cdn1.skinsafeproducts.com/photo/22A2207C9D1D05/large_1755755948.pngpng?1755755948,https://www.skinsafeproducts.com/medicube-azelaic-acid-16-bb-calming-serum-1-01-fl-oz-30-ml
1401-1600.csv,"Medicube Collagen Night Mask, 2.53 fl oz/75 mL",Medicube,Face,Nighttime Moisturizers,"1,2-Hexanediol, Adenosine, Agave Americana Stem Extract, Althaea Rosea Flower Extract, Aqua, Butylene Glycol, Caprylic/Capric Triglyceride, Caprylyl Glycol, Ceramide Np, Chlorella Vulgaris Extract, Collagen Extract, Cynanchum Atratum Extract, Ethylhexylglycerin, Fructooligosaccharides, Fructose, Glucose, Glycerin, Hydrogenated Lecithin, Niacinamide, Pancratium Maritimum Extract, Polyglyceryl-10 Laurate, Polyvinyl Alcohol, Sodium Hyaluronate, Sodium Stearoyl Glutamate, Tocopherol, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/21C0A6C2E29792/large_1754045586.pngpng?1754045586,https://www.skinsafeproducts.com/medicube-collagen-night-mask-2-53-fl-oz-75-ml
1601-1800.csv,"Medicube Zero Pore One Day Serum, 1.01 fl oz/30 mL",Medicube,Skin Treatments,Serums,"1,2-Hexanediol, Adenosine, Allantoin, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Butylene Glycol, C12-14 Pareth-12, Centella Asiatica Extract, Citric Acid, Dextrin, Dimethicone, Ethylhexylglycerin, Gardenia Florida Fruit Extract, Gluconolactone, Glycerin, Glycolic Acid, Hyaluronic Acid, Hydrolyzed Hyaluronic Acid, Hydrolyzed Sodium Hyaluronate, Hydroxyethylcellulose, Hydroxypropyltrimonium Hyaluronate, Lactic Acid, Lactobacillus Ferment Lysate, Lecithin, Madecassoside, Methylpropanediol, Myosotis Sylvatica Flower/Leaf/Stem Extract, Niacinamide, Pentylene Glycol, Polyglycerin-3, Propanediol, Salicylic Acid, Sodium Acetylated Hyaluronate, Sodium Citrate, Sodium Hyaluronate, Sodium Hyaluronate Crosspolymer, Sodium Polyacryloyldimethyl Taurate, Taraxacum Officinale (Dandelion) Leaf Extract, Trisodium Phosphate, Tromethamine, Water(Aqua)",https://cdn1.skinsafeproducts.com/photo/0C17C6E2B278B6/large_1743746010.pngpng?1743746010,https://www.skinsafeproducts.com/medicube-zero-pore-one-day-serum-1-01-fl-oz-30-ml
2001-2200.csv,"Medicube Collagen Milk Toning Wrapping Mask, 2.53 fl oz/75 mL",Medicube,Skin Treatments,Facial Masks,"1,2-Hexanediol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Algin, Alpha-Arbutin, Betula Alba Bark Extract, Butylene Glycol, Caprylic/Capric Triglyceride, Cellulose Gum, Centella Asiatica Extract*, Ceramide Np, Citric Acid, Collagen Amino Acids, Collagen Water, Cymbopogon Citratus Leaf Oil, Dipropylene Glycol, Disteardimonium Hectorite, Ethylhexylglycerin, Ficus Carica (Fig) Fruit Extract, Glutathione, Glycerin, Glyceryl Stearate, Haematococcus Pluvialis Extract, Hydrated Silica, Hydrogenated Lecithin, Illicium Verum (Anise) Fruit/Seed Oil, Kaolin, Methyl Diisopropyl Propionamide, Methylpropanediol, Microcrystalline Cellulose, Milk Protein Extract, Niacinamide, Octyldodecanol, Paeonia Suffruticosa Root Extract, Panthenol, Peg-100 Stearate, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Pentaerythrityl Tetraethylhexanoate, Polyglyceryl-10 Oleate, Polysorbate 80, Polyvinyl Alcohol, Propanediol, Pullulan, Ricinus Communis (Castor) Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Sodium Phytate, Sodium Polystyrene Sulfonate, Sphingomonas Ferment Extract, Titanium Dioxide, Triethyl Citrate, Tromethamine, Water, Zea Mays (Corn) Germ Oil",https://cdn1.skinsafeproducts.com/photo/14167F263AEEE2/large_1757825806.pngpng?1757825806,https://www.skinsafeproducts.com/medicube-collagen-milk-toning-wrapping-mask-2-53-fl-oz-75-ml
