File,product_name,brand,usage_type,category,ingredients,image_url,product_url
1-200.csv,"Missha Time Revolution The First Essence Face Serum, 150 mL",Missha,Skin Treatments,Serums,"1,2-Hexanediol, Adenosine, Bifida Ferment Lysate, Butylene Glycol, Ceramide Np, Diethoxyethyl Succinate, Ethylhexylglycerin, Glycerin, Hydrogenated Lecithin, Niacinamide, Propanediol, Sodium Pca, Water, Xanthan Gum, Yeast Ferment Extract",https://cdn1.skinsafeproducts.com/photo/DCCF7BBCAF6FC4/large_1686610836.jpeg?1686610836,https://www.skinsafeproducts.com/missha-time-revolution-the-first-essence-face-serum-150-ml
1-200.csv,"Missha Time Revolution Night Repair Ampoule 5X, 1.69 fl oz/50 mL",Missha,Skin Treatments,Serums,"1,2-Hexanediol, Adenosine, Anthemis Nobilis Flower Oil, Aspergillus Ferment, Beta Vulgaris (Beet) Root Extract, Betaine, Bifida Ferment Lysate, Brassica Oleracea Capitata (Cabbage) Leaf Extract, Butylene Glycol, Carbomer, Ceramide Np, Cholesterol, Chondrus Crispus Extract, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Citrus Aurantium Dulcis (Orange) Peel Oil, Daucus Carota Sativa (Carrot) Root Extract, Dextrin, Diethoxyethyl Succinate, Disodium Edta, Ethylhexylglycerin, Geranium Oil, Glycerin, Helianthus Annuus (Sunflower) Seed Oil, Hydrogenated Lecithin, Lactobacillus Ferment, Lactobacillus Ferment Lysate, Lactobacillus/Acerola Cherry Ferment, Lactobacillus/Punica Granatum Fruit Ferment Extract, Lactobacillus/Soybean Ferment Extract, Lactococcus Ferment, Lavandula Angustifolia (Lavender) Oil, Leuconostoc/Radish Root Ferment Filtrate, Limonene, Lupinus Albus Seed Extract, Niacinamide, Panthenol, Pentylene Glycol, Polyglyceryl-10 Laurate, Polyquaternium-51, Propanediol, Saccharum Officinarum (Sugarcane) Extract, Santalum Album (Sandalwood) Oil, Sodium Hyaluronate, Solanum Melongena (Eggplant) Fruit Extract, Squalane, Swiftlet Nest Extract, Theobroma Cacao (Cocoa) Extract, Tocopherol, Tromethamine, Vaccinium Angustifolium (Blueberry) Fruit Extract, Water, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/66D733C2571723/large_1703099272.jpeg?1703099272,https://www.skinsafeproducts.com/missha-time-revolution-night-repair-ampoule-5x-1-69-fl-oz-50-ml
1-200.csv,"Missha Clear Complexion Foaming Cleanser, Vita C Plus Ascorbic Acid, 4.05 fl oz/120 mL",Missha,Facial Cleansers,Facial Foaming Cleansers,"1,2-Hexanediol, 3-O-Ethyl Ascorbic Acid, Acetyl Hexapeptide-8, Allantoin, Arachidic Acid, Arbutin, Ascorbic Acid, Ascorbyl Glucoside, Bentonite, Butylene Glycol, Caprylic/Capric Triglyceride, Caprylyl Glycol, Cellulose, Ceramide Np, Citric Acid, Citrus Aurantium Dulcis (Orange) Peel Oil, Citrus Grandis (Grapefruit) Peel Oil, Coco-Glucoside, Dipropylene Glycol, Disodium Edta, Ethylhexylglycerin, Eucalyptus Globulus Leaf Oil, Glycerin, Glyceryl Glucoside, Glyceryl Stearate, Hippophae Rhamnoides Water, Hyaluronic Acid, Hydrogenated Lecithin, Hydrolyzed Collagen, Hydrolyzed Hyaluronic Acid, Hydroxypropyl Methylcellulose, Iron Oxides (Ci 77492), Kaolin, Lactose, Laurdimonium Hydroxypropyl Hydrolyzed Wheat Protein, Lauric Acid, Lavandula Angustifolia (Lavender) Oil, Myristic Acid, Niacinamide, Oleic Acid, Palmitic Acid, Palmitoyl Tripeptide-5, Pentylene Glycol, Phytosterols, Polyquaternium-7, Potassium Hydroxide, Quillaja Saponaria Bark Extract, Sodium Benzoate, Sodium Cocoyl Isethionate, Sodium Hyaluronate, Stearic Acid, Tocopherol, Tocopheryl Acetate, Tranexamic Acid, Water",https://cdn1.skinsafeproducts.com/photo/69C493E26EBF46/large_1662678627.jpeg?1662678627,https://www.skinsafeproducts.com/missha-clear-complexion-foaming-cleanser-vita-c-plus-ascorbic-acid-4-05-fl-oz-120-ml
1-200.csv,"Missha Time Revolution Artemisia & Ampoule Treatment, 50 ml/1.69 fl oz",Missha,Face,Moisturizing Serums,"1,2-Hexanediol, Artemisia Abrotanum Extract, Betaine, Butylene Glycol, Carbomer, Chondrus Crispus Extract, Disodium Edta, Ethylhexylglycerin, Glycerin, Polyacrylate Crosspolymer-6, Polyquaternium-51, Saccharum Officinarum (Sugarcane) Extract, Trehalose, Tromethamine, Water",https://cdn1.skinsafeproducts.com/photo/862757D7AA1571/large_1606076498.jpeg?1606076498,https://www.skinsafeproducts.com/missha-time-revolution-artemisia-ampoule-treatment-50-ml-1-69-fl-oz
1001-1200.csv,"Missha Airy Fit Sheet Mask, Aloe, 0.19 g",Missha,Skin Treatments,Facial Masks,"1,2-Hexanediol, Allantoin, Aloe Barbadensis Leaf Extract, Beta-Glucan, Butylene Glycol, Camellia Sinensis Leaf Extract, Canarium Luzonicum Gum Nonvolatiles, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Coptis Chinensis Root Extract, Cupressus Sempervirens Oil, Dipotassium Glycyrrhizate, Dipropylene Glycol, Disodium Edta, Ethylhexylglycerin, Glycereth-26, Glycerin, Glycyrrhiza Glabra (Licorice) Root Extract, Hydroxyethylcellulose, Limonene, Olea Europaea (Olive) Fruit Oil, Polyglyceryl-10 Laurate, Polyglyceryl-10 Myristate, Propanediol, Sodium Carbomer, Sodium Hyaluronate, Water, Zingiber Officinale (Ginger) Root Extract",https://cdn1.skinsafeproducts.com/photo/1AE69272957594/large_1747072709.jpeg?1747072709,https://www.skinsafeproducts.com/missha-airy-fit-sheet-mask-aloe-0-19-g
1201-1400.csv,"Missha Pure Source Cell Sheet Mask, Red Ginseng, 10 Sheets",Missha,Skin Treatments,Facial Masks,"1,2-Hexanediol, Allantoin, Butylene Glycol, Caprylhydroxamic Acid, Caprylyl Glycol, Carbomer, Cetyl Ethylhexanoate, Chlorphenesin, Ethylhexylglycerin, Fragrance(Parfum), Glycerin, Glyceryl Stearate, Hexadimethrine Chloride, Hydrolyzed Chitosan, Hydrolyzed Jojoba Esters, Hydroxyethylcellulose, Isopropyl Palmitate, Lactobacillus Ferment Filtrate, Panax Ginseng Root Extract, Peg-100 Stearate, Phytic Acid, Polysorbate 60, Portulaca Oleracea Extract, Triethanolamine, Water\Aqua\Eau",https://cdn1.skinsafeproducts.com/photo/37B4C2AED9AD2A/large_1513577892.jpeg?1513577892,https://www.skinsafeproducts.com/missha-pure-source-cell-sheet-mask-red-ginseng-10-sheets
1201-1400.csv,MISSHA M Perfect BB Deep Cleansing Oil 200ml,Missha,Cleansers,Facial Cleansers,"Alcohol Denat., Asparagus Lucidus Root Extract, Butylparaben, Caprylic/Capric Triglyceride, Cetyl Ethylhexanoate, Cocos Nucifera (Coconut), Fragrance, Helianthus Annuus (Sunflower) Seed Oil, Hydrogenated Polydecene, Isopropyl Myristate, Jojoba Esters, Laminaria Japonica Extract, Limnanthes Alba (Meadowfoam) Seed Oil, Macadamia Ternifolia Seed Oil, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Mineral Oil, Olea Europaea (Olive) Fruit Oil, Peg-20 Glyceryl Triisostearate, Peg-8 Isostearate, Propylparaben, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Tocopheryl Acetate, Vitis Vinifera (Grape) Seed Oil",https://cdn1.skinsafeproducts.com/photo/835BA4FC65C9AE/large_1505323138.jpeg?1505323138,https://www.skinsafeproducts.com/missha-m-perfect-bb-deep-cleansing-oil-200ml
1201-1400.csv,"Missha Super Aqua Refreshing Cleansing Foam, 6.7 Ounce",Missha,Cleansers,Facial Cleansers,"Acorus Gramineus Root/Stem Extract, Amethyst Powder, Blue No. 1 (Ci 42090), Butylene Glycol, Butylparaben, Butylphenyl Methylpropional, Ceteth -20, Disodium Edta, Ethylparaben, Glycerin, Glycol Distearate, Isobutylparaben, Lauramide Dea, Lauric Acid, Linalool, Maris Aqua (Sea Water) / Eau De Mer, Methylparaben, Myristic Acid, Pearl Powder, Peg -40 Stearate, Perfume, Phenoxyethanol, Potassium Hydroxide, Propylparaben, Rosa Damascena Flower Water, Salix Nigra (Willow) Bark Extract, Stearic Acid, Tourmaline, Water (Aqua)",https://cdn1.skinsafeproducts.com/photo/hgJJYsogMAITN8uEHzX0gA/large_1474126222.jpeg?1474126222,https://www.skinsafeproducts.com/missha-super-aqua-refreshing-cleansing-foam-6-7-ounce
1401-1600.csv,"Missha Creamy Latte Cleansing Foam, Cacao, 5.81 fl oz/172 mL",Missha,Facial Cleansers,Facial Foaming Cleansers,"Beeswax (Cera Alba), Bht, Blue 1 (Ci 42090), Caramel, Chlorphenesin, Cocamidopropyl Betaine, Disodium Edta, Fragrance (Parfum), Glycerin, Glyceryl Stearate, Lauric Acid, Methylparaben, Milk, Myristic Acid, Peg-100 Stearate, Potassium Hydroxide, Red 33 (Ci 17200), Stearic Acid, Theobroma Cacao (Cocoa) Extract, Water (Aqua)",https://cdn1.skinsafeproducts.com/photo/AA32C502EF1AEE/large_1749894914.pngpng?1749894914,https://www.skinsafeproducts.com/missha-creamy-latte-cleansing-foam-cacao-5-81-fl-oz-172-ml
1601-1800.csv,"Missha Time Revolution Night Repair Probio Ampoule, 1.69 fl oz/50 mL",Missha,Skin Treatments,Serums,"1,2-Hexanediol, Adenosine, Anthemis Nobilis Flower Oil, Aspergillus Ferment, Beta Vulgaris (Beet) Root Extract, Betaine, Bifida Ferment Lysate, Brassica Oleracea Capitata (Cabbage) Leaf Extract, Butylene Glycol, Carbomer, Ceramide Np, Cholesterol, Chondrus Crispus Extract, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Citrus Aurantium Dulcis (Orange) Peel Oil, Daucus Carota Sativa (Carrot) Root Extract, Dextrin, Diethoxyethyl Succinate, Disodium Edta, Ethylhexylglycerin, Glycerin, Helianthus Annuus (Sunflower) Seed Oil, Hydrogenated Lecithin, Lactobacillus Ferment, Lactobacillus Ferment Lysate, Lactobacillus/Acerola Cherry Ferment, Lactobacillus/Punica Granatum Fruit Ferment Extract, Lactobacillus/Soybean Ferment Extract, Lactococcus Ferment, Lavandula Angustifolia (Lavender) Oil, Leuconostoc/Radish Root Ferment Filtrate, Limonene, Lupinus Albus Seed Extract, Niacinamide, Panthenol, Pelargonium Graveolens Flower Oil, Pentylene Glycol, Polyglyceryl-10 Laurate, Polyquaternium-51, Propanediol, Saccharum Officinarum (Sugarcane) Extract, Santalum Album (Sandalwood) Oil, Sodium Hyaluronate, Solanum Melongena (Eggplant) Fruit Extract, Squalane, Swiftlet Nest Extract, Theobroma Cacao (Cocoa) Extract, Tocopherol, Tromethamine, Vaccinium Angustifolium (Blueberry) Fruit Extract, Water, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/BF830648FAEE6C/large_1724741070.pngpng?1724741070,https://www.skinsafeproducts.com/missha-time-revolution-night-repair-probio-ampoule-1-69-fl-oz-50-ml
