File,product_name,brand,usage_type,category,ingredients,image_url,product_url
1-200.csv,"Mixsoon Bifida Cream, 2.02 fl oz/60 mL",mixsoon,Anti-Aging/Anti-Wrinkle,Anti-Aging,"1,2-Hexanediol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Argania Spinosa Kernel Oil, Arginine, Bifida Ferment Lysate, Butylene Glycol, C12-16 Alcohols, Caprylic/Capric Triglyceride, Caprylyl Methicone, Carbomer, Cetearyl Alcohol, Cetyl Alcohol, Cetyl Ethylhexanoate, Dicaprylyl Carbonate, Disodium Edta, Ethylhexyl Olivate, Ethylhexylglycerin, Glycerin, Glyceryl Stearate, Hydrogenated Lecithin, Myristic Acid, Palmitic Acid, Polyglyceryl-4 Oleate, Sodium Acrylates Copolymer, Squalane, Stearic Acid, Water/Aqua",https://cdn1.skinsafeproducts.com/photo/F3B540D63F5FBF/large_1710956841.jpeg?1710956841,https://www.skinsafeproducts.com/mixsoon-bifida-cream-2-02-fl-oz-60-ml
1-200.csv,"Mixsoon Glacier Water Serum, Hyaluronic Acid, 10.14 fl oz/300 mL",mixsoon,Skin Treatments,Serums,"1,2-Hexanediol, Butylene Glycol, Sodium Hyaluronate, Water/Aqua/Eau",https://cdn1.skinsafeproducts.com/photo/EC685C23613449/large_1715896316.jpeg?1715896316,https://www.skinsafeproducts.com/mixsoon-glacier-water-serum-hyaluronic-acid-10-14-fl-oz-300-ml
1-200.csv,"Mixsoon Bifida Ferment Essence, 3.38 fl oz/100 mL",mixsoon,Toners & Astringents,Toners,"Aqua, Bifida Ferment Extract, Butylene Glycol, Glycerin",https://cdn1.skinsafeproducts.com/photo/2BC497605C71CE/large_1701029852.jpeg?1701029852,https://www.skinsafeproducts.com/mixsoon-bifida-ferment-essence-3-38-fl-oz-100-ml
1-200.csv,"Mixsoon Toner, Centella Asiatica, 10.14 fl oz / 300 ml",mixsoon,Toners & Astringents,Toners,"1,2-Hexanediol, Aqua, Butylene Glycol, Centella Asiatica Extract*",https://cdn1.skinsafeproducts.com/photo/F6234E28CAFCB3/large_1713830608.jpeg?1713830608,https://www.skinsafeproducts.com/mixsoon-centella-asiatica-toner-10-14-fl-oz-300-ml
1-200.csv,"mixsoon Bean Cleansing Oil, 6.59 fl oz/195 mL",mixsoon,Facial Cleansers,Facial Cleansing Oil,"Caprylic/Capric Triglyceride, Caprylyl Glycol, Ethylhexyl Palmitate, Ethylhexylglycerin, Fragrance, Glycerin, Glycine Soja (Soybean) Oil, Helianthus Annuus (Sunflower) Seed Oil, Lactobacillus/Pear Juice Ferment Filtrate, Lactobacillus/Punica Granatum Fruit Ferment Extract, Lactobacillus/Soybean Ferment Extract, Propanediol, Saccharomyces/Barley Seed Ferment Filtrate, Simmondsia Chinensis (Jojoba) Seed Oil, Sorbeth-30 Tetraoleate, Tocopherol, Triethylhexanoin, Water",https://cdn1.skinsafeproducts.com/photo/96F57BE53FAFF2/large_1711140990.jpeg?1711140990,https://www.skinsafeproducts.com/mixsoon-bean-cleansing-oil-6-59-fl-oz-195-ml
1-200.csv,"Mixsoon Bean Cream, 1.69 fl oz/50 mL",mixsoon,Face,Creams,"Adenosine, Anthemis Nobilis Flower Oil, Butylene Glycol, Caprylic/Capric Triglyceride, Carbomer, Cetearyl Alcohol, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Coccinia Indica Fruit Extract, Corallina Officinalis Extract, Curcuma Longa (Turmeric) Root Extract, Diisostearyl Malate, Dipotassium Glycyrrhizate, Disodium Edta, Eclipta Prostrata Extract, Ethylhexylglycerin, Glycerin, Glyceryl Stearate, Glyceryl Stearate Citrate, Hydrogenated Coco-Glycerides, Hydrogenated Lecithin, Hydrogenated Polyisobutene, Hydroxyacetophenone, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Lactobacillus/Pear Juice Ferment Filtrate, Lactobacillus/Punica Granatum Fruit Ferment Extract, Lactobacillus/Soybean Ferment Extract, Lavandula Angustifolia (Lavender) Oil, Limnanthes Alba (Meadowfoam) Seed Oil, Melia Azadirachta Flower Extract, Melia Azadirachta Leaf Extract, Ocimum Sanctum Leaf Extract, Oleic Acid, Palmitic Acid, Panthenol, Polyglyceryl-3 Distearate, Propanediol, Saccharomyces/Barley Seed Ferment Filtrate, Sodium Polyacrylate, Sorbitan Isostearate, Stearic Acid, Tromethamine, Vinyl Dimethicone, Water/Aqua",https://cdn1.skinsafeproducts.com/photo/8BA0C5737E687F/large_1706994850.jpeg?1706994850,https://www.skinsafeproducts.com/mixsoon-bean-cream-1-69-fl-oz-50-ml
1-200.csv,"Mixsoon Bean Essence, 1.69 fl oz/50 mL",mixsoon,Skin Treatments,Serums,"Aqua, Glycerin, Lactobacillus/Pear Juice Ferment Filtrate, Lactobacillus/Punica Granatum Fruit Ferment Extract, Lactobacillus/Soybean Ferment Extract, Propanediol, Saccharomyces/Barley Seed Ferment Filtrate",https://cdn1.skinsafeproducts.com/photo/AF7459BBB2EAFB/large_1704773011.pngpng?1704773011,https://www.skinsafeproducts.com/mixsoon-bean-essence-1-69-fl-oz-50-ml
1001-1200.csv,"Mixsoon Soondy Centella Asiatica Essence, 3.38 fl oz/ 100 mL",mixsoon,Skin Treatments,Essence,"Aqua, Butylene Glycol, Centella Asiatica Extract",https://cdn1.skinsafeproducts.com/photo/0CDB431060F0D6/large_1751255393.pngpng?1751255393,https://www.skinsafeproducts.com/mixsoon-soondy-centella-asiatica-essence-3-38-fl-oz-100-ml-0
1001-1200.csv,"Mixsoon Centella Toner Pad, 7.77 fl oz/230 mL",mixsoon,Toners & Astringents,Toners,"1,2-Hexanediol, Allantoin, Betaine, Butylene Glycol, Centella Asiatica Extract, Citric Acid, Dipropylene Glycol, Ethylhexylglycerin, Glycerin, Sodium Phosphate, Tocopherol, Water/Aqua, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/3919BC309A3DE8/large_1749457316.pngpng?1749457316,https://www.skinsafeproducts.com/mixsoon-centella-toner-pad-7-77-fl-oz-230-ml
1001-1200.csv,"Mixsoon Centella Cleansing Water, 10.1 fl oz/300 mL",mixsoon,Facial Cleansers,Facial Washes,"1,2-Hexanediol, Allantoin, Betaine, Butylene Glycol, Caprylyl Glycol, Centella Asiatica Extract, Citric Acid, Disodium Edta, Erythritol, Houttuynia Cordata Extract, Illicium Verum (Anise) Fruit Extract, Panthenol, Polyglyceryl-3 Cocoate, Polyglyceryl-4 Caprate, Polyglyceryl-6 Caprylate, Polyglyceryl-6 Ricinoleate, Propanediol, Sodium Citrate, Water",https://cdn1.skinsafeproducts.com/photo/8E6E01089633C1/large_1747380480.pngpng?1747380480,https://www.skinsafeproducts.com/mixsoon-centella-cleansing-water-10-1-fl-oz-300-ml
1001-1200.csv,"Mixsoon Centella Face Mask, 0.88 oz/25 g",mixsoon,Skin Treatments,Facial Masks,"1,2-Hexanediol, Butylene Glycol, Centella Asiatica Extract, Disodium Edta, Ethylhexylglycerin, Glycerin, Hydroxyacetophenone, Hydroxyethylcellulose, Sodium Carbomer, Water, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/83525361BE7CB5/large_1744429960.pngpng?1744429960,https://www.skinsafeproducts.com/mixsoon-centella-face-mask-0-88-oz-25-g
1601-1800.csv,"Mixsoon Soybean Milk Pad Face Mask, 0.54 fl oz/16 mL, 3 sheets",mixsoon,Skin Treatments,Facial Masks,"1,2-Hexanediol, Arginine, Artemisia Capillaris Extract, Betaine, Butylene Glycol, Butyrospermum Parkii (Shea) Butter, Carbomer, Centella Asiatica Extract, Ceramide Np, Cetyl Ethylhexanoate, Cyclodextrin, Dipropylene Glycol, Disodium Edta, Ethylhexylglycerin, Glycerin, Glyceryl Stearate, Houttuynia Cordata Extract, Hydrolyzed Hyaluronic Acid, Hydroxy Acetophenone, Lactobacillus/ Soybean Ferment Extract, Madecassoside, Melaleuca Alternifolia (Tea Tree) Leaf Extract, Panthenol, Phytosphingosine, Polyglyceryl-3 Methylglucose Distearate, Sodium Acetylated Hyaluronate, Sodium Hyaluronate, Sorbitan Sesquioleate, Sorbitan Stearate, Sucrose Cocoate, Trehalose, Water/Aqua, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/EE16A23F662BE1/large_1742449809.pngpng?1742449809,https://www.skinsafeproducts.com/mixsoon-soybean-milk-pad-face-mask-0-54-fl-oz-16-ml-3-sheets
1601-1800.csv,"Mixsoon Bean Cream, 0.50 fl oz/15 mL",mixsoon,Face,Creams,"Adenosine, Anthemis Nobilis Flower Oil, Butylene Glycol, Caprylic/Capric Triglyceride, Carbomer, Cetearyl Alcohol, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Coccinia Indica Fruit Extract, Corallina Officinalis Extract, Curcuma Longa (Turmeric) Root Extract, Diisostearyl Malate, Dipotassium Glycyrrhizate, Disodium Edta, Eclipta Prostrata Extract, Ethylhexylglycerin, Glycerin, Glyceryl Stearate, Glyceryl Stearate Citrate, Hydrogenated Coco-Glycerides, Hydrogenated Lecithin, Hydrogenated Polyisobutene, Hydroxyacetophenone, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Lactobacillus/Pear Juice Ferment Filtrate, Lactobacillus/Punica Granatum Fruit Ferment Extract, Lactobacillus/Soybean Ferment Extract, Lavandula Angustifolia (Lavender) Oil, Limnanthes Alba (Meadowfoam) Seed Oil, Melia Azadirachta Flower Extract, Melia Azadirachta Leaf Extract, Ocimum Sanctum Leaf Extract, Oleic Acid, Palmitic Acid, Panthenol, Polyglyceryl-3 Distearate, Propanediol, Saccharomyces/Barley Seed Ferment Filtrate, Sodium Polyacrylate, Sorbitan Isostearate, Stearic Acid, Tromethamine, Vinyl Dimethicone, Water",https://cdn1.skinsafeproducts.com/photo/A8BE201BE6B6B7/large_1741755754.pngpng?1741755754,https://www.skinsafeproducts.com/mixsoon-bean-cream-0-50-fl-oz-15-ml
1601-1800.csv,"Mixsoon Bean Essence, 1.69 fl oz/50 mL, Pack Of 2",mixsoon,"Exfoliators, Polishes, & Scrubs",Exfoliators,"Glycerin, Lactobacillus/Pear Juice Ferment Filtrate, Lactobacillus/Punica Granatum Fruit Ferment Extract, Lactobacillus/Soybean Ferment Extract, Propanediol, Saccharomyces/Barley Seed Ferment Filtrate, Water/Aqua",https://cdn1.skinsafeproducts.com/photo/83719538CCFAB2/large_1733199496.jpeg?1733199496,https://www.skinsafeproducts.com/mixsoon-bean-essence-1-69-fl-oz-50-ml-pack-of-2
201-400.csv,"Mixsoon Bifida Mask Pack, 0.88 oz/25 g",mixsoon,Skin Treatments,Facial Masks,"1,2-Hexanediol, Allantoin, Bifida Ferment Lysate, Butylene Glycol, Dipropylene Glycol, Disodium Edta, Ethylhexylglycerin, Glycerin, Hydroxyethylcellulose, Lactobacillus Ferment, Panthenol, Sodium Hyaluronate, Water, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/CA412483FBEB25/large_1744456167.pngpng?1744456167,https://www.skinsafeproducts.com/mixsoon-bifida-mask-pack-0-88-oz-25-g
