fichier,nom_produit,marque,categorie,sous_categorie,prix_eur,ingredients_inci,image_url,product_url
1-200.csv,"Shiseido Waso Nettoyant Gel-en-Huile Shikulime 125 ml",Shiseido,Visage,Nettoyant huile,28,"Alcohol, Bht, Butylene Glycol, Carthamus Tinctorius (Safflower) Seed Oil, Cetyl Ethylhexanoate, Citric Acid, Citrus Depressa Peel Extract, Dimethicone, Diphenylsiloxy Phenyl Trimethicone, Dipropylene Glycol, Glycerin, Hydrogenated Polydecene, Iron Oxides (Ci 77492), Isododecane, Peg-60 Hydrogenated Castor Oil, Phenoxyethanol, Ppg-15-Buteth-20, Pyrus Malus (Apple) Fruit Water, Sodium Citrate, Sodium Metaphosphate, Sodium Methyl Cocoyl Taurate, Sorbitol, Sucrose Stearate, Tocopherol, Trisodium Edta, Vitis Vinifera (Grape) Seed Oil, Water(Aqua/Eau), Xanthan Gum","https://cdn1.skinsafeproducts.com/photo/0772F159ED9BBC/large_1703205351.jpeg?1703205351","https://www.skinsafeproducts.com/shiseido-waso-shikulime-gel-to-oil-cleanser-4-oz-125-ml"

1-200.csv,"Shiseido Vital Perfection Crème Lift & Fermeté 50 ml",Shiseido,Visage,Crème,95,"Alcohol, Angelica Acutiloba Root Extract, Angelica Keiskei Leaf/Stem Extract, Behenyl Alcohol, Bupleurum Falcatum Root Extract, Butylene Glycol, Butyrospermum Parkii (Shea) Butter, Caffeine, Camellia Sinensis Leaf Extract, Carthamus Tinctorius (Safflower) Flower Extract, Cellulose, Cetyl Alcohol, Citric Acid, Citronellol, Copernicia Cerifera (Carnauba) Wax/Copernicia Cerifera Cera/Cire De Carnauba, Dimethicone, Disodium Edta, Elaeis Guineensis (Palm) Kernel Oil, Erythritol, Fragrance (Parfum), Glycerin, Glyceryl Stearate Se, Hexyl Cinnamal, Hydrogenated Palm Oil, Hydrogenated Polydecene, Hydrogenated Polyisobutene, Hydrolyzed Silk, Inositol, Iron Oxides (Ci 77492), Isohexadecane, Lamium Album Flower/Leaf/Stem Extract, Lavandula Angustifolia (Lavender) Oil, Limonene, Linalool, Olea Europaea (Olive) Leaf Extract, Peg-100 Stearate, Peg/Ppg-14/7 Dimethyl Ether, Peg/Ppg-17/4 Dimethyl Ether, Phenoxyethanol, Phytosteryl Macadamiate, Polysorbate 80, Potassium Methoxysalicylate, Ppg-3 Dipivalate, Propanediol, Rosa Damascena Flower Water, Rosmarinus Officinalis (Rosemary) Leaf Extract (Rosmarinus Officinalis Leaf Extract), Sd Alcohol 40-B (Alcohol Denat.), Silica, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Sodium Citrate, Sodium Metabisulfite, Sodium Metaphosphate, Sorbitan Oleate, Sorbitan Tristearate, Squalane, Stearyl Alcohol, Succinoglycan, Tocopherol, Tocopheryl Acetate, Triethylhexanoin, Water(Aqua/Eau), Ziziphus Jujuba Fruit Extract","https://cdn1.skinsafeproducts.com/photo/8ECA4B47531D06/large_1647366785.jpeg?1647366785","https://www.skinsafeproducts.com/shiseido-vital-perfection-uplifting-and-firming-cream-1-7-oz-50-ml"

1-200.csv,"Shiseido Benefiance Crème de Jour Lissante Anti-Rides 50 ml",Shiseido,Visage,Crème,80,"Alcohol, Alpha-Isomethyl Ionone, Angelica Keiskei Leaf/Stem Extract, Beheneth-20, Butylene Glycol, Caffeine, Camellia Sinensis Leaf Extract, Caprylic/Capric Triglyceride, Carbomer, Cetearyl Alcohol, Cetyl Ethylhexanoate, Chlorella Vulgaris Extract, Citric Acid, Citronellol, Citrus Junos Seed Extract, Curcuma Longa (Turmeric) Rhizome Extract, Diisostearyl Malate, Dimethicone, Dipropylene Glycol, Erythritol, Eucheuma Serra/Grateloupia Sparsa/Saccharina Angustata/Ulva Linza/Undaria Pinnatifida Extract, Fragrance, Geraniol, Glycerin, Glyceryl Stearate, Hdi/Trimethylol Hexyllactone Crosspolymer, Iron Oxides (Ci 77492), Limonene, Linalool, Niacinamide, Nylon-12, Peg/Ppg-14/7 Dimethyl Ether, Peg/Ppg-17/4 Dimethyl Ether, Phenoxyethanol, Phytosteryl Macadamiate, Potassium Hydroxide, Ppg-3 Dipivalate, Sapindus Mukorossi Peel Extract, Sd Alcohol 40-B (Alcohol Denat.), Silica, Sodium Citrate, Sodium Metabisulfite, Sodium Metaphosphate, Tocopherol, Tocopheryl Acetate, Trisodium Edta, Water, Xanthan Gum, Ziziphus Jujuba Fruit Extract","https://cdn1.skinsafeproducts.com/photo/C8E158952EE571/large_1609698525.jpeg?1609698525","https://www.skinsafeproducts.com/shiseido-benefiance-wrinkle-smoothing-day-cream-1-7-oz-50-ml"

801-1000.csv,"Shiseido Ultimune Sérum Concentré Activateur 75 ml",Shiseido,Visage,Sérum,110,"Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Alcohol, Alcohol Denat, Ammonium Acryloyldimethyltaurate/Beheneth-25 Methacrylate Crosspolymer, Bht, Butylene Glycol, Citronellol, Diglycerin, Dimethicone, Disodium Edta, Fragrance (Parfum), Ganoderma Lucidum (Mushroom) Stem Extract, Geraniol, Ginkgo Biloba Leaf Extract, Glycerin, Houttuynia Cordata Extract, Hydroxyproline, Iris Florentina Root Extract, Isoceteth-10, Isodecyl Neopentanoate, Lactobacillus/Hibiscus Sabdariffa Flower Ferment Filtrate, Lauryl Betaine, Linalool, Nelumbo Nucifera Germ Extract, Origanum Majorana Leaf Extract, Peg-14m, Peg/Ppg-14/7 Dimethyl Ether, Peg/Ppg-17/4 Dimethyl Ether, Perilla Ocymoides Leaf Extract, Phenoxyethanol, Potassium Hydroxide, Rosa Damascena Flower Water, Sanguisorba Officinalis Root Extract, Silica, Sodium Benzoate, Sodium Bicarbonate, Sodium Carboxymethyl Betaglucan, Sodium Metabisulfite, Thymus Serpyllum Extract, Tocopheryl Acetate, Trehalose, Triethylhexanoin, Water(Aqua/Eau)","https://cdn1.skinsafeproducts.com/photo/DF6EE6ECE4C243/large_1718623435.pngpng?1718623435","https://www.skinsafeproducts.com/shiseido-ultimune-power-infusing-serum-2-5-fl-oz-75-ml"

801-1000.csv,"Shiseido Benefiance Crème Lissante Anti-Rides 20 ml",Shiseido,Visage,Crème,35,"Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Alcohol, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Angelica Keiskei Leaf/Stem Extract, Batyl Alcohol, Behenyl Alcohol, Butylene Glycol, Caffeine, Camellia Sinensis Leaf Extract, Carbomer, Cetyl Ethylhexanoate, Chlorella Vulgaris Extract, Citronellol, Citrus Junos Seed Extract, Curcuma Longa (Turmeric) Rhizome Extract, Cyclohexasiloxane, Dimethicone, Dimethicone/Vinyl Dimethicone Crosspolymer, Dipropylene Glycol, Disodium Edta, Erythritol, Eucheuma Serra/Grateloupia Sparsa/Saccharina Angustata/Ulva Linza/Undaria Pinnatifida Extract, Fragrance (Parfum), Geraniol, Glycerin, Hdi/Trimethylol Hexyllactone Crosspolymer, Hydrogenated Palm Oil, Hydrogenated Polydecene, Iron Oxides (Ci 77492), Limonene, Linalool, Methyl Methacrylate Crosspolymer, Myristyl Myristate, Niacinamide, Peg-30 Phytosterol, Peg/Ppg-14/7 Dimethyl Ether, Peg/Ppg-17/4 Dimethyl Ether, Phenoxyethanol, Phytosteryl/Octyldodecyl Lauroyl Glutamate, Polysorbate 60, Potassium Hydroxide, Ppg-3 Dipivalate, Saccharina Angustata/Undaria Pinnatifida Extract, Sapindus Mukorossi Peel Extract, Sd Alcohol 40-B (Alcohol Denat.), Silica, Sodium Metabisulfite, Sodium Metaphosphate, Tocopherol, Tocopheryl Acetate, Water(Aqua/Eau), Ziziphus Jujuba Fruit Extract","https://cdn1.skinsafeproducts.com/photo/88517E65D2E360/large_1722992068.jpeg?1722992068","https://www.skinsafeproducts.com/shiseido-benefiance-wrinkle-smoothing-cream-0-7-oz-20-ml"

