File,product_name,brand,usage_type,category,ingredients,image_url,product_url
1-200.csv,"SKIN1004 Toning Toner, Madagascar Centella, 13.52 fl oz/400 mL",Skin1004,Toners & Astringents,Toners,"1,2-Hexanediol, Adenosine, Betaine, Carbomer, Centella Asiatica Extract, Dipotassium Glycyrrhizate, Dipropylene Glycol, Disodium Edta, Ethylhexylglycerin, Gluconolactone, Hyaluronic Acid, Niacinamide, Sodium Citrate, Tromethamine, Water",https://cdn1.skinsafeproducts.com/photo/E4F5EC511B2BDA/large_1731357002.jpeg?1731357002,https://www.skinsafeproducts.com/skin1004-toning-toner-madagascar-centella-13-52-fl-oz-400-ml
1-200.csv,"Skin1004 Centella Poremizing Fresh Ampoule, 3.38 fl oz/100 mL",Skin1004,Pore Treatments,Pore Cleansing,"1,2-Hexanediol, Acetyl Hexapeptide-8, Acetyl Octapeptide-3, Aloe Barbadensis Leaf Extract, Ammonium Polyacryloyldimethyl Taurate, Aqua (Water), Biosaccharide Gum-1, Butylene Glycol, Carbomer, Centella Asiatica Extract, Chamomilla Recutita (Matricaria) Flower Extract, Copper Tripeptide-1, Dipotassium Glycyrrhizate, Disodium Edta, Ethylhexylglycerin, Glycereth-26, Glycerin, Hyaluronic Acid, Hydrolyzed Hyaluronic Acid, Hydroxyacetophenone, Hydroxyethylcellulose, Mineral Salts, Palmitoyl Pentapeptide-4, Palmitoyl Tetrapeptide-7, Palmitoyl Tripeptide-1, Panthenol, Propanediol, Sodium Hyaluronate, Tripeptide-1, Tripeptide-3, Tromethamine",https://cdn1.skinsafeproducts.com/photo/F89F1CDC5DBA43/large_1731435187.jpeg?1731435187,https://www.skinsafeproducts.com/skin1004-centella-poremizing-fresh-ampoule-3-38-fl-oz-100-ml
1-200.csv,"Skin1004 Madagascar Centella Tone Brightening Capsule Ampoule, 1.69 fl oz/50 mL",Skin1004,Skin Treatments,Dark Spot Corrector & Pigment Corrector,"1,2-Hexanediol, 3-O-Ethyl Ascorbic Acid, Acrylates/ C10-30 Alkyl Acrylate Crosspolymer, Anhydroxylitol, Arginine, Betaine, Butylene Glycol, Centella Asiatica Extract, Ethylhexylglycerin, Glucose, Glycerin, Hydrogenated Lecithin, Hydroxyethylcellulose, Lactobacillus Ferment, Madecassoside, Mannitol, Microcrystalline Cellulose, Niacinamide, Panthenol, Pentylene Glycol, Tranexamic Acid, Water(Aqua), Xanthan Gum, Xylitol, Xylitylglucoside, Zea Mays (Corn) Starch",https://cdn1.skinsafeproducts.com/photo/BA23766F724E4F/large_1730688966.jpeg?1730688966,https://www.skinsafeproducts.com/skin1004-madagascar-centella-tone-brightening-capsule-ampoule-1-69-fl-oz-50-ml
1-200.csv,"Skin1004 Probio-Cica Essence Toner, 7.10 fl oz/210 mL",Skin1004,Toners & Astringents,Toners,"1,2-Hexanediol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Asiatic Acid, Asiaticoside, Benzyl Glycol, Betaine, Butylene Glycol, Caprylic/Capric Triglyceride, Centella Asiatica Extract, Ceramide Np, Citric Acid, Dipotassium Glycyrrhizate, Ethylhexylglycerin, Glycerin, Hyaluronic Acid, Hydrogenated Lecithin, Hydrolyzed Glycosaminoglycans, Hydrolyzed Hyaluronic Acid, Hydroxystearic Acid, Lactobacillus/Centella Asiatica Extract Ferment Filtrate, Lauric Acid, Macadamia Ternifolia Seed Oil, Madecassic Acid, Panthenol, Phytosphingosine, Phytosterols, Polyglyceryl-10 Laurate, Polyglyceryl-10 Myristate, Propanediol, Raspberry Ketone, Sodium Citrate, Sodium Hyaluronate, Sodium Hyaluronate Crosspolymer, Sodium Phytate, Sucrose Distearate, Trehalose, Tromethamine, Water, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/004CD09EC8AB72/large_1727817957.jpeg?1727817957,https://www.skinsafeproducts.com/skin1004-probio-cica-essence-toner-7-10-fl-oz-210-ml
1-200.csv,"Skin1004 Madagascar Centella Probio-Cica Bakuchiol Eye Cream, 0.67 fl.oz/20 mL",Skin1004,Eyes,Anti-Wrinkle Treatments,"1,2-Hexanediol, Acetyl Hexapeptide-8, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Adenosine, Asiatic Acid, Asiaticoside, Bakuchiol, Betaine, Butylene Glycol, Butyrospermum Parkii (Shea) Butter, Caprylic/Capric Triglyceride, Caprylyl Glycol, Carbomer, Centella Asiatica Extract, Ceramide Np, Cetearyl Alcohol, Dextrin, Dipentaerythrityl Hexa C5-9 Acid Esters, Ethylhexylglycerin, Glycerin, Glyceryl Acrylate/Acrylic Acid Copolymer, Glyceryl Stearate, Glyceryl Stearate Citrate, Heptyl Undecylenate, Hydrogenated Lecithin, Hydrolyzed Extensin, Hydrolyzed Hyaluronic Acid, Lactobacillus/Centella Asiatica Extract Ferment Filtrate, Lauric Acid, Macadamia Ternifolia Seed Oil, Madecassic Acid, Niacinamide, Palmitic Acid, Panthenol, Phytosphingosine, Phytosterols, Polyglyceryl-10 Myristate, Polyglyceryl-3 Distearate, Sodium Hyaluronate, Sodium Phytate, Squalane, Stearic Acid, Sucrose Distearate, Theobroma Cacao (Cocoa) Extract, Tromethamine, Water (Aqua)",https://cdn1.skinsafeproducts.com/photo/2E4C84574C1ABC/large_1724631319.jpeg?1724631319,https://www.skinsafeproducts.com/skin1004-madagascar-centella-probio-cica-bakuchiol-eye-cream-0-67-fl-oz-20-ml
1-200.csv,"Skin1004 Madagascar Centella Probio-Cica Intensive Ampoule, 1.69 fl oz/50 mL",Skin1004,Skin Care,Skin Treatments,"1,2-Hexanediol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Adenosine, Allantoin, Arginine, Asiatic Acid, Asiaticoside, Betaine, Butylene Glycol, C12-20 Alkyl Glucoside, C14-22 Alcohols, Caprylic/Capric Triglyceride, Centella Asiatica Extract, Ceramide Np, Cetearyl Alcohol, Dipropylene Glycol, Ethylhexylglycerin, Glucose, Glycerin, Glyceryl Acrylate/Acrylic Acid Copolymer, Glyceryl Stearate Citrate, Hydrogenated Lecithin, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Hydroxystearic Acid, Lactobacillus/Centella Asiatica Extract Ferment Filtrate, Lauric Acid, Macadamia Ternifolia Seed Oil, Madecassic Acid, Niacinamide, Panthenol, Phytosphingosine, Phytosterols, Polyglutamic Acid, Polyglyceryl-10 Myristate, Polyglyceryl-3 Distearate, Propanediol, Sodium Hyaluronate, Sodium Phytate, Sodium Polyacrylate, Sorbitan Isostearate, Stearic Acid, Sucrose Distearate, Water, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/39E63BB09B3F1E/large_1723953158.jpeg?1723953158,https://www.skinsafeproducts.com/skin1004-madagascar-centella-probio-cica-intensive-ampoule-1-69-fl-oz-50-ml
1-200.csv,"Skin1004 Quick Calming Pad, Madagascar Centella, 4.39 fl oz/130 mL, 70 Count",Skin1004,Toners & Astringents,Toners,"1,2-Hexanediol, Butylene Glycol, Centella Asiatica Extract, Citric Acid, Disodium Edta, Ethylhexylglycerin, Panthenol, Sodium Hyaluronate, Water, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/EF6F8067B7BDBE/large_1723953269.jpeg?1723953269,https://www.skinsafeproducts.com/skin1004-quick-calming-pad-madagascar-centella-4-39-fl-oz-130-ml-70-count
1-200.csv,"Skin1004 Soothing Cream, Madagascar Centella, 2.53 fl oz/75 mL",Skin1004,Face,Creams,"1,2-Hexanediol, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Beta-Glucan, Biosaccharide Gum-1, Butylene Glycol, C12-14 Pareth-12, C30-45 Alkyl Cetearyl Dimethicone Crosspolymer, Caprylyl Methicone, Carbomer, Centella Asiatica Extract, Ceramide Ap, Ceramide As, Ceramide Eop, Ceramide Ng, Ceramide Np, Cetearyl Alcohol, Cholesterol, Coptis Chinensis Root Extract, Cyclohexasiloxane, Cyclopentasiloxane, Dextrin, Dipotassium Glycyrrhizate, Dipropylene Glycol, Disodium Edta, Ethylhexylglycerin, Glycerin, Hydrogenated Lecithin, Leuconostoc/Radish Root Ferment Filtrate, Mentha Piperita (Peppermint) Leaf Extract, Phytosphingosine, Propanediol, Sodium Hyaluronate, Stearic Acid, Theobroma Cacao (Cocoa) Seed Extract, Tranexamic Acid, Trehalose, Tromethamine, Water, Xanthan Gum, Zingiber Officinale (Ginger) Root Extract",https://cdn1.skinsafeproducts.com/photo/613EA376C51E58/large_1727431552.jpeg?1727431552,https://www.skinsafeproducts.com/skin1004-soothing-cream-madagascar-centella-2-53-fl-oz-75-ml
1-200.csv,"Skin1004 Madagascar Centella Hyalu - Cica First Ampoule, 3.38 fl oz/100 mL",Skin1004,Skin Treatments,Serums,"1,2-Hexanediol, Aloe Barbadensis Flower Extract, Anastatica Hierochuntica Extract, Artemisia Princeps Leaf Extract, Betula Platyphylla Japonica Juice, Butylene Glycol, Carbomer, Centella Asiatica Extract, Coccinia Indica Fruit Extract, Corallina Officinalis Extract, Cucumis Melo (Melon) Fruit Extract, Curcuma Longa (Turmeric) Root Extract, Ethylhexylglycerin, Glycereth-25 Pca Isostearate, Glycerin, Hedera Helix (Ivy) Leaf/Stem Extract, Hyaluronic Acid, Hydrolyzed Hyaluronic Acid, Hydroxyacetophenone, Melia Azadirachta Flower Extract, Melia Azadirachta Leaf Extract, Musa Sapientum (Banana) Flower Extract, Niacinamide, Ocimum Sanctum Leaf Extract, Portulaca Oleracea Extract, Propanediol, Prunus Domestica Fruit Extract, Pyrus Communis (Pear) Fruit Extract, Rhodiola Rosea Root Extract, Rosa Damascena Flower Water, Sodium Hyaluronate, Solanum Melongena (Eggplant) Fruit Extract, Tromethamine, Water",https://cdn1.skinsafeproducts.com/photo/BE5FBF9832ED02/large_1725271318.pngpng?1725271318,https://www.skinsafeproducts.com/skin1004-madagascar-centella-hyalu-cica-first-ampoule-3-38-fl-oz-100-ml
1-200.csv,Skin1004 Madagascar Centella Travel Kit,Skin1004,Skin Care,Sets & Kits,"1,2-Hexanediol, Adenosine, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Beta-Glucan, Betaine, Biosaccharide Gum-1, Butylene Glycol, C12-14 Pareth-12, C30-45 Alkyl Cetearyl Dimethicone Crosspolymer, Cacao Extract, Caprylyl Methicone, Carbomer, Centella Asiatica Extract, Centella Extract, Ceramide Ap, Ceramide Eop, Ceramide Np, Ceramide Ns, Cetostearyl Alcohol, Cetyl Ethylhexanoate, Cholesterol, Citric Acid, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Cocamidopropyl Betaine, Coccinia Indica Fruit Extract, Coptis Chinensis Root Extract, Cyclomethicone, Dextrin, Dipotassium Glycyrrhizate, Dipropylene Glycol, Disodium Edta, Eclipta Prostrata Extract, Ethylhexyl Glycerine, Ethylhexyl Stearate, Ginger Extract, Gluconolactone, Glycerin, Helianthus Annuus (Sunflower) Seed Oil, Hyaluronic Acid, Hydrogenated Lecithin, Leuconostoc/Radish Root Ferment Filtrate, Limonene, Linalool, Niacinamide, Olea Europaea (Olive) Fruit Oil, Pelargonium Graveolens Flower Oil, Peppermint Leaf Extract, Phytosphingosine, Polyquaternium-67, Potassium Benzoate, Potassium Cocoate, Potassium Cocoyl Glycinate, Propanediol, Purified Water, Rosa Damascena Flower Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Sodium Acetate, Sodium Bicarbonate, Sodium Chloride, Sodium Citrate, Sodium Cocoyl Isethionate, Sodium Hyaluronate, Sodium Methyl Cocoyl Taurate, Sorbeth-30 Tetraoleate, Stearic Acid, Theobroma Cacao Extract, Tranexamic Acid, Trehalose, Tromethamine, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/5F762D0C921D93/large_1717493250.pngpng?1717493250,https://www.skinsafeproducts.com/skin1004-madagascar-centella-travel-kit
