File,product_name,brand,usage_type,category,ingredients,image_url,product_url
1-200.csv,"Some By Mi Brightening All In One Cleanser, Yuja Niacin, 3.38 fl oz/100 mL",Some By MI,Facial Cleansers,Facial Washes,"1,2-Hexanediol, 3-0-Ethyl Ascorbic Acid, Acrylates Copolymer, Benzyl Glycol, Beta-Carotene, Biotin, Caprylyl Glycol, Citric Acid, Citrus Junos Fruit Extract, Cocamidopropyl Betaine, Cyanocobalamin, Disodium Edta, Eriobotrya Japonica Leaf Extract, Ethylhexylglycerin, Folic Acid, Fragrance, Gluconolactone, Glycerin, Hexadecene, Hyaluronic Acid, Hydrogenated Lecithin, Hydrolyzed Glycosaminoglycans, Hydrolyzed Hyaluronic Acid, Inositol, Limonene, Linalool, Linoleic Acid, Mentha Viridis (Spearmint) Extract, Niacinamide, Panthenol, Polyglyceryl-10 Stearate, Propanediol, Pyridoxine, Raspberry Ketone, Riboflavin, Saccharide Isomerate, Sodium Acetylated Hyaluronate, Sodium Ascorbyl Phosphate, Sodium C14-16 Olefin Sulfonate, Sodium Chloride, Sodium Citrate, Sodium Hyaluronate, Sodium Hyaluronate Crosspolymer, Succinic Acid, Tetradecene, Thiamine Hcl, Tocopherol, Water, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/46F08B2C1F59F6/large_1716783734.pngpng?1716783734,https://www.skinsafeproducts.com/some-by-mi-brightening-all-in-one-cleanser-yuja-niacin-3-38-fl-oz-100-ml
1001-1200.csv,"Some By Mi Super Match Pore Clean Clay Mask, 3.52 oz/100 g",Some By MI,Skin Treatments,Facial Masks,"1,2-Hexanediol, Allantoin, Asiatic Acid, Asiaticoside, Bentonite, Benzyl Glycol, Butylene Glycol, Camellia Sinensis Leaf Extract, Camellia Sinensis Leaf Powder, Camellia Sinensis Leaf Water, Capryloyl Salicylic Acid, Caprylyl Glycol, Centella Asiatica Extract, Dipropylene Glycol, Ethylhexylglycerin, Fragrance, Glycerin, Houttuynia Cordata Powder, Hydroxyacetophenone, Kaolin, Madecassic Acid, Magnesium Aluminum Silicate, Malt Extract, Manicouagan Clay, Melaleuca Alternifolia (Tea Tree) Leaf Water, Polyvinyl Alcohol, Raspberry Ketone, Salix Alba Bark Extract (Organic Willow Bark), Silica, Titanium Dioxide, Water, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/8342A735FFD23A/large_1725030016.jpeg?1725030016,https://www.skinsafeproducts.com/some-by-mi-super-match-pore-clean-clay-mask-3-52-oz-100-g
1201-1400.csv,"Some By Mi Yuja Niacin Brightening Moisture Gel Cream, 3.38 oz/100 mL",Some By MI,Face,Gels,"(-)-Alpha-Bisabolol, 1,2-Hexanediol, Adenosine, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Arbutin, Arginine, Artemisia Princeps Leaf Extract, Ascorbic Acid, Ascorbyl Glucoside, Ascorbyl Tetraisopalmitate, Asiatic Acid, Asiaticoside, Benzyl Glycol, Biotin, Butylene Glycol, C12-13 Alketh-9, Carbomer, Centella Asiatica Extract, Centella Asiatica Leaf Extract, Cetearyl Olivate, Citrus Junos Fruit Extract, Citrus Junos Peel Oil, Coptis Japonica Extract, Cyanocobalamin, Dipropylene Glycol, Ethylhexyl Olivate, Ethylhexylglycerin, Glutathione, Limonene, Linalool, Madecassic Acid, Madecassoside, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Melaleuca Alternifolia (Tea Tree) Leaf Water, Menadione, Nelumbo Nucifera Flower Extract, Panthenol, Polyglyceryl-4 Oleate, Polygonum Cuspidatum Root Extract, Raspberry Ketone, Sodium Acrylates Copolymer, Sorbitan Olivate, Thuja Orientalis Leaf Extract, Tocopherol, Water, Zanthoxylum Piperitum Fruit Extract",https://cdn1.skinsafeproducts.com/photo/808366EE57FFEB/large_1689928782.jpeg?1689928782,https://www.skinsafeproducts.com/some-by-mi-yuja-niacin-brightening-moisture-gel-cream-3-38-oz-100-ml
1401-1600.csv,"Some By MI Real Hyaluron Hydra Care Mask, 0.70 oz/20 g",Some By MI,Skin Treatments,Facial Masks,"1,2- Hexanediol, Aloe Barbadensis Flower Extract, Ammonium Polyacryloyldimethyl Taurate, Betaine, Caprylyl Glycol, Citrus Aurantium Dulcis (Orange) Peel Oil, Citrus Limon (Lemon) Peel Oil¹, Coccinia Indica Fruit Extract, Corallina Officinalis Extract, Curcuma Longa (Turmeric) Root Extract, Dipotassium Glycyrrhizate, Dipropylene Glycol, Disodium Edta, Ethylhexylglycerin, Glycerin, Hyaluronic Acid, Hydroxyacetophenone, Limonene, Melia Azadirachta Flower Extract, Melia Azadirachta Leaf Extract, Ocimum Sanctum Leaf Extract, Panthenol, Pelargonium Graveolens Flower Oil, Polyglyceryl-10 Laurate, Propanediol, Rosmarinus Officinalis (Rosemary) Leaf Extract+, Sodium Hyaluronate, Solanum Melongena (Eggplant) Fruit Extract, T-Butyl Alcohol, Tocopherol, Water/Aqua",https://cdn1.skinsafeproducts.com/photo/90947EBF8B2621/large_1757483474.pngpng?1757483474,https://www.skinsafeproducts.com/some-by-mi-real-hyaluron-hydra-care-mask-0-70-oz-20-g
2001-2200.csv,"Some By MI Galactomyces Pure Vitamin C Glow Serum, 1.01 fl oz/30 mL",Some By MI,Skin Treatments,Serums,"1,2-Hexanediol, Adansonia Digitata Seed Extract, Adenosine, Allantoin, Aronia Melanocarpa Fruit Extract, Ascorbic Acid, Aspalathus Linearis Extract, Astaxanthin, Bambusa Vulgaris Extract, Biotin, Brassica Oleracea Italica (Broccoli) Extract, Butylene Glycol, C12-14 Alketh-12, Calendula Officinalis Flower Extract, Caprylic/Capric Triglyceride, Caramel, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Cyanocobalamin, Dipropylene Glycol, Ethylhexylglycerin, Euterpe Oleracea Fruit Extract, Ficus Carica (Fig) Fruit Extract, Folic Acid, Galactomyces Ferment Filtrate, Glycerin, Glyceryl Acrylate/Acrylic Acid Copolymer, Houttuynia Cordata Extract, Hydrogenated Lecithin, Hydroxyethylcellulose, Inositol, Lavandula Angustifolia (Lavender) Oil, Leuconostoc/Radish Root Ferment Filtrate, Limonene, Linalool, Linoleic Acid, Maltodextrin, Niacinamide, Opuntia Coccinellifera Fruit Extract, Opuntia Ficus-Indica Extract, Panthenol, Phenylethyl Resorcinol, Phoenix Dactylifera (Date) Fruit Extract, Polyglyceryl-10 Stearate, Propolis Extract, Pvm/Ma Copolymer, Pyridoxine, Ribes Nigrum (Black Currant) Fruit Extract, Rubus Fruticosus (Blackberry) Fruit Extract, Rubus Idaeus (Raspberry) Fruit Extract, Saccharide Hydrolysate, Sodium Ascorbyl Phosphate, Sodium Hyaluronate, Sparassis Crispa Extract, Spirulina Maxima Extract, Thiamine Hcl, Tocopherol, Trehalose, Tromethamine, Tuber Magnatum Extract, Vaccinium Angustifolium (Blueberry) Fruit Extract, Vaccinium Macrocarpon (Cranberry) Fruit Extract, Vaccinium Myrtillus Fruit Extract, Water, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/0B54CEF4B8A472/large_1750946942.pngpng?1750946942,https://www.skinsafeproducts.com/some-by-mi-galactomyces-pure-vitamin-c-glow-serum-1-01-fl-oz-30-ml
201-400.csv,"SOME BY MI 30 Days Miracle Clear Spot Patch - Pack of 1, 18 Counts e (10mm 9Counts, 12mm 9Counts) - Hydrocolloid Acne, Zit and Pimple Patches",Some By MI,Skin Care,Acne Care (OTC),"Cellulose Gum, Polyisobutene, Polyisoprene, Polyurethane-9",https://cdn1.skinsafeproducts.com/photo/896CF54F1B3CDD/large_1697831307.jpeg?1697831307,https://www.skinsafeproducts.com/some-by-mi-30-days-miracle-clear-spot-patch-pack-of-1-18-counts-e-10mm-9counts-12mm-9counts-hydrocolloid-acne-zit-and-pimple-patches
201-400.csv,"Some By Mi AHA BHA PHA Miracle Calming Body Lotion, 6.76 fl oz/200 mL",Some By MI,Body,Lotions,"1,2-Hexanediol, Adenosine, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Artemisia Capillaris Extract, Asiatic Acid, Asiaticoside, Betaine, Butylene Glycol, C13-15 Alkane, Caprylic/Capric Triglyceride, Capryloyl Salicylic Acid, Carbomer, Centella Asiatica Extract, Chamaecyparis Obtusa Water, Citric Acid, Ethylhexylglycerin, Eucalyptus Globulus Leaf Extract, Gluconolactone, Glycerin, Hippophae Rhamnoides Fruit Extract, Houttuynia Cordata Extract, Limonene, Madecassic Acid, Madecassoside, Melaleuca Alternifolia (Tea Tree) Leaf Extract, Methylpropanediol, Niacinamide, Polyglyceryl-3 Methylglucose Distearate, Portulaca Oleracea Extract, Rosa Canina Fruit Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Rosmarinus Officinalis (Rosemary) Leaf Oil, Salicylic Acid, Tocopherol, Tromethamine, Water",https://cdn1.skinsafeproducts.com/photo/38662BE942F803/large_1755977150.jpeg?1755977150,https://www.skinsafeproducts.com/some-by-mi-aha-bha-pha-miracle-calming-body-lotion-6-76-fl-oz-200-ml
201-400.csv,"Some By MI Beta-Panthenol Repair Cream, 1.69 fl oz/50 mL",Some By MI,Face,Creams,"1,2-Hexanediol, Acetyl Hexapeptide-8, Acetyl Octapeptide-3, Acetyl Tetrapeptide-2, Acetyl Tetrapeptide-3, Acetyl Tetrapeptide-5, Acetyl Tetrapeptide-9, Adenosine, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Beta-Sitosterol, Betaine, Bifida Ferment Lysate, Biosaccharide Gum-1, Butylene Glycol, Butyrospermum Parkii (Shea) Butter, Candida Bombicola/Glucose/Methyl Rapeseedate Ferment, Carnosine, Carthamus Tinctorius (Safflower) Seed Oil, Cetearyl Olivate, Cetyl Alcohol, Citric Acid, Copper Tripeptide-1, Cucumis Melo (Melon) Fruit Extract, Dipotassium Glycyrrhizate, Dipropylene Glycol, Disodium Phosphate, Ethylhexylglycerin, Glycerin, Glyceryl Stearate, Hedera Helix (Ivy) Leaf/Stem Extract, Helianthus Annuus (Sunflower) Seed Oil, Helianthus Annuus (Sunflower) Seed Wax, Hydrogenated Lecithin, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Hydroxyethylcellulose, Jojoba Esters, Lactobacillus Ferment Lysate, Lactococcus Ferment Lysate, Methylpropanediol, Musa Sapientum (Banana) Fruit Extract, Nonapeptide-1, Octyldodecanol, Palmitic Acid, Palmitoyl Pentapeptide-4, Palmitoyl Tripeptide-1, Palmitoyl Tripeptide-5, Panthenol, Phytosterols, Polyglycerin-3, Polymethylsilsesquioxane, Propanediol, Prunus Domestica Fruit Extract, Pyrus Communis (Pear) Fruit Extract, Rosa Damascena Flower Water, Sodium Phosphate, Sodium Phytate, Sodium Stearoyl Glutamate, Sorbitan Isostearate, Sorbitan Olivate, Squalane, Stearic Acid, Stearyl Alcohol, Tocopherol, Vinyl Dimethicone, Water (Aqua), Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/5CF464A3195B99/large_1753023361.jpeg?1753023361,https://www.skinsafeproducts.com/some-by-mi-beta-panthenol-repair-cream-1-69-fl-oz-50-ml
201-400.csv,"Some By MI AHA.BHA.PHA 30 Days Miracle Truecica Clear Pad, 4.22 fl oz/125 mL, 70 Count",Some By MI,Toners & Astringents,Toners,"1.2-Hexanediol, Arginine, Artemisia Princeps Leaf Extract, Asiatic Acid, Asiaticoside, Betaine Salicylate, Butylene Glycol, Centella Asiatica Extract, Centella Asiatica Leaf Extract, Chamaecyparis Obtusa Leaf Extract, Citric Acid, Ethylhexylglycerin, Glycerin, Houttuynia Cordata Extract, Lactobionic Acid, Madecassic Acid, Madecassoside, Melaleuca Alternifolia (Tea Tree) Leaf Water, Melia Azadirachta Flower Extract, Melia Azadirachta Leaf Extract, Mentha Piperita (Peppermint) Oil, Opuntia Ficus-Indica Extract, Panthenol, Peg-60 Hydrogenated Castor Oil, Raspberry Ketone, Salix Alba (Willow) Bark Water, Sodium Hyaluronate",https://cdn1.skinsafeproducts.com/photo/4343A2388461BF/large_1749428132.jpeg?1749428132,https://www.skinsafeproducts.com/some-by-mi-aha-bha-pha-30-days-miracle-truecica-clear-pad-4-22-fl-oz-125-ml-70-count
401-600.csv,"Some BY MI AHA.BHA.PHA 30 Days Miracle Toner, 150 ml",Some By MI,Toners & Astringents,Toners,"1,2-Hexanediol, Adenosine, Allantoin, Benzyl Glycol, Butylene Glycol, Caprylyl Glycol, Carica Papaya (Papaya) Fruit Extract, Citric Acid, Dipropylene Glycol, Ethyl Hexanediol, Ethylhexylglycerin, Fructan, Glycerin, Hamamelis Virginiana (Witch Hazel) Extract, Hydroxyethyl Urea, Lactobionic Acid, Lens Esculenta (Lentil) Seed Extract, Melaleuca Alternifolia (Tea Tree) Leaf Extract, Mentha Piperita (Peppermint) Oil, Nelumbo Nucifera Flower Extract, Niacinamide, Pentylene Glycol, Phenoxyethanol, Polyglyceryl-4 Caprate, Raspberry Ketone, Salicylic Acid, Sodium Citrate, Sodium Hyaluronate, Swiftlet Nest Extract, Water, Xylitol",https://cdn1.skinsafeproducts.com/photo/C4E265926B4851/large_1620159477.jpeg?1620159477,https://www.skinsafeproducts.com/some-by-mi-aha-bha-pha-30-days-miracle-toner-150-ml
