File,product_name,brand,usage_type,category,ingredients,image_url,product_url
1-200.csv,"The Inkey List Ceramide Serum, 1.0 fl oz/30 mL",The Inkey List,Skin Treatments,Serums,"Alanine, Arginine, Aspartic Acid, Benzyl Alcohol, Butylene Glycol, Carbomer, Ceramide Ap, Ceramide Eop, Ceramide Np, Cholesterol, Dehydroacetic Acid, Ethylhexylglycerin, Glycerin, Glycine, Histidine, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Isoleucine, Pca, Phenoxyethanol, Phenylalanine, Phytosphingosine, Polysorbate 60, Proline, Serine, Simmondsia Chinensis (Jojoba) Seed Oil, Sodium Gluconate, Sodium Hyaluronate, Sodium Hydroxide, Sodium Lactate, Sodium Lauroyl Lactylate, Sodium Pca, Sodium Stearoyl Glutamate, Sorbitan Isostearate, Squalane, Threonine, Valine, Water (Aqua/Eau), Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/B4399F56A8B186/large_1732059609.jpeg?1732059609,https://www.skinsafeproducts.com/the-inkey-list-ceramide-serum-1-0-fl-oz-30-ml
1-200.csv,"The Inkey List Hyaluronic Acid Serum, 1.0 fl oz/30 mL",The Inkey List,Skin Treatments,Serums,"Ammonium Acryloyldimethyltaurate/Vp Copolymer, Butylene Glycol, Carbomer, Glycerin, Hyaluronic Acid, Leuconostoc/Radish Root Ferment Filtrate, Palmitoyl Tetrapeptide-7, Palmitoyl Tripeptide-1, Phenoxyethanol, Polysorbate 20, Propanediol, Sodium Hyaluronate, Sodium Lactate, Water (Aqua /Eau)",https://cdn1.skinsafeproducts.com/photo/ADE26CF930FE20/large_1703049537.pngpng?1703049537,https://www.skinsafeproducts.com/the-inkey-list-hyaluronic-acid-serum-1-0-fl-oz-30-ml
1-200.csv,"The Inkey List Niacinamide Serum, Treat, 1 fl oz/30 mL",The Inkey List,Skin Treatments,Serums,"Allantoin, Butylene Glycol, Citric Acid, Disodium Phosphate, Glycerin, Glycine Soja (Soybean) Oil, Glycine Soja (Soybean) Sterols, Glycolipids, Hyaluronic Acid, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Hydroxyethylcellulose, Leuconostoc/Radish Root Ferment Filtrate, Niacinamide, Panthenol, Phenoxyethanol, Phospholipids, Polysorbate 60, Propanediol, Sodium Phosphate, Sodium Phytate, Sorbitan Isostearate, Squalane, Water (Aqua/Eau), Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/C5CE51123D829A/large_1698991071.pngpng?1698991071,https://www.skinsafeproducts.com/the-inkey-list-niacinamide-serum-treat-1-fl-oz-30-ml
1-200.csv,"The Inkey List Retinol Anti-Aging Serum, Treat, 1 fl oz/30 mL",The Inkey List,Anti-Aging/Anti-Wrinkle,Anti-Aging,"Aqua (Water), Butylene Glycol, Caprylyl Glycol, Carbomer, Dicaprylyl Carbonate, Dimethicone, Dimethyl Isosorbide, Glycerin, Glycine Soja (Soybean) Oil, Glycine Soja (Soybean) Sterols, Glycolipids, Hyaluronic Acid, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Hydroxypinacolone Retinoate, Leuconostoc/Radish Root Ferment Filtrate, Palmitoyl Tetrapeptide-7, Palmitoyl Tripeptide-1, Phenoxyethanol, Phospholipids, Polysorbate 20, Polysorbate 60, Propanediol, Retinyl Acetate, Sodium Hydroxide, Sodium Lactate, Sorbitan Isostearate, Squalane, Tetrahexyldecyl Ascorbate, Tetrasodium Glutamate Diacetate, Tocopherol, Tocopheryl Acetate",https://cdn1.skinsafeproducts.com/photo/C71779A8D83C7E/large_1687441678.jpeg?1687441678,https://www.skinsafeproducts.com/the-inkey-list-retinol-anti-aging-serum-treat-1-fl-oz-30-ml
1-200.csv,"The Inkey List Succinic Acid Acne Treatment, 0.5 fl oz/15 mL",The Inkey List,Skin Care,Acne Care (OTC),"Benzyl Alcohol, Caprylic/Capric Triglyceride, Cetearyl Alcohol, Ci 75810 (Chlorophyllin-Copper Complex), Colloidal Sulfur, Dehydroacetic Acid, Ethylhexylglycerin, Glycerin, Glyceryl Stearate Se, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Malachite Extract, Phenoxyethanol, Polysorbate 60, Salicylic Acid, Sodium Hyaluronate, Sodium Hydroxide, Sorbitan Isostearate, Squalane, Stearic Acid, Succinic Acid, Trisodium Ethylenediamine Disuccinate, Water (Aqua/Eau)",https://cdn1.skinsafeproducts.com/photo/6B855952EBA28A/large_1643688967.pngpng?1643688967,https://www.skinsafeproducts.com/the-inkey-list-succinic-acid-acne-treatment-0-5-fl-oz-15-ml
1-200.csv,"The Inkey List Oat Cleansing Balm, 5 fl oz/150 mL",The Inkey List,Cleansers,Facial Cleansers,"1,2-Hexanediol, Ascorbyl Palmitate, Avena Sativa (Oat) Kernel Flour, Avena Sativa (Oat) Kernel Oil, Benzyl Alcohol, Biosaccharide Gum-4, Candelilla Cera (Cire De Candelilla), Cetearyl Alcohol, Helianthus Annuus (Sunflower) Seed Oil, Lecithin, Peg-6 Caprylic/Capric Glycerides, Peg-60 Almond Glycerides, Phenoxyethanol, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Silica, Sorbitan Stearate, Tocopherol, Tribehenin, Water (Aqua/Eau)",https://cdn1.skinsafeproducts.com/photo/0989C689E88B2D/large_1627549220.jpeg?1627549220,https://www.skinsafeproducts.com/the-inkey-list-oat-cleansing-balm-5-fl-oz-150-ml
1-200.csv,"The Inkey List Brightening Cleanser, Fulvic Acid, 5.0 fl oz/150 mL",The Inkey List,Facial Cleansers,Facial Washes,"Aloe Barbadensis Leaf Juice, Benzyl Alcohol, Butylene Glycol, Caprylic/Capric Triglyceride, Coco-Glucoside, Dehydroacetic Acid, Glycerin, Glycyrrhiza Glabra (Licorice) Root Extract, Helianthus Annuus (Sunflower) Seed Oil, Lauryl Glucoside, Peat, Phenoxyethanol, Potassium Sorbate, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Sodium Cocoamphoacetate, Sodium Cocoyl Glutamate, Sodium Lauryl Glucose Carboxylate, Terminalia Ferdinandiana Fruit Extract, Trisodium Ethylenediamine Disuccinate, Water (Aqua/Eau), Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/B72BCC5AFA4816/large_1730782639.pngpng?1730782639,https://www.skinsafeproducts.com/the-inkey-list-brightening-cleanser-fulvic-acid-5-0-fl-oz-150-ml
1-200.csv,"The Inkey List Salicylic Acid Cleanser, 5.0 fl oz/150 mL",The Inkey List,Facial Cleansers,Facial Washes,"Allantoin, Aqua (Water), Benzyl Alcohol, Betaine, Citric Acid, Cocamidopropyl Betaine, Coco-Glucoside, Coconut Acid, Dehydroacetic Acid, Ethylhexylglycerin, Glycerin, Glyceryl Oleate, Hydrogenated Palm Glycerides Citrate, Peg-120 Methyl Glucose Dioleate, Peg-150 Pentaerythrityl Tetrastearate, Peg-6 Caprylic/Capric Glycerides, Phenoxyethanol, Propanediol, Salicylic Acid, Sodium Benzoate, Sodium Chloride, Sodium Hydroxide, Sodium Methyl Cocoyl Taurate, Tocopherol, Trisodium Ethylenediamine Disuccinate, Zinc Pca",https://cdn1.skinsafeproducts.com/photo/EB834F3950F268/large_1702412635.pngpng?1702412635,https://www.skinsafeproducts.com/the-inkey-list-salicylic-acid-cleanser-5-0-fl-oz-150-ml
1-200.csv,The Inkey List Caffeine Eye Cream,The Inkey List,"Eye Cream, Gel, Oils, & Serum",Creams,"Albizia Julibrissin Bark Extract, Butylene Glycol, Caffeine, Carbomer, Cetyl Alcohol, Citric Acid, Darutoside, Dicaprylyl Carbonate, Ethylhexylglycerin, Glycerin, Glyceryl Behenate, Glycine Soja (Soybean) Oil, Glycine Soja (Soybean) Sterols, Glycolipids, Hyaluronic Acid, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Jojoba Esters, Leuconostoc/Radish Root Ferment Filtrate, Palmitoyl Tetrapeptide-7, Palmitoyl Tripeptide-1, Phenoxyethanol, Phospholipids, Polyglyceryl-3 Beeswax, Polyglyceryl-6 Distearate, Polysorbate 20, Polysorbate 60, Propanediol, Sodium Benzoate, Sodium Lactate, Sodium Phytate, Sorbitan Isostearate, Squalane, Tocopherol, Water (Aqua Eau), Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/61521E95FA1330/large_1699398436.jpegjpg?1699398436,https://www.skinsafeproducts.com/the-inkey-list-caffeine-eye-cream-0
1-200.csv,"The Inkey List Oat Cleansing Balm, 1.7 fl oz",The Inkey List,Cleansers,Facial Cleansers,"1,2-Hexanediol, Aqua (Water/Eau), Ascorbyl Palmitate, Avena Sativa (Oat) Kernel Flour, Avena Sativa (Oat) Kernel Oil, Benzyl Alcohol, Biosaccharide Gum-4, Candelilla Cera (Cire De Candelilla), Cetearyl Alcohol, Helianthus Annuus (Sunflower) Seed Oil, Lecithin, Peg-6 Caprylic/Capric Glycerides, Peg-60 Almond Glycerides, Phenoxyethanol, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Silica, Sorbitan Stearate, Tocopherol, Tribehenin",https://cdn1.skinsafeproducts.com/photo/E7EABBD3483BC6/large_1681840910.jpeg?1681840910,https://www.skinsafeproducts.com/the-inkey-list-oat-cleansing-balm-1-7-fl-oz
