File,product_name,brand,usage_type,category,ingredients,image_url,product_url
1-200.csv,"The Ordinary A High-Strength Serum, Alpha Arbutin 2% + Ha, 1 fl oz/30 mL",The Ordinary,Skin Treatments,Serums,"Alpha-Arbutin, Aqua (Water), Chlorphenesin, Citric Acid, Ergothioneine, Ethoxydiglycol, Hydrolyzed Sodium Hyaluronate, Phenoxyethanol, Polyacrylate Crosspolymer-6, Polysorbate 20, Propanediol, Sodium Citrate, Sodium Hydroxide, Sodium Metabisulfite, Trisodium Ethylenediamine Disuccinate",https://cdn1.skinsafeproducts.com/photo/0AEE1CF0720FA0/large_1739422596.pngpng?1739422596,https://www.skinsafeproducts.com/the-ordinary-a-high-strength-serum-alpha-arbutin-2-ha-1-fl-oz-30-ml
1-200.csv,"The Ordinary Niacinamide 10% + Zinc 1%, 2 fl oz/60 mL",The Ordinary,Skin Treatments,Serums,"Aqua (Water), Chlorphenesin, Dimethyl Isosorbide, Ethoxydiglycol, Isoceteth-20, Niacinamide, Pentylene Glycol, Phenoxyethanol, Tamarindus Indica Seed Gum, Xanthan Gum, Zinc Pca",https://cdn1.skinsafeproducts.com/photo/7579EDD540514E/large_1581914917.jpeg?1581914917,https://www.skinsafeproducts.com/the-ordinary-niacinamide-10-zinc-1-60-ml-2-fl-oz
1-200.csv,"The Ordinary Ascorbyl Tetraisopalmitate Solution 20% in Vitamin F, 30ml",The Ordinary,Skin Treatments,Serums,"Coco-Caprylate/Caprate, Coconut Alkanes, Ethyl Linoleate, Simmondsia Chinensis (Jojoba) Seed Oil, Solanum Lycopersecum (Tomato) Fruit Extract, Squalane, Tetrahexyldecyl Ascorbate",https://cdn1.skinsafeproducts.com/photo/DEEED856C6CD69/large_1593815093.jpeg?1593815093,https://www.skinsafeproducts.com/the-ordinary-ascorbyl-tetraisopalmitate-solution-20-in-vitamin-f-30ml
1-200.csv,The Ordinary Ascorbyl Glucoside Solution 12% 30ml,The Ordinary,Skin Care,Skin Treatments,"1, 2-Hexanediol, Aminomethyl Propanol, Ascorbyl Glucoside, Caprylyl Glycol, Dimethyl Isosorbide, Ethoxydiglycol, Isoceteth-20, Propanediol, Triethanolamine, Trisodium Ethylenediamine Disuccinate, Water\Aqua\Eau, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/3FE674B20F49C1/large_1575572325.jpeg?1575572325,https://www.skinsafeproducts.com/the-ordinary-ascorbyl-glucoside-solution-12-30ml-0
1-200.csv,"The Ordinary 100% Organic Cold-Pressed Moroccan Argan Oil, 30ml",The Ordinary,Face,Oils,Argania Spinosa Kernel Oil,https://cdn1.skinsafeproducts.com/photo/860D0F6A4B0B7F/large_1563654664.jpeg?1563654664,https://www.skinsafeproducts.com/the-ordinary-100-organic-cold-pressed-moroccan-argan-oil-30ml
1-200.csv,The Ordinary Retinol 0.5% in Squalane - 30ml,The Ordinary,Skin Treatments,Serums,"Bht, Caprylic/Capric Triglyceride, Retinol, Simmondsia Chinensis (Jojoba) Seed Oil, Solanum Lycopersicum (Tomato) Fruit Extract, Squalane",https://cdn1.skinsafeproducts.com/photo/C18C274770DFB6/large_1550667685.jpeg?1550667685,https://www.skinsafeproducts.com/the-ordinary-retinol-0-5-in-squalane-30ml
1-200.csv,The Ordinary Resveratrol 3% + Ferulic Acid 3% Antioxidant 1 fl oz / 30ml,The Ordinary,Skin Treatments,Serums,"Ferulic Acid, Propanediol, Resveratrol",https://cdn1.skinsafeproducts.com/photo/1E4DA91D888972/large_1543671580.jpeg?1543671580,https://www.skinsafeproducts.com/the-ordinary-resveratrol-3-ferulic-acid-3-antioxidant-1-fl-oz-30ml
1-200.csv,"The Ordinary 100% Cold-Pressed Virgin Marula Oil, 1 fl oz/30 mL",The Ordinary,Skin Treatments,Serums,Sclerocarya Birrea Seed Oil,https://cdn1.skinsafeproducts.com/photo/8FAEF9E0B3D9D1/large_1543804290.jpegjpg?1543804290,https://www.skinsafeproducts.com/the-ordinary-100-cold-pressed-virgin-marula-oil-30-ml
1-200.csv,The Ordinary Niacinamide 10% + Zinc 1% 1 fl oz/30 mL,The Ordinary,Skin Care,Skin Treatments,"Chlorphenesin, Dimethyl Isosorbide, Ethoxydiglycol, Isoceteth-20, Niacinamide, Pentylene Glycol, Phenoxyethanol, Tamarindus Indica Seed Gum, Water\Aqua\Eau, Xanthan Gum, Zinc Pca",https://cdn1.skinsafeproducts.com/photo/DDECFAB5021EF4/large_1529532738.jpeg?1529532738,https://www.skinsafeproducts.com/product-for-upc-769915190311
1-200.csv,"The Ordinary Vitamin C Suspension 23% + HA Spheres 2%, 30ml",The Ordinary,Moisturizers,Face,"Acrylates/Ethylhexyl Acrylate Crosspolymer, Ascorbic Acid, Bht, Butylene/Ethylene/Styrene Copolymer, Coco-Caprylate/Caprate, Coconut Alkanes, Ethylene/Propylene/Styrene Copolymer, Ethylhexyl Palmitate, Glucomannan, Isodecyl Neopentanoate, Isononyl Isononanoate, Silica Dimethyl Silylate, Sodium Hyaluronate, Squalane, Trihydroxystearin",https://cdn1.skinsafeproducts.com/photo/1B00A2E5FAD6DD/large_1521345959.jpeg?1521345959,https://www.skinsafeproducts.com/the-ordinary-vitamin-c-suspension-23-ha-spheres-2-30ml
