File,product_name,brand,usage_type,category,ingredients,image_url,product_url
1-200.csv,"Torriden Dive-In Low Molecular Skin Booster, Hyaluronic Acid, 6.76 fl oz/200 mL",Torriden,Skin Treatments,Essence,"1,2-Hexanediol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Allantoin, Anthemis Nobilis Flower Extract, Butylene Glycol, C12-20 Alkyl Glucoside, C14-22 Alcohols, Caprylic/Capric Triglyceride, Ceramide Np, Disodium Edta, Ethylhexylglycerin, Glycereth-26, Glycerin, Glyceryl Acrylate/Acrylic Acid Copolymer, Hamamelis Virginiana (Witch Hazel) Leaf Extract, Hydrolyzed Hyaluronic Acid, Hydrolyzed Sodium Hyaluronate, Malachite Extract, Paeonia Suffruticosa Root Extract, Panthenol, Pentylene Glycol, Phytosphingosine, Pvm/Ma Copolymer, Scutellaria Baicalensis Root Extract, Sodium Acetylated Hyaluronate, Sodium Hyaluronate, Sodium Hyaluronate Crosspolymer, Trehalose, Tromethamine, Water, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/DF0690CF88CA3A/large_1732403892.jpeg?1732403892,https://www.skinsafeproducts.com/torriden-dive-in-low-molecular-skin-booster-hyaluronic-acid-6-76-fl-oz-200-ml
1-200.csv,"Torriden Dive In Low Molecular Hyaluronic Acid Mask, 0.91 fl oz/27 mL, 10 Count",Torriden,Skin Treatments,Facial Masks,"1,2-Hexanediol, Allantoin, Butylene Glycol, Calendula Officinalis Flower Extract, Carbomer, Chamomilla Recutita (Matricaria) Flower Extract, Coccinia Indica Fruit Extract, Corallina Officinalis Extract, Curcuma Longa (Turmeric) Root Extract, Dipropylene Glycol, Ethylhexylglycerin, Glycerin, Glyceryl Acrylate/Acrylic Acid Copolymer, Hydrolyzed Hyaluronic Acid, Hydrolyzed Sodium Hyaluronate, Hydroxyacetophenone, Malachite Extract, Melia Azadirachta Flower Extract, Melia Azadirachta Leaf Extract, Ocimum Sanctum Leaf Extract, Panthenol, Pentylene Glycol, Portulaca Oleracea Extract, Pvm/Ma Copolymer, Saccharide Isomerate, Sodium Acetylated Hyaluronate, Sodium Hyaluronate, Sodium Hyaluronate Crosspolymer, Solanum Melongena (Eggplant) Fruit Extract, Trehalose, Tromethamine, Water, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/81B54340428ED2/large_1717576200.pngpng?1717576200,https://www.skinsafeproducts.com/torriden-dive-in-low-molecular-hyaluronic-acid-mask-0-91-fl-oz-27-ml-10-count
1-200.csv,"Torriden Dive In Hyaluronic Acid Soothing Cream, 3.38 fl oz/100 mL",Torriden,Face,Creams,"1,2-Hexanediol, Alcohol, Allantoin, Borago Officinalis Extract, Butylene Glycol, C12-20 Alkyl Glucoside, C14-22 Alcohols, Caprylic/ Capric Triglyceride, Carbomer, Centaurea Cyanus Flower Extract, Chamomilla Recutita (Matricaria) Flower Extract, Coccinia Indica Fruit Extract, Disodium Edta, Ethylhexylglycerin, Glutathione, Glycerin, Hamamelis Virginiana (Witch Hazel) Extract, Hyacinthus Orientalis (Hyacinthus) Extract, Hydrogenated Didecene, Hydrolyzed Hyaluronic Acid, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Lavandula Angustifolia (Lavender) Flower Extract, Malachite Extract, Melia Azadirachta Flower Extract, Melia Azadirachta Leaf Extract, Ocimum Sanctum Leaf Extract, Panthenol, Pentylene Glycol, Pvm/Ma Copolymer, Sodium Acetylated Hyaluronate, Sodium Hyaluronate, Sodium Hyaluronate Crosspolymer, Solanum Melongena (Eggplant) Fruit Extract, Sorbitan Isostearate, Trehalose, Tromethamine, Water, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/F91B6B1C041896/large_1704734747.jpeg?1704734747,https://www.skinsafeproducts.com/torriden-dive-in-hyaluronic-acid-soothing-cream-3-38-fl-oz-100-ml
1-200.csv,"Torriden Dive In Serum Low Molecular Hyaluronic Acid, 1.69 fl oz/50 mL",Torriden,Skin Treatments,Serums,"1,2-Hexanediol, Allantoin, Beta-Glucan, Betaine, Butylene Glycol, Carbomer, Ceramide Np, Cholesterol, Dipropylene Glycol, Ethylhexylglycerin, Glycerin, Glyceryl Acrylate/Acrylic Acid Copolymer, Hamamelis Virginiana (Witch Hazel) Leaf Extract, Hydrolyzed Hyaluronic Acid, Hydrolyzed Sodium Hyaluronate, Madecassic Acid, Madecassoside, Malachite Extract, Paeonia Suffruticosa Root Extract, Panthenol, Pentylene Glycol, Polyglyceryl-10 Laurate, Portulaca Oleracea Extract, Propanediol, Pvm/Ma Copolymer, Scutellaria Baicalensis Root Extract, Sodium Acetylated Hyaluronate, Sodium Hyaluronate, Sodium Hyaluronate Crosspolymer, Trehalose, Tromethamine, Water, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/3C1D7A31DA64FA/large_1689931878.pngpng?1689931878,https://www.skinsafeproducts.com/torriden-dive-in-serum-low-molecular-hyaluronic-acid-1-69-fl-oz-50-ml
1001-1200.csv,"Torriden Cellmazing Firming Gel Mask, 1.58 oz/45 g",Torriden,Skin Treatments,Facial Masks,"1,2-Hexanediol, Adenosine, Alanine, Allantoin, Arginine, Aspartic Acid, Betaine, Biotin, Butylene Glycol, Camellia Sinensis Leaf Extract, Caprylic/Capric Triglyceride, Caprylyl Glycol, Carthamus Tinctorius (Safflower) Flower Extract, Castanea Crenata (Chestnut) Shell Extract, Cellulose Gum, Ceratonia Siliqua (Carob) Gum, Chondrus Crispus Powder, Coffea Arabica (Coffee) Seed Extract, Collagen Amino Acids, Collagen Extract, Cyamopsis Tetragonoloba (Guar) Gum, Cysteine, Dextrin, Dimethylsilanol Hyaluronate, Diospyros Kaki Leaf Extract, Ethylhexylglycerin, Glucomannan, Glutamic Acid, Glycerin, Glyceryl Stearate, Glycine, Hexapeptide-2, Histidine, Hyaluronic Acid, Hydrolyzed Collagen, Hydrolyzed Hyaluronic Acid, Hydrolyzed Sodium Hyaluronate, Hydroxyacetophenone, Hydroxypropyltrimonium Hyaluronate, Isoleucine, Kaolin (Ci 77004), Leucine, Lysine, Methionine, Niacinamide, Palmitoyl Tripeptide-5, Panthenol, Phenylalanine, Polyglyceryl-10 Laurate, Polyglyceryl-3 Methylglucose Distearate, Polygonum Cuspidatum Root Extract, Potassium Chloride, Potassium Hyaluronate, Proline, Propanediol, Serine, Sodium Acetylated Hyaluronate, Sodium Hyaluronate, Sodium Hyaluronate Crosspolymer, Sodium Hyaluronate Dimethylsilanol, Sodium Polyacrylate, Sodium Polyacryloyldimethyl Taurate, Soluble Collagen, Threonine, Tocopherol, Tyrosine, Valine, Vitis Vinifera (Grape) Fruit Extract, Water, Xanthan Gum, Zanthoxylum Piperitum Fruit Extract",https://cdn1.skinsafeproducts.com/photo/CF9DB59766D126/large_1744434054.pngpng?1744434054,https://www.skinsafeproducts.com/torriden-cellmazing-firming-gel-mask-1-58-oz-45-g
1601-1800.csv,"Torriden Balanceful Modeling Pack, 30 g",Torriden,Skin Treatments,Facial Masks,"1,2-Hexanediol, Algin, Allantoin, Althaea Rosea Flower Extract, Asiatic Acid, Asiaticoside, Betaine, Butylene Glycol, Calcium Sulfate, Carthamus Tinctorius (Safflower) Flower Extract, Centella Asiatica Extract, Chlorella Vulgaris Powder, Dextrin, Diatomaceous Earth, Gardenia Florida Fruit Extract, Glucose, Glycerin, Kaolin, Lactobacillus Ferment, Madecassic Acid, Madecassoside, Melaleuca Alternifolia (Tea Tree) Leaf Extract, Nymphaea Caerulea Flower Extract, Panthenol, Sodium Dehydroacetate, Sodium Hyaluronate, Swertia Japonica Extract, Tetrasodium Pyrophosphate, Trehalose, Water, Xylitol",https://cdn1.skinsafeproducts.com/photo/5CDCB326723E3A/large_1743494946.pngpng?1743494946,https://www.skinsafeproducts.com/torriden-balanceful-modeling-pack-30-g
1601-1800.csv,"Torriden Dive In Soothing Cream, 2.70 fl oz/50 mL",Torriden,Face,Creams,"1,2-Hexanediol, 2,3-Butanediol, Allantoin, Borago Officinalis Extract, Butylene Glycol, C12-20 Alkyl Glucoside, C14-22 Alcohols, Caprylic/Capric Triglyceride, Carbomer, Centaurea Cyanus Flower Extract, Cetearyl Alcohol, Chamomilla Recutita (Matricaria) Flower Extract, Coccinia Indica Fruit Extract, Corallina Officinalis Extract, Curcuma Longa (Turmeric) Root Extract, Disodium Edta, Ethylhexylglycerin, Glutathione, Glycerin, Glyceryl Acrylate/Acrylic Acid Copolymer, Hamamelis Virginiana (Witch Hazel) Extract, Hyacinthus Orientalis (Hyacinth) Extract, Hydrogenated Didecene, Hydrolyzed Hyaluronic Acid, Hydrolyzed Sodium Hyaluronate, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Lavandula Angustifolia (Lavender) Flower Extract, Malachite Extract, Melia Azadirachta Flower Extract, Melia Azadirachta Leaf Extract, Ocimum Sanctum Leaf Extract, Panthenol, Pentylene Glycol, Pvm/Ma Copolymer, Salvia Sclarea (Clary) Extract, Sodium Acetylated Hyaluronate, Sodium Hyaluronate, Sodium Hyaluronate Crosspolymer, Solanum Melongena (Eggplant) Fruit Extract, Sorbitan Isostearate, Trehalose, Tromethamine, Water, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/9BFFF2C81B2846/large_1742270198.pngpng?1742270198,https://www.skinsafeproducts.com/torriden-dive-in-soothing-cream-2-70-fl-oz-50-ml
201-400.csv,"Torriden Cellmazing Brightening Vitamin C Mask, 50 mL, 10 Count",Torriden,Skin Treatments,Facial Masks,"1,2-Hexanediol, 2,3-Butanediol, 3-O-Ethyl Ascorbic Acid, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Adenosine, Allantoin, Arginine, Ascorbic Acid, Ascorbyl Glucoside, Ascorbyl Palmitate, Ascorbyl Tetraisopalmitate, Butylene Glycol, C12-20 Alkyl Glucoside, C14-22 Alcohols, Caprylic/Capric Triglyceride, Carbomer, Ceramide Np, Disodium Edta, Ethylhexylglycerin, Glucose, Glutathione, Glycereth-26, Glycerin, Glyceryl Acrylate/Acrylic Acid Copolymer, Hydrogenated Lecithin, Hydrolyzed Hyaluronic Acid, Hydrolyzed Sodium Hyaluronate, Isopentyldiol, Niacinamide, Octyldodecanol, Panthenol, Pentylene Glycol, Polyglyceryl-10 Myristate, Polyglyceryl-4 Oleate, Proline, Pvm/Ma Copolymer, Sodium Acetylated Hyaluronate, Sodium Hyaluronate, Sodium Hyaluronate Crosspolymer, Sodium Stearoyl Glutamate, Tocopherol, Tripeptide-1, Tromethamine, Water, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/667AC4093E3DB4/large_1744883492.pngpng?1744883492,https://www.skinsafeproducts.com/torriden-cellmazing-brightening-vitamin-c-mask-50-ml-10-count
201-400.csv,"Torriden Low Molecular Hyaluronic Acid Dive In Multi Pad, 5.41 fl oz/160 mL, 80 Count",Torriden,Toners & Astringents,Toners,"1,2-Hexanediol, Allantoin, Aloe Barbadensis Flower Extract, Aloe Ferox Leaf Extract, Althaea Rosea Flower Extract, Benzyl Glycol, Betaine, Butylene Glycol, Caffeine, Caprylyl Glycol, Ceramide Np, Citric Acid, Coccinia Indica Fruit Extract, Corallina Officinalis Extract, Curcuma Longa (Turmeric) Root Extract, Dipotassium Glycyrrhizate, Dipropylene Glycol, Disodium Edta, Ethylhexylglycerin, Gluconolactone, Glycerin, Glyceryl Acrylate/Acrylic Acid Copolymer, Hamamelis Virginiana (Witch Hazel) Water, Hyaluronic Acid, Hydrogenated Lecithin, Hydrolyzed Glycosaminoglycans, Hydrolyzed Hyaluronic Acid, Hydrolyzed Sodium Hyaluronate, Malachite Extract, Melaleuca Alternifolia (Tea Tree) Extract, Melia Azadirachta Flower Extract, Melia Azadirachta Leaf Extract, Ocimum Sanctum Leaf Extract, Octanediol, Paeonia Suffruticosa Root Extract, Panthenol, Pentylene Glycol, Polyglutamic Acid, Polyglyceryl-10 Laurate, Propanediol, Pvm/Ma Copolymer, Pyrus Malus (Apple) Fruit Water, Salix Alba (Willow) Bark Extract, Scutellaria Baicalensis Root Extract, Sodium Carboxymethyl Beta-Glucan, Sodium Citrate, Sodium Hyaluronate, Sodium Hyaluronate Crosspolymer, Solanum Melongena (Eggplant) Fruit Extract, Water",https://cdn1.skinsafeproducts.com/photo/BAC688B8A0F979/large_1756586260.jpeg?1756586260,https://www.skinsafeproducts.com/torriden-low-molecular-hyaluronic-acid-dive-in-multi-pad-5-41-fl-oz-160-ml-80-count
201-400.csv,"Torriden Dive In Cleansing Foam, 5.07 fl oz/150 mL",Torriden,Facial Cleansers,Facial Foaming Cleansers,"1,2-Hexanediol, Allantoin, Butylene Glycol, Camellia Sinensis Leaf Extract, Chamomilla Recutita (Matricaria) Extract, Citric Acid, Dipropylene Glycol, Disodium Edta, Ethylhexylglycerin, Glycerin, Glyceryl Stearate Se, Hamamelis Virginiana Extract/Leaf Extract, Hyaluronic Acid, Hydrolyzed Hyaluronic Acid, Hydrolyzed Sodium Hyaluronate, Hydroxypropyl Starch Phosphate, Hydroxypropyltrimonium Hyaluronate, Malachite Extract, Panthenol, Polyquaternium-67, Potassium Benzoate, Potassium Hyaluronate, Sodium Acetate, Sodium Acetylated Hyaluronate, Sodium Chloride, Sodium Cocoyl Glycinate, Sodium Hyaluronate, Sodium Hyaluronate Crosspolymer, Sodium Lauroyl Glutamate, Tocopherol, Trehalose, Water",https://cdn1.skinsafeproducts.com/photo/99B21F8F07E8BA/large_1756085114.jpeg?1756085114,https://www.skinsafeproducts.com/torriden-dive-in-cleansing-foam-5-07-fl-oz-150-ml
